	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	621	0.11295904219150543	1	4.020197868347168	621.0000	510.0000	141.0000	590.0000	768.0000	232.0000	589.0000	681.0000	289.0000	698.0000	0.1130	0.0939	0.0770	0.0526	0.0453	0.0430	0.0396	0.0391	0.0294	0.0284	343	0	
1	289	0.18090718984603882	1	3.3611223697662354	289.0000	621.0000	590.0000	768.0000	510.0000	288.0000	681.0000	698.0000	235.0000	141.0000	0.1809	0.1625	0.1432	0.0533	0.0526	0.0512	0.0236	0.0210	0.0196	0.0181	331	0	
2	510	0.9457895159721375	1	0.4414847493171692	510.0000	621.0000	589.0000	681.0000	180.0000	585.0000	460.0000	483.0000	627.0000	521.0000	0.9458	0.0056	0.0041	0.0031	0.0028	0.0021	0.0018	0.0017	0.0016	0.0016	413	1	
3	510	0.4666193425655365	1	2.9494688510894775	510.0000	521.0000	590.0000	589.0000	426.0000	460.0000	525.0000	633.0000	819.0000	585.0000	0.4666	0.0598	0.0496	0.0429	0.0332	0.0198	0.0164	0.0163	0.0123	0.0116	333	1	
4	232	0.8153623938560486	1	1.2123165130615234	232.0000	621.0000	811.0000	589.0000	509.0000	819.0000	226.0000	853.0000	330.0000	590.0000	0.8154	0.0327	0.0114	0.0098	0.0096	0.0084	0.0076	0.0065	0.0061	0.0047	526	2	
5	621	0.6538349986076355	1	1.533246636390686	621.0000	590.0000	585.0000	871.0000	589.0000	768.0000	819.0000	232.0000	771.0000	413.0000	0.6538	0.0825	0.0515	0.0491	0.0482	0.0272	0.0152	0.0140	0.0083	0.0071	352	2	
6	304	0.32505926489830017	1	3.162268877029419	304.0000	232.0000	621.0000	819.0000	510.0000	590.0000	768.0000	698.0000	494.0000	128.0000	0.3251	0.0783	0.0626	0.0590	0.0514	0.0360	0.0341	0.0257	0.0180	0.0160	577	3	
7	289	0.3402958810329437	1	2.316662311553955	289.0000	304.0000	621.0000	590.0000	510.0000	768.0000	494.0000	128.0000	698.0000	589.0000	0.3403	0.2721	0.1130	0.0447	0.0285	0.0275	0.0122	0.0122	0.0094	0.0093	584	3	
8	232	0.8687601089477539	1	0.7937829494476318	232.0000	621.0000	811.0000	515.0000	509.0000	589.0000	662.0000	679.0000	590.0000	346.0000	0.8688	0.0325	0.0197	0.0184	0.0090	0.0055	0.0054	0.0031	0.0031	0.0022	709	4	
9	232	0.6687918305397034	1	1.7315444946289062	232.0000	789.0000	589.0000	874.0000	840.0000	621.0000	590.0000	811.0000	515.0000	584.0000	0.6688	0.1155	0.0219	0.0190	0.0176	0.0152	0.0093	0.0089	0.0070	0.0067	693	4	
10	515	0.24331223964691162	1	3.4545955657958984	515.0000	232.0000	589.0000	651.0000	363.0000	621.0000	330.0000	288.0000	509.0000	643.0000	0.2433	0.1828	0.0610	0.0294	0.0294	0.0245	0.0241	0.0208	0.0202	0.0184	506	5	
11	589	0.22952719032764435	1	3.2396957874298096	589.0000	819.0000	621.0000	840.0000	471.0000	232.0000	585.0000	651.0000	874.0000	363.0000	0.2295	0.1111	0.1045	0.0591	0.0535	0.0500	0.0398	0.0305	0.0288	0.0262	524	5	
12	590	0.3102744221687317	1	2.1556997299194336	590.0000	232.0000	621.0000	128.0000	681.0000	426.0000	515.0000	363.0000	589.0000	19.0000	0.3103	0.2662	0.1064	0.0904	0.0894	0.0129	0.0127	0.0120	0.0119	0.0110	543	6	
13	590	0.29200175404548645	1	2.6298346519470215	590.0000	621.0000	589.0000	19.0000	232.0000	633.0000	768.0000	304.0000	811.0000	426.0000	0.2920	0.2572	0.0540	0.0490	0.0432	0.0353	0.0306	0.0304	0.0248	0.0191	431	6	
14	232	0.6231776475906372	1	2.09928560256958	232.0000	49.0000	331.0000	874.0000	696.0000	169.0000	811.0000	22.0000	621.0000	509.0000	0.6232	0.0412	0.0384	0.0249	0.0244	0.0225	0.0197	0.0190	0.0141	0.0136	558	7	
