	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	96	0.6217382550239563	3	2.19228458404541	96.0000	3.0000	38.0000	594.0000	122.0000	54.0000	144.0000	470.0000	375.0000	833.0000	0.6217	0.0350	0.0301	0.0261	0.0244	0.0236	0.0232	0.0174	0.0093	0.0086	1	0	
1	347	0.3476981818675995	3	2.7168569564819336	347.0000	96.0000	470.0000	861.0000	762.0000	833.0000	133.0000	583.0000	54.0000	301.0000	0.3477	0.2720	0.0302	0.0211	0.0195	0.0171	0.0164	0.0163	0.0154	0.0128	58	0	
2	96	0.27824777364730835	3	3.264503002166748	96.0000	104.0000	853.0000	822.0000	54.0000	583.0000	870.0000	375.0000	38.0000	511.0000	0.2782	0.1059	0.0851	0.0583	0.0439	0.0404	0.0267	0.0240	0.0219	0.0208	23	1	
3	96	0.8872308731079102	3	0.7414859533309937	96.0000	583.0000	497.0000	853.0000	375.0000	833.0000	567.0000	104.0000	822.0000	538.0000	0.8872	0.0301	0.0174	0.0059	0.0057	0.0050	0.0044	0.0026	0.0022	0.0020	161	1	
4	96	0.6944178938865662	3	1.655149221420288	96.0000	104.0000	38.0000	511.0000	489.0000	339.0000	375.0000	822.0000	133.0000	122.0000	0.6944	0.0730	0.0288	0.0151	0.0143	0.0142	0.0113	0.0106	0.0106	0.0099	14	2	
5	96	0.9323848485946655	3	0.3726142644882202	96.0000	38.0000	54.0000	822.0000	74.0000	5.0000	853.0000	832.0000	567.0000	909.0000	0.9324	0.0405	0.0091	0.0049	0.0010	0.0010	0.0009	0.0009	0.0007	0.0005	28	2	
6	96	0.3736220896244049	3	2.190561294555664	96.0000	133.0000	339.0000	375.0000	853.0000	3.0000	60.0000	104.0000	6.0000	122.0000	0.3736	0.2079	0.0933	0.0790	0.0755	0.0447	0.0201	0.0104	0.0102	0.0078	5	3	
7	96	0.5797519087791443	3	1.6712427139282227	96.0000	832.0000	357.0000	683.0000	133.0000	54.0000	114.0000	861.0000	6.0000	347.0000	0.5798	0.1043	0.0922	0.0915	0.0292	0.0210	0.0111	0.0083	0.0054	0.0048	20	3	
8	122	0.21345219016075134	3	3.572474241256714	122.0000	833.0000	80.0000	3.0000	38.0000	853.0000	96.0000	817.0000	104.0000	144.0000	0.2135	0.0854	0.0752	0.0675	0.0511	0.0503	0.0470	0.0243	0.0212	0.0212	3	4	
9	833	0.8684127926826477	3	0.8747385740280151	833.0000	364.0000	5.0000	861.0000	583.0000	683.0000	762.0000	832.0000	38.0000	96.0000	0.8684	0.0191	0.0129	0.0124	0.0102	0.0071	0.0068	0.0052	0.0041	0.0035	39	4	
