	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	833	0.27550387382507324	5	4.222959518432617	833.0000	641.0000	96.0000	321.0000	583.0000	347.0000	824.0000	909.0000	332.0000	537.0000	0.2755	0.0485	0.0463	0.0296	0.0291	0.0255	0.0223	0.0219	0.0181	0.0166	57	0	
1	54	0.14199994504451752	5	4.251812934875488	54.0000	299.0000	96.0000	853.0000	654.0000	690.0000	762.0000	909.0000	833.0000	353.0000	0.1420	0.0955	0.0900	0.0515	0.0303	0.0273	0.0265	0.0209	0.0187	0.0184	16	1	
2	833	0.37880343198776245	5	3.1747021675109863	833.0000	96.0000	343.0000	133.0000	853.0000	80.0000	37.0000	453.0000	470.0000	654.0000	0.3788	0.1541	0.0573	0.0259	0.0220	0.0210	0.0131	0.0129	0.0123	0.0084	16	2	
3	343	0.1162717416882515	5	4.612603187561035	343.0000	833.0000	347.0000	37.0000	680.0000	364.0000	583.0000	321.0000	615.0000	575.0000	0.1163	0.0891	0.0729	0.0383	0.0307	0.0240	0.0222	0.0181	0.0168	0.0166	33	3	
4	321	0.07946603000164032	5	5.079045295715332	321.0000	654.0000	833.0000	641.0000	644.0000	537.0000	832.0000	96.0000	282.0000	133.0000	0.0795	0.0628	0.0481	0.0402	0.0311	0.0208	0.0181	0.0155	0.0147	0.0134	10	4	
5	833	0.24983111023902893	5	3.175360918045044	833.0000	310.0000	861.0000	853.0000	541.0000	343.0000	680.0000	654.0000	299.0000	805.0000	0.2498	0.1125	0.0839	0.0825	0.0574	0.0479	0.0375	0.0305	0.0200	0.0184	24	5	
6	853	0.32268765568733215	5	2.5342912673950195	853.0000	228.0000	719.0000	924.0000	38.0000	133.0000	854.0000	583.0000	680.0000	60.0000	0.3227	0.2056	0.0964	0.0514	0.0498	0.0466	0.0409	0.0241	0.0178	0.0175	87	6	
7	861	0.1728365272283554	5	2.684103488922119	861.0000	853.0000	282.0000	834.0000	833.0000	96.0000	54.0000	299.0000	680.0000	133.0000	0.1728	0.1546	0.1516	0.1220	0.0804	0.0794	0.0541	0.0309	0.0167	0.0165	78	7	
8	833	0.7731276750564575	5	1.3177845478057861	833.0000	680.0000	690.0000	133.0000	299.0000	80.0000	343.0000	583.0000	470.0000	861.0000	0.7731	0.0536	0.0226	0.0192	0.0114	0.0112	0.0090	0.0070	0.0067	0.0053	49	8	
9	853	0.12052791565656662	5	4.065493583679199	853.0000	654.0000	680.0000	583.0000	805.0000	104.0000	371.0000	343.0000	782.0000	720.0000	0.1205	0.0938	0.0755	0.0542	0.0454	0.0427	0.0279	0.0257	0.0225	0.0207	213	9	
10	833	0.3050016164779663	5	2.644589424133301	833.0000	853.0000	719.0000	364.0000	133.0000	343.0000	228.0000	38.0000	74.0000	654.0000	0.3050	0.2806	0.0597	0.0559	0.0475	0.0387	0.0172	0.0149	0.0078	0.0072	29	10	
11	861	0.12139725685119629	5	3.758107900619507	861.0000	833.0000	343.0000	282.0000	541.0000	680.0000	277.0000	652.0000	644.0000	690.0000	0.1214	0.1122	0.0967	0.0710	0.0638	0.0533	0.0333	0.0291	0.0269	0.0263	40	11	
12	870	0.5032960772514343	5	2.762564182281494	870.0000	343.0000	38.0000	309.0000	833.0000	310.0000	680.0000	515.0000	55.0000	654.0000	0.5033	0.1193	0.0368	0.0174	0.0166	0.0158	0.0134	0.0133	0.0114	0.0096	40	12	
13	583	0.26915499567985535	5	2.8466696739196777	583.0000	511.0000	680.0000	55.0000	654.0000	541.0000	507.0000	277.0000	833.0000	133.0000	0.2692	0.2586	0.0445	0.0435	0.0379	0.0365	0.0345	0.0300	0.0232	0.0213	99	13	
14	364	0.21991987526416779	5	3.316009044647217	364.0000	680.0000	854.0000	309.0000	511.0000	96.0000	282.0000	690.0000	583.0000	38.0000	0.2199	0.0848	0.0628	0.0612	0.0533	0.0520	0.0469	0.0368	0.0342	0.0327	91	14	
15	55	0.4100222885608673	5	2.9228453636169434	55.0000	680.0000	583.0000	870.0000	833.0000	919.0000	511.0000	38.0000	541.0000	654.0000	0.4100	0.0745	0.0523	0.0487	0.0355	0.0253	0.0251	0.0212	0.0211	0.0197	63	15	
16	870	0.12182357907295227	5	3.417983293533325	870.0000	309.0000	364.0000	282.0000	321.0000	55.0000	833.0000	861.0000	654.0000	680.0000	0.1218	0.1010	0.0793	0.0733	0.0691	0.0553	0.0543	0.0498	0.0470	0.0445	16	16	
17	870	0.6449401378631592	5	1.5247218608856201	870.0000	309.0000	833.0000	299.0000	133.0000	853.0000	55.0000	861.0000	680.0000	515.0000	0.6449	0.0712	0.0652	0.0546	0.0495	0.0272	0.0216	0.0133	0.0109	0.0098	39	17	
18	833	0.24031876027584076	5	2.6780242919921875	833.0000	583.0000	919.0000	680.0000	343.0000	309.0000	654.0000	133.0000	924.0000	861.0000	0.2403	0.1482	0.1209	0.1077	0.0827	0.0629	0.0576	0.0289	0.0143	0.0138	80	18	
19	833	0.8846021890640259	5	0.38322246074676514	833.0000	55.0000	870.0000	667.0000	5.0000	309.0000	38.0000	364.0000	321.0000	861.0000	0.8846	0.1107	0.0031	0.0010	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	4	19	
20	919	0.947911262512207	5	0.38244563341140747	919.0000	309.0000	310.0000	219.0000	489.0000	38.0000	371.0000	641.0000	364.0000	177.0000	0.9479	0.0153	0.0034	0.0024	0.0023	0.0021	0.0019	0.0018	0.0017	0.0016	83	20	
21	870	0.3051185607910156	5	2.553844690322876	870.0000	833.0000	680.0000	38.0000	853.0000	282.0000	515.0000	924.0000	309.0000	511.0000	0.3051	0.1812	0.1414	0.0691	0.0642	0.0440	0.0191	0.0183	0.0175	0.0107	33	21	
22	870	0.6574636697769165	5	1.5927293300628662	870.0000	309.0000	55.0000	853.0000	833.0000	38.0000	511.0000	680.0000	252.0000	133.0000	0.6575	0.1118	0.0610	0.0311	0.0283	0.0126	0.0110	0.0095	0.0057	0.0047	32	22	
23	833	0.8477338552474976	5	1.0178614854812622	833.0000	343.0000	644.0000	919.0000	282.0000	870.0000	299.0000	598.0000	364.0000	133.0000	0.8477	0.0301	0.0127	0.0088	0.0062	0.0059	0.0057	0.0053	0.0053	0.0047	25	23	
24	680	0.4296412467956543	5	1.8383822441101074	680.0000	833.0000	252.0000	583.0000	854.0000	98.0000	5.0000	142.0000	690.0000	282.0000	0.4296	0.3165	0.0865	0.0247	0.0207	0.0154	0.0098	0.0089	0.0057	0.0055	6	24	
25	96	0.523911714553833	5	2.0363082885742188	96.0000	833.0000	680.0000	861.0000	309.0000	364.0000	919.0000	598.0000	38.0000	583.0000	0.5239	0.2115	0.0576	0.0213	0.0207	0.0178	0.0111	0.0087	0.0063	0.0054	17	25	
26	583	0.5537503361701965	5	2.31036114692688	583.0000	343.0000	309.0000	228.0000	782.0000	104.0000	321.0000	720.0000	235.0000	515.0000	0.5538	0.1074	0.0474	0.0272	0.0205	0.0199	0.0132	0.0127	0.0097	0.0093	122	26	
27	680	0.2342529594898224	5	3.1023247241973877	680.0000	38.0000	854.0000	644.0000	833.0000	277.0000	737.0000	309.0000	701.0000	299.0000	0.2343	0.1301	0.0893	0.0726	0.0726	0.0682	0.0619	0.0254	0.0152	0.0149	28	27	
28	833	0.3784603774547577	5	2.310317277908325	833.0000	870.0000	680.0000	133.0000	299.0000	912.0000	96.0000	853.0000	38.0000	252.0000	0.3785	0.2132	0.0900	0.0734	0.0415	0.0250	0.0242	0.0180	0.0158	0.0143	10	28	
29	299	0.6311884522438049	5	1.4146902561187744	299.0000	96.0000	499.0000	680.0000	364.0000	38.0000	833.0000	853.0000	824.0000	282.0000	0.6312	0.1521	0.1227	0.0130	0.0097	0.0092	0.0053	0.0047	0.0044	0.0041	48	29	
30	299	0.3679702579975128	5	2.4653055667877197	299.0000	309.0000	680.0000	96.0000	861.0000	38.0000	919.0000	870.0000	364.0000	652.0000	0.3680	0.1485	0.0865	0.0779	0.0700	0.0437	0.0427	0.0213	0.0137	0.0126	107	30	
31	309	0.3714030385017395	5	2.462693214416504	309.0000	299.0000	680.0000	861.0000	919.0000	870.0000	96.0000	38.0000	598.0000	652.0000	0.3714	0.1254	0.1084	0.0952	0.0501	0.0440	0.0339	0.0236	0.0151	0.0124	121	31	
32	309	0.3231116831302643	5	2.4387130737304688	309.0000	680.0000	919.0000	299.0000	96.0000	870.0000	38.0000	861.0000	652.0000	598.0000	0.3231	0.1963	0.1142	0.0667	0.0586	0.0374	0.0339	0.0311	0.0138	0.0126	114	32	
33	309	0.2865498960018158	5	2.244622230529785	309.0000	299.0000	680.0000	870.0000	919.0000	861.0000	38.0000	96.0000	55.0000	833.0000	0.2865	0.2584	0.1729	0.0709	0.0355	0.0265	0.0231	0.0143	0.0118	0.0100	84	33	
34	309	0.304550439119339	5	2.332718849182129	309.0000	680.0000	299.0000	919.0000	870.0000	861.0000	38.0000	96.0000	652.0000	896.0000	0.3046	0.2028	0.1434	0.0989	0.0758	0.0263	0.0213	0.0117	0.0114	0.0090	84	34	
35	309	0.2654282748699188	5	2.309805393218994	309.0000	919.0000	680.0000	299.0000	870.0000	38.0000	861.0000	853.0000	96.0000	652.0000	0.2654	0.2204	0.1369	0.1292	0.0979	0.0218	0.0171	0.0090	0.0087	0.0063	104	35	
36	870	0.28721240162849426	5	2.1749563217163086	870.0000	680.0000	38.0000	309.0000	919.0000	299.0000	861.0000	652.0000	96.0000	55.0000	0.2872	0.2599	0.1457	0.0821	0.0690	0.0426	0.0213	0.0085	0.0079	0.0078	66	36	
37	870	0.24321900308132172	5	2.352775812149048	870.0000	919.0000	309.0000	680.0000	38.0000	299.0000	55.0000	861.0000	652.0000	896.0000	0.2432	0.1906	0.1710	0.1049	0.1004	0.0439	0.0276	0.0182	0.0125	0.0118	68	37	
38	299	0.2829895317554474	5	2.467437744140625	299.0000	309.0000	919.0000	680.0000	870.0000	861.0000	38.0000	598.0000	652.0000	96.0000	0.2830	0.1905	0.1071	0.0913	0.0908	0.0735	0.0242	0.0121	0.0097	0.0093	75	38	
39	299	0.23616427183151245	5	2.4396796226501465	299.0000	870.0000	861.0000	309.0000	38.0000	919.0000	680.0000	853.0000	833.0000	96.0000	0.2362	0.2049	0.1217	0.1104	0.0867	0.0543	0.0425	0.0224	0.0200	0.0131	50	39	
40	309	0.3090037703514099	5	1.9507577419281006	309.0000	299.0000	919.0000	870.0000	38.0000	861.0000	680.0000	598.0000	652.0000	364.0000	0.3090	0.2745	0.2015	0.0698	0.0322	0.0273	0.0131	0.0130	0.0054	0.0052	90	40	
41	309	0.30088213086128235	5	2.020965099334717	309.0000	919.0000	870.0000	299.0000	38.0000	680.0000	652.0000	364.0000	861.0000	598.0000	0.3009	0.2878	0.1684	0.0949	0.0307	0.0200	0.0117	0.0100	0.0088	0.0060	107	41	
42	919	0.41085085272789	5	1.9261009693145752	919.0000	309.0000	870.0000	38.0000	680.0000	299.0000	861.0000	364.0000	598.0000	652.0000	0.4109	0.2024	0.1544	0.0732	0.0383	0.0372	0.0119	0.0117	0.0076	0.0072	94	42	
