	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	38	0.11375094205141068	6	4.823142051696777	38.0000	583.0000	353.0000	122.0000	818.0000	489.0000	186.0000	422.0000	787.0000	453.0000	0.1138	0.0510	0.0506	0.0493	0.0407	0.0336	0.0232	0.0216	0.0186	0.0178	16	0	
1	228	0.8417409658432007	6	0.9505563378334045	228.0000	181.0000	626.0000	558.0000	730.0000	485.0000	489.0000	219.0000	226.0000	282.0000	0.8417	0.0565	0.0150	0.0126	0.0110	0.0079	0.0052	0.0029	0.0022	0.0017	15	0	
2	489	0.058448199182748795	6	5.280037879943848	489.0000	583.0000	566.0000	228.0000	342.0000	67.0000	864.0000	818.0000	641.0000	422.0000	0.0584	0.0412	0.0365	0.0343	0.0338	0.0259	0.0231	0.0228	0.0203	0.0145	10	0	
3	228	0.3748909533023834	6	3.328045129776001	228.0000	626.0000	485.0000	282.0000	830.0000	453.0000	219.0000	4.0000	582.0000	489.0000	0.3749	0.1052	0.1013	0.0277	0.0262	0.0225	0.0166	0.0139	0.0132	0.0108	14	0	
4	96	0.6324159502983093	6	1.5896742343902588	96.0000	818.0000	511.0000	342.0000	489.0000	583.0000	364.0000	241.0000	575.0000	74.0000	0.6324	0.1184	0.0572	0.0408	0.0395	0.0349	0.0066	0.0060	0.0048	0.0041	42	0	
5	673	0.3381918966770172	6	3.323474884033203	673.0000	49.0000	228.0000	626.0000	8.0000	181.0000	558.0000	489.0000	787.0000	924.0000	0.3382	0.1636	0.0740	0.0314	0.0305	0.0194	0.0151	0.0131	0.0109	0.0107	151	0	
6	228	0.9823223948478699	6	0.15767726302146912	228.0000	485.0000	489.0000	181.0000	6.0000	484.0000	259.0000	4.0000	226.0000	558.0000	0.9823	0.0040	0.0015	0.0015	0.0013	0.0007	0.0007	0.0004	0.0003	0.0003	4	0	
7	38	0.301801472902298	6	3.6112451553344727	38.0000	511.0000	113.0000	617.0000	489.0000	186.0000	353.0000	272.0000	342.0000	822.0000	0.3018	0.0948	0.0463	0.0387	0.0355	0.0343	0.0304	0.0286	0.0276	0.0216	10	0	
8	181	0.3497466742992401	6	3.2260689735412598	181.0000	228.0000	558.0000	626.0000	854.0000	730.0000	837.0000	471.0000	282.0000	748.0000	0.3497	0.1630	0.0689	0.0622	0.0247	0.0209	0.0178	0.0177	0.0146	0.0097	55	0	
9	228	0.932790994644165	6	0.4863030016422272	228.0000	181.0000	485.0000	558.0000	626.0000	837.0000	282.0000	730.0000	854.0000	724.0000	0.9328	0.0214	0.0059	0.0049	0.0032	0.0029	0.0022	0.0020	0.0016	0.0012	18	0	
10	848	0.24784323573112488	6	2.8775243759155273	848.0000	113.0000	96.0000	489.0000	353.0000	38.0000	575.0000	822.0000	511.0000	6.0000	0.2478	0.1905	0.1000	0.0788	0.0637	0.0585	0.0388	0.0207	0.0143	0.0114	9	0	
11	342	0.15546683967113495	6	4.0624284744262695	342.0000	489.0000	6.0000	38.0000	228.0000	673.0000	113.0000	219.0000	96.0000	186.0000	0.1555	0.1358	0.0981	0.0449	0.0358	0.0235	0.0227	0.0219	0.0209	0.0196	2	0	
12	626	0.28011980652809143	6	4.182241916656494	626.0000	489.0000	104.0000	567.0000	583.0000	899.0000	96.0000	471.0000	787.0000	789.0000	0.2801	0.0633	0.0376	0.0250	0.0229	0.0210	0.0168	0.0162	0.0160	0.0159	37	0	
13	489	0.11916445940732956	6	4.822422027587891	489.0000	6.0000	818.0000	38.0000	113.0000	583.0000	353.0000	787.0000	122.0000	210.0000	0.1192	0.0455	0.0374	0.0333	0.0320	0.0309	0.0277	0.0254	0.0208	0.0206	1	0	
14	96	0.6982243657112122	6	1.250239372253418	96.0000	511.0000	870.0000	485.0000	575.0000	38.0000	364.0000	555.0000	818.0000	54.0000	0.6982	0.1341	0.0776	0.0118	0.0103	0.0089	0.0064	0.0061	0.0058	0.0043	39	0	
15	96	0.367235004901886	6	2.5101916790008545	96.0000	489.0000	113.0000	848.0000	822.0000	342.0000	74.0000	38.0000	511.0000	6.0000	0.3672	0.1718	0.1468	0.0698	0.0301	0.0196	0.0181	0.0169	0.0120	0.0107	9	0	
16	228	0.8365658521652222	6	1.2487373352050781	228.0000	181.0000	485.0000	489.0000	259.0000	6.0000	484.0000	626.0000	226.0000	830.0000	0.8366	0.0131	0.0125	0.0110	0.0073	0.0054	0.0051	0.0047	0.0042	0.0040	5	0	
17	489	0.13335977494716644	6	4.868842601776123	489.0000	583.0000	74.0000	38.0000	342.0000	96.0000	822.0000	818.0000	228.0000	6.0000	0.1334	0.0493	0.0399	0.0379	0.0355	0.0287	0.0243	0.0234	0.0187	0.0154	9	0	
18	96	0.07144496589899063	6	4.5552263259887695	96.0000	255.0000	566.0000	74.0000	113.0000	122.0000	511.0000	583.0000	186.0000	340.0000	0.0714	0.0633	0.0579	0.0570	0.0448	0.0414	0.0390	0.0372	0.0363	0.0199	48	1	
19	6	0.7482960224151611	6	1.4905234575271606	6.0000	226.0000	219.0000	489.0000	304.0000	912.0000	342.0000	4.0000	845.0000	484.0000	0.7483	0.0625	0.0318	0.0226	0.0123	0.0091	0.0089	0.0075	0.0053	0.0049	0	1	
20	342	0.10636287182569504	6	4.481414318084717	342.0000	6.0000	583.0000	210.0000	122.0000	422.0000	912.0000	67.0000	484.0000	143.0000	0.1064	0.0691	0.0591	0.0446	0.0413	0.0365	0.0293	0.0272	0.0254	0.0230	1	1	
21	6	0.32271504402160645	6	4.105220317840576	6.0000	342.0000	219.0000	483.0000	169.0000	489.0000	626.0000	269.0000	925.0000	226.0000	0.3227	0.0469	0.0451	0.0379	0.0248	0.0232	0.0196	0.0126	0.0121	0.0119	0	1	
22	818	0.4017561674118042	6	1.954460859298706	818.0000	122.0000	422.0000	96.0000	6.0000	353.0000	342.0000	789.0000	346.0000	226.0000	0.4018	0.3002	0.1204	0.0250	0.0193	0.0168	0.0069	0.0067	0.0067	0.0065	4	1	
23	104	0.23690813779830933	6	3.733522415161133	104.0000	364.0000	626.0000	673.0000	483.0000	670.0000	191.0000	114.0000	222.0000	489.0000	0.2369	0.1460	0.1344	0.0336	0.0304	0.0142	0.0136	0.0134	0.0131	0.0131	167	1	
24	6	0.6984412670135498	6	1.8205580711364746	6.0000	277.0000	226.0000	279.0000	269.0000	304.0000	937.0000	219.0000	845.0000	169.0000	0.6984	0.0860	0.0159	0.0118	0.0108	0.0077	0.0068	0.0065	0.0054	0.0054	0	1	
25	422	0.10680107772350311	6	3.8332314491271973	422.0000	122.0000	38.0000	511.0000	6.0000	272.0000	617.0000	113.0000	186.0000	96.0000	0.1068	0.0992	0.0672	0.0613	0.0568	0.0527	0.0476	0.0474	0.0435	0.0346	4	1	
26	6	0.47189098596572876	6	2.288137674331665	6.0000	219.0000	489.0000	226.0000	304.0000	342.0000	853.0000	889.0000	277.0000	104.0000	0.4719	0.1921	0.0732	0.0471	0.0244	0.0189	0.0137	0.0126	0.0081	0.0081	0	1	
27	6	0.7325366139411926	6	1.3024470806121826	6.0000	219.0000	304.0000	226.0000	489.0000	484.0000	912.0000	180.0000	342.0000	4.0000	0.7325	0.0839	0.0440	0.0366	0.0284	0.0120	0.0049	0.0049	0.0048	0.0030	0	1	
28	96	0.1018182709813118	6	4.220041275024414	96.0000	483.0000	489.0000	74.0000	422.0000	6.0000	511.0000	113.0000	186.0000	272.0000	0.1018	0.0830	0.0817	0.0350	0.0350	0.0347	0.0335	0.0322	0.0320	0.0297	5	1	
29	483	0.14202047884464264	6	3.6727309226989746	483.0000	6.0000	186.0000	342.0000	122.0000	96.0000	272.0000	925.0000	511.0000	422.0000	0.1420	0.1034	0.0950	0.0850	0.0842	0.0439	0.0433	0.0230	0.0181	0.0179	1	1	
30	627	0.11751758307218552	6	5.248553276062012	627.0000	941.0000	626.0000	789.0000	546.0000	644.0000	737.0000	104.0000	471.0000	301.0000	0.1175	0.0401	0.0392	0.0255	0.0226	0.0223	0.0197	0.0193	0.0178	0.0157	58	1	
31	6	0.08343595266342163	6	4.795376300811768	6.0000	210.0000	610.0000	511.0000	186.0000	342.0000	483.0000	96.0000	255.0000	272.0000	0.0834	0.0795	0.0434	0.0302	0.0277	0.0275	0.0274	0.0265	0.0228	0.0218	0	1	
32	96	0.22567395865917206	6	3.5246453285217285	96.0000	122.0000	507.0000	818.0000	912.0000	364.0000	626.0000	870.0000	3.0000	555.0000	0.2257	0.1060	0.0860	0.0534	0.0464	0.0442	0.0387	0.0370	0.0213	0.0188	14	1	
33	6	0.16731733083724976	6	3.633460521697998	6.0000	483.0000	96.0000	925.0000	342.0000	122.0000	169.0000	673.0000	167.0000	74.0000	0.1673	0.1279	0.1029	0.0809	0.0667	0.0540	0.0318	0.0272	0.0256	0.0124	0	1	
34	6	0.5582907199859619	6	2.7475733757019043	6.0000	277.0000	226.0000	269.0000	122.0000	484.0000	342.0000	279.0000	219.0000	423.0000	0.5583	0.0504	0.0312	0.0234	0.0229	0.0176	0.0147	0.0100	0.0098	0.0088	0	1	
35	845	0.14826886355876923	6	4.430075645446777	845.0000	342.0000	210.0000	6.0000	161.0000	96.0000	143.0000	715.0000	74.0000	484.0000	0.1483	0.0779	0.0624	0.0494	0.0372	0.0300	0.0260	0.0220	0.0182	0.0149	3	1	
36	6	0.6353356242179871	6	1.831394910812378	6.0000	122.0000	937.0000	96.0000	38.0000	489.0000	822.0000	353.0000	909.0000	583.0000	0.6353	0.1123	0.0332	0.0289	0.0217	0.0205	0.0195	0.0098	0.0082	0.0072	0	2	
37	6	0.4419863224029541	6	2.4766907691955566	6.0000	282.0000	909.0000	854.0000	928.0000	830.0000	122.0000	319.0000	411.0000	626.0000	0.4420	0.1265	0.1171	0.0586	0.0206	0.0191	0.0171	0.0165	0.0107	0.0104	0	2	
38	6	0.9543021321296692	6	0.32598209381103516	6.0000	838.0000	122.0000	342.0000	484.0000	937.0000	219.0000	226.0000	96.0000	16.0000	0.9543	0.0105	0.0084	0.0076	0.0021	0.0016	0.0013	0.0013	0.0008	0.0007	0	2	
39	6	0.4229927957057953	6	3.3993585109710693	6.0000	830.0000	854.0000	909.0000	235.0000	282.0000	411.0000	219.0000	45.0000	122.0000	0.4230	0.0718	0.0414	0.0264	0.0170	0.0164	0.0154	0.0125	0.0108	0.0107	0	2	
40	6	0.40606993436813354	6	2.0155415534973145	6.0000	122.0000	818.0000	96.0000	54.0000	3.0000	626.0000	162.0000	346.0000	60.0000	0.4061	0.2525	0.1153	0.0625	0.0230	0.0225	0.0162	0.0088	0.0065	0.0060	0	2	
41	924	0.1976589858531952	6	3.767883777618408	924.0000	104.0000	899.0000	626.0000	558.0000	673.0000	96.0000	909.0000	716.0000	55.0000	0.1977	0.0942	0.0938	0.0603	0.0489	0.0340	0.0268	0.0257	0.0237	0.0202	490	2	
42	6	0.9892442226409912	6	0.09103211015462875	6.0000	279.0000	411.0000	484.0000	226.0000	277.0000	304.0000	278.0000	219.0000	937.0000	0.9892	0.0020	0.0015	0.0014	0.0012	0.0007	0.0004	0.0004	0.0003	0.0003	0	2	
43	6	0.6123497486114502	6	1.1158263683319092	6.0000	122.0000	353.0000	96.0000	113.0000	937.0000	818.0000	38.0000	3.0000	422.0000	0.6123	0.2950	0.0263	0.0179	0.0135	0.0124	0.0033	0.0025	0.0012	0.0011	0	2	
44	854	0.17780503630638123	6	3.803537368774414	854.0000	830.0000	219.0000	837.0000	909.0000	6.0000	304.0000	226.0000	789.0000	928.0000	0.1778	0.1110	0.0864	0.0795	0.0610	0.0255	0.0237	0.0157	0.0152	0.0131	5	2	
45	837	0.46385180950164795	6	2.869433641433716	837.0000	854.0000	909.0000	830.0000	6.0000	235.0000	818.0000	411.0000	928.0000	538.0000	0.4639	0.1228	0.0369	0.0337	0.0256	0.0135	0.0116	0.0114	0.0111	0.0110	4	2	
46	6	0.7093179821968079	6	1.0393524169921875	6.0000	122.0000	113.0000	937.0000	818.0000	353.0000	489.0000	96.0000	787.0000	924.0000	0.7093	0.1844	0.0372	0.0267	0.0085	0.0083	0.0063	0.0034	0.0020	0.0012	0	2	
47	6	0.9956533908843994	6	0.03762316331267357	6.0000	937.0000	122.0000	226.0000	96.0000	342.0000	167.0000	219.0000	489.0000	889.0000	0.9957	0.0016	0.0013	0.0003	0.0002	0.0001	0.0001	0.0001	0.0001	0.0000	0	2	
48	942	0.3358728289604187	6	2.7129580974578857	942.0000	789.0000	104.0000	853.0000	38.0000	13.0000	737.0000	546.0000	471.0000	54.0000	0.3359	0.1708	0.0868	0.0455	0.0454	0.0345	0.0286	0.0285	0.0248	0.0237	97	2	
49	6	0.9156351685523987	6	0.5591509938240051	6.0000	937.0000	122.0000	583.0000	928.0000	822.0000	38.0000	96.0000	219.0000	167.0000	0.9156	0.0348	0.0042	0.0041	0.0028	0.0026	0.0024	0.0020	0.0020	0.0017	0	2	
50	122	0.2605166435241699	6	2.689826011657715	122.0000	3.0000	507.0000	818.0000	6.0000	54.0000	626.0000	471.0000	692.0000	364.0000	0.2605	0.1428	0.1243	0.1107	0.0641	0.0610	0.0533	0.0380	0.0082	0.0078	4	2	
51	6	0.955253005027771	6	0.2678680419921875	6.0000	96.0000	937.0000	122.0000	113.0000	342.0000	167.0000	74.0000	489.0000	889.0000	0.9553	0.0174	0.0173	0.0021	0.0008	0.0008	0.0007	0.0006	0.0006	0.0003	0	2	
52	6	0.955396831035614	6	0.3304268419742584	6.0000	484.0000	226.0000	854.0000	279.0000	830.0000	304.0000	909.0000	411.0000	122.0000	0.9554	0.0088	0.0058	0.0032	0.0032	0.0025	0.0023	0.0021	0.0017	0.0013	0	2	
53	6	0.8603013753890991	6	1.0191209316253662	6.0000	838.0000	122.0000	143.0000	342.0000	167.0000	937.0000	243.0000	96.0000	484.0000	0.8603	0.0169	0.0130	0.0078	0.0063	0.0059	0.0044	0.0042	0.0034	0.0031	0	2	
