	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	942	0.09886546432971954	12	4.680941581726074	942.0000	893.0000	75.0000	131.0000	285.0000	264.0000	552.0000	544.0000	297.0000	273.0000	0.0989	0.0980	0.0842	0.0365	0.0317	0.0242	0.0235	0.0182	0.0161	0.0157	268	0	
1	893	0.1462254673242569	12	3.765026569366455	893.0000	131.0000	297.0000	942.0000	789.0000	626.0000	490.0000	75.0000	528.0000	239.0000	0.1462	0.1284	0.1103	0.0535	0.0531	0.0470	0.0312	0.0290	0.0283	0.0255	238	0	
2	297	0.08569686859846115	12	4.899715423583984	297.0000	75.0000	942.0000	453.0000	264.0000	626.0000	888.0000	285.0000	844.0000	655.0000	0.0857	0.0553	0.0397	0.0393	0.0343	0.0329	0.0288	0.0221	0.0220	0.0211	162	0	
3	789	0.23278281092643738	12	3.430659532546997	789.0000	297.0000	942.0000	626.0000	490.0000	893.0000	757.0000	117.0000	627.0000	75.0000	0.2328	0.1115	0.1069	0.0888	0.0524	0.0452	0.0220	0.0219	0.0196	0.0165	173	0	
4	945	0.09712468832731247	12	4.212118148803711	945.0000	453.0000	285.0000	219.0000	370.0000	888.0000	570.0000	273.0000	477.0000	811.0000	0.0971	0.0867	0.0845	0.0622	0.0520	0.0388	0.0312	0.0275	0.0265	0.0201	56	1	
5	370	0.18455564975738525	12	4.140219211578369	370.0000	888.0000	285.0000	235.0000	626.0000	90.0000	662.0000	655.0000	239.0000	468.0000	0.1846	0.1044	0.0450	0.0448	0.0356	0.0313	0.0311	0.0207	0.0203	0.0187	54	1	
6	453	0.15115530788898468	12	3.911468982696533	453.0000	370.0000	285.0000	888.0000	219.0000	477.0000	945.0000	625.0000	570.0000	626.0000	0.1512	0.1040	0.0835	0.0693	0.0438	0.0398	0.0308	0.0289	0.0255	0.0231	42	1	
7	370	0.35699382424354553	12	3.376854419708252	370.0000	453.0000	626.0000	285.0000	219.0000	239.0000	628.0000	552.0000	896.0000	477.0000	0.3570	0.0746	0.0547	0.0543	0.0297	0.0204	0.0187	0.0184	0.0147	0.0143	52	1	
8	662	0.3789959251880646	12	3.093106746673584	662.0000	655.0000	888.0000	570.0000	273.0000	226.0000	945.0000	884.0000	689.0000	155.0000	0.3790	0.1072	0.0480	0.0431	0.0352	0.0342	0.0233	0.0222	0.0134	0.0134	80	2	
9	453	0.18291880190372467	12	3.447880744934082	453.0000	662.0000	443.0000	888.0000	235.0000	477.0000	370.0000	655.0000	570.0000	273.0000	0.1829	0.1198	0.1073	0.1073	0.0744	0.0339	0.0283	0.0258	0.0230	0.0153	59	2	
10	662	0.21200168132781982	12	3.4880752563476562	662.0000	453.0000	888.0000	570.0000	235.0000	552.0000	477.0000	655.0000	443.0000	273.0000	0.2120	0.0966	0.0867	0.0619	0.0473	0.0429	0.0394	0.0370	0.0283	0.0268	56	2	
11	662	0.20328418910503387	12	3.491250514984131	662.0000	888.0000	235.0000	443.0000	453.0000	655.0000	570.0000	370.0000	477.0000	884.0000	0.2033	0.1208	0.1039	0.0697	0.0571	0.0418	0.0329	0.0284	0.0282	0.0187	79	2	
12	444	0.18561376631259918	12	3.5646181106567383	444.0000	703.0000	888.0000	219.0000	307.0000	561.0000	226.0000	443.0000	273.0000	453.0000	0.1856	0.1060	0.0979	0.0515	0.0491	0.0438	0.0420	0.0374	0.0283	0.0224	72	3	
13	888	0.14191526174545288	12	4.459747314453125	888.0000	453.0000	310.0000	703.0000	789.0000	628.0000	854.0000	919.0000	370.0000	811.0000	0.1419	0.0832	0.0613	0.0411	0.0356	0.0264	0.0245	0.0241	0.0211	0.0166	121	3	
14	453	0.16996443271636963	12	3.824228286743164	453.0000	703.0000	888.0000	443.0000	61.0000	444.0000	219.0000	273.0000	226.0000	307.0000	0.1700	0.0837	0.0796	0.0712	0.0458	0.0416	0.0295	0.0268	0.0207	0.0202	82	3	
15	888	0.20738118886947632	12	3.8798646926879883	888.0000	310.0000	370.0000	628.0000	789.0000	90.0000	655.0000	919.0000	811.0000	703.0000	0.2074	0.0773	0.0657	0.0627	0.0595	0.0536	0.0189	0.0185	0.0177	0.0166	134	3	
16	888	0.20102553069591522	12	3.0224480628967285	888.0000	570.0000	662.0000	689.0000	945.0000	329.0000	307.0000	494.0000	304.0000	811.0000	0.2010	0.1917	0.1459	0.0727	0.0508	0.0376	0.0370	0.0203	0.0171	0.0164	82	4	
17	888	0.2683969736099243	12	3.681452989578247	888.0000	789.0000	370.0000	942.0000	757.0000	235.0000	453.0000	844.0000	625.0000	662.0000	0.2684	0.0864	0.0453	0.0428	0.0311	0.0305	0.0299	0.0216	0.0214	0.0184	58	4	
18	888	0.3439182937145233	12	2.3857717514038086	888.0000	570.0000	662.0000	329.0000	370.0000	689.0000	811.0000	625.0000	844.0000	449.0000	0.3439	0.3097	0.0676	0.0291	0.0209	0.0159	0.0140	0.0136	0.0131	0.0128	68	4	
19	888	0.6208314299583435	12	1.9730753898620605	888.0000	370.0000	662.0000	626.0000	789.0000	570.0000	628.0000	655.0000	494.0000	90.0000	0.6208	0.0891	0.0419	0.0257	0.0252	0.0210	0.0154	0.0141	0.0098	0.0077	35	4	
20	443	0.2343081682920456	12	3.0054922103881836	443.0000	307.0000	628.0000	453.0000	329.0000	226.0000	945.0000	924.0000	285.0000	570.0000	0.2343	0.1650	0.1315	0.1250	0.0317	0.0244	0.0208	0.0190	0.0127	0.0124	100	5	
