	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	833	0.325466513633728	15	2.4176549911499023	833.0000	499.0000	122.0000	575.0000	683.0000	861.0000	491.0000	54.0000	430.0000	299.0000	0.3255	0.2597	0.1215	0.0373	0.0329	0.0225	0.0218	0.0142	0.0139	0.0137	37	0	
1	683	0.2635645866394043	15	3.2442142963409424	683.0000	122.0000	54.0000	499.0000	347.0000	861.0000	80.0000	833.0000	701.0000	834.0000	0.2636	0.1856	0.0688	0.0429	0.0316	0.0258	0.0252	0.0221	0.0184	0.0155	69	0	
2	833	0.3690588176250458	15	2.516746997833252	833.0000	499.0000	122.0000	80.0000	701.0000	11.0000	430.0000	353.0000	172.0000	63.0000	0.3691	0.1747	0.0987	0.0979	0.0285	0.0261	0.0162	0.0132	0.0125	0.0115	16	0	
3	430	0.23608282208442688	15	2.446763753890991	430.0000	470.0000	299.0000	499.0000	833.0000	122.0000	121.0000	491.0000	15.0000	575.0000	0.2361	0.1984	0.1475	0.1088	0.0760	0.0622	0.0172	0.0146	0.0136	0.0133	8	1	
4	299	0.41096773743629456	15	2.3855857849121094	299.0000	15.0000	470.0000	122.0000	683.0000	861.0000	762.0000	833.0000	598.0000	499.0000	0.4110	0.1370	0.0779	0.0613	0.0479	0.0377	0.0271	0.0230	0.0206	0.0177	1	1	
5	63	0.6387547850608826	15	1.3409268856048584	63.0000	122.0000	833.0000	430.0000	80.0000	583.0000	299.0000	470.0000	15.0000	499.0000	0.6388	0.1640	0.0655	0.0617	0.0110	0.0066	0.0062	0.0056	0.0048	0.0046	8	1	
6	122	0.6582729816436768	15	1.7923017740249634	122.0000	430.0000	470.0000	861.0000	499.0000	594.0000	834.0000	575.0000	63.0000	491.0000	0.6583	0.0494	0.0344	0.0287	0.0238	0.0200	0.0178	0.0173	0.0169	0.0168	21	2	
7	122	0.41856256127357483	15	2.6008543968200684	122.0000	598.0000	299.0000	15.0000	861.0000	834.0000	593.0000	594.0000	575.0000	470.0000	0.4186	0.0972	0.0544	0.0512	0.0469	0.0378	0.0342	0.0305	0.0278	0.0258	3	2	
8	122	0.38635167479515076	15	2.3058252334594727	122.0000	833.0000	63.0000	594.0000	430.0000	80.0000	11.0000	499.0000	598.0000	375.0000	0.3864	0.1635	0.1132	0.0779	0.0394	0.0231	0.0203	0.0199	0.0162	0.0125	15	2	
9	430	0.3777889907360077	15	2.53765869140625	430.0000	499.0000	491.0000	573.0000	938.0000	881.0000	575.0000	824.0000	833.0000	66.0000	0.3778	0.1425	0.1129	0.0553	0.0432	0.0233	0.0194	0.0186	0.0173	0.0164	13	3	
10	122	0.1329926997423172	15	3.7126026153564453	122.0000	683.0000	353.0000	412.0000	15.0000	593.0000	861.0000	598.0000	499.0000	943.0000	0.1330	0.0868	0.0742	0.0706	0.0451	0.0377	0.0350	0.0305	0.0304	0.0262	4	3	
11	430	0.44196397066116333	15	2.3513264656066895	430.0000	11.0000	80.0000	499.0000	412.0000	833.0000	573.0000	938.0000	63.0000	491.0000	0.4420	0.1234	0.0672	0.0539	0.0452	0.0325	0.0293	0.0275	0.0200	0.0157	22	3	
12	499	0.3366675078868866	15	2.4106383323669434	499.0000	470.0000	15.0000	824.0000	430.0000	943.0000	299.0000	881.0000	861.0000	938.0000	0.3367	0.1970	0.1348	0.0559	0.0466	0.0205	0.0205	0.0189	0.0175	0.0134	2	4	
13	499	0.311921626329422	15	2.330935001373291	499.0000	15.0000	861.0000	943.0000	833.0000	824.0000	299.0000	598.0000	834.0000	5.0000	0.3119	0.2809	0.0931	0.0460	0.0424	0.0355	0.0227	0.0217	0.0143	0.0137	1	4	
14	833	0.8902270793914795	15	0.6652145385742188	833.0000	430.0000	80.0000	499.0000	5.0000	15.0000	701.0000	375.0000	881.0000	861.0000	0.8902	0.0320	0.0154	0.0100	0.0059	0.0048	0.0045	0.0042	0.0033	0.0030	5	4	
15	121	0.3153153359889984	15	2.825652599334717	121.0000	63.0000	938.0000	861.0000	491.0000	430.0000	833.0000	66.0000	593.0000	15.0000	0.3153	0.1604	0.0761	0.0580	0.0355	0.0352	0.0341	0.0207	0.0194	0.0191	9	5	
16	122	0.33338314294815063	15	2.600588798522949	122.0000	15.0000	353.0000	499.0000	575.0000	121.0000	593.0000	375.0000	861.0000	598.0000	0.3334	0.1796	0.1447	0.0331	0.0269	0.0245	0.0220	0.0185	0.0163	0.0133	1	5	
17	833	0.8963232040405273	15	0.6485378742218018	833.0000	583.0000	121.0000	916.0000	11.0000	63.0000	174.0000	412.0000	574.0000	938.0000	0.8963	0.0314	0.0115	0.0095	0.0063	0.0053	0.0035	0.0032	0.0030	0.0020	21	5	
18	430	0.5789594054222107	15	1.812468409538269	430.0000	938.0000	122.0000	834.0000	499.0000	15.0000	575.0000	491.0000	594.0000	121.0000	0.5790	0.1156	0.0560	0.0539	0.0391	0.0255	0.0119	0.0116	0.0115	0.0101	5	6	
19	15	0.23152340948581696	15	2.5152053833007812	15.0000	122.0000	499.0000	412.0000	470.0000	834.0000	687.0000	861.0000	943.0000	593.0000	0.2315	0.2069	0.1387	0.1343	0.0513	0.0346	0.0258	0.0257	0.0173	0.0129	0	6	
20	574	0.281332403421402	15	2.6671319007873535	574.0000	430.0000	80.0000	583.0000	833.0000	63.0000	122.0000	499.0000	701.0000	938.0000	0.2813	0.1325	0.1307	0.0770	0.0658	0.0437	0.0322	0.0286	0.0267	0.0220	14	6	
21	122	0.8807433843612671	15	0.7154967784881592	122.0000	938.0000	470.0000	121.0000	355.0000	491.0000	575.0000	901.0000	430.0000	15.0000	0.8807	0.0183	0.0174	0.0170	0.0153	0.0071	0.0036	0.0033	0.0032	0.0032	9	7	
22	15	0.4999999403953552	15	2.0672125816345215	15.0000	499.0000	943.0000	861.0000	683.0000	122.0000	834.0000	412.0000	687.0000	498.0000	0.5000	0.0952	0.0863	0.0791	0.0457	0.0388	0.0284	0.0222	0.0107	0.0097	0	7	
23	833	0.7878583073616028	15	0.9905297756195068	833.0000	122.0000	499.0000	430.0000	470.0000	701.0000	916.0000	15.0000	121.0000	174.0000	0.7879	0.0828	0.0420	0.0241	0.0138	0.0070	0.0057	0.0041	0.0035	0.0031	7	7	
