	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	811	0.2958195209503174	22	4.658140659332275	811.0000	942.0000	771.0000	919.0000	282.0000	205.0000	896.0000	338.0000	161.0000	488.0000	0.2958	0.0393	0.0145	0.0143	0.0122	0.0119	0.0108	0.0107	0.0088	0.0085	282	0	
1	471	0.25034403800964355	22	3.964691638946533	471.0000	771.0000	524.0000	522.0000	576.0000	472.0000	759.0000	700.0000	811.0000	310.0000	0.2503	0.0755	0.0526	0.0326	0.0308	0.0263	0.0240	0.0237	0.0186	0.0177	155	0	
2	282	0.7463409304618835	22	1.2817537784576416	282.0000	874.0000	320.0000	807.0000	71.0000	819.0000	326.0000	319.0000	651.0000	894.0000	0.7463	0.0786	0.0464	0.0236	0.0219	0.0080	0.0062	0.0052	0.0050	0.0046	15	1	
3	326	0.2200988531112671	22	2.7451372146606445	326.0000	771.0000	819.0000	576.0000	874.0000	181.0000	320.0000	310.0000	324.0000	543.0000	0.2201	0.2074	0.1256	0.0633	0.0558	0.0487	0.0397	0.0372	0.0238	0.0211	19	1	
4	471	0.24764959514141083	22	3.2609095573425293	471.0000	789.0000	771.0000	279.0000	811.0000	651.0000	319.0000	254.0000	142.0000	255.0000	0.2476	0.1890	0.0752	0.0516	0.0452	0.0425	0.0352	0.0340	0.0181	0.0130	373	2	
5	471	0.3880264163017273	22	2.0219008922576904	471.0000	789.0000	771.0000	811.0000	576.0000	142.0000	782.0000	137.0000	130.0000	819.0000	0.3880	0.2991	0.1076	0.0357	0.0276	0.0134	0.0125	0.0111	0.0069	0.0062	265	2	
6	282	0.3074670732021332	22	2.4217751026153564	282.0000	809.0000	819.0000	771.0000	874.0000	71.0000	331.0000	889.0000	476.0000	811.0000	0.3075	0.2685	0.1183	0.0654	0.0640	0.0173	0.0113	0.0077	0.0059	0.0059	17	3	
7	771	0.7378016710281372	22	0.9670097827911377	771.0000	819.0000	324.0000	347.0000	576.0000	810.0000	310.0000	789.0000	682.0000	809.0000	0.7378	0.1744	0.0309	0.0118	0.0083	0.0078	0.0057	0.0040	0.0019	0.0019	86	3	
8	874	0.3880499005317688	22	2.9408421516418457	874.0000	282.0000	811.0000	809.0000	205.0000	191.0000	57.0000	716.0000	452.0000	196.0000	0.3880	0.2333	0.0240	0.0230	0.0159	0.0142	0.0139	0.0110	0.0104	0.0098	221	4	
9	771	0.7169280052185059	22	1.4744548797607422	771.0000	324.0000	576.0000	810.0000	874.0000	819.0000	33.0000	130.0000	310.0000	347.0000	0.7169	0.0566	0.0492	0.0442	0.0185	0.0164	0.0103	0.0062	0.0049	0.0046	149	4	
10	282	0.9574794769287109	22	0.30846670269966125	282.0000	874.0000	319.0000	538.0000	809.0000	96.0000	45.0000	320.0000	290.0000	49.0000	0.9575	0.0152	0.0059	0.0018	0.0018	0.0015	0.0011	0.0010	0.0009	0.0008	136	5	
11	771	0.3512991666793823	22	2.6204307079315186	771.0000	874.0000	72.0000	543.0000	576.0000	471.0000	819.0000	324.0000	810.0000	381.0000	0.3513	0.2226	0.0633	0.0447	0.0345	0.0335	0.0176	0.0175	0.0153	0.0128	128	5	
12	874	0.683225691318512	22	1.332932949066162	874.0000	65.0000	282.0000	807.0000	452.0000	819.0000	320.0000	676.0000	696.0000	425.0000	0.6832	0.0966	0.0635	0.0533	0.0461	0.0076	0.0046	0.0038	0.0036	0.0029	24	6	
13	819	0.4301391839981079	22	1.4994683265686035	819.0000	310.0000	810.0000	771.0000	874.0000	72.0000	324.0000	130.0000	347.0000	682.0000	0.4301	0.3682	0.0692	0.0583	0.0136	0.0118	0.0099	0.0049	0.0033	0.0031	46	6	
14	282	0.8179128766059875	22	0.8070093393325806	282.0000	874.0000	771.0000	65.0000	819.0000	696.0000	381.0000	676.0000	677.0000	811.0000	0.8179	0.1196	0.0123	0.0079	0.0031	0.0030	0.0030	0.0029	0.0024	0.0024	27	7	
15	347	0.5772120952606201	22	1.6204156875610352	347.0000	771.0000	874.0000	543.0000	282.0000	65.0000	72.0000	33.0000	576.0000	324.0000	0.5772	0.1761	0.0546	0.0425	0.0345	0.0247	0.0169	0.0129	0.0114	0.0100	46	7	
16	771	0.27509450912475586	22	2.069228410720825	771.0000	874.0000	282.0000	254.0000	807.0000	809.0000	677.0000	320.0000	319.0000	819.0000	0.2751	0.2181	0.2084	0.1094	0.0553	0.0463	0.0201	0.0106	0.0053	0.0052	58	8	
17	771	0.7779877781867981	22	1.0797312259674072	771.0000	874.0000	282.0000	33.0000	807.0000	543.0000	254.0000	347.0000	638.0000	677.0000	0.7780	0.0719	0.0418	0.0274	0.0120	0.0073	0.0068	0.0063	0.0060	0.0059	46	8	
18	874	0.7600828409194946	22	1.2696425914764404	874.0000	282.0000	809.0000	819.0000	254.0000	771.0000	65.0000	347.0000	807.0000	696.0000	0.7601	0.0620	0.0418	0.0178	0.0148	0.0127	0.0102	0.0087	0.0086	0.0084	50	9	
19	347	0.4091225862503052	22	1.7934200763702393	347.0000	874.0000	771.0000	809.0000	811.0000	59.0000	682.0000	65.0000	72.0000	452.0000	0.4091	0.2703	0.1348	0.0540	0.0380	0.0144	0.0139	0.0123	0.0073	0.0062	199	9	
20	874	0.5193507075309753	22	1.6498620510101318	874.0000	347.0000	811.0000	771.0000	282.0000	320.0000	809.0000	65.0000	232.0000	810.0000	0.5194	0.2512	0.0749	0.0495	0.0264	0.0102	0.0072	0.0070	0.0057	0.0043	63	10	
21	771	0.4537472128868103	22	1.747687578201294	771.0000	810.0000	347.0000	72.0000	874.0000	310.0000	528.0000	576.0000	130.0000	819.0000	0.4537	0.1875	0.1772	0.0599	0.0409	0.0146	0.0125	0.0090	0.0051	0.0045	200	10	
22	874	0.3871801495552063	22	1.815470814704895	874.0000	65.0000	894.0000	282.0000	819.0000	452.0000	771.0000	320.0000	677.0000	696.0000	0.3872	0.2411	0.1256	0.0892	0.0687	0.0322	0.0134	0.0064	0.0053	0.0045	28	11	
23	771	0.6451030373573303	22	0.8801928758621216	771.0000	819.0000	874.0000	130.0000	576.0000	65.0000	72.0000	320.0000	682.0000	310.0000	0.6451	0.3072	0.0293	0.0031	0.0020	0.0018	0.0015	0.0014	0.0012	0.0008	94	11	
24	819	0.38126349449157715	22	1.8961023092269897	819.0000	874.0000	771.0000	809.0000	65.0000	543.0000	324.0000	254.0000	807.0000	585.0000	0.3813	0.3456	0.0497	0.0325	0.0245	0.0212	0.0202	0.0194	0.0188	0.0166	24	12	
25	819	0.37214434146881104	22	2.341282367706299	819.0000	874.0000	347.0000	543.0000	809.0000	324.0000	771.0000	471.0000	627.0000	924.0000	0.3721	0.1470	0.0932	0.0777	0.0772	0.0540	0.0467	0.0168	0.0128	0.0114	44	12	
26	819	0.6371845602989197	22	1.1844208240509033	819.0000	874.0000	771.0000	807.0000	809.0000	254.0000	677.0000	282.0000	326.0000	696.0000	0.6372	0.1842	0.1003	0.0351	0.0116	0.0091	0.0052	0.0050	0.0031	0.0022	43	13	
27	771	0.8252152800559998	22	0.7566081285476685	771.0000	819.0000	874.0000	810.0000	811.0000	130.0000	347.0000	324.0000	576.0000	585.0000	0.8252	0.1130	0.0196	0.0070	0.0050	0.0048	0.0028	0.0024	0.0021	0.0015	58	13	
28	811	0.20578204095363617	22	3.2018065452575684	811.0000	282.0000	819.0000	771.0000	780.0000	874.0000	24.0000	177.0000	320.0000	696.0000	0.2058	0.1732	0.1650	0.0454	0.0276	0.0268	0.0240	0.0233	0.0192	0.0164	78	14	
29	819	0.24648621678352356	22	2.722846031188965	819.0000	810.0000	771.0000	310.0000	72.0000	347.0000	896.0000	874.0000	529.0000	811.0000	0.2465	0.2377	0.1351	0.0612	0.0436	0.0289	0.0243	0.0201	0.0131	0.0113	164	14	
30	771	0.5427238941192627	22	2.0103352069854736	771.0000	807.0000	696.0000	874.0000	320.0000	819.0000	282.0000	677.0000	65.0000	772.0000	0.5427	0.0908	0.0475	0.0473	0.0457	0.0421	0.0323	0.0235	0.0226	0.0198	22	15	
31	771	0.34997132420539856	22	2.679755687713623	771.0000	310.0000	819.0000	65.0000	896.0000	0.0000	347.0000	696.0000	810.0000	865.0000	0.3500	0.1548	0.1173	0.0389	0.0317	0.0238	0.0223	0.0212	0.0207	0.0202	119	15	
32	874	0.795247495174408	22	0.9809645414352417	874.0000	320.0000	819.0000	807.0000	65.0000	254.0000	696.0000	771.0000	894.0000	809.0000	0.7952	0.0776	0.0325	0.0201	0.0128	0.0124	0.0075	0.0070	0.0057	0.0037	29	16	
33	771	0.5318796634674072	22	1.6338344812393188	771.0000	810.0000	819.0000	324.0000	72.0000	874.0000	854.0000	310.0000	865.0000	576.0000	0.5319	0.1566	0.1551	0.0610	0.0179	0.0069	0.0062	0.0059	0.0059	0.0050	64	16	
34	809	0.21817021071910858	22	2.9506378173828125	809.0000	771.0000	282.0000	819.0000	320.0000	874.0000	772.0000	811.0000	730.0000	177.0000	0.2182	0.1369	0.1292	0.0907	0.0786	0.0539	0.0460	0.0260	0.0196	0.0173	226	17	
