	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	547	0.2567121684551239	23	4.089693069458008	547.0000	361.0000	507.0000	102.0000	362.0000	285.0000	626.0000	358.0000	169.0000	23.0000	0.2567	0.1003	0.0703	0.0434	0.0244	0.0212	0.0166	0.0150	0.0144	0.0111	9	0	
1	191	0.14828431606292725	23	4.542941570281982	191.0000	483.0000	285.0000	673.0000	49.0000	364.0000	347.0000	71.0000	719.0000	23.0000	0.1483	0.0725	0.0519	0.0312	0.0287	0.0268	0.0229	0.0179	0.0158	0.0151	9	0	
2	358	0.17724359035491943	23	4.060762405395508	358.0000	643.0000	551.0000	169.0000	483.0000	285.0000	166.0000	102.0000	776.0000	162.0000	0.1772	0.0850	0.0683	0.0551	0.0518	0.0499	0.0425	0.0181	0.0178	0.0174	11	0	
3	483	0.05848808214068413	23	5.239222526550293	483.0000	166.0000	243.0000	364.0000	38.0000	141.0000	643.0000	282.0000	157.0000	441.0000	0.0585	0.0436	0.0378	0.0309	0.0245	0.0235	0.0224	0.0223	0.0222	0.0208	48	0	
4	483	0.1136147528886795	23	4.171228885650635	483.0000	643.0000	166.0000	358.0000	169.0000	453.0000	141.0000	364.0000	441.0000	673.0000	0.1136	0.0936	0.0832	0.0775	0.0657	0.0367	0.0277	0.0232	0.0227	0.0212	26	0	
5	483	0.046458158642053604	23	5.28920841217041	483.0000	49.0000	673.0000	361.0000	102.0000	626.0000	285.0000	358.0000	169.0000	362.0000	0.0465	0.0353	0.0343	0.0283	0.0270	0.0268	0.0242	0.0232	0.0230	0.0225	13	0	
6	703	0.27551475167274475	23	3.2439615726470947	703.0000	23.0000	528.0000	716.0000	102.0000	235.0000	51.0000	626.0000	797.0000	135.0000	0.2755	0.1420	0.0844	0.0732	0.0280	0.0269	0.0250	0.0239	0.0208	0.0195	1	1	
7	716	0.25640931725502014	23	3.7336034774780273	716.0000	884.0000	670.0000	23.0000	797.0000	703.0000	483.0000	811.0000	551.0000	34.0000	0.2564	0.0888	0.0534	0.0470	0.0375	0.0367	0.0329	0.0257	0.0232	0.0170	3	1	
8	719	0.17122624814510345	23	3.5102481842041016	719.0000	703.0000	358.0000	483.0000	166.0000	925.0000	492.0000	643.0000	61.0000	776.0000	0.1712	0.1493	0.1116	0.0794	0.0389	0.0324	0.0253	0.0234	0.0175	0.0174	22	1	
9	243	0.13773614168167114	23	3.998108386993408	243.0000	483.0000	441.0000	626.0000	364.0000	282.0000	166.0000	358.0000	925.0000	940.0000	0.1377	0.1312	0.0704	0.0592	0.0584	0.0313	0.0282	0.0266	0.0259	0.0226	33	1	
10	483	0.1349015235900879	23	3.8779282569885254	483.0000	703.0000	716.0000	358.0000	719.0000	925.0000	61.0000	551.0000	285.0000	797.0000	0.1349	0.1275	0.0816	0.0715	0.0562	0.0328	0.0245	0.0226	0.0195	0.0192	10	1	
