	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	626	0.4858684837818146	27	2.2934625148773193	626.0000	528.0000	443.0000	854.0000	508.0000	411.0000	757.0000	219.0000	490.0000	370.0000	0.4859	0.1846	0.1026	0.0294	0.0118	0.0116	0.0078	0.0068	0.0055	0.0054	106	0	
1	942	0.2310091108083725	27	3.3218870162963867	942.0000	443.0000	0.0000	116.0000	811.0000	757.0000	661.0000	310.0000	759.0000	703.0000	0.2310	0.2039	0.0961	0.0589	0.0331	0.0293	0.0240	0.0137	0.0117	0.0108	53	1	
2	160	0.19568519294261932	27	3.113089084625244	160.0000	888.0000	757.0000	116.0000	942.0000	90.0000	550.0000	443.0000	370.0000	446.0000	0.1957	0.1300	0.1176	0.0981	0.0460	0.0438	0.0336	0.0321	0.0321	0.0270	20	2	
3	942	0.14935141801834106	27	3.9954988956451416	942.0000	532.0000	0.0000	884.0000	324.0000	896.0000	385.0000	744.0000	531.0000	647.0000	0.1494	0.1195	0.0538	0.0527	0.0460	0.0363	0.0304	0.0260	0.0256	0.0252	22	3	
4	942	0.22332140803337097	27	3.5081024169921875	942.0000	306.0000	757.0000	468.0000	911.0000	443.0000	721.0000	563.0000	446.0000	700.0000	0.2233	0.1540	0.0407	0.0375	0.0339	0.0315	0.0299	0.0267	0.0250	0.0237	10	4	
5	942	0.9223012924194336	27	0.5359659790992737	942.0000	508.0000	443.0000	757.0000	453.0000	160.0000	0.0000	886.0000	550.0000	468.0000	0.9223	0.0124	0.0095	0.0072	0.0070	0.0056	0.0037	0.0033	0.0031	0.0025	17	5	
6	888	0.2211172729730606	27	3.445901393890381	888.0000	942.0000	90.0000	532.0000	235.0000	757.0000	27.0000	911.0000	205.0000	453.0000	0.2211	0.1127	0.0723	0.0636	0.0474	0.0467	0.0424	0.0334	0.0329	0.0182	6	6	
7	942	0.253792405128479	27	3.0682172775268555	942.0000	235.0000	443.0000	200.0000	0.0000	532.0000	306.0000	27.0000	759.0000	703.0000	0.2538	0.1325	0.1182	0.0662	0.0635	0.0501	0.0271	0.0219	0.0190	0.0171	7	7	
8	884	0.6107447147369385	27	2.1032559871673584	884.0000	854.0000	627.0000	727.0000	724.0000	235.0000	205.0000	585.0000	857.0000	647.0000	0.6107	0.0609	0.0386	0.0368	0.0178	0.0167	0.0157	0.0150	0.0132	0.0127	123	8	
9	757	0.26457440853118896	27	2.22021222114563	757.0000	273.0000	942.0000	116.0000	888.0000	627.0000	0.0000	200.0000	911.0000	508.0000	0.2646	0.2311	0.2057	0.1237	0.0214	0.0184	0.0140	0.0135	0.0107	0.0079	11	9	
10	942	0.7174861431121826	27	1.3655576705932617	942.0000	888.0000	757.0000	443.0000	306.0000	27.0000	0.0000	205.0000	12.0000	200.0000	0.7175	0.0771	0.0629	0.0204	0.0184	0.0179	0.0133	0.0095	0.0061	0.0048	5	10	
11	942	0.617470383644104	27	1.088750958442688	942.0000	888.0000	563.0000	205.0000	90.0000	724.0000	911.0000	306.0000	919.0000	620.0000	0.6175	0.3048	0.0257	0.0060	0.0055	0.0041	0.0040	0.0029	0.0027	0.0027	22	11	
12	282	0.7389264106750488	27	1.3116230964660645	282.0000	441.0000	854.0000	724.0000	471.0000	515.0000	830.0000	411.0000	554.0000	340.0000	0.7389	0.0791	0.0427	0.0263	0.0140	0.0116	0.0112	0.0086	0.0080	0.0060	216	12	
