	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	37	0.1279282569885254	37	4.396721839904785	37.0000	252.0000	80.0000	122.0000	899.0000	737.0000	98.0000	789.0000	81.0000	583.0000	0.1279	0.0682	0.0674	0.0581	0.0415	0.0392	0.0255	0.0232	0.0228	0.0218	0	0	
1	789	0.12497270852327347	37	4.272433280944824	789.0000	80.0000	98.0000	471.0000	37.0000	583.0000	252.0000	644.0000	235.0000	899.0000	0.1250	0.1212	0.0876	0.0476	0.0364	0.0323	0.0303	0.0211	0.0195	0.0194	4	0	
2	37	0.24444615840911865	37	3.300964832305908	37.0000	80.0000	737.0000	789.0000	546.0000	81.0000	720.0000	122.0000	353.0000	635.0000	0.2444	0.1355	0.1186	0.0803	0.0301	0.0287	0.0276	0.0190	0.0170	0.0169	0	0	
3	80	0.4550059139728546	37	2.6894941329956055	80.0000	252.0000	98.0000	353.0000	899.0000	692.0000	81.0000	690.0000	818.0000	541.0000	0.4550	0.1533	0.0397	0.0387	0.0296	0.0253	0.0182	0.0138	0.0108	0.0102	34	0	
4	583	0.13158968091011047	37	4.202459335327148	583.0000	98.0000	37.0000	81.0000	541.0000	789.0000	701.0000	235.0000	80.0000	412.0000	0.1316	0.0803	0.0644	0.0493	0.0400	0.0331	0.0313	0.0293	0.0260	0.0201	2	0	
5	701	0.12487339228391647	37	3.9851458072662354	701.0000	737.0000	98.0000	644.0000	635.0000	235.0000	37.0000	65.0000	471.0000	515.0000	0.1249	0.1193	0.0603	0.0594	0.0503	0.0423	0.0357	0.0296	0.0279	0.0237	6	0	
6	252	0.18406765162944794	37	3.8473899364471436	252.0000	37.0000	347.0000	80.0000	60.0000	837.0000	701.0000	104.0000	737.0000	575.0000	0.1841	0.1403	0.0648	0.0550	0.0528	0.0492	0.0435	0.0254	0.0144	0.0138	1	1	
7	80	0.37921270728111267	37	2.716768741607666	80.0000	252.0000	37.0000	347.0000	701.0000	837.0000	737.0000	690.0000	789.0000	720.0000	0.3792	0.1680	0.1321	0.0449	0.0280	0.0275	0.0256	0.0135	0.0090	0.0055	2	1	
8	80	0.3713187277317047	37	2.381801128387451	80.0000	37.0000	701.0000	347.0000	837.0000	252.0000	737.0000	789.0000	644.0000	700.0000	0.3713	0.3160	0.0548	0.0371	0.0262	0.0147	0.0119	0.0097	0.0091	0.0064	1	1	
9	80	0.3669900894165039	37	2.27935791015625	80.0000	252.0000	701.0000	541.0000	98.0000	837.0000	690.0000	347.0000	54.0000	909.0000	0.3670	0.1954	0.1865	0.0371	0.0271	0.0253	0.0182	0.0151	0.0142	0.0139	13	1	
10	583	0.23860827088356018	37	4.217099189758301	583.0000	37.0000	515.0000	412.0000	104.0000	347.0000	419.0000	635.0000	301.0000	375.0000	0.2386	0.0572	0.0402	0.0389	0.0279	0.0269	0.0236	0.0208	0.0205	0.0200	1	1	
11	837	0.06285777688026428	37	4.749903202056885	837.0000	644.0000	737.0000	789.0000	471.0000	37.0000	635.0000	65.0000	941.0000	575.0000	0.0629	0.0541	0.0489	0.0475	0.0396	0.0373	0.0281	0.0264	0.0261	0.0244	5	1	
12	837	0.21655325591564178	37	3.8175208568573	837.0000	65.0000	37.0000	301.0000	635.0000	809.0000	575.0000	60.0000	470.0000	574.0000	0.2166	0.1011	0.0841	0.0571	0.0373	0.0246	0.0230	0.0228	0.0220	0.0220	2	2	
13	37	0.16310201585292816	37	4.311420440673828	37.0000	837.0000	203.0000	575.0000	301.0000	253.0000	80.0000	635.0000	782.0000	0.0000	0.1631	0.0622	0.0592	0.0444	0.0373	0.0355	0.0317	0.0253	0.0251	0.0209	0	2	
14	80	0.49252790212631226	37	2.027299642562866	80.0000	37.0000	701.0000	575.0000	301.0000	574.0000	253.0000	470.0000	690.0000	837.0000	0.4925	0.1973	0.0864	0.0484	0.0409	0.0092	0.0081	0.0077	0.0072	0.0050	1	2	
15	301	0.2524077892303467	37	3.8224034309387207	301.0000	837.0000	690.0000	423.0000	80.0000	762.0000	701.0000	672.0000	575.0000	37.0000	0.2524	0.0951	0.0768	0.0445	0.0357	0.0336	0.0304	0.0191	0.0171	0.0163	9	2	
16	301	0.5066622495651245	37	2.8498082160949707	301.0000	395.0000	37.0000	690.0000	597.0000	785.0000	253.0000	541.0000	423.0000	593.0000	0.5067	0.0368	0.0331	0.0303	0.0291	0.0187	0.0182	0.0179	0.0165	0.0139	2	2	
17	635	0.06480741500854492	37	4.869931697845459	635.0000	301.0000	575.0000	701.0000	37.0000	644.0000	0.0000	235.0000	375.0000	859.0000	0.0648	0.0454	0.0434	0.0372	0.0357	0.0311	0.0260	0.0251	0.0232	0.0205	4	2	
18	37	0.4539545476436615	37	1.8281406164169312	37.0000	941.0000	737.0000	720.0000	789.0000	122.0000	627.0000	282.0000	626.0000	80.0000	0.4540	0.1674	0.1529	0.0946	0.0379	0.0209	0.0102	0.0085	0.0059	0.0044	0	3	
19	203	0.1798381507396698	37	3.262653112411499	203.0000	37.0000	324.0000	854.0000	720.0000	737.0000	282.0000	80.0000	349.0000	789.0000	0.1798	0.1320	0.1012	0.0947	0.0581	0.0536	0.0507	0.0404	0.0224	0.0187	1	3	
