	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	949	0.5804735422134399	43	1.1624494791030884	949.0000	16.0000	43.0000	820.0000	667.0000	569.0000	170.0000	67.0000	321.0000	665.0000	0.5805	0.2798	0.0619	0.0478	0.0122	0.0034	0.0032	0.0023	0.0017	0.0017	2	0	
1	949	0.5756493210792542	43	1.2708266973495483	949.0000	16.0000	43.0000	170.0000	820.0000	667.0000	67.0000	569.0000	933.0000	321.0000	0.5756	0.2691	0.0580	0.0316	0.0198	0.0121	0.0100	0.0071	0.0038	0.0031	2	0	
2	16	0.3482678234577179	43	1.7953699827194214	16.0000	949.0000	43.0000	170.0000	67.0000	820.0000	569.0000	933.0000	667.0000	321.0000	0.3483	0.3193	0.1318	0.0576	0.0383	0.0256	0.0165	0.0128	0.0119	0.0065	2	0	
3	949	0.7424073815345764	43	0.828559935092926	949.0000	16.0000	667.0000	43.0000	67.0000	572.0000	665.0000	332.0000	820.0000	170.0000	0.7424	0.1955	0.0320	0.0115	0.0034	0.0029	0.0020	0.0018	0.0012	0.0011	3	0	
4	949	0.8599547147750854	43	0.6204922795295715	949.0000	16.0000	667.0000	43.0000	569.0000	67.0000	820.0000	933.0000	572.0000	170.0000	0.8600	0.0718	0.0342	0.0130	0.0061	0.0037	0.0025	0.0019	0.0014	0.0013	3	0	
5	949	0.37310588359832764	43	2.073090076446533	949.0000	43.0000	16.0000	67.0000	258.0000	321.0000	667.0000	569.0000	820.0000	435.0000	0.3731	0.2510	0.1308	0.0392	0.0281	0.0251	0.0224	0.0183	0.0131	0.0107	1	0	
6	16	0.4299710988998413	43	1.3306617736816406	16.0000	949.0000	43.0000	820.0000	67.0000	170.0000	569.0000	667.0000	665.0000	933.0000	0.4300	0.3361	0.1685	0.0379	0.0079	0.0027	0.0023	0.0018	0.0018	0.0017	2	0	
7	912	0.08824291080236435	43	5.209366798400879	912.0000	547.0000	364.0000	206.0000	143.0000	811.0000	747.0000	845.0000	371.0000	902.0000	0.0882	0.0459	0.0314	0.0285	0.0273	0.0255	0.0221	0.0220	0.0219	0.0197	12	0	
8	161	0.32472577691078186	43	3.0906147956848145	161.0000	845.0000	715.0000	123.0000	56.0000	258.0000	143.0000	912.0000	32.0000	750.0000	0.3247	0.2451	0.0384	0.0331	0.0173	0.0167	0.0141	0.0128	0.0112	0.0105	19	0	
9	667	0.9064351916313171	43	0.5077848434448242	667.0000	949.0000	67.0000	16.0000	569.0000	933.0000	43.0000	321.0000	572.0000	473.0000	0.9064	0.0293	0.0179	0.0148	0.0085	0.0057	0.0050	0.0040	0.0021	0.0013	6	0	
