	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	673	0.875342071056366	49	0.5341705083847046	673.0000	49.0000	483.0000	889.0000	811.0000	787.0000	868.0000	191.0000	166.0000	177.0000	0.8753	0.0981	0.0036	0.0034	0.0027	0.0025	0.0015	0.0011	0.0009	0.0009	1	0	
1	49	0.18489503860473633	49	3.448265552520752	49.0000	811.0000	868.0000	169.0000	191.0000	517.0000	673.0000	285.0000	331.0000	226.0000	0.1849	0.1738	0.0593	0.0486	0.0426	0.0408	0.0364	0.0269	0.0257	0.0202	0	0	
2	49	0.9379122853279114	49	0.3266630172729492	49.0000	673.0000	868.0000	483.0000	787.0000	528.0000	567.0000	889.0000	131.0000	867.0000	0.9379	0.0392	0.0088	0.0055	0.0020	0.0012	0.0006	0.0006	0.0004	0.0003	0	1	
3	49	0.7255551218986511	49	1.293166160583496	49.0000	673.0000	868.0000	483.0000	787.0000	811.0000	191.0000	347.0000	71.0000	528.0000	0.7256	0.0875	0.0612	0.0259	0.0253	0.0081	0.0058	0.0047	0.0042	0.0041	0	1	
4	673	0.24782952666282654	49	3.136294364929199	673.0000	924.0000	49.0000	868.0000	787.0000	874.0000	719.0000	162.0000	285.0000	347.0000	0.2478	0.1889	0.0758	0.0697	0.0581	0.0480	0.0256	0.0225	0.0118	0.0114	2	2	
5	347	0.1543140709400177	49	3.7917184829711914	347.0000	282.0000	924.0000	874.0000	854.0000	543.0000	719.0000	868.0000	71.0000	626.0000	0.1543	0.1077	0.1069	0.0990	0.0371	0.0318	0.0299	0.0271	0.0254	0.0227	14	2	
6	673	0.5150082111358643	49	1.1368963718414307	673.0000	49.0000	787.0000	483.0000	868.0000	162.0000	46.0000	925.0000	924.0000	169.0000	0.5150	0.4091	0.0133	0.0097	0.0090	0.0081	0.0049	0.0039	0.0039	0.0026	1	3	
7	49	0.7277597188949585	49	1.1685153245925903	49.0000	673.0000	868.0000	162.0000	787.0000	719.0000	925.0000	924.0000	483.0000	347.0000	0.7278	0.1253	0.0605	0.0133	0.0099	0.0082	0.0066	0.0061	0.0051	0.0047	0	3	
8	673	0.9471532702445984	49	0.27800291776657104	673.0000	49.0000	787.0000	483.0000	169.0000	868.0000	924.0000	331.0000	889.0000	71.0000	0.9472	0.0287	0.0136	0.0061	0.0013	0.0009	0.0005	0.0004	0.0002	0.0002	1	4	
9	673	0.8777502179145813	49	0.6453030109405518	673.0000	49.0000	787.0000	868.0000	483.0000	331.0000	169.0000	924.0000	347.0000	889.0000	0.8778	0.0523	0.0177	0.0101	0.0079	0.0066	0.0047	0.0038	0.0023	0.0022	1	4	
