	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	75	0.07756635546684265	53	5.636380195617676	75.0000	888.0000	141.0000	589.0000	0.0000	285.0000	590.0000	896.0000	483.0000	551.0000	0.0776	0.0382	0.0293	0.0248	0.0170	0.0164	0.0152	0.0133	0.0117	0.0112	412	0	
1	0	0.6683308482170105	53	2.0218794345855713	0.0000	521.0000	522.0000	523.0000	532.0000	478.0000	100.0000	888.0000	799.0000	876.0000	0.6683	0.0563	0.0260	0.0238	0.0206	0.0194	0.0090	0.0077	0.0067	0.0061	226	0	
2	228	0.058377400040626526	53	5.546038627624512	228.0000	521.0000	306.0000	819.0000	0.0000	226.0000	75.0000	4.0000	888.0000	865.0000	0.0584	0.0332	0.0282	0.0234	0.0229	0.0223	0.0223	0.0190	0.0187	0.0179	125	1	
3	0	0.4764660596847534	53	2.91915225982666	0.0000	521.0000	215.0000	819.0000	306.0000	523.0000	888.0000	84.0000	585.0000	808.0000	0.4765	0.0731	0.0400	0.0384	0.0301	0.0252	0.0218	0.0207	0.0131	0.0124	190	1	
4	819	0.1673794537782669	53	3.8491947650909424	819.0000	585.0000	320.0000	326.0000	0.0000	871.0000	626.0000	522.0000	478.0000	232.0000	0.1674	0.1668	0.0683	0.0565	0.0438	0.0309	0.0257	0.0231	0.0225	0.0211	126	2	
5	585	0.3535090982913971	53	2.860637903213501	585.0000	819.0000	0.0000	523.0000	478.0000	45.0000	100.0000	320.0000	65.0000	348.0000	0.3535	0.1894	0.0669	0.0459	0.0406	0.0245	0.0195	0.0180	0.0134	0.0132	131	2	
6	0	0.19410549104213715	53	4.601715087890625	0.0000	226.0000	889.0000	306.0000	279.0000	141.0000	304.0000	626.0000	460.0000	348.0000	0.1941	0.0489	0.0306	0.0295	0.0241	0.0231	0.0203	0.0195	0.0180	0.0178	233	3	
7	0	0.9711763858795166	53	0.24380917847156525	0.0000	326.0000	306.0000	381.0000	449.0000	65.0000	33.0000	808.0000	865.0000	766.0000	0.9712	0.0041	0.0029	0.0016	0.0014	0.0012	0.0011	0.0010	0.0009	0.0009	146	3	
8	808	0.0745515525341034	53	4.659948825836182	808.0000	521.0000	522.0000	329.0000	285.0000	865.0000	488.0000	247.0000	350.0000	888.0000	0.0746	0.0546	0.0538	0.0465	0.0441	0.0363	0.0308	0.0285	0.0261	0.0200	200	4	
9	808	0.8341022729873657	53	1.1340583562850952	808.0000	819.0000	215.0000	0.0000	184.0000	521.0000	585.0000	348.0000	528.0000	811.0000	0.8341	0.0203	0.0118	0.0100	0.0100	0.0076	0.0070	0.0061	0.0053	0.0039	242	4	
