	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	54	0.5811119079589844	54	1.5891962051391602	54.0000	853.0000	38.0000	96.0000	909.0000	60.0000	114.0000	142.0000	133.0000	3.0000	0.5811	0.1943	0.0653	0.0509	0.0147	0.0146	0.0120	0.0087	0.0079	0.0054	0	0	
1	54	0.7649070024490356	54	1.6671509742736816	54.0000	809.0000	96.0000	161.0000	38.0000	558.0000	509.0000	338.0000	837.0000	261.0000	0.7649	0.0264	0.0256	0.0203	0.0086	0.0048	0.0042	0.0042	0.0041	0.0040	0	0	
2	54	0.7947954535484314	54	0.9118692278862	54.0000	96.0000	909.0000	853.0000	133.0000	38.0000	567.0000	60.0000	3.0000	928.0000	0.7948	0.1019	0.0456	0.0155	0.0088	0.0055	0.0041	0.0026	0.0024	0.0011	0	0	
3	54	0.45699557662010193	54	1.7168989181518555	54.0000	96.0000	558.0000	338.0000	38.0000	909.0000	845.0000	853.0000	133.0000	114.0000	0.4570	0.3655	0.0178	0.0167	0.0167	0.0166	0.0115	0.0097	0.0071	0.0069	0	0	
4	96	0.7940775156021118	54	1.232825756072998	96.0000	133.0000	558.0000	38.0000	909.0000	54.0000	928.0000	340.0000	104.0000	853.0000	0.7941	0.0307	0.0212	0.0174	0.0145	0.0117	0.0108	0.0103	0.0100	0.0093	5	0	
5	54	0.9028645753860474	54	0.4486832916736603	54.0000	96.0000	567.0000	909.0000	853.0000	38.0000	60.0000	104.0000	122.0000	74.0000	0.9029	0.0571	0.0244	0.0062	0.0019	0.0019	0.0018	0.0005	0.0004	0.0003	0	0	
6	54	0.34987521171569824	54	2.111506462097168	54.0000	96.0000	38.0000	114.0000	384.0000	104.0000	909.0000	853.0000	142.0000	928.0000	0.3499	0.3033	0.0906	0.0728	0.0230	0.0207	0.0198	0.0170	0.0114	0.0106	0	0	
7	54	0.6626704335212708	54	0.9520782828330994	54.0000	96.0000	38.0000	909.0000	853.0000	104.0000	870.0000	567.0000	928.0000	60.0000	0.6627	0.2692	0.0376	0.0051	0.0047	0.0030	0.0024	0.0023	0.0015	0.0014	0	0	
8	54	0.35726645588874817	54	2.9006924629211426	54.0000	837.0000	621.0000	38.0000	853.0000	96.0000	104.0000	467.0000	558.0000	884.0000	0.3573	0.1878	0.0607	0.0594	0.0355	0.0328	0.0287	0.0182	0.0168	0.0080	0	0	
9	54	0.7888933420181274	54	0.7662985324859619	54.0000	96.0000	567.0000	909.0000	104.0000	133.0000	845.0000	261.0000	853.0000	928.0000	0.7889	0.1438	0.0414	0.0108	0.0020	0.0019	0.0015	0.0009	0.0009	0.0008	0	0	
10	54	0.5860751271247864	54	0.9478093385696411	54.0000	96.0000	38.0000	909.0000	845.0000	567.0000	104.0000	658.0000	651.0000	928.0000	0.5861	0.3574	0.0308	0.0122	0.0045	0.0010	0.0008	0.0005	0.0005	0.0005	0	0	
11	54	0.37168145179748535	54	1.910908579826355	54.0000	235.0000	853.0000	541.0000	142.0000	104.0000	234.0000	133.0000	515.0000	724.0000	0.3717	0.2838	0.1429	0.0487	0.0400	0.0281	0.0168	0.0080	0.0041	0.0041	0	1	
12	54	0.21512912213802338	54	3.5393333435058594	54.0000	853.0000	338.0000	489.0000	62.0000	304.0000	49.0000	830.0000	888.0000	335.0000	0.2151	0.1524	0.0869	0.0845	0.0417	0.0314	0.0150	0.0147	0.0139	0.0138	0	1	
