	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	483	0.06833770126104355	55	5.25428581237793	483.0000	166.0000	509.0000	38.0000	235.0000	874.0000	358.0000	191.0000	169.0000	243.0000	0.0683	0.0576	0.0433	0.0316	0.0237	0.0220	0.0167	0.0155	0.0140	0.0127	76	0	
1	789	0.753162145614624	55	0.841174840927124	789.0000	627.0000	235.0000	471.0000	528.0000	160.0000	737.0000	51.0000	131.0000	721.0000	0.7532	0.1340	0.0915	0.0104	0.0009	0.0009	0.0008	0.0008	0.0007	0.0005	117	0	
2	509	0.10581635683774948	55	4.8997802734375	509.0000	166.0000	483.0000	925.0000	38.0000	358.0000	169.0000	235.0000	874.0000	331.0000	0.1058	0.0546	0.0405	0.0283	0.0279	0.0237	0.0217	0.0214	0.0175	0.0173	120	0	
3	789	0.7899692058563232	55	0.9616590738296509	789.0000	235.0000	627.0000	471.0000	528.0000	51.0000	160.0000	700.0000	844.0000	893.0000	0.7900	0.0904	0.0441	0.0183	0.0127	0.0112	0.0047	0.0043	0.0022	0.0014	150	0	
4	716	0.6403336524963379	55	1.9986029863357544	716.0000	191.0000	138.0000	157.0000	551.0000	867.0000	544.0000	55.0000	483.0000	440.0000	0.6403	0.0847	0.0465	0.0173	0.0124	0.0122	0.0120	0.0103	0.0096	0.0064	7	1	
5	235	0.3896164000034332	55	3.520357131958008	235.0000	703.0000	626.0000	160.0000	893.0000	297.0000	23.0000	789.0000	285.0000	0.0000	0.3896	0.0532	0.0421	0.0396	0.0233	0.0228	0.0225	0.0180	0.0135	0.0120	163	1	
6	716	0.3941612243652344	55	3.2427330017089844	716.0000	138.0000	191.0000	551.0000	544.0000	867.0000	157.0000	483.0000	55.0000	440.0000	0.3942	0.0571	0.0545	0.0521	0.0502	0.0393	0.0193	0.0133	0.0116	0.0115	8	1	
7	235	0.3323838710784912	55	2.998046398162842	235.0000	23.0000	160.0000	51.0000	789.0000	273.0000	528.0000	34.0000	297.0000	703.0000	0.3324	0.1475	0.0552	0.0458	0.0363	0.0326	0.0296	0.0247	0.0237	0.0203	100	1	
8	23	0.8467869758605957	55	0.9052548408508301	23.0000	643.0000	716.0000	138.0000	719.0000	191.0000	510.0000	321.0000	521.0000	893.0000	0.8468	0.0385	0.0222	0.0123	0.0111	0.0062	0.0062	0.0050	0.0036	0.0036	11	2	
9	23	0.9253343939781189	55	0.4765130281448364	23.0000	507.0000	135.0000	893.0000	789.0000	626.0000	320.0000	273.0000	703.0000	719.0000	0.9253	0.0326	0.0057	0.0032	0.0031	0.0028	0.0025	0.0021	0.0018	0.0017	44	2	
