	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	845	0.8880892992019653	56	0.3825528919696808	845.0000	56.0000	337.0000	161.0000	150.0000	734.0000	102.0000	871.0000	143.0000	484.0000	0.8881	0.1078	0.0007	0.0004	0.0003	0.0003	0.0003	0.0003	0.0002	0.0002	1	0	
1	161	0.7491905093193054	56	0.8027334213256836	161.0000	845.0000	56.0000	35.0000	337.0000	302.0000	338.0000	143.0000	750.0000	3.0000	0.7492	0.1914	0.0407	0.0035	0.0030	0.0011	0.0010	0.0009	0.0009	0.0008	2	0	
2	845	0.5373777747154236	56	1.9029150009155273	845.0000	56.0000	161.0000	143.0000	337.0000	302.0000	335.0000	800.0000	923.0000	734.0000	0.5374	0.1930	0.1102	0.0182	0.0118	0.0100	0.0073	0.0044	0.0043	0.0042	1	0	
3	845	0.10212432593107224	56	3.8358960151672363	845.0000	54.0000	56.0000	143.0000	235.0000	38.0000	142.0000	853.0000	585.0000	150.0000	0.1021	0.0945	0.0877	0.0811	0.0548	0.0472	0.0463	0.0402	0.0354	0.0340	2	0	
4	845	0.8812525868415833	56	0.3690441846847534	845.0000	56.0000	161.0000	337.0000	734.0000	484.0000	408.0000	150.0000	574.0000	501.0000	0.8813	0.1183	0.0001	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	1	0	
5	845	0.6443715691566467	56	1.0575120449066162	845.0000	56.0000	734.0000	161.0000	127.0000	337.0000	484.0000	150.0000	148.0000	143.0000	0.6444	0.2183	0.0807	0.0363	0.0099	0.0034	0.0027	0.0012	0.0006	0.0004	1	1	
6	161	0.6153250336647034	56	1.540177345275879	161.0000	56.0000	845.0000	143.0000	156.0000	484.0000	734.0000	302.0000	750.0000	926.0000	0.6153	0.1309	0.0839	0.0614	0.0185	0.0182	0.0103	0.0075	0.0060	0.0049	1	1	
7	161	0.5334122776985168	56	2.2964491844177246	161.0000	845.0000	56.0000	926.0000	143.0000	800.0000	302.0000	484.0000	156.0000	337.0000	0.5334	0.0897	0.0693	0.0400	0.0226	0.0209	0.0172	0.0162	0.0161	0.0133	2	1	
8	140	0.38855230808258057	56	2.7015833854675293	140.0000	143.0000	2.0000	356.0000	56.0000	734.0000	156.0000	905.0000	148.0000	926.0000	0.3886	0.1120	0.0654	0.0505	0.0365	0.0356	0.0347	0.0346	0.0338	0.0203	4	1	
9	845	0.862116277217865	56	0.47551268339157104	845.0000	56.0000	161.0000	734.0000	337.0000	484.0000	408.0000	143.0000	127.0000	302.0000	0.8621	0.1105	0.0265	0.0004	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	1	1	
10	56	0.9059838652610779	56	0.4181935787200928	56.0000	845.0000	161.0000	533.0000	750.0000	408.0000	358.0000	895.0000	2.0000	337.0000	0.9060	0.0574	0.0262	0.0059	0.0012	0.0009	0.0002	0.0002	0.0002	0.0001	0	2	
11	161	0.3955220878124237	56	1.5129961967468262	161.0000	56.0000	845.0000	750.0000	143.0000	54.0000	302.0000	98.0000	96.0000	882.0000	0.3955	0.3423	0.1804	0.0177	0.0109	0.0065	0.0061	0.0056	0.0041	0.0031	1	2	
12	161	0.7339819669723511	56	1.1127593517303467	161.0000	56.0000	845.0000	750.0000	533.0000	608.0000	302.0000	882.0000	35.0000	102.0000	0.7340	0.1239	0.0466	0.0387	0.0144	0.0066	0.0056	0.0039	0.0018	0.0017	1	2	
13	56	0.183291494846344	56	3.5108108520507812	56.0000	161.0000	845.0000	715.0000	143.0000	206.0000	262.0000	882.0000	54.0000	905.0000	0.1833	0.0786	0.0769	0.0604	0.0576	0.0445	0.0424	0.0419	0.0277	0.0270	0	2	
14	845	0.9979233145713806	56	0.01684548705816269	845.0000	56.0000	161.0000	575.0000	375.0000	54.0000	533.0000	750.0000	408.0000	574.0000	0.9979	0.0016	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	2	
15	56	0.565426230430603	56	0.851753830909729	56.0000	845.0000	161.0000	750.0000	790.0000	337.0000	408.0000	410.0000	484.0000	509.0000	0.5654	0.3844	0.0486	0.0005	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0	3	
16	56	0.48841217160224915	56	0.938088059425354	56.0000	845.0000	161.0000	750.0000	337.0000	484.0000	143.0000	156.0000	302.0000	18.0000	0.4884	0.4462	0.0574	0.0018	0.0012	0.0008	0.0005	0.0005	0.0004	0.0003	0	3	
17	161	0.40519729256629944	56	1.781791090965271	161.0000	845.0000	56.0000	750.0000	102.0000	337.0000	143.0000	790.0000	38.0000	542.0000	0.4052	0.2380	0.2253	0.0304	0.0238	0.0088	0.0057	0.0036	0.0035	0.0029	2	3	
18	56	0.6313974261283875	56	1.7258665561676025	56.0000	161.0000	156.0000	750.0000	845.0000	148.0000	542.0000	143.0000	140.0000	337.0000	0.6314	0.0982	0.0589	0.0329	0.0210	0.0201	0.0195	0.0185	0.0107	0.0092	0	3	
19	845	0.9937357306480408	56	0.03861838951706886	845.0000	56.0000	410.0000	161.0000	574.0000	734.0000	484.0000	337.0000	375.0000	790.0000	0.9937	0.0062	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	3	
20	845	0.9546935558319092	56	0.18649783730506897	845.0000	56.0000	484.0000	161.0000	790.0000	410.0000	337.0000	632.0000	143.0000	102.0000	0.9547	0.0451	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	4	
21	56	0.9653857946395874	56	0.18160444498062134	56.0000	845.0000	161.0000	337.0000	484.0000	302.0000	143.0000	156.0000	734.0000	750.0000	0.9654	0.0263	0.0052	0.0015	0.0004	0.0002	0.0002	0.0002	0.0001	0.0001	0	4	
22	845	0.4452277421951294	56	1.345359206199646	845.0000	161.0000	56.0000	302.0000	750.0000	143.0000	156.0000	337.0000	790.0000	608.0000	0.4452	0.2592	0.2458	0.0161	0.0059	0.0055	0.0036	0.0031	0.0023	0.0012	2	4	
23	56	0.7171685099601746	56	1.426020622253418	56.0000	156.0000	302.0000	140.0000	542.0000	161.0000	143.0000	905.0000	845.0000	356.0000	0.7172	0.0701	0.0409	0.0277	0.0248	0.0187	0.0111	0.0098	0.0079	0.0055	0	4	
24	845	0.9941611886024475	56	0.037000030279159546	845.0000	56.0000	484.0000	410.0000	734.0000	337.0000	790.0000	511.0000	918.0000	161.0000	0.9942	0.0057	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	4	
25	56	0.8802253007888794	56	0.39831218123435974	56.0000	161.0000	845.0000	750.0000	302.0000	35.0000	337.0000	632.0000	143.0000	790.0000	0.8802	0.1131	0.0055	0.0005	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0	5	
26	56	0.9819660782814026	56	0.11350281536579132	56.0000	161.0000	302.0000	750.0000	356.0000	156.0000	18.0000	143.0000	338.0000	227.0000	0.9820	0.0125	0.0029	0.0004	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0	5	
27	161	0.800696849822998	56	1.0131089687347412	161.0000	302.0000	750.0000	56.0000	790.0000	613.0000	143.0000	35.0000	709.0000	608.0000	0.8007	0.0728	0.0325	0.0308	0.0068	0.0062	0.0048	0.0046	0.0032	0.0028	3	5	
28	56	0.6676061153411865	56	1.7112876176834106	56.0000	143.0000	302.0000	902.0000	206.0000	750.0000	692.0000	905.0000	54.0000	713.0000	0.6676	0.1161	0.0146	0.0143	0.0137	0.0134	0.0105	0.0098	0.0097	0.0094	0	5	
29	56	0.9951868653297424	56	0.033187538385391235	56.0000	845.0000	161.0000	337.0000	907.0000	484.0000	632.0000	715.0000	790.0000	709.0000	0.9952	0.0041	0.0006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	5	
30	845	0.861835777759552	56	0.46115297079086304	845.0000	56.0000	161.0000	143.0000	790.0000	750.0000	632.0000	337.0000	302.0000	484.0000	0.8618	0.1182	0.0196	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	1	6	
31	161	0.8551428318023682	56	0.44543585181236267	161.0000	845.0000	56.0000	750.0000	337.0000	302.0000	820.0000	143.0000	156.0000	18.0000	0.8551	0.1382	0.0056	0.0004	0.0002	0.0001	0.0001	0.0001	0.0000	0.0000	2	6	
32	161	0.9712778329849243	56	0.1791360229253769	161.0000	845.0000	56.0000	302.0000	143.0000	750.0000	790.0000	613.0000	35.0000	902.0000	0.9713	0.0140	0.0067	0.0026	0.0024	0.0005	0.0004	0.0002	0.0002	0.0002	2	6	
33	143	0.7379497289657593	56	1.3279297351837158	143.0000	56.0000	356.0000	140.0000	161.0000	156.0000	902.0000	882.0000	302.0000	790.0000	0.7379	0.0796	0.0265	0.0254	0.0242	0.0117	0.0096	0.0093	0.0060	0.0057	1	6	
34	845	0.9210168719291687	56	0.2782061696052551	845.0000	56.0000	161.0000	484.0000	337.0000	790.0000	143.0000	378.0000	246.0000	632.0000	0.9210	0.0787	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	6	
35	845	0.5406119227409363	56	0.6999138593673706	845.0000	56.0000	410.0000	102.0000	337.0000	161.0000	143.0000	790.0000	734.0000	358.0000	0.5406	0.4581	0.0008	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	7	
36	56	0.34761303663253784	56	2.1081080436706543	56.0000	845.0000	255.0000	651.0000	18.0000	2.0000	926.0000	62.0000	156.0000	161.0000	0.3476	0.3426	0.0367	0.0365	0.0250	0.0239	0.0180	0.0171	0.0160	0.0157	0	7	
37	845	0.3467600643634796	56	1.5856083631515503	845.0000	56.0000	161.0000	143.0000	102.0000	337.0000	410.0000	750.0000	790.0000	902.0000	0.3468	0.2940	0.2741	0.0278	0.0078	0.0040	0.0037	0.0029	0.0026	0.0021	1	7	
38	143	0.4273284673690796	56	1.7176060676574707	143.0000	56.0000	902.0000	140.0000	156.0000	542.0000	356.0000	905.0000	845.0000	62.0000	0.4273	0.3499	0.0415	0.0290	0.0234	0.0218	0.0157	0.0156	0.0129	0.0127	1	7	
39	845	0.9731100797653198	56	0.13422717154026031	845.0000	56.0000	410.0000	375.0000	337.0000	734.0000	484.0000	571.0000	574.0000	102.0000	0.9731	0.0242	0.0024	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	1	7	
40	845	0.8411921858787537	56	0.4511926770210266	845.0000	56.0000	790.0000	750.0000	102.0000	408.0000	533.0000	645.0000	337.0000	709.0000	0.8412	0.1567	0.0016	0.0002	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	1	8	
41	56	0.745547354221344	56	1.1976022720336914	56.0000	161.0000	156.0000	143.0000	338.0000	2.0000	337.0000	484.0000	18.0000	335.0000	0.7455	0.1105	0.0267	0.0248	0.0089	0.0085	0.0082	0.0071	0.0064	0.0051	0	8	
42	161	0.4752468168735504	56	1.344910740852356	161.0000	56.0000	845.0000	35.0000	750.0000	337.0000	302.0000	923.0000	156.0000	790.0000	0.4752	0.2832	0.1725	0.0217	0.0198	0.0143	0.0026	0.0010	0.0008	0.0007	1	8	
43	56	0.5574507117271423	56	2.2064576148986816	56.0000	156.0000	143.0000	542.0000	140.0000	302.0000	750.0000	902.0000	35.0000	161.0000	0.5575	0.0797	0.0535	0.0379	0.0331	0.0230	0.0215	0.0164	0.0127	0.0121	0	8	
44	845	0.8502038717269897	56	0.439822256565094	845.0000	56.0000	574.0000	375.0000	161.0000	337.0000	790.0000	484.0000	410.0000	408.0000	0.8502	0.1466	0.0028	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	8	
45	56	0.5210279226303101	56	0.845608115196228	56.0000	845.0000	408.0000	102.0000	161.0000	337.0000	790.0000	632.0000	551.0000	377.0000	0.5210	0.4491	0.0174	0.0079	0.0012	0.0005	0.0005	0.0003	0.0002	0.0002	0	9	
46	161	0.5030742287635803	56	1.005395770072937	161.0000	56.0000	156.0000	845.0000	337.0000	2.0000	143.0000	96.0000	750.0000	302.0000	0.5031	0.4160	0.0635	0.0041	0.0040	0.0013	0.0011	0.0009	0.0006	0.0005	1	9	
47	161	0.9491647481918335	56	0.3035041093826294	161.0000	156.0000	143.0000	56.0000	302.0000	845.0000	337.0000	408.0000	750.0000	613.0000	0.9492	0.0224	0.0069	0.0069	0.0058	0.0026	0.0006	0.0005	0.0004	0.0004	3	9	
48	156	0.5785807967185974	56	1.5056076049804688	156.0000	56.0000	140.0000	143.0000	302.0000	542.0000	905.0000	715.0000	709.0000	902.0000	0.5786	0.2423	0.0486	0.0245	0.0128	0.0123	0.0114	0.0096	0.0093	0.0042	1	9	
49	845	0.9249206185340881	56	0.27424249053001404	845.0000	56.0000	574.0000	907.0000	161.0000	484.0000	378.0000	337.0000	104.0000	575.0000	0.9249	0.0742	0.0002	0.0002	0.0001	0.0001	0.0001	0.0000	0.0000	0.0000	1	9	
50	845	0.8857338428497314	56	0.3679107427597046	845.0000	56.0000	790.0000	102.0000	410.0000	161.0000	150.0000	574.0000	645.0000	750.0000	0.8857	0.1124	0.0012	0.0002	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	1	10	
51	56	0.9719070792198181	56	0.1774779111146927	56.0000	161.0000	156.0000	335.0000	337.0000	302.0000	2.0000	750.0000	845.0000	96.0000	0.9719	0.0134	0.0074	0.0020	0.0010	0.0007	0.0006	0.0004	0.0004	0.0004	0	10	
52	161	0.8769533038139343	56	0.5606075525283813	161.0000	156.0000	56.0000	845.0000	750.0000	35.0000	790.0000	302.0000	143.0000	337.0000	0.8770	0.0779	0.0176	0.0058	0.0040	0.0037	0.0029	0.0028	0.0018	0.0009	2	10	
53	156	0.7670595049858093	56	1.098397970199585	156.0000	56.0000	161.0000	140.0000	542.0000	62.0000	767.0000	143.0000	882.0000	302.0000	0.7671	0.0598	0.0393	0.0327	0.0264	0.0179	0.0131	0.0126	0.0069	0.0041	1	10	
54	845	0.9912632703781128	56	0.05226588621735573	845.0000	56.0000	574.0000	161.0000	375.0000	484.0000	243.0000	37.0000	410.0000	337.0000	0.9913	0.0083	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	10	
55	845	0.989519476890564	56	0.061582691967487335	845.0000	56.0000	161.0000	150.0000	375.0000	410.0000	337.0000	102.0000	750.0000	143.0000	0.9895	0.0099	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	11	
56	845	0.8431553244590759	56	0.595753014087677	845.0000	56.0000	161.0000	337.0000	750.0000	895.0000	338.0000	484.0000	143.0000	18.0000	0.8432	0.0937	0.0516	0.0048	0.0021	0.0009	0.0007	0.0005	0.0005	0.0004	1	11	
57	161	0.4044598340988159	56	2.3501908779144287	161.0000	845.0000	143.0000	375.0000	302.0000	56.0000	613.0000	750.0000	337.0000	35.0000	0.4045	0.2281	0.0764	0.0467	0.0425	0.0343	0.0090	0.0087	0.0083	0.0072	5	11	
58	56	0.13918212056159973	56	3.8467307090759277	56.0000	845.0000	902.0000	143.0000	161.0000	547.0000	518.0000	142.0000	227.0000	170.0000	0.1392	0.1153	0.1117	0.0975	0.0331	0.0324	0.0201	0.0195	0.0170	0.0156	0	11	
59	845	0.9999603033065796	56	0.0004601638938765973	845.0000	56.0000	161.0000	375.0000	337.0000	790.0000	574.0000	918.0000	484.0000	709.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1	11	
60	56	0.8710816502571106	56	0.38520491123199463	56.0000	845.0000	410.0000	161.0000	337.0000	750.0000	790.0000	574.0000	734.0000	895.0000	0.8711	0.1288	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	12	
61	56	0.9927579164505005	56	0.054946720600128174	56.0000	161.0000	845.0000	750.0000	895.0000	337.0000	574.0000	18.0000	484.0000	734.0000	0.9928	0.0026	0.0024	0.0011	0.0005	0.0001	0.0001	0.0001	0.0001	0.0000	0	12	
62	56	0.7753520011901855	56	0.7254734039306641	56.0000	161.0000	845.0000	750.0000	337.0000	790.0000	35.0000	302.0000	632.0000	335.0000	0.7754	0.1678	0.0307	0.0221	0.0010	0.0003	0.0002	0.0001	0.0001	0.0001	0	12	
63	56	0.6099799871444702	56	1.824293613433838	56.0000	161.0000	750.0000	62.0000	156.0000	845.0000	923.0000	926.0000	335.0000	337.0000	0.6100	0.1383	0.0419	0.0340	0.0233	0.0193	0.0114	0.0095	0.0087	0.0060	0	12	
