	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	853	0.3616701662540436	60	2.4890480041503906	853.0000	928.0000	96.0000	104.0000	133.0000	909.0000	441.0000	558.0000	830.0000	346.0000	0.3617	0.1509	0.0886	0.0743	0.0460	0.0411	0.0239	0.0222	0.0210	0.0188	12	0	
1	853	0.9318643808364868	60	0.4146607518196106	853.0000	96.0000	60.0000	928.0000	54.0000	339.0000	909.0000	133.0000	3.0000	104.0000	0.9319	0.0255	0.0092	0.0092	0.0035	0.0026	0.0024	0.0022	0.0014	0.0013	2	0	
2	853	0.8420031666755676	60	0.8616836071014404	853.0000	96.0000	60.0000	928.0000	3.0000	133.0000	54.0000	909.0000	567.0000	384.0000	0.8420	0.0465	0.0304	0.0121	0.0080	0.0080	0.0077	0.0052	0.0045	0.0041	2	0	
3	853	0.9724316596984863	60	0.19041410088539124	853.0000	96.0000	909.0000	54.0000	60.0000	928.0000	133.0000	339.0000	3.0000	104.0000	0.9724	0.0098	0.0051	0.0023	0.0021	0.0015	0.0014	0.0013	0.0005	0.0004	4	0	
4	853	0.8898479342460632	60	0.47419440746307373	853.0000	54.0000	3.0000	96.0000	60.0000	74.0000	104.0000	38.0000	339.0000	114.0000	0.8898	0.0739	0.0227	0.0033	0.0030	0.0019	0.0012	0.0011	0.0006	0.0003	4	0	
5	818	0.06980843096971512	60	4.838451385498047	818.0000	38.0000	54.0000	789.0000	610.0000	499.0000	899.0000	96.0000	191.0000	521.0000	0.0698	0.0574	0.0429	0.0417	0.0413	0.0383	0.0359	0.0295	0.0287	0.0274	264	0	
6	853	0.9929612278938293	60	0.05786977708339691	853.0000	96.0000	928.0000	60.0000	133.0000	54.0000	909.0000	384.0000	346.0000	567.0000	0.9930	0.0022	0.0011	0.0011	0.0008	0.0006	0.0001	0.0001	0.0001	0.0001	3	0	
7	96	0.3226242661476135	60	2.8602418899536133	96.0000	928.0000	853.0000	104.0000	909.0000	339.0000	581.0000	133.0000	926.0000	441.0000	0.3226	0.1276	0.0767	0.0678	0.0557	0.0446	0.0345	0.0263	0.0255	0.0178	24	0	
8	853	0.7890934348106384	60	1.050010323524475	853.0000	96.0000	38.0000	60.0000	3.0000	909.0000	282.0000	54.0000	928.0000	71.0000	0.7891	0.0884	0.0145	0.0123	0.0116	0.0110	0.0101	0.0098	0.0088	0.0085	3	0	
9	853	0.9720820188522339	60	0.1989220529794693	853.0000	96.0000	60.0000	928.0000	133.0000	104.0000	339.0000	909.0000	54.0000	3.0000	0.9721	0.0085	0.0042	0.0037	0.0026	0.0016	0.0008	0.0007	0.0006	0.0006	2	0	
10	853	0.8419328331947327	60	0.6924633979797363	853.0000	3.0000	54.0000	96.0000	60.0000	567.0000	74.0000	133.0000	339.0000	909.0000	0.8419	0.0610	0.0468	0.0302	0.0083	0.0028	0.0017	0.0010	0.0007	0.0006	4	0	
11	853	0.7545723915100098	60	1.4463856220245361	853.0000	96.0000	928.0000	71.0000	3.0000	60.0000	133.0000	54.0000	282.0000	483.0000	0.7546	0.0439	0.0373	0.0159	0.0137	0.0116	0.0100	0.0080	0.0066	0.0065	5	0	
