	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	338	0.28956139087677	62	2.5748958587646484	338.0000	156.0000	650.0000	62.0000	49.0000	227.0000	673.0000	2.0000	895.0000	509.0000	0.2896	0.1593	0.1186	0.1018	0.0546	0.0478	0.0302	0.0279	0.0266	0.0200	3	0	
1	923	0.25116777420043945	62	2.554842472076416	923.0000	62.0000	156.0000	227.0000	2.0000	895.0000	338.0000	255.0000	150.0000	734.0000	0.2512	0.1914	0.1611	0.0889	0.0582	0.0442	0.0246	0.0222	0.0218	0.0147	1	0	
2	923	0.1679200679063797	62	3.092778205871582	923.0000	338.0000	156.0000	715.0000	2.0000	62.0000	227.0000	143.0000	650.0000	49.0000	0.1679	0.1441	0.1240	0.1073	0.0635	0.0546	0.0351	0.0348	0.0224	0.0177	5	0	
3	62	0.710230827331543	62	1.2514450550079346	62.0000	156.0000	337.0000	923.0000	715.0000	895.0000	338.0000	2.0000	150.0000	657.0000	0.7102	0.1465	0.0550	0.0079	0.0074	0.0068	0.0068	0.0057	0.0053	0.0033	0	0	
4	156	0.6558619141578674	62	1.1470855474472046	156.0000	62.0000	227.0000	650.0000	923.0000	895.0000	715.0000	338.0000	2.0000	359.0000	0.6559	0.2405	0.0426	0.0101	0.0060	0.0044	0.0041	0.0037	0.0024	0.0023	1	0	
5	484	0.3432649075984955	62	2.0405635833740234	484.0000	156.0000	62.0000	845.0000	338.0000	161.0000	227.0000	650.0000	143.0000	356.0000	0.3433	0.2516	0.1733	0.0489	0.0356	0.0303	0.0210	0.0200	0.0096	0.0055	2	0	
6	156	0.913282573223114	62	0.3405941128730774	156.0000	62.0000	715.0000	767.0000	337.0000	359.0000	338.0000	2.0000	650.0000	356.0000	0.9133	0.0785	0.0029	0.0013	0.0012	0.0007	0.0003	0.0003	0.0003	0.0002	1	0	
7	156	0.7727569937705994	62	0.6451245546340942	156.0000	62.0000	338.0000	227.0000	337.0000	715.0000	49.0000	895.0000	650.0000	767.0000	0.7728	0.2085	0.0065	0.0040	0.0016	0.0016	0.0009	0.0003	0.0003	0.0003	1	0	
8	2	0.24980494379997253	62	3.8482601642608643	2.0000	98.0000	243.0000	143.0000	356.0000	49.0000	895.0000	156.0000	62.0000	148.0000	0.2498	0.0682	0.0594	0.0547	0.0470	0.0384	0.0301	0.0296	0.0264	0.0175	8	0	
9	923	0.4924646317958832	62	1.9199360609054565	923.0000	2.0000	255.0000	926.0000	227.0000	338.0000	734.0000	895.0000	156.0000	62.0000	0.4925	0.1127	0.0927	0.0694	0.0453	0.0432	0.0386	0.0306	0.0139	0.0114	9	0	
10	923	0.63140869140625	62	1.5448068380355835	923.0000	255.0000	2.0000	895.0000	926.0000	734.0000	227.0000	338.0000	809.0000	49.0000	0.6314	0.0870	0.0593	0.0508	0.0442	0.0334	0.0331	0.0116	0.0060	0.0058	15	0	
11	62	0.1768120676279068	62	3.184296131134033	62.0000	156.0000	338.0000	143.0000	650.0000	715.0000	484.0000	227.0000	356.0000	3.0000	0.1768	0.1594	0.0945	0.0877	0.0695	0.0423	0.0309	0.0307	0.0287	0.0263	0	0	
12	62	0.41599738597869873	62	2.616211414337158	62.0000	3.0000	156.0000	338.0000	870.0000	728.0000	610.0000	143.0000	650.0000	60.0000	0.4160	0.1045	0.0658	0.0501	0.0347	0.0256	0.0247	0.0243	0.0218	0.0205	0	1	
13	2	0.26417019963264465	62	2.5324153900146484	2.0000	62.0000	923.0000	140.0000	156.0000	148.0000	734.0000	566.0000	227.0000	895.0000	0.2642	0.1738	0.1399	0.1293	0.0541	0.0434	0.0316	0.0147	0.0143	0.0133	1	1	
14	2	0.4721720218658447	62	2.46781587600708	2.0000	148.0000	143.0000	140.0000	62.0000	156.0000	714.0000	870.0000	905.0000	923.0000	0.4722	0.1110	0.0671	0.0489	0.0446	0.0281	0.0178	0.0154	0.0123	0.0122	4	1	
15	62	0.9051891565322876	62	0.5184643864631653	62.0000	2.0000	734.0000	335.0000	156.0000	923.0000	903.0000	148.0000	926.0000	338.0000	0.9052	0.0542	0.0113	0.0031	0.0027	0.0017	0.0015	0.0014	0.0013	0.0012	0	1	
16	2	0.33285969495773315	62	2.4979565143585205	2.0000	923.0000	566.0000	227.0000	62.0000	140.0000	734.0000	156.0000	895.0000	148.0000	0.3329	0.1782	0.1267	0.0502	0.0375	0.0364	0.0247	0.0242	0.0233	0.0215	4	1	
