	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	67	0.5041764974594116	67	2.0345728397369385	67.0000	933.0000	566.0000	332.0000	569.0000	383.0000	480.0000	36.0000	210.0000	454.0000	0.5042	0.1543	0.1034	0.0366	0.0243	0.0206	0.0169	0.0135	0.0129	0.0116	0	0	
1	933	0.48005595803260803	67	1.0224015712738037	933.0000	332.0000	67.0000	569.0000	383.0000	566.0000	480.0000	454.0000	16.0000	224.0000	0.4801	0.4637	0.0126	0.0093	0.0080	0.0066	0.0058	0.0016	0.0015	0.0009	2	0	
2	67	0.6016885638237	67	1.4375144243240356	67.0000	933.0000	383.0000	16.0000	566.0000	480.0000	569.0000	224.0000	438.0000	658.0000	0.6017	0.1334	0.1207	0.0375	0.0320	0.0257	0.0233	0.0029	0.0020	0.0016	0	0	
3	67	0.3457716703414917	67	2.8582024574279785	67.0000	383.0000	566.0000	933.0000	438.0000	332.0000	41.0000	484.0000	569.0000	800.0000	0.3458	0.1136	0.1001	0.0749	0.0304	0.0251	0.0215	0.0196	0.0165	0.0160	0	0	
4	321	0.17686642706394196	67	2.521864891052246	321.0000	16.0000	864.0000	933.0000	566.0000	569.0000	480.0000	224.0000	67.0000	665.0000	0.1769	0.1567	0.1401	0.1311	0.0967	0.0565	0.0373	0.0313	0.0280	0.0231	8	1	
5	933	0.7024678587913513	67	1.24733304977417	933.0000	566.0000	16.0000	480.0000	224.0000	800.0000	569.0000	864.0000	67.0000	151.0000	0.7025	0.0965	0.0629	0.0471	0.0228	0.0165	0.0110	0.0089	0.0065	0.0030	8	1	
6	566	0.6678591966629028	67	1.142821192741394	566.0000	480.0000	933.0000	16.0000	67.0000	569.0000	224.0000	800.0000	383.0000	151.0000	0.6679	0.1500	0.0793	0.0692	0.0076	0.0051	0.0050	0.0032	0.0026	0.0026	4	1	
7	566	0.2836257815361023	67	2.2612485885620117	566.0000	321.0000	933.0000	16.0000	67.0000	383.0000	864.0000	569.0000	224.0000	170.0000	0.2836	0.1620	0.1381	0.1053	0.0873	0.0566	0.0382	0.0357	0.0211	0.0106	4	1	
8	67	0.4453313946723938	67	1.305161476135254	67.0000	16.0000	933.0000	383.0000	321.0000	569.0000	224.0000	566.0000	480.0000	927.0000	0.4453	0.4365	0.0248	0.0184	0.0145	0.0083	0.0078	0.0075	0.0066	0.0063	0	2	
9	933	0.7829825282096863	67	0.620406985282898	933.0000	16.0000	566.0000	569.0000	927.0000	480.0000	224.0000	67.0000	383.0000	838.0000	0.7830	0.1997	0.0076	0.0030	0.0012	0.0011	0.0011	0.0010	0.0003	0.0002	7	2	
10	16	0.9091646075248718	67	0.37769901752471924	16.0000	933.0000	566.0000	480.0000	383.0000	67.0000	569.0000	927.0000	224.0000	665.0000	0.9092	0.0749	0.0074	0.0020	0.0014	0.0013	0.0012	0.0008	0.0007	0.0001	5	2	
11	16	0.35169461369514465	67	2.409945011138916	16.0000	933.0000	321.0000	67.0000	569.0000	566.0000	927.0000	224.0000	383.0000	406.0000	0.3517	0.2111	0.1154	0.0667	0.0450	0.0318	0.0132	0.0127	0.0117	0.0095	3	2	
12	383	0.4245625436306	67	1.3642021417617798	383.0000	67.0000	566.0000	933.0000	16.0000	569.0000	665.0000	480.0000	83.0000	667.0000	0.4246	0.4065	0.0742	0.0413	0.0157	0.0109	0.0043	0.0039	0.0012	0.0011	1	3	
13	933	0.9086012840270996	67	0.41996604204177856	933.0000	566.0000	383.0000	67.0000	16.0000	151.0000	480.0000	800.0000	569.0000	224.0000	0.9086	0.0599	0.0153	0.0056	0.0049	0.0020	0.0008	0.0005	0.0004	0.0003	3	3	
14	933	0.33580753207206726	67	1.6274245977401733	933.0000	566.0000	383.0000	67.0000	16.0000	480.0000	569.0000	927.0000	224.0000	658.0000	0.3358	0.2631	0.1898	0.1267	0.0536	0.0109	0.0075	0.0051	0.0015	0.0011	3	3	
15	383	0.36600589752197266	67	1.6026557683944702	383.0000	566.0000	67.0000	933.0000	16.0000	569.0000	665.0000	480.0000	224.0000	484.0000	0.3660	0.2965	0.1612	0.1017	0.0280	0.0263	0.0028	0.0021	0.0013	0.0012	2	3	
16	67	0.996735155582428	67	0.029329070821404457	67.0000	933.0000	210.0000	569.0000	332.0000	566.0000	480.0000	123.0000	667.0000	383.0000	0.9967	0.0009	0.0006	0.0006	0.0004	0.0001	0.0001	0.0001	0.0001	0.0001	0	4	
17	933	0.9883641004562378	67	0.08195999264717102	933.0000	566.0000	800.0000	67.0000	16.0000	480.0000	258.0000	210.0000	332.0000	569.0000	0.9884	0.0067	0.0022	0.0008	0.0003	0.0003	0.0003	0.0002	0.0002	0.0001	3	4	
18	933	0.9456385374069214	67	0.26160359382629395	933.0000	67.0000	566.0000	480.0000	569.0000	800.0000	16.0000	210.0000	258.0000	383.0000	0.9456	0.0268	0.0254	0.0007	0.0006	0.0002	0.0001	0.0001	0.0001	0.0001	1	4	
19	67	0.4702344238758087	67	1.1648504734039307	67.0000	566.0000	933.0000	800.0000	258.0000	569.0000	123.0000	383.0000	454.0000	537.0000	0.4702	0.3291	0.1808	0.0037	0.0034	0.0028	0.0016	0.0011	0.0007	0.0007	0	4	
20	67	0.762089729309082	67	0.959701657295227	67.0000	16.0000	933.0000	566.0000	800.0000	321.0000	569.0000	94.0000	383.0000	665.0000	0.7621	0.1170	0.0486	0.0326	0.0078	0.0048	0.0045	0.0031	0.0016	0.0016	0	5	
21	933	0.6903740167617798	67	0.8706886768341064	933.0000	566.0000	800.0000	16.0000	480.0000	151.0000	838.0000	569.0000	927.0000	359.0000	0.6904	0.2506	0.0332	0.0101	0.0041	0.0021	0.0014	0.0012	0.0011	0.0010	16	5	
22	566	0.5166516900062561	67	0.8389896154403687	566.0000	933.0000	67.0000	16.0000	927.0000	480.0000	569.0000	383.0000	838.0000	800.0000	0.5167	0.4548	0.0182	0.0048	0.0025	0.0008	0.0005	0.0003	0.0003	0.0002	2	5	
23	933	0.6255484223365784	67	1.1955132484436035	933.0000	566.0000	67.0000	800.0000	16.0000	383.0000	569.0000	321.0000	224.0000	949.0000	0.6255	0.2317	0.0469	0.0237	0.0210	0.0188	0.0167	0.0040	0.0028	0.0017	2	5	
24	67	0.7807798981666565	67	0.6026159524917603	67.0000	332.0000	454.0000	321.0000	83.0000	497.0000	383.0000	406.0000	480.0000	210.0000	0.7808	0.2062	0.0066	0.0014	0.0014	0.0007	0.0004	0.0002	0.0002	0.0002	0	6	
25	16	0.6326658725738525	67	1.2848777770996094	16.0000	933.0000	566.0000	224.0000	480.0000	838.0000	569.0000	800.0000	820.0000	67.0000	0.6327	0.1897	0.0768	0.0334	0.0252	0.0054	0.0047	0.0040	0.0039	0.0035	9	6	
