	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	75	0.126131072640419	69	4.925067901611328	75.0000	466.0000	449.0000	477.0000	310.0000	297.0000	219.0000	370.0000	625.0000	888.0000	0.1261	0.0956	0.0508	0.0289	0.0186	0.0156	0.0150	0.0149	0.0133	0.0124	514	0	
1	466	0.2869012951850891	69	3.7663638591766357	466.0000	479.0000	449.0000	0.0000	477.0000	75.0000	444.0000	799.0000	888.0000	250.0000	0.2869	0.1227	0.0534	0.0465	0.0275	0.0228	0.0194	0.0192	0.0183	0.0126	546	0	
2	466	0.27440452575683594	69	3.7332751750946045	466.0000	0.0000	449.0000	479.0000	888.0000	477.0000	799.0000	250.0000	297.0000	443.0000	0.2744	0.1313	0.0824	0.0261	0.0251	0.0170	0.0159	0.0150	0.0145	0.0137	445	0	
3	449	0.0723647028207779	69	5.140267848968506	449.0000	306.0000	808.0000	117.0000	310.0000	75.0000	799.0000	250.0000	805.0000	528.0000	0.0724	0.0557	0.0538	0.0324	0.0235	0.0228	0.0192	0.0157	0.0141	0.0138	222	1	
4	808	0.06558775156736374	69	5.249749660491943	808.0000	819.0000	306.0000	320.0000	528.0000	449.0000	326.0000	805.0000	799.0000	310.0000	0.0656	0.0360	0.0309	0.0288	0.0256	0.0224	0.0194	0.0192	0.0192	0.0189	416	1	
5	626	0.11287122964859009	69	4.337351322174072	626.0000	0.0000	425.0000	282.0000	808.0000	320.0000	532.0000	819.0000	297.0000	896.0000	0.1129	0.0780	0.0437	0.0401	0.0386	0.0384	0.0362	0.0343	0.0297	0.0249	406	1	
6	477	0.23207750916481018	69	3.7821199893951416	477.0000	250.0000	64.0000	352.0000	306.0000	219.0000	90.0000	489.0000	449.0000	310.0000	0.2321	0.0764	0.0643	0.0411	0.0383	0.0348	0.0242	0.0239	0.0232	0.0188	91	2	
7	64	0.09346915781497955	69	4.275239944458008	64.0000	479.0000	352.0000	477.0000	306.0000	854.0000	250.0000	865.0000	118.0000	766.0000	0.0935	0.0638	0.0637	0.0612	0.0556	0.0397	0.0385	0.0369	0.0278	0.0227	104	2	
8	700	0.12225338816642761	69	4.271053791046143	700.0000	865.0000	306.0000	64.0000	310.0000	297.0000	118.0000	479.0000	250.0000	0.0000	0.1223	0.0828	0.0487	0.0449	0.0418	0.0313	0.0309	0.0284	0.0283	0.0273	175	2	
9	0	0.5750986337661743	69	2.24461030960083	0.0000	865.0000	449.0000	479.0000	536.0000	591.0000	250.0000	580.0000	64.0000	521.0000	0.5751	0.0793	0.0533	0.0301	0.0208	0.0197	0.0169	0.0146	0.0124	0.0120	157	3	
10	0	0.23976857960224152	69	3.1993958950042725	0.0000	580.0000	865.0000	479.0000	64.0000	759.0000	232.0000	443.0000	799.0000	226.0000	0.2398	0.1520	0.1349	0.1045	0.0219	0.0173	0.0166	0.0116	0.0110	0.0108	104	3	
11	0	0.5943351984024048	69	2.0493860244750977	0.0000	479.0000	521.0000	580.0000	865.0000	872.0000	876.0000	799.0000	591.0000	64.0000	0.5943	0.1082	0.0618	0.0272	0.0155	0.0141	0.0127	0.0107	0.0095	0.0095	153	3	
12	250	0.2011779397726059	69	3.530125141143799	250.0000	369.0000	449.0000	466.0000	759.0000	479.0000	844.0000	536.0000	808.0000	226.0000	0.2012	0.1579	0.0803	0.0397	0.0366	0.0364	0.0342	0.0307	0.0248	0.0155	43	4	
13	466	0.08719325065612793	69	4.168951988220215	466.0000	369.0000	250.0000	479.0000	584.0000	580.0000	64.0000	449.0000	477.0000	352.0000	0.0872	0.0752	0.0735	0.0619	0.0469	0.0427	0.0403	0.0332	0.0289	0.0266	44	4	
14	626	0.338291198015213	69	2.8490824699401855	626.0000	250.0000	466.0000	364.0000	64.0000	479.0000	536.0000	352.0000	12.0000	449.0000	0.3383	0.2055	0.0689	0.0270	0.0256	0.0244	0.0232	0.0173	0.0170	0.0159	28	4	
15	865	0.20076805353164673	69	3.2642428874969482	865.0000	808.0000	449.0000	320.0000	591.0000	0.0000	811.0000	310.0000	896.0000	521.0000	0.2008	0.1639	0.0831	0.0646	0.0459	0.0452	0.0392	0.0286	0.0241	0.0175	49	5	
16	320	0.2566874623298645	69	3.2297441959381104	320.0000	865.0000	808.0000	521.0000	756.0000	64.0000	638.0000	449.0000	811.0000	759.0000	0.2567	0.2036	0.0511	0.0475	0.0279	0.0277	0.0273	0.0251	0.0206	0.0201	59	5	
17	419	0.11196285486221313	69	3.7019119262695312	419.0000	0.0000	865.0000	320.0000	626.0000	297.0000	591.0000	117.0000	64.0000	521.0000	0.1120	0.0998	0.0788	0.0706	0.0546	0.0496	0.0494	0.0494	0.0373	0.0368	62	5	
18	273	0.1553550660610199	69	3.749981641769409	273.0000	808.0000	488.0000	721.0000	369.0000	591.0000	449.0000	250.0000	0.0000	865.0000	0.1554	0.0951	0.0930	0.0881	0.0552	0.0448	0.0354	0.0314	0.0174	0.0138	15	6	
19	819	0.08296771347522736	69	3.8955063819885254	819.0000	352.0000	320.0000	326.0000	808.0000	369.0000	865.0000	854.0000	479.0000	676.0000	0.0830	0.0795	0.0631	0.0615	0.0547	0.0522	0.0471	0.0429	0.0414	0.0365	21	6	
20	64	0.1519949585199356	69	3.638808250427246	64.0000	479.0000	799.0000	352.0000	222.0000	876.0000	320.0000	419.0000	865.0000	808.0000	0.1520	0.1339	0.0780	0.0630	0.0363	0.0345	0.0304	0.0279	0.0274	0.0257	17	6	
21	250	0.25778064131736755	69	2.821268320083618	250.0000	563.0000	352.0000	477.0000	591.0000	811.0000	808.0000	942.0000	733.0000	64.0000	0.2578	0.1653	0.1243	0.0787	0.0624	0.0438	0.0289	0.0235	0.0176	0.0141	70	7	
22	819	0.26544710993766785	69	3.072103500366211	819.0000	352.0000	64.0000	811.0000	89.0000	201.0000	563.0000	808.0000	477.0000	320.0000	0.2654	0.1557	0.1120	0.0478	0.0388	0.0306	0.0253	0.0251	0.0193	0.0172	74	7	
23	0	0.11262261122465134	69	3.68756365776062	0.0000	626.0000	819.0000	64.0000	591.0000	352.0000	479.0000	811.0000	854.0000	250.0000	0.1126	0.0982	0.0773	0.0689	0.0586	0.0581	0.0517	0.0407	0.0317	0.0268	76	7	
24	489	0.16447925567626953	69	3.6928153038024902	489.0000	226.0000	75.0000	521.0000	449.0000	510.0000	273.0000	304.0000	819.0000	0.0000	0.1645	0.1047	0.0851	0.0711	0.0640	0.0424	0.0379	0.0373	0.0344	0.0194	24	8	
25	819	0.2422664612531662	69	3.215461492538452	819.0000	489.0000	226.0000	756.0000	352.0000	259.0000	580.0000	510.0000	449.0000	286.0000	0.2423	0.1748	0.0685	0.0565	0.0391	0.0335	0.0297	0.0264	0.0263	0.0201	23	8	
26	854	0.2356971800327301	69	3.1165075302124023	854.0000	811.0000	0.0000	310.0000	449.0000	589.0000	64.0000	580.0000	466.0000	198.0000	0.2357	0.1173	0.1016	0.0948	0.0928	0.0287	0.0273	0.0185	0.0184	0.0181	23	8	
27	521	0.3483218252658844	69	2.904801368713379	521.0000	584.0000	449.0000	872.0000	0.0000	64.0000	479.0000	273.0000	112.0000	118.0000	0.3483	0.1061	0.1052	0.0584	0.0383	0.0247	0.0244	0.0237	0.0202	0.0164	48	9	
28	479	0.41746315360069275	69	2.034147262573242	479.0000	64.0000	521.0000	584.0000	860.0000	872.0000	865.0000	756.0000	222.0000	352.0000	0.4175	0.1780	0.1656	0.0417	0.0392	0.0317	0.0187	0.0142	0.0116	0.0116	42	9	
29	479	0.237356498837471	69	2.6723880767822266	479.0000	860.0000	584.0000	872.0000	64.0000	521.0000	347.0000	462.0000	865.0000	854.0000	0.2374	0.1565	0.1186	0.0948	0.0948	0.0556	0.0313	0.0298	0.0210	0.0164	47	9	
30	282	0.1572788953781128	69	3.6758594512939453	282.0000	250.0000	591.0000	756.0000	479.0000	594.0000	580.0000	386.0000	510.0000	583.0000	0.1573	0.1027	0.0943	0.0567	0.0528	0.0372	0.0344	0.0317	0.0312	0.0298	47	10	
31	64	0.19029715657234192	69	3.033242702484131	64.0000	580.0000	352.0000	756.0000	583.0000	819.0000	282.0000	265.0000	386.0000	479.0000	0.1903	0.1103	0.1097	0.0976	0.0769	0.0664	0.0575	0.0470	0.0363	0.0292	34	10	
32	479	0.7271518111228943	69	1.5478270053863525	479.0000	64.0000	250.0000	591.0000	756.0000	386.0000	222.0000	320.0000	57.0000	453.0000	0.7272	0.0636	0.0353	0.0250	0.0118	0.0064	0.0054	0.0052	0.0050	0.0049	36	10	
33	449	0.1197720468044281	69	3.96242618560791	449.0000	75.0000	550.0000	273.0000	591.0000	808.0000	226.0000	791.0000	510.0000	580.0000	0.1198	0.0662	0.0642	0.0597	0.0504	0.0419	0.0402	0.0347	0.0334	0.0268	66	11	
34	449	0.15784189105033875	69	3.6323962211608887	449.0000	580.0000	808.0000	756.0000	310.0000	306.0000	64.0000	591.0000	352.0000	203.0000	0.1578	0.1374	0.0799	0.0617	0.0604	0.0416	0.0259	0.0230	0.0223	0.0189	33	11	
35	626	0.14533573389053345	69	3.671030282974243	626.0000	0.0000	64.0000	591.0000	306.0000	320.0000	479.0000	580.0000	212.0000	443.0000	0.1453	0.1054	0.0886	0.0826	0.0394	0.0339	0.0328	0.0319	0.0232	0.0206	32	11	
36	250	0.2636415958404541	69	2.723443031311035	250.0000	273.0000	844.0000	591.0000	582.0000	212.0000	449.0000	443.0000	89.0000	625.0000	0.2636	0.1781	0.1318	0.1163	0.0566	0.0229	0.0172	0.0171	0.0157	0.0123	44	12	
37	64	0.13694240152835846	69	3.4883594512939453	64.0000	443.0000	756.0000	521.0000	273.0000	306.0000	446.0000	348.0000	86.0000	201.0000	0.1369	0.1023	0.0981	0.0813	0.0730	0.0506	0.0367	0.0324	0.0322	0.0314	23	12	
38	0	0.2200351059436798	69	2.8019087314605713	0.0000	532.0000	443.0000	479.0000	297.0000	250.0000	844.0000	591.0000	320.0000	854.0000	0.2200	0.1566	0.0883	0.0870	0.0796	0.0695	0.0413	0.0413	0.0319	0.0182	19	12	
39	250	0.41064003109931946	69	2.8271658420562744	250.0000	591.0000	888.0000	528.0000	532.0000	791.0000	844.0000	352.0000	64.0000	733.0000	0.4106	0.0972	0.0477	0.0436	0.0404	0.0382	0.0350	0.0342	0.0190	0.0156	33	13	
40	64	0.30553698539733887	69	2.6530866622924805	64.0000	226.0000	756.0000	352.0000	865.0000	265.0000	198.0000	201.0000	479.0000	449.0000	0.3055	0.1685	0.1493	0.1003	0.0220	0.0201	0.0179	0.0170	0.0162	0.0136	25	13	
41	64	0.48799145221710205	69	2.2431516647338867	64.0000	479.0000	0.0000	198.0000	352.0000	872.0000	69.0000	532.0000	250.0000	756.0000	0.4880	0.1364	0.0735	0.0598	0.0327	0.0197	0.0192	0.0114	0.0111	0.0098	6	13	
42	449	0.17310786247253418	69	3.295015573501587	449.0000	352.0000	0.0000	591.0000	808.0000	865.0000	563.0000	320.0000	273.0000	215.0000	0.1731	0.1401	0.1198	0.1036	0.0400	0.0351	0.0236	0.0209	0.0207	0.0203	129	14	
43	352	0.26897475123405457	69	2.772634506225586	352.0000	865.0000	449.0000	0.0000	64.0000	819.0000	580.0000	320.0000	655.0000	756.0000	0.2690	0.1575	0.1239	0.0962	0.0621	0.0392	0.0338	0.0200	0.0173	0.0132	100	14	
44	64	0.2239653468132019	69	2.7755165100097656	64.0000	479.0000	0.0000	626.0000	320.0000	449.0000	125.0000	561.0000	86.0000	872.0000	0.2240	0.1890	0.1607	0.0828	0.0382	0.0350	0.0302	0.0287	0.0209	0.0196	25	14	
45	250	0.13682880997657776	69	3.9306697845458984	250.0000	352.0000	449.0000	64.0000	125.0000	89.0000	830.0000	626.0000	0.0000	479.0000	0.1368	0.0712	0.0667	0.0625	0.0600	0.0444	0.0328	0.0317	0.0217	0.0217	32	15	
46	64	0.35725367069244385	69	3.0068931579589844	64.0000	756.0000	201.0000	125.0000	0.0000	233.0000	226.0000	449.0000	86.0000	580.0000	0.3573	0.0674	0.0603	0.0508	0.0448	0.0395	0.0301	0.0291	0.0226	0.0193	37	15	
47	468	0.298183798789978	69	2.27940034866333	468.0000	626.0000	479.0000	125.0000	627.0000	872.0000	64.0000	0.0000	89.0000	876.0000	0.2982	0.2449	0.1101	0.0786	0.0682	0.0438	0.0318	0.0264	0.0110	0.0094	14	15	
48	591	0.4176681637763977	69	1.5266716480255127	591.0000	250.0000	75.0000	342.0000	212.0000	521.0000	791.0000	811.0000	756.0000	449.0000	0.4177	0.4068	0.0629	0.0249	0.0107	0.0083	0.0080	0.0059	0.0045	0.0043	170	16	
49	811	0.7451819181442261	69	1.3889985084533691	811.0000	273.0000	75.0000	591.0000	860.0000	756.0000	201.0000	449.0000	306.0000	226.0000	0.7452	0.0384	0.0265	0.0247	0.0237	0.0177	0.0154	0.0139	0.0110	0.0104	99	16	
50	250	0.2710362374782562	69	2.5143861770629883	250.0000	320.0000	479.0000	591.0000	860.0000	344.0000	602.0000	412.0000	89.0000	840.0000	0.2710	0.2668	0.0928	0.0863	0.0284	0.0283	0.0256	0.0218	0.0216	0.0188	95	16	
51	273	0.5366877913475037	69	1.9721550941467285	273.0000	449.0000	250.0000	466.0000	64.0000	371.0000	488.0000	75.0000	477.0000	213.0000	0.5367	0.1712	0.0464	0.0306	0.0295	0.0252	0.0193	0.0150	0.0143	0.0118	77	17	
52	64	0.5059556365013123	69	2.4904956817626953	64.0000	449.0000	580.0000	226.0000	306.0000	386.0000	352.0000	273.0000	213.0000	830.0000	0.5060	0.0865	0.0328	0.0282	0.0259	0.0229	0.0200	0.0196	0.0183	0.0181	76	17	
53	466	0.21952727437019348	69	2.840606689453125	466.0000	320.0000	479.0000	468.0000	64.0000	306.0000	626.0000	453.0000	580.0000	561.0000	0.2195	0.1866	0.1294	0.1153	0.0513	0.0502	0.0304	0.0233	0.0151	0.0109	28	17	
54	449	0.5309118032455444	69	2.280198812484741	449.0000	888.0000	226.0000	250.0000	655.0000	75.0000	477.0000	352.0000	386.0000	521.0000	0.5309	0.0857	0.0717	0.0469	0.0194	0.0178	0.0165	0.0165	0.0160	0.0154	73	18	
55	226	0.15119889378547668	69	2.969485282897949	226.0000	386.0000	449.0000	306.0000	521.0000	888.0000	201.0000	580.0000	64.0000	860.0000	0.1512	0.1502	0.1283	0.0992	0.0936	0.0843	0.0289	0.0272	0.0238	0.0165	77	18	
56	888	0.15870238840579987	69	3.465078830718994	888.0000	468.0000	443.0000	64.0000	369.0000	250.0000	580.0000	591.0000	320.0000	89.0000	0.1587	0.1401	0.0734	0.0624	0.0556	0.0531	0.0298	0.0278	0.0268	0.0252	31	18	
57	213	0.32071802020072937	69	3.1343047618865967	213.0000	75.0000	371.0000	64.0000	215.0000	250.0000	125.0000	625.0000	591.0000	351.0000	0.3207	0.0973	0.0868	0.0401	0.0370	0.0336	0.0280	0.0223	0.0209	0.0198	50	19	
58	64	0.1109674945473671	69	3.9912641048431396	64.0000	125.0000	352.0000	721.0000	844.0000	756.0000	320.0000	213.0000	386.0000	265.0000	0.1110	0.0997	0.0671	0.0614	0.0569	0.0500	0.0358	0.0270	0.0267	0.0218	27	19	
59	0	0.1521075814962387	69	3.526794672012329	0.0000	479.0000	844.0000	125.0000	626.0000	89.0000	468.0000	64.0000	443.0000	876.0000	0.1521	0.1396	0.0861	0.0713	0.0656	0.0354	0.0348	0.0338	0.0319	0.0270	18	19	
60	250	0.3150523006916046	69	2.1719918251037598	250.0000	352.0000	655.0000	477.0000	888.0000	510.0000	64.0000	386.0000	561.0000	91.0000	0.3151	0.3006	0.1145	0.0492	0.0405	0.0321	0.0227	0.0219	0.0077	0.0071	34	20	
61	352	0.5799435377120972	69	1.7767128944396973	352.0000	226.0000	64.0000	756.0000	477.0000	386.0000	655.0000	201.0000	306.0000	561.0000	0.5799	0.1292	0.0647	0.0515	0.0399	0.0261	0.0122	0.0103	0.0091	0.0072	46	20	
62	443	0.6921202540397644	69	1.6521124839782715	443.0000	89.0000	250.0000	872.0000	582.0000	320.0000	591.0000	479.0000	759.0000	0.0000	0.6921	0.0412	0.0328	0.0249	0.0226	0.0213	0.0211	0.0198	0.0163	0.0083	85	20	
