	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	80	0.3287029564380646	74	3.4319353103637695	80.0000	3.0000	54.0000	853.0000	74.0000	133.0000	60.0000	840.0000	346.0000	567.0000	0.3287	0.0813	0.0767	0.0469	0.0467	0.0317	0.0241	0.0230	0.0180	0.0175	4	0	
1	80	0.5756093859672546	74	2.136732816696167	80.0000	701.0000	909.0000	499.0000	853.0000	470.0000	54.0000	840.0000	3.0000	692.0000	0.5756	0.0974	0.0575	0.0492	0.0167	0.0123	0.0116	0.0097	0.0085	0.0078	17	0	
2	54	0.1594359427690506	74	3.5609025955200195	54.0000	133.0000	853.0000	104.0000	96.0000	471.0000	899.0000	74.0000	384.0000	515.0000	0.1594	0.1484	0.1306	0.0664	0.0360	0.0287	0.0257	0.0239	0.0202	0.0172	7	1	
3	54	0.24950022995471954	74	2.7175848484039307	54.0000	347.0000	133.0000	899.0000	853.0000	96.0000	515.0000	692.0000	909.0000	701.0000	0.2495	0.1662	0.1420	0.0869	0.0698	0.0444	0.0378	0.0211	0.0172	0.0125	22	1	
4	133	0.31106191873550415	74	2.56195068359375	133.0000	347.0000	96.0000	3.0000	54.0000	701.0000	104.0000	899.0000	60.0000	74.0000	0.3111	0.2264	0.1417	0.0534	0.0340	0.0224	0.0213	0.0124	0.0116	0.0085	9	2	
5	347	0.9050632119178772	74	0.5263516902923584	347.0000	133.0000	96.0000	899.0000	98.0000	346.0000	832.0000	467.0000	683.0000	701.0000	0.9051	0.0569	0.0044	0.0037	0.0034	0.0019	0.0018	0.0015	0.0014	0.0013	36	2	
6	96	0.4638606011867523	74	1.659724235534668	96.0000	74.0000	104.0000	133.0000	937.0000	54.0000	60.0000	853.0000	384.0000	3.0000	0.4639	0.2496	0.0854	0.0842	0.0237	0.0224	0.0133	0.0132	0.0131	0.0071	1	3	
7	96	0.5300524234771729	74	1.6862634420394897	96.0000	104.0000	133.0000	60.0000	74.0000	853.0000	346.0000	384.0000	54.0000	347.0000	0.5301	0.1861	0.0824	0.0503	0.0483	0.0307	0.0092	0.0078	0.0075	0.0073	4	3	
8	133	0.8426307439804077	74	0.6969761848449707	133.0000	60.0000	96.0000	74.0000	384.0000	346.0000	853.0000	3.0000	375.0000	928.0000	0.8426	0.0767	0.0390	0.0096	0.0080	0.0050	0.0049	0.0043	0.0027	0.0015	3	4	
9	133	0.8945072889328003	74	0.5818157196044922	133.0000	60.0000	499.0000	375.0000	96.0000	346.0000	74.0000	853.0000	11.0000	54.0000	0.8945	0.0334	0.0238	0.0113	0.0064	0.0063	0.0040	0.0040	0.0028	0.0023	6	4	
10	74	0.5710752010345459	74	1.7235040664672852	74.0000	104.0000	515.0000	96.0000	60.0000	133.0000	301.0000	54.0000	3.0000	395.0000	0.5711	0.1964	0.0452	0.0335	0.0210	0.0205	0.0146	0.0103	0.0097	0.0084	0	5	
11	60	0.4253881871700287	74	1.81868314743042	60.0000	499.0000	853.0000	133.0000	96.0000	861.0000	515.0000	74.0000	54.0000	498.0000	0.4254	0.2896	0.0703	0.0595	0.0561	0.0151	0.0073	0.0066	0.0066	0.0064	7	5	
12	74	0.7863048315048218	74	0.9293226003646851	74.0000	3.0000	54.0000	96.0000	679.0000	60.0000	104.0000	98.0000	395.0000	384.0000	0.7863	0.1241	0.0288	0.0116	0.0067	0.0052	0.0031	0.0030	0.0028	0.0027	0	6	
13	96	0.4469381868839264	74	2.1948471069335938	96.0000	74.0000	3.0000	11.0000	133.0000	861.0000	60.0000	54.0000	499.0000	498.0000	0.4469	0.1591	0.1108	0.0453	0.0322	0.0254	0.0192	0.0177	0.0149	0.0135	1	6	
14	74	0.8960920572280884	74	0.5489685535430908	74.0000	3.0000	421.0000	104.0000	54.0000	412.0000	96.0000	853.0000	203.0000	785.0000	0.8961	0.0397	0.0225	0.0188	0.0032	0.0032	0.0025	0.0019	0.0011	0.0010	0	7	
15	3	0.30430781841278076	74	2.163666248321533	3.0000	412.0000	74.0000	853.0000	133.0000	498.0000	96.0000	104.0000	375.0000	861.0000	0.3043	0.2507	0.1885	0.0447	0.0387	0.0258	0.0183	0.0153	0.0141	0.0120	2	7	
16	96	0.5406460165977478	74	1.403712511062622	96.0000	74.0000	104.0000	54.0000	133.0000	853.0000	3.0000	384.0000	421.0000	60.0000	0.5406	0.2533	0.0696	0.0592	0.0226	0.0208	0.0087	0.0053	0.0041	0.0024	1	8	
17	96	0.6007717847824097	74	1.5009047985076904	96.0000	853.0000	133.0000	54.0000	498.0000	60.0000	74.0000	690.0000	203.0000	861.0000	0.6008	0.1798	0.0734	0.0414	0.0138	0.0119	0.0105	0.0097	0.0094	0.0086	6	8	
18	74	0.6382348537445068	74	1.4501311779022217	74.0000	133.0000	104.0000	114.0000	96.0000	54.0000	261.0000	853.0000	567.0000	690.0000	0.6382	0.1414	0.0691	0.0449	0.0228	0.0136	0.0090	0.0066	0.0060	0.0051	0	9	
19	375	0.23429320752620697	74	3.096642017364502	375.0000	133.0000	498.0000	499.0000	690.0000	80.0000	74.0000	853.0000	118.0000	54.0000	0.2343	0.1243	0.1114	0.0714	0.0514	0.0476	0.0443	0.0266	0.0253	0.0250	6	9	
20	74	0.7755218148231506	74	0.9856517314910889	74.0000	96.0000	114.0000	3.0000	133.0000	54.0000	104.0000	421.0000	384.0000	261.0000	0.7755	0.0873	0.0339	0.0265	0.0198	0.0161	0.0134	0.0067	0.0067	0.0048	0	10	
21	96	0.6082690358161926	74	1.8593108654022217	96.0000	54.0000	3.0000	74.0000	60.0000	104.0000	421.0000	133.0000	498.0000	203.0000	0.6083	0.0885	0.0535	0.0413	0.0409	0.0366	0.0167	0.0089	0.0085	0.0067	3	10	
22	74	0.7996081113815308	74	0.8421621918678284	74.0000	96.0000	54.0000	104.0000	395.0000	133.0000	421.0000	203.0000	853.0000	60.0000	0.7996	0.1053	0.0286	0.0189	0.0157	0.0094	0.0069	0.0051	0.0026	0.0013	0	11	
23	96	0.4233335852622986	74	1.9374473094940186	96.0000	74.0000	133.0000	475.0000	412.0000	549.0000	104.0000	203.0000	498.0000	347.0000	0.4233	0.1937	0.1084	0.0551	0.0548	0.0456	0.0321	0.0212	0.0148	0.0110	1	11	
24	74	0.4483584761619568	74	2.228667736053467	74.0000	96.0000	301.0000	421.0000	3.0000	395.0000	564.0000	114.0000	54.0000	785.0000	0.4484	0.0966	0.0793	0.0715	0.0660	0.0631	0.0254	0.0212	0.0183	0.0134	0	12	
25	899	0.2533578872680664	74	2.6172285079956055	899.0000	133.0000	74.0000	96.0000	3.0000	54.0000	104.0000	395.0000	852.0000	498.0000	0.2534	0.1631	0.1467	0.1013	0.0804	0.0346	0.0280	0.0229	0.0134	0.0133	2	12	
26	74	0.507460355758667	74	1.132340908050537	74.0000	3.0000	104.0000	54.0000	114.0000	133.0000	96.0000	421.0000	395.0000	564.0000	0.5075	0.3738	0.0640	0.0322	0.0109	0.0032	0.0015	0.0012	0.0009	0.0009	0	13	
27	54	0.533974289894104	74	1.629517912864685	54.0000	74.0000	3.0000	96.0000	104.0000	133.0000	498.0000	690.0000	13.0000	80.0000	0.5340	0.1810	0.1224	0.0437	0.0374	0.0158	0.0129	0.0072	0.0050	0.0037	1	13	
28	74	0.7730323672294617	74	0.8480327129364014	74.0000	96.0000	421.0000	54.0000	3.0000	133.0000	104.0000	114.0000	853.0000	384.0000	0.7730	0.1027	0.0759	0.0202	0.0130	0.0105	0.0016	0.0008	0.0004	0.0003	0	14	
29	74	0.32587021589279175	74	1.9336926937103271	74.0000	96.0000	133.0000	54.0000	498.0000	421.0000	3.0000	853.0000	861.0000	899.0000	0.3259	0.2327	0.1690	0.1309	0.0335	0.0300	0.0214	0.0091	0.0052	0.0048	0	14	
30	74	0.8321940898895264	74	0.6276935338973999	74.0000	54.0000	3.0000	421.0000	96.0000	133.0000	104.0000	471.0000	114.0000	651.0000	0.8322	0.1290	0.0118	0.0079	0.0070	0.0034	0.0031	0.0005	0.0005	0.0005	0	15	
31	54	0.633475124835968	74	1.5015941858291626	54.0000	74.0000	133.0000	96.0000	3.0000	899.0000	421.0000	104.0000	861.0000	60.0000	0.6335	0.1109	0.1040	0.0298	0.0239	0.0205	0.0162	0.0095	0.0057	0.0056	1	15	
32	74	0.7226119637489319	74	0.6754940748214722	74.0000	104.0000	421.0000	114.0000	3.0000	564.0000	133.0000	261.0000	852.0000	588.0000	0.7226	0.2633	0.0051	0.0022	0.0019	0.0014	0.0011	0.0010	0.0002	0.0002	0	16	
33	74	0.45342642068862915	74	1.4158549308776855	74.0000	133.0000	104.0000	3.0000	421.0000	498.0000	96.0000	690.0000	60.0000	54.0000	0.4534	0.2789	0.1949	0.0239	0.0106	0.0068	0.0068	0.0064	0.0025	0.0013	0	16	
34	3	0.6749442219734192	74	1.180995225906372	3.0000	853.0000	74.0000	421.0000	54.0000	96.0000	60.0000	133.0000	564.0000	301.0000	0.6749	0.1148	0.1018	0.0441	0.0299	0.0182	0.0033	0.0024	0.0014	0.0012	2	17	
35	96	0.32832562923431396	74	2.526724100112915	96.0000	853.0000	133.0000	74.0000	3.0000	421.0000	54.0000	375.0000	498.0000	549.0000	0.3283	0.1409	0.1261	0.0928	0.0574	0.0484	0.0452	0.0193	0.0189	0.0103	3	17	
36	74	0.9731463193893433	74	0.1647978574037552	74.0000	104.0000	3.0000	54.0000	384.0000	114.0000	421.0000	133.0000	853.0000	937.0000	0.9731	0.0163	0.0033	0.0026	0.0012	0.0009	0.0006	0.0004	0.0003	0.0002	0	18	
37	375	0.290139764547348	74	2.6022839546203613	375.0000	74.0000	54.0000	104.0000	3.0000	133.0000	690.0000	412.0000	421.0000	853.0000	0.2901	0.1636	0.1524	0.0848	0.0451	0.0386	0.0313	0.0193	0.0182	0.0156	1	18	
38	133	0.34300023317337036	74	2.113053798675537	133.0000	54.0000	74.0000	347.0000	375.0000	651.0000	203.0000	395.0000	471.0000	96.0000	0.3430	0.2172	0.0938	0.0920	0.0842	0.0458	0.0287	0.0187	0.0141	0.0056	2	19	
39	133	0.7001708149909973	74	1.3356672525405884	133.0000	54.0000	375.0000	899.0000	96.0000	499.0000	498.0000	412.0000	121.0000	74.0000	0.7002	0.0772	0.0700	0.0409	0.0195	0.0189	0.0173	0.0082	0.0078	0.0067	9	19	
40	74	0.5975584983825684	74	1.1675878763198853	74.0000	133.0000	104.0000	3.0000	384.0000	346.0000	114.0000	80.0000	421.0000	13.0000	0.5976	0.2139	0.1381	0.0231	0.0060	0.0048	0.0041	0.0023	0.0019	0.0011	0	20	
41	133	0.8562021255493164	74	0.7557151317596436	133.0000	74.0000	104.0000	384.0000	853.0000	13.0000	3.0000	80.0000	499.0000	498.0000	0.8562	0.0432	0.0304	0.0146	0.0094	0.0088	0.0084	0.0054	0.0033	0.0032	1	20	
42	74	0.9610598683357239	74	0.195562481880188	74.0000	54.0000	3.0000	104.0000	421.0000	96.0000	564.0000	853.0000	133.0000	261.0000	0.9611	0.0290	0.0079	0.0008	0.0007	0.0002	0.0001	0.0001	0.0000	0.0000	0	21	
43	54	0.8621541261672974	74	0.7473703026771545	54.0000	133.0000	853.0000	74.0000	3.0000	104.0000	96.0000	498.0000	375.0000	412.0000	0.8622	0.0284	0.0280	0.0210	0.0161	0.0095	0.0091	0.0035	0.0034	0.0028	3	21	
44	74	0.9892790913581848	74	0.06765355914831161	74.0000	3.0000	54.0000	60.0000	421.0000	853.0000	133.0000	96.0000	104.0000	498.0000	0.9893	0.0085	0.0011	0.0007	0.0001	0.0001	0.0001	0.0000	0.0000	0.0000	0	22	
45	74	0.2906893193721771	74	1.541238784790039	74.0000	60.0000	853.0000	54.0000	133.0000	3.0000	498.0000	339.0000	567.0000	421.0000	0.2907	0.2898	0.2806	0.0691	0.0299	0.0283	0.0051	0.0028	0.0006	0.0006	0	22	
46	54	0.5720544457435608	74	0.9227982759475708	54.0000	74.0000	3.0000	96.0000	60.0000	853.0000	104.0000	133.0000	564.0000	498.0000	0.5721	0.3739	0.0370	0.0032	0.0030	0.0028	0.0024	0.0014	0.0008	0.0006	1	23	
47	853	0.4706037640571594	74	1.4859654903411865	853.0000	54.0000	74.0000	60.0000	133.0000	498.0000	96.0000	499.0000	3.0000	339.0000	0.4706	0.3338	0.0463	0.0462	0.0432	0.0139	0.0113	0.0051	0.0045	0.0042	2	23	
48	74	0.7246683239936829	74	0.8921302556991577	74.0000	133.0000	3.0000	679.0000	421.0000	375.0000	54.0000	96.0000	395.0000	515.0000	0.7247	0.2137	0.0225	0.0077	0.0063	0.0032	0.0030	0.0025	0.0023	0.0015	0	24	
49	133	0.7620815634727478	74	1.061044454574585	133.0000	853.0000	74.0000	515.0000	498.0000	54.0000	679.0000	375.0000	3.0000	412.0000	0.7621	0.1168	0.0278	0.0179	0.0144	0.0140	0.0084	0.0080	0.0027	0.0022	2	24	
50	74	0.6679778695106506	74	0.8768221139907837	74.0000	104.0000	133.0000	3.0000	96.0000	421.0000	853.0000	54.0000	515.0000	395.0000	0.6680	0.2788	0.0248	0.0110	0.0076	0.0039	0.0009	0.0007	0.0006	0.0004	0	25	
51	133	0.3065294623374939	74	2.0172691345214844	133.0000	74.0000	96.0000	104.0000	54.0000	853.0000	3.0000	412.0000	498.0000	343.0000	0.3065	0.2303	0.1380	0.0786	0.0777	0.0673	0.0557	0.0077	0.0050	0.0041	1	25	
52	74	0.9286525845527649	74	0.4053477644920349	74.0000	96.0000	133.0000	395.0000	498.0000	3.0000	421.0000	54.0000	114.0000	104.0000	0.9287	0.0314	0.0098	0.0065	0.0041	0.0039	0.0034	0.0032	0.0026	0.0015	0	26	
