	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	701	0.4268532395362854	80	1.5915615558624268	701.0000	80.0000	353.0000	122.0000	909.0000	282.0000	422.0000	81.0000	575.0000	818.0000	0.4269	0.3779	0.0734	0.0274	0.0189	0.0138	0.0056	0.0044	0.0041	0.0033	1	0	
1	701	0.3254288136959076	80	2.3714404106140137	701.0000	80.0000	909.0000	353.0000	122.0000	96.0000	81.0000	282.0000	63.0000	287.0000	0.3254	0.3037	0.0615	0.0574	0.0402	0.0206	0.0205	0.0175	0.0154	0.0081	1	0	
2	701	0.32614701986312866	80	3.3207852840423584	701.0000	80.0000	122.0000	353.0000	63.0000	395.0000	575.0000	96.0000	597.0000	81.0000	0.3261	0.1241	0.0575	0.0434	0.0328	0.0307	0.0259	0.0255	0.0179	0.0175	1	0	
3	80	0.5587098598480225	80	1.860912561416626	80.0000	122.0000	701.0000	81.0000	96.0000	353.0000	144.0000	818.0000	3.0000	252.0000	0.5587	0.1629	0.0579	0.0443	0.0393	0.0186	0.0148	0.0131	0.0085	0.0057	0	0	
4	96	0.5274849534034729	80	1.7662116289138794	96.0000	353.0000	122.0000	909.0000	80.0000	818.0000	583.0000	422.0000	899.0000	3.0000	0.5275	0.1980	0.0652	0.0556	0.0311	0.0213	0.0164	0.0102	0.0087	0.0069	4	0	
5	701	0.3226131796836853	80	2.036341428756714	701.0000	80.0000	122.0000	81.0000	353.0000	63.0000	96.0000	422.0000	678.0000	818.0000	0.3226	0.2391	0.2186	0.0689	0.0419	0.0163	0.0106	0.0082	0.0067	0.0058	1	0	
6	701	0.6157756447792053	80	1.157609224319458	701.0000	80.0000	909.0000	353.0000	122.0000	63.0000	13.0000	282.0000	96.0000	81.0000	0.6158	0.3020	0.0173	0.0126	0.0068	0.0041	0.0037	0.0022	0.0017	0.0016	1	0	
7	80	0.39812368154525757	80	1.9336435794830322	80.0000	701.0000	96.0000	122.0000	818.0000	353.0000	252.0000	471.0000	909.0000	3.0000	0.3981	0.3646	0.0552	0.0379	0.0138	0.0123	0.0077	0.0060	0.0049	0.0047	0	0	
8	80	0.45300328731536865	80	2.0521576404571533	80.0000	701.0000	353.0000	598.0000	575.0000	122.0000	81.0000	938.0000	594.0000	422.0000	0.4530	0.1847	0.0914	0.0584	0.0446	0.0262	0.0232	0.0132	0.0126	0.0100	0	1	
9	80	0.5747381448745728	80	1.6090788841247559	80.0000	598.0000	701.0000	287.0000	353.0000	575.0000	81.0000	597.0000	172.0000	122.0000	0.5747	0.1155	0.0962	0.0919	0.0320	0.0203	0.0120	0.0094	0.0056	0.0056	0	1	
