	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	364	0.9757301807403564	88	0.2242671698331833	364.0000	811.0000	488.0000	466.0000	191.0000	177.0000	787.0000	528.0000	342.0000	521.0000	0.9757	0.0045	0.0016	0.0010	0.0008	0.0007	0.0006	0.0005	0.0005	0.0004	314	0	
1	364	0.9642612338066101	88	0.28036949038505554	364.0000	96.0000	511.0000	38.0000	912.0000	282.0000	811.0000	191.0000	483.0000	186.0000	0.9643	0.0113	0.0035	0.0024	0.0018	0.0012	0.0011	0.0008	0.0008	0.0007	121	0	
2	364	0.9898450374603271	88	0.0956638753414154	364.0000	61.0000	177.0000	75.0000	162.0000	551.0000	245.0000	811.0000	285.0000	483.0000	0.9898	0.0016	0.0014	0.0009	0.0004	0.0004	0.0004	0.0003	0.0003	0.0002	167	1	
3	364	0.9918443560600281	88	0.05994827300310135	364.0000	912.0000	511.0000	186.0000	483.0000	489.0000	617.0000	331.0000	507.0000	88.0000	0.9918	0.0055	0.0012	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0000	9	1	
4	364	0.7885434031486511	88	1.3327840566635132	364.0000	453.0000	371.0000	811.0000	340.0000	854.0000	924.0000	489.0000	466.0000	787.0000	0.7885	0.0404	0.0249	0.0121	0.0104	0.0100	0.0099	0.0077	0.0066	0.0042	66	2	
5	364	0.9442969560623169	88	0.2800520062446594	364.0000	38.0000	511.0000	617.0000	88.0000	912.0000	854.0000	453.0000	186.0000	96.0000	0.9443	0.0416	0.0068	0.0016	0.0012	0.0008	0.0004	0.0003	0.0003	0.0002	4	2	
6	364	0.8889173269271851	88	0.7143038511276245	364.0000	177.0000	49.0000	330.0000	74.0000	483.0000	811.0000	161.0000	925.0000	169.0000	0.8889	0.0304	0.0141	0.0114	0.0061	0.0054	0.0049	0.0048	0.0026	0.0023	171	3	
7	364	0.9981833100318909	88	0.016582587733864784	364.0000	912.0000	88.0000	186.0000	511.0000	342.0000	925.0000	227.0000	38.0000	617.0000	0.9982	0.0011	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2	3	
8	364	0.8873746395111084	88	0.5091423392295837	364.0000	177.0000	285.0000	330.0000	47.0000	811.0000	924.0000	483.0000	162.0000	169.0000	0.8874	0.0869	0.0047	0.0035	0.0029	0.0019	0.0012	0.0005	0.0005	0.0004	178	4	
9	364	0.7792367339134216	88	0.794066309928894	364.0000	511.0000	38.0000	96.0000	319.0000	441.0000	339.0000	912.0000	186.0000	538.0000	0.7792	0.1041	0.0918	0.0113	0.0040	0.0035	0.0013	0.0008	0.0005	0.0003	11	4	
