	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	888	0.12315084785223007	89	4.665488243103027	888.0000	390.0000	655.0000	508.0000	91.0000	466.0000	219.0000	12.0000	47.0000	724.0000	0.1232	0.0411	0.0373	0.0345	0.0341	0.0339	0.0312	0.0289	0.0282	0.0218	412	0	
1	91	0.25375109910964966	89	3.4882445335388184	91.0000	888.0000	477.0000	306.0000	219.0000	250.0000	717.0000	47.0000	390.0000	386.0000	0.2538	0.1909	0.0868	0.0291	0.0257	0.0221	0.0201	0.0159	0.0159	0.0122	127	1	
2	91	0.2526598870754242	89	3.2092323303222656	91.0000	888.0000	477.0000	47.0000	273.0000	390.0000	508.0000	306.0000	840.0000	724.0000	0.2527	0.2271	0.0661	0.0626	0.0436	0.0402	0.0153	0.0118	0.0098	0.0097	246	2	
3	235	0.7253531813621521	89	1.4213500022888184	235.0000	477.0000	888.0000	301.0000	583.0000	468.0000	63.0000	90.0000	508.0000	597.0000	0.7254	0.0456	0.0436	0.0430	0.0236	0.0159	0.0107	0.0083	0.0072	0.0069	241	3	
4	888	0.415816992521286	89	2.4206113815307617	888.0000	550.0000	477.0000	942.0000	160.0000	626.0000	235.0000	390.0000	911.0000	27.0000	0.4158	0.2162	0.0797	0.0231	0.0193	0.0156	0.0149	0.0139	0.0134	0.0123	212	4	
5	477	0.39657050371170044	89	2.332702159881592	477.0000	390.0000	6.0000	47.0000	662.0000	91.0000	550.0000	104.0000	485.0000	273.0000	0.3966	0.1451	0.1243	0.0746	0.0533	0.0271	0.0267	0.0109	0.0100	0.0100	323	5	
6	888	0.5046730637550354	89	1.699388027191162	888.0000	477.0000	468.0000	47.0000	91.0000	301.0000	390.0000	550.0000	386.0000	942.0000	0.5047	0.1769	0.1762	0.0292	0.0124	0.0100	0.0093	0.0086	0.0084	0.0083	173	6	
7	888	0.3230242133140564	89	2.888277530670166	888.0000	91.0000	489.0000	550.0000	273.0000	477.0000	47.0000	942.0000	717.0000	390.0000	0.3230	0.1608	0.0531	0.0482	0.0414	0.0400	0.0380	0.0241	0.0225	0.0222	354	7	
8	888	0.24144576489925385	89	2.933243751525879	888.0000	91.0000	550.0000	911.0000	47.0000	390.0000	477.0000	386.0000	508.0000	655.0000	0.2414	0.1101	0.1054	0.0669	0.0600	0.0517	0.0505	0.0437	0.0295	0.0272	502	8	
9	306	0.2786403298377991	89	3.26562237739563	306.0000	6.0000	942.0000	626.0000	0.0000	162.0000	91.0000	386.0000	390.0000	583.0000	0.2786	0.1369	0.0598	0.0447	0.0362	0.0350	0.0283	0.0257	0.0228	0.0220	401	9	
10	583	0.9892562627792358	89	0.0953713208436966	583.0000	104.0000	6.0000	343.0000	219.0000	477.0000	277.0000	837.0000	63.0000	932.0000	0.9893	0.0020	0.0019	0.0007	0.0007	0.0006	0.0005	0.0005	0.0003	0.0003	584	10	
11	888	0.630155622959137	89	1.1949496269226074	888.0000	477.0000	91.0000	655.0000	662.0000	494.0000	390.0000	872.0000	449.0000	703.0000	0.6302	0.2592	0.0246	0.0207	0.0117	0.0110	0.0087	0.0044	0.0043	0.0028	246	11	
12	390	0.10892219841480255	89	4.1575798988342285	390.0000	942.0000	12.0000	911.0000	6.0000	104.0000	583.0000	515.0000	494.0000	580.0000	0.1089	0.0986	0.0941	0.0665	0.0598	0.0348	0.0286	0.0238	0.0195	0.0167	397	12	
13	911	0.7788617610931396	89	1.0690433979034424	911.0000	477.0000	942.0000	550.0000	884.0000	306.0000	580.0000	235.0000	919.0000	662.0000	0.7789	0.0796	0.0464	0.0166	0.0136	0.0094	0.0089	0.0046	0.0041	0.0030	265	13	
14	306	0.32625046372413635	89	2.014984369277954	306.0000	942.0000	888.0000	550.0000	626.0000	911.0000	301.0000	12.0000	919.0000	583.0000	0.3263	0.2381	0.1632	0.1102	0.0440	0.0186	0.0114	0.0099	0.0096	0.0094	533	14	
15	919	0.701628565788269	89	1.0159586668014526	919.0000	888.0000	395.0000	390.0000	91.0000	583.0000	911.0000	468.0000	235.0000	306.0000	0.7016	0.2184	0.0177	0.0149	0.0103	0.0054	0.0029	0.0028	0.0019	0.0019	442	15	
16	91	0.540576696395874	89	1.410353183746338	91.0000	888.0000	390.0000	662.0000	90.0000	494.0000	468.0000	423.0000	477.0000	911.0000	0.5406	0.2731	0.0580	0.0388	0.0320	0.0228	0.0066	0.0046	0.0040	0.0028	254	16	
17	888	0.6116392612457275	89	1.7278258800506592	888.0000	235.0000	911.0000	306.0000	449.0000	477.0000	90.0000	550.0000	485.0000	919.0000	0.6116	0.0739	0.0637	0.0496	0.0437	0.0376	0.0333	0.0076	0.0072	0.0064	373	17	
18	888	0.4471616744995117	89	2.412313222885132	888.0000	306.0000	911.0000	386.0000	477.0000	865.0000	12.0000	550.0000	47.0000	91.0000	0.4472	0.0941	0.0799	0.0600	0.0544	0.0436	0.0307	0.0166	0.0134	0.0099	234	18	
19	583	0.3734210431575775	89	2.9129691123962402	583.0000	757.0000	297.0000	386.0000	477.0000	6.0000	199.0000	201.0000	888.0000	508.0000	0.3734	0.0910	0.0768	0.0508	0.0495	0.0447	0.0307	0.0181	0.0154	0.0136	457	19	
20	386	0.24169644713401794	89	2.8781795501708984	386.0000	477.0000	449.0000	90.0000	888.0000	306.0000	626.0000	580.0000	390.0000	405.0000	0.2417	0.1571	0.0824	0.0631	0.0626	0.0524	0.0384	0.0384	0.0370	0.0307	429	20	
21	477	0.37777337431907654	89	2.3537938594818115	477.0000	888.0000	662.0000	449.0000	386.0000	872.0000	494.0000	27.0000	550.0000	306.0000	0.3778	0.2225	0.0975	0.0472	0.0395	0.0376	0.0256	0.0134	0.0098	0.0070	246	21	
22	626	0.456420361995697	89	2.6057145595550537	626.0000	306.0000	583.0000	235.0000	12.0000	911.0000	423.0000	27.0000	550.0000	477.0000	0.4564	0.0650	0.0564	0.0539	0.0527	0.0355	0.0323	0.0199	0.0170	0.0155	318	22	
23	521	0.20301727950572968	89	3.67252254486084	521.0000	47.0000	0.0000	703.0000	494.0000	477.0000	626.0000	525.0000	942.0000	390.0000	0.2030	0.1169	0.1082	0.0537	0.0434	0.0265	0.0248	0.0225	0.0205	0.0171	192	23	
24	444	0.27231234312057495	89	3.345747947692871	444.0000	477.0000	888.0000	872.0000	297.0000	468.0000	253.0000	942.0000	27.0000	116.0000	0.2723	0.0896	0.0758	0.0595	0.0404	0.0399	0.0394	0.0366	0.0333	0.0256	203	24	
25	47	0.3284149467945099	89	2.583237409591675	47.0000	390.0000	662.0000	477.0000	386.0000	250.0000	494.0000	306.0000	443.0000	91.0000	0.3284	0.2549	0.0532	0.0408	0.0374	0.0353	0.0319	0.0311	0.0184	0.0110	228	25	
26	888	0.8463437557220459	89	0.7124466896057129	888.0000	477.0000	872.0000	273.0000	911.0000	494.0000	662.0000	655.0000	90.0000	27.0000	0.8463	0.0897	0.0148	0.0133	0.0064	0.0047	0.0035	0.0025	0.0019	0.0017	273	26	
27	47	0.30768314003944397	89	2.288264513015747	47.0000	888.0000	390.0000	449.0000	477.0000	27.0000	550.0000	12.0000	626.0000	75.0000	0.3077	0.1802	0.1524	0.1018	0.0774	0.0295	0.0261	0.0191	0.0148	0.0113	273	27	
28	888	0.3690454959869385	89	2.6699013710021973	888.0000	597.0000	306.0000	911.0000	91.0000	235.0000	942.0000	477.0000	27.0000	929.0000	0.3690	0.1156	0.0959	0.0893	0.0453	0.0360	0.0306	0.0261	0.0192	0.0105	572	28	
29	47	0.13402532041072845	89	3.13405179977417	47.0000	466.0000	626.0000	919.0000	942.0000	888.0000	27.0000	550.0000	306.0000	477.0000	0.1340	0.1152	0.0995	0.0980	0.0965	0.0962	0.0511	0.0398	0.0327	0.0256	348	29	
30	888	0.6005983352661133	89	2.1253700256347656	888.0000	390.0000	27.0000	47.0000	550.0000	477.0000	942.0000	376.0000	297.0000	655.0000	0.6006	0.0572	0.0439	0.0269	0.0243	0.0172	0.0162	0.0153	0.0120	0.0116	366	30	
31	888	0.7409910559654236	89	1.492950201034546	888.0000	47.0000	390.0000	27.0000	477.0000	626.0000	550.0000	306.0000	376.0000	508.0000	0.7410	0.0319	0.0246	0.0212	0.0206	0.0164	0.0158	0.0084	0.0083	0.0070	381	31	
