	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	91	0.8896782398223877	91	0.8405221700668335	91.0000	226.0000	297.0000	662.0000	443.0000	466.0000	0.0000	942.0000	449.0000	644.0000	0.8897	0.0182	0.0087	0.0050	0.0049	0.0035	0.0027	0.0024	0.0023	0.0022	0	0	
1	888	0.3589250147342682	91	3.0922892093658447	888.0000	477.0000	466.0000	942.0000	443.0000	219.0000	0.0000	655.0000	561.0000	226.0000	0.3589	0.1086	0.0733	0.0660	0.0346	0.0251	0.0233	0.0203	0.0170	0.0147	10	0	
2	466	0.11897698044776917	91	4.182861804962158	466.0000	219.0000	226.0000	477.0000	888.0000	91.0000	942.0000	655.0000	12.0000	443.0000	0.1190	0.1150	0.0769	0.0666	0.0578	0.0498	0.0273	0.0234	0.0185	0.0181	5	0	
3	888	0.5163507461547852	91	2.648590564727783	888.0000	477.0000	466.0000	443.0000	655.0000	91.0000	561.0000	226.0000	485.0000	306.0000	0.5164	0.0852	0.0300	0.0290	0.0279	0.0151	0.0147	0.0127	0.0127	0.0124	5	0	
4	802	0.0514974370598793	91	5.1406097412109375	802.0000	888.0000	626.0000	466.0000	844.0000	443.0000	239.0000	854.0000	721.0000	297.0000	0.0515	0.0513	0.0472	0.0392	0.0307	0.0251	0.0205	0.0190	0.0179	0.0167	34	0	
5	47	0.6657587289810181	91	2.1916749477386475	47.0000	466.0000	574.0000	91.0000	637.0000	583.0000	942.0000	405.0000	104.0000	477.0000	0.6658	0.0306	0.0239	0.0135	0.0133	0.0122	0.0118	0.0106	0.0102	0.0083	3	0	
6	888	0.2070978581905365	91	3.634632110595703	888.0000	466.0000	443.0000	477.0000	91.0000	655.0000	90.0000	561.0000	942.0000	802.0000	0.2071	0.1426	0.0695	0.0592	0.0527	0.0324	0.0236	0.0218	0.0183	0.0181	4	0	
7	91	0.6900244355201721	91	1.870781660079956	91.0000	888.0000	477.0000	90.0000	443.0000	253.0000	466.0000	655.0000	226.0000	219.0000	0.6900	0.0335	0.0239	0.0237	0.0208	0.0188	0.0184	0.0158	0.0158	0.0094	0	0	
8	91	0.1294793039560318	91	3.5843496322631836	91.0000	253.0000	942.0000	297.0000	466.0000	477.0000	443.0000	219.0000	583.0000	888.0000	0.1295	0.1240	0.0957	0.0801	0.0747	0.0713	0.0464	0.0410	0.0317	0.0207	0	0	
9	91	0.42163580656051636	91	3.1221585273742676	91.0000	219.0000	583.0000	466.0000	47.0000	253.0000	477.0000	226.0000	443.0000	888.0000	0.4216	0.0752	0.0572	0.0450	0.0380	0.0274	0.0192	0.0168	0.0152	0.0145	0	0	
