	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	0	0.11413402855396271	93	4.8507795333862305	0.0000	33.0000	326.0000	324.0000	513.0000	521.0000	802.0000	310.0000	449.0000	347.0000	0.1141	0.0666	0.0376	0.0365	0.0263	0.0253	0.0216	0.0206	0.0195	0.0178	23	0	
1	0	0.10409200191497803	93	4.695091724395752	0.0000	347.0000	33.0000	282.0000	824.0000	320.0000	324.0000	832.0000	802.0000	884.0000	0.1041	0.0841	0.0441	0.0371	0.0334	0.0304	0.0261	0.0258	0.0236	0.0200	21	0	
2	347	0.20011132955551147	93	3.7900490760803223	347.0000	824.0000	861.0000	324.0000	33.0000	320.0000	513.0000	832.0000	93.0000	802.0000	0.2001	0.0825	0.0585	0.0527	0.0463	0.0440	0.0434	0.0388	0.0344	0.0284	8	0	
3	0	0.1536916196346283	93	4.719056129455566	0.0000	583.0000	33.0000	324.0000	942.0000	859.0000	449.0000	11.0000	93.0000	412.0000	0.1537	0.0653	0.0472	0.0346	0.0345	0.0194	0.0188	0.0175	0.0163	0.0149	8	0	
4	0	0.18905575573444366	93	4.056344985961914	0.0000	33.0000	347.0000	320.0000	861.0000	824.0000	802.0000	93.0000	96.0000	583.0000	0.1891	0.0802	0.0568	0.0553	0.0486	0.0411	0.0309	0.0300	0.0198	0.0181	7	0	
5	0	0.12035558372735977	93	4.703500270843506	0.0000	347.0000	33.0000	320.0000	802.0000	861.0000	521.0000	324.0000	811.0000	513.0000	0.1204	0.0824	0.0667	0.0343	0.0332	0.0240	0.0186	0.0178	0.0175	0.0173	13	0	
6	0	0.17274756729602814	93	4.569413185119629	0.0000	33.0000	347.0000	282.0000	320.0000	861.0000	324.0000	824.0000	811.0000	521.0000	0.1727	0.0635	0.0429	0.0417	0.0353	0.0265	0.0246	0.0232	0.0157	0.0150	10	0	
7	0	0.07811636477708817	93	4.583539009094238	0.0000	470.0000	861.0000	644.0000	513.0000	824.0000	347.0000	11.0000	33.0000	324.0000	0.0781	0.0464	0.0415	0.0415	0.0407	0.0345	0.0340	0.0298	0.0297	0.0283	11	0	
8	96	0.08183610439300537	93	4.988029479980469	96.0000	583.0000	0.0000	824.0000	347.0000	692.0000	861.0000	814.0000	470.0000	33.0000	0.0818	0.0695	0.0495	0.0490	0.0317	0.0282	0.0257	0.0187	0.0169	0.0158	15	0	
9	33	0.13184434175491333	93	3.856077194213867	33.0000	11.0000	347.0000	324.0000	513.0000	320.0000	824.0000	326.0000	93.0000	859.0000	0.1318	0.0846	0.0816	0.0652	0.0559	0.0486	0.0432	0.0413	0.0383	0.0262	8	0	
