	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	282	0.5888633728027344	100	2.474882125854492	282.0000	310.0000	789.0000	320.0000	528.0000	472.0000	626.0000	942.0000	0.0000	811.0000	0.5889	0.0681	0.0455	0.0172	0.0133	0.0127	0.0115	0.0101	0.0098	0.0075	49	0	
1	282	0.9949355721473694	100	0.047929342836141586	282.0000	310.0000	347.0000	874.0000	524.0000	873.0000	789.0000	523.0000	320.0000	472.0000	0.9949	0.0018	0.0004	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	13	0	
2	282	0.3754607141017914	100	2.1072521209716797	282.0000	942.0000	310.0000	789.0000	472.0000	0.0000	810.0000	626.0000	700.0000	468.0000	0.3755	0.2255	0.1401	0.1195	0.0166	0.0148	0.0124	0.0066	0.0041	0.0037	91	0	
3	282	0.9800373315811157	100	0.1648799479007721	282.0000	310.0000	347.0000	873.0000	524.0000	523.0000	110.0000	874.0000	789.0000	320.0000	0.9800	0.0065	0.0013	0.0009	0.0007	0.0007	0.0006	0.0006	0.0006	0.0006	26	0	
4	282	0.17623291909694672	100	3.644655466079712	282.0000	326.0000	411.0000	320.0000	909.0000	854.0000	819.0000	522.0000	676.0000	682.0000	0.1762	0.1207	0.0930	0.0703	0.0699	0.0573	0.0325	0.0239	0.0198	0.0185	72	1	
5	282	0.2503037750720978	100	3.35313081741333	282.0000	682.0000	521.0000	523.0000	532.0000	894.0000	120.0000	543.0000	524.0000	320.0000	0.2503	0.1370	0.0510	0.0411	0.0397	0.0382	0.0322	0.0303	0.0236	0.0236	21	1	
6	361	0.3745309114456177	100	3.048513889312744	361.0000	682.0000	120.0000	521.0000	676.0000	585.0000	85.0000	677.0000	320.0000	472.0000	0.3745	0.1346	0.0773	0.0383	0.0238	0.0173	0.0140	0.0129	0.0127	0.0126	47	1	
7	521	0.15718643367290497	100	3.9801342487335205	521.0000	532.0000	523.0000	808.0000	543.0000	282.0000	524.0000	819.0000	348.0000	676.0000	0.1572	0.0734	0.0688	0.0627	0.0404	0.0346	0.0335	0.0324	0.0321	0.0219	11	1	
8	320	0.13569964468479156	100	4.054659843444824	320.0000	808.0000	57.0000	811.0000	521.0000	647.0000	528.0000	282.0000	523.0000	703.0000	0.1357	0.0977	0.0897	0.0789	0.0588	0.0349	0.0331	0.0218	0.0126	0.0124	22	2	
9	320	0.1978764533996582	100	3.0932366847991943	320.0000	523.0000	100.0000	120.0000	682.0000	744.0000	521.0000	452.0000	282.0000	513.0000	0.1979	0.1903	0.0838	0.0744	0.0569	0.0360	0.0349	0.0286	0.0281	0.0218	2	2	
10	528	0.08482790738344193	100	4.335353374481201	528.0000	0.0000	320.0000	521.0000	700.0000	682.0000	100.0000	808.0000	120.0000	522.0000	0.0848	0.0777	0.0735	0.0503	0.0348	0.0332	0.0300	0.0275	0.0240	0.0229	6	2	
11	282	0.16595450043678284	100	3.4140820503234863	282.0000	521.0000	523.0000	120.0000	100.0000	808.0000	320.0000	744.0000	884.0000	524.0000	0.1660	0.1344	0.0984	0.0731	0.0620	0.0576	0.0357	0.0259	0.0250	0.0226	4	2	
12	807	0.14102120697498322	100	4.063512325286865	807.0000	854.0000	326.0000	924.0000	676.0000	320.0000	247.0000	441.0000	411.0000	910.0000	0.1410	0.1253	0.0667	0.0594	0.0293	0.0289	0.0281	0.0276	0.0255	0.0231	168	3	
13	523	0.2770577371120453	100	2.8406124114990234	523.0000	744.0000	320.0000	100.0000	84.0000	819.0000	65.0000	521.0000	682.0000	452.0000	0.2771	0.1139	0.0746	0.0730	0.0635	0.0566	0.0552	0.0449	0.0372	0.0216	3	3	
14	100	0.20228087902069092	100	3.1090927124023438	100.0000	452.0000	819.0000	808.0000	65.0000	676.0000	682.0000	320.0000	528.0000	807.0000	0.2023	0.0942	0.0922	0.0631	0.0612	0.0583	0.0581	0.0554	0.0415	0.0241	0	3	
15	523	0.5311558246612549	100	2.239217519760132	523.0000	320.0000	744.0000	100.0000	84.0000	521.0000	0.0000	452.0000	819.0000	65.0000	0.5312	0.0717	0.0573	0.0500	0.0336	0.0254	0.0231	0.0223	0.0143	0.0127	3	3	
16	521	0.5910004377365112	100	2.168182134628296	521.0000	326.0000	854.0000	320.0000	0.0000	865.0000	381.0000	744.0000	811.0000	884.0000	0.5910	0.0556	0.0368	0.0320	0.0319	0.0283	0.0232	0.0232	0.0150	0.0124	66	4	
17	521	0.24899764358997345	100	3.2871432304382324	521.0000	876.0000	381.0000	584.0000	0.0000	676.0000	72.0000	326.0000	524.0000	100.0000	0.2490	0.0723	0.0677	0.0469	0.0414	0.0335	0.0320	0.0301	0.0299	0.0295	9	4	
18	865	0.34809935092926025	100	3.351058006286621	865.0000	0.0000	521.0000	478.0000	700.0000	310.0000	808.0000	563.0000	756.0000	72.0000	0.3481	0.1250	0.0459	0.0324	0.0268	0.0267	0.0133	0.0129	0.0127	0.0120	30	4	
19	584	0.34375977516174316	100	2.683840274810791	584.0000	521.0000	876.0000	525.0000	100.0000	381.0000	677.0000	326.0000	884.0000	524.0000	0.3438	0.1679	0.0566	0.0403	0.0381	0.0345	0.0295	0.0285	0.0277	0.0274	4	4	
20	676	0.22310587763786316	100	3.031674385070801	676.0000	811.0000	320.0000	819.0000	854.0000	528.0000	57.0000	748.0000	282.0000	674.0000	0.2231	0.2114	0.0985	0.0917	0.0738	0.0331	0.0192	0.0158	0.0091	0.0081	206	5	
21	320	0.311032235622406	100	2.3321797847747803	320.0000	676.0000	576.0000	347.0000	110.0000	543.0000	811.0000	282.0000	677.0000	854.0000	0.3110	0.2552	0.0774	0.0647	0.0641	0.0338	0.0317	0.0253	0.0213	0.0196	96	5	
22	528	0.7548090815544128	100	1.407799482345581	528.0000	320.0000	676.0000	854.0000	811.0000	844.0000	282.0000	521.0000	310.0000	819.0000	0.7548	0.0392	0.0377	0.0313	0.0129	0.0124	0.0117	0.0115	0.0064	0.0059	181	5	
23	320	0.3308276832103729	100	2.5935781002044678	320.0000	676.0000	543.0000	576.0000	110.0000	811.0000	521.0000	677.0000	854.0000	348.0000	0.3308	0.1402	0.1301	0.0839	0.0562	0.0333	0.0315	0.0262	0.0107	0.0095	80	5	
24	411	0.26205015182495117	100	2.9207613468170166	411.0000	326.0000	521.0000	247.0000	854.0000	819.0000	57.0000	748.0000	780.0000	320.0000	0.2621	0.1299	0.1140	0.0812	0.0463	0.0349	0.0301	0.0293	0.0249	0.0241	37	6	
25	521	0.41218242049217224	100	2.2434587478637695	521.0000	100.0000	523.0000	744.0000	0.0000	819.0000	876.0000	505.0000	326.0000	320.0000	0.4122	0.2141	0.0732	0.0403	0.0301	0.0255	0.0218	0.0212	0.0208	0.0164	1	6	
26	819	0.301705002784729	100	2.75068998336792	819.0000	452.0000	780.0000	100.0000	865.0000	320.0000	676.0000	413.0000	529.0000	361.0000	0.3017	0.1161	0.0952	0.0893	0.0830	0.0404	0.0311	0.0310	0.0273	0.0174	3	6	
