	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	282	0.8371198177337646	102	0.8848249316215515	282.0000	924.0000	626.0000	787.0000	49.0000	483.0000	673.0000	748.0000	71.0000	854.0000	0.8371	0.0384	0.0345	0.0179	0.0160	0.0132	0.0117	0.0043	0.0020	0.0017	497	0	
1	282	0.8491483330726624	102	0.7525378465652466	282.0000	626.0000	483.0000	787.0000	673.0000	453.0000	924.0000	528.0000	748.0000	49.0000	0.8491	0.0777	0.0161	0.0126	0.0067	0.0059	0.0056	0.0036	0.0032	0.0032	835	0	
2	282	0.8565858006477356	102	1.0185911655426025	282.0000	517.0000	528.0000	347.0000	626.0000	811.0000	924.0000	576.0000	540.0000	340.0000	0.8566	0.0126	0.0109	0.0103	0.0098	0.0068	0.0059	0.0054	0.0051	0.0050	648	0	
3	282	0.8972925543785095	102	0.550693154335022	282.0000	528.0000	626.0000	340.0000	453.0000	517.0000	787.0000	385.0000	483.0000	924.0000	0.8973	0.0415	0.0339	0.0040	0.0022	0.0018	0.0018	0.0017	0.0015	0.0008	816	0	
4	282	0.3379403054714203	102	4.088753700256348	282.0000	483.0000	924.0000	285.0000	719.0000	191.0000	551.0000	358.0000	558.0000	340.0000	0.3379	0.0586	0.0262	0.0260	0.0233	0.0210	0.0121	0.0101	0.0100	0.0100	283	0	
5	282	0.9886953234672546	102	0.10494785755872726	282.0000	528.0000	824.0000	626.0000	868.0000	313.0000	924.0000	711.0000	629.0000	483.0000	0.9887	0.0013	0.0010	0.0010	0.0007	0.0007	0.0006	0.0004	0.0004	0.0004	370	0	
6	282	0.7786039113998413	102	1.4266914129257202	282.0000	340.0000	347.0000	811.0000	517.0000	854.0000	626.0000	924.0000	874.0000	576.0000	0.7786	0.0358	0.0163	0.0159	0.0137	0.0115	0.0092	0.0078	0.0058	0.0057	662	0	
7	528	0.46417558193206787	102	2.0202159881591797	528.0000	282.0000	131.0000	711.0000	36.0000	811.0000	347.0000	313.0000	873.0000	396.0000	0.4642	0.2719	0.0554	0.0361	0.0166	0.0166	0.0138	0.0121	0.0087	0.0074	545	0	
8	282	0.9290525913238525	102	0.5249894261360168	282.0000	347.0000	626.0000	528.0000	924.0000	517.0000	811.0000	340.0000	131.0000	854.0000	0.9291	0.0101	0.0085	0.0064	0.0047	0.0046	0.0031	0.0021	0.0020	0.0019	503	0	
9	787	0.188042551279068	102	3.465055227279663	787.0000	924.0000	483.0000	282.0000	49.0000	362.0000	544.0000	528.0000	673.0000	867.0000	0.1880	0.1483	0.1043	0.0953	0.0299	0.0269	0.0250	0.0228	0.0228	0.0222	152	0	
