	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	598	0.130800262093544	107	4.404350280761719	598.0000	575.0000	762.0000	701.0000	353.0000	355.0000	80.0000	81.0000	144.0000	430.0000	0.1308	0.0780	0.0593	0.0590	0.0486	0.0363	0.0303	0.0273	0.0243	0.0200	159	0	
1	575	0.44877052307128906	107	1.7990431785583496	575.0000	762.0000	583.0000	598.0000	80.0000	701.0000	430.0000	297.0000	491.0000	419.0000	0.4488	0.2594	0.1287	0.0393	0.0166	0.0165	0.0105	0.0098	0.0058	0.0055	54	1	
2	575	0.7398115992546082	107	1.3245325088500977	575.0000	938.0000	598.0000	573.0000	430.0000	491.0000	63.0000	593.0000	583.0000	375.0000	0.7398	0.0376	0.0355	0.0323	0.0241	0.0233	0.0188	0.0171	0.0113	0.0080	51	2	
3	598	0.7932191491127014	107	1.1316945552825928	598.0000	583.0000	575.0000	353.0000	701.0000	80.0000	833.0000	63.0000	675.0000	527.0000	0.7932	0.0766	0.0206	0.0146	0.0117	0.0104	0.0102	0.0037	0.0034	0.0033	81	3	
4	80	0.9867989420890808	107	0.10631708800792694	80.0000	583.0000	762.0000	575.0000	63.0000	941.0000	430.0000	824.0000	353.0000	598.0000	0.9868	0.0031	0.0022	0.0021	0.0011	0.0008	0.0006	0.0005	0.0004	0.0002	61	4	
5	80	0.5094203948974609	107	1.5527907609939575	80.0000	598.0000	762.0000	575.0000	521.0000	701.0000	353.0000	583.0000	527.0000	824.0000	0.5094	0.3005	0.0561	0.0469	0.0084	0.0070	0.0055	0.0053	0.0050	0.0039	37	5	
6	575	0.4852946996688843	107	2.122274875640869	575.0000	521.0000	583.0000	824.0000	527.0000	491.0000	598.0000	593.0000	861.0000	80.0000	0.4853	0.1361	0.1346	0.0398	0.0249	0.0215	0.0175	0.0146	0.0116	0.0090	49	6	
7	833	0.7432548403739929	107	1.1848170757293701	833.0000	527.0000	80.0000	762.0000	941.0000	593.0000	63.0000	646.0000	583.0000	5.0000	0.7433	0.1151	0.0319	0.0221	0.0165	0.0109	0.0078	0.0061	0.0045	0.0031	126	7	
8	583	0.5674708485603333	107	1.9776217937469482	583.0000	598.0000	575.0000	593.0000	355.0000	861.0000	63.0000	491.0000	675.0000	353.0000	0.5675	0.1555	0.0318	0.0280	0.0208	0.0207	0.0195	0.0162	0.0149	0.0123	54	8	
9	80	0.697491466999054	107	1.357264518737793	80.0000	575.0000	762.0000	521.0000	0.0000	598.0000	355.0000	814.0000	491.0000	583.0000	0.6975	0.1410	0.0328	0.0241	0.0107	0.0107	0.0072	0.0056	0.0053	0.0050	24	9	
10	598	0.2956901490688324	107	1.8785300254821777	598.0000	80.0000	833.0000	483.0000	527.0000	675.0000	297.0000	762.0000	626.0000	0.0000	0.2957	0.2442	0.2252	0.1054	0.0476	0.0199	0.0128	0.0067	0.0059	0.0055	75	10	
11	762	0.4930969774723053	107	1.4504756927490234	762.0000	833.0000	80.0000	583.0000	598.0000	527.0000	344.0000	491.0000	941.0000	355.0000	0.4931	0.3745	0.0211	0.0131	0.0111	0.0101	0.0090	0.0068	0.0054	0.0048	22	11	
12	575	0.49572378396987915	107	2.43666672706604	575.0000	527.0000	544.0000	297.0000	833.0000	343.0000	762.0000	941.0000	521.0000	491.0000	0.4957	0.0819	0.0600	0.0398	0.0395	0.0325	0.0285	0.0176	0.0169	0.0164	52	12	
13	575	0.6885510683059692	107	1.4783575534820557	575.0000	491.0000	0.0000	583.0000	430.0000	762.0000	121.0000	343.0000	355.0000	598.0000	0.6886	0.1245	0.0440	0.0212	0.0143	0.0128	0.0119	0.0052	0.0048	0.0048	25	13	
14	833	0.40753233432769775	107	1.7443456649780273	833.0000	80.0000	575.0000	5.0000	0.0000	527.0000	598.0000	499.0000	583.0000	762.0000	0.4075	0.2554	0.1545	0.0721	0.0351	0.0243	0.0084	0.0049	0.0040	0.0032	28	14	
15	0	0.3564349412918091	107	1.9482015371322632	0.0000	575.0000	762.0000	297.0000	491.0000	598.0000	80.0000	527.0000	883.0000	355.0000	0.3564	0.3034	0.1522	0.0397	0.0266	0.0145	0.0133	0.0124	0.0122	0.0099	15	15	
16	762	0.8564581871032715	107	0.9216119647026062	762.0000	593.0000	0.0000	479.0000	80.0000	297.0000	675.0000	598.0000	390.0000	355.0000	0.8565	0.0236	0.0135	0.0090	0.0089	0.0074	0.0073	0.0073	0.0055	0.0050	42	16	
17	0	0.6869151592254639	107	1.2056773900985718	0.0000	575.0000	598.0000	762.0000	675.0000	593.0000	80.0000	574.0000	527.0000	297.0000	0.6869	0.2093	0.0248	0.0061	0.0057	0.0048	0.0039	0.0031	0.0031	0.0027	55	17	
18	80	0.5134015083312988	107	1.7124629020690918	80.0000	675.0000	942.0000	0.0000	762.0000	598.0000	583.0000	527.0000	297.0000	932.0000	0.5134	0.1534	0.1063	0.0686	0.0597	0.0249	0.0206	0.0155	0.0107	0.0027	86	18	
19	583	0.5637405514717102	107	1.9793602228164673	583.0000	762.0000	575.0000	80.0000	593.0000	0.0000	883.0000	598.0000	344.0000	375.0000	0.5637	0.0910	0.0580	0.0554	0.0392	0.0308	0.0300	0.0181	0.0153	0.0146	82	19	
20	80	0.8441546559333801	107	0.7478253841400146	80.0000	575.0000	852.0000	762.0000	598.0000	583.0000	353.0000	675.0000	833.0000	527.0000	0.8442	0.0640	0.0351	0.0105	0.0090	0.0087	0.0078	0.0046	0.0027	0.0021	77	20	
21	575	0.8507363796234131	107	0.7017791867256165	575.0000	938.0000	598.0000	491.0000	430.0000	593.0000	861.0000	80.0000	833.0000	355.0000	0.8507	0.0663	0.0313	0.0163	0.0143	0.0052	0.0017	0.0013	0.0013	0.0013	34	21	
22	762	0.7943577766418457	107	1.2100732326507568	762.0000	0.0000	675.0000	575.0000	122.0000	593.0000	942.0000	598.0000	63.0000	80.0000	0.7944	0.0382	0.0276	0.0182	0.0149	0.0109	0.0109	0.0095	0.0065	0.0059	45	22	
23	575	0.9764763712882996	107	0.1817265748977661	575.0000	527.0000	598.0000	491.0000	583.0000	861.0000	80.0000	762.0000	833.0000	872.0000	0.9765	0.0044	0.0033	0.0025	0.0023	0.0016	0.0014	0.0012	0.0008	0.0008	51	23	
24	575	0.7553173303604126	107	1.1108213663101196	575.0000	5.0000	938.0000	833.0000	491.0000	861.0000	107.0000	583.0000	63.0000	80.0000	0.7553	0.0810	0.0589	0.0364	0.0119	0.0086	0.0072	0.0059	0.0052	0.0038	6	24	
25	575	0.99395751953125	107	0.055575981736183167	575.0000	80.0000	491.0000	355.0000	353.0000	938.0000	81.0000	675.0000	598.0000	824.0000	0.9940	0.0008	0.0007	0.0006	0.0006	0.0006	0.0004	0.0003	0.0003	0.0002	17	25	
26	479	0.42354288697242737	107	2.322157621383667	479.0000	80.0000	575.0000	0.0000	344.0000	122.0000	762.0000	598.0000	593.0000	346.0000	0.4235	0.1874	0.1008	0.0498	0.0288	0.0224	0.0214	0.0144	0.0131	0.0112	49	26	
27	0	0.7530131340026855	107	0.9911935329437256	0.0000	824.0000	575.0000	5.0000	598.0000	938.0000	252.0000	629.0000	861.0000	80.0000	0.7530	0.1563	0.0250	0.0168	0.0059	0.0046	0.0042	0.0039	0.0031	0.0030	38	27	
28	80	0.39852550625801086	107	1.6464804410934448	80.0000	598.0000	575.0000	675.0000	491.0000	762.0000	938.0000	861.0000	833.0000	0.0000	0.3985	0.3692	0.0775	0.0471	0.0372	0.0099	0.0087	0.0052	0.0044	0.0036	53	28	
