	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	588	0.0651731938123703	108	5.008577346801758	588.0000	644.0000	657.0000	142.0000	942.0000	735.0000	467.0000	782.0000	515.0000	47.0000	0.0652	0.0617	0.0590	0.0520	0.0394	0.0391	0.0274	0.0262	0.0252	0.0201	773	0	
1	623	0.13187889754772186	108	5.0331597328186035	623.0000	584.0000	833.0000	657.0000	644.0000	80.0000	235.0000	900.0000	948.0000	902.0000	0.1319	0.0437	0.0232	0.0219	0.0211	0.0195	0.0191	0.0189	0.0185	0.0185	489	1	
2	588	0.22790750861167908	108	3.3618879318237305	588.0000	644.0000	627.0000	333.0000	782.0000	515.0000	391.0000	657.0000	532.0000	585.0000	0.2279	0.1676	0.0680	0.0636	0.0460	0.0308	0.0291	0.0283	0.0244	0.0172	133	2	
3	657	0.3751625716686249	108	2.765955686569214	657.0000	246.0000	588.0000	735.0000	911.0000	80.0000	514.0000	644.0000	47.0000	333.0000	0.3752	0.1536	0.0804	0.0679	0.0394	0.0255	0.0245	0.0222	0.0175	0.0107	57	3	
4	824	0.3706819713115692	108	2.462489366531372	824.0000	470.0000	644.0000	513.0000	98.0000	737.0000	687.0000	190.0000	657.0000	588.0000	0.3707	0.2217	0.0891	0.0332	0.0289	0.0225	0.0210	0.0200	0.0132	0.0128	51	4	
5	657	0.6503610014915466	108	1.8689346313476562	657.0000	735.0000	588.0000	468.0000	47.0000	810.0000	911.0000	902.0000	246.0000	0.0000	0.6504	0.0851	0.0592	0.0255	0.0225	0.0139	0.0111	0.0072	0.0057	0.0042	28	5	
6	588	0.29363253712654114	108	2.195434093475342	588.0000	216.0000	142.0000	657.0000	535.0000	948.0000	80.0000	468.0000	470.0000	911.0000	0.2936	0.2869	0.1363	0.1024	0.0243	0.0225	0.0169	0.0092	0.0087	0.0063	14	6	
7	674	0.8456465005874634	108	0.7086610794067383	674.0000	588.0000	657.0000	470.0000	142.0000	833.0000	735.0000	585.0000	527.0000	235.0000	0.8456	0.0682	0.0422	0.0152	0.0109	0.0037	0.0019	0.0011	0.0009	0.0008	11	7	
8	80	0.6030093431472778	108	1.6778604984283447	80.0000	47.0000	390.0000	644.0000	674.0000	657.0000	588.0000	666.0000	216.0000	852.0000	0.6030	0.1153	0.1074	0.0370	0.0229	0.0163	0.0139	0.0090	0.0057	0.0054	15	8	
9	657	0.6217393279075623	108	1.6079347133636475	657.0000	588.0000	911.0000	142.0000	235.0000	468.0000	735.0000	942.0000	782.0000	190.0000	0.6217	0.1061	0.0724	0.0535	0.0320	0.0241	0.0158	0.0091	0.0086	0.0084	14	9	
10	246	0.10235363990068436	108	3.8661561012268066	246.0000	674.0000	47.0000	588.0000	323.0000	911.0000	390.0000	0.0000	883.0000	470.0000	0.1024	0.0995	0.0841	0.0746	0.0449	0.0354	0.0313	0.0292	0.0251	0.0243	30	10	
11	142	0.47983890771865845	108	1.5073322057724	142.0000	657.0000	588.0000	735.0000	108.0000	833.0000	948.0000	623.0000	290.0000	880.0000	0.4798	0.3328	0.0678	0.0545	0.0085	0.0062	0.0033	0.0029	0.0026	0.0025	4	11	
12	246	0.5662335753440857	108	1.750011682510376	246.0000	735.0000	588.0000	0.0000	657.0000	644.0000	297.0000	47.0000	510.0000	810.0000	0.5662	0.1425	0.1066	0.0491	0.0312	0.0228	0.0053	0.0049	0.0048	0.0045	47	12	
13	588	0.3494282364845276	108	2.0029921531677246	588.0000	735.0000	674.0000	80.0000	762.0000	501.0000	657.0000	390.0000	535.0000	354.0000	0.3494	0.3380	0.0720	0.0537	0.0360	0.0324	0.0137	0.0118	0.0088	0.0087	11	13	
14	588	0.666641891002655	108	1.4836260080337524	588.0000	735.0000	657.0000	706.0000	674.0000	880.0000	354.0000	832.0000	333.0000	652.0000	0.6666	0.1711	0.0286	0.0139	0.0124	0.0100	0.0092	0.0075	0.0048	0.0043	21	14	
15	657	0.6193443536758423	108	1.996801733970642	657.0000	644.0000	588.0000	80.0000	390.0000	333.0000	235.0000	216.0000	246.0000	904.0000	0.6193	0.0627	0.0376	0.0325	0.0267	0.0245	0.0214	0.0146	0.0096	0.0081	21	15	
16	588	0.6922129392623901	108	0.8909782767295837	588.0000	735.0000	657.0000	760.0000	674.0000	390.0000	911.0000	142.0000	246.0000	354.0000	0.6922	0.2516	0.0284	0.0041	0.0035	0.0034	0.0023	0.0019	0.0018	0.0016	15	16	
17	735	0.972826361656189	108	0.19041994214057922	735.0000	657.0000	588.0000	942.0000	80.0000	674.0000	833.0000	390.0000	246.0000	0.0000	0.9728	0.0113	0.0041	0.0037	0.0011	0.0005	0.0005	0.0005	0.0005	0.0005	25	17	
18	588	0.43445467948913574	108	1.8523736000061035	588.0000	735.0000	190.0000	911.0000	142.0000	246.0000	833.0000	235.0000	657.0000	80.0000	0.4345	0.3059	0.0579	0.0572	0.0195	0.0132	0.0117	0.0108	0.0098	0.0089	27	18	
19	657	0.9234331250190735	108	0.49777674674987793	657.0000	735.0000	190.0000	588.0000	674.0000	623.0000	707.0000	142.0000	601.0000	510.0000	0.9234	0.0252	0.0079	0.0066	0.0043	0.0035	0.0028	0.0026	0.0020	0.0017	29	19	
20	735	0.4926769733428955	108	2.3565874099731445	735.0000	47.0000	707.0000	390.0000	825.0000	246.0000	588.0000	0.0000	468.0000	80.0000	0.4927	0.0831	0.0523	0.0516	0.0488	0.0329	0.0324	0.0252	0.0241	0.0213	68	20	
21	735	0.7491267323493958	108	1.5134170055389404	735.0000	588.0000	657.0000	246.0000	142.0000	825.0000	333.0000	911.0000	948.0000	232.0000	0.7491	0.0548	0.0406	0.0105	0.0098	0.0076	0.0064	0.0063	0.0054	0.0044	48	21	
22	735	0.9640476107597351	108	0.22352230548858643	735.0000	657.0000	131.0000	80.0000	390.0000	0.0000	246.0000	588.0000	190.0000	47.0000	0.9640	0.0178	0.0047	0.0042	0.0026	0.0017	0.0013	0.0006	0.0004	0.0003	57	22	
23	657	0.2678203880786896	108	2.267808437347412	657.0000	735.0000	246.0000	80.0000	588.0000	190.0000	142.0000	707.0000	527.0000	0.0000	0.2678	0.2104	0.1490	0.1363	0.0753	0.0207	0.0167	0.0140	0.0139	0.0139	30	23	
24	735	0.6217607259750366	108	1.433650255203247	735.0000	142.0000	657.0000	588.0000	674.0000	880.0000	911.0000	825.0000	246.0000	704.0000	0.6218	0.1130	0.0982	0.0886	0.0173	0.0113	0.0086	0.0072	0.0055	0.0018	35	24	
25	80	0.8935072422027588	108	0.47286850214004517	80.0000	535.0000	216.0000	762.0000	408.0000	423.0000	142.0000	701.0000	666.0000	246.0000	0.8935	0.0529	0.0412	0.0046	0.0016	0.0011	0.0006	0.0006	0.0005	0.0004	22	25	
26	246	0.1852867305278778	108	3.0409862995147705	246.0000	588.0000	735.0000	142.0000	190.0000	0.0000	80.0000	674.0000	707.0000	160.0000	0.1853	0.1528	0.1478	0.1002	0.0726	0.0648	0.0268	0.0184	0.0167	0.0096	30	26	
27	735	0.4973769187927246	108	1.9395757913589478	735.0000	80.0000	235.0000	588.0000	246.0000	825.0000	657.0000	142.0000	390.0000	852.0000	0.4974	0.1468	0.1122	0.0399	0.0366	0.0340	0.0246	0.0235	0.0165	0.0105	19	27	
28	588	0.5813587307929993	108	1.1207973957061768	588.0000	142.0000	235.0000	160.0000	911.0000	657.0000	942.0000	468.0000	701.0000	735.0000	0.5814	0.2695	0.1201	0.0050	0.0046	0.0024	0.0022	0.0020	0.0016	0.0013	12	28	
29	735	0.15173421800136566	108	3.704948902130127	735.0000	80.0000	142.0000	235.0000	701.0000	216.0000	588.0000	246.0000	470.0000	845.0000	0.1517	0.1005	0.0989	0.0875	0.0709	0.0441	0.0338	0.0223	0.0202	0.0176	50	29	
30	735	0.3064664900302887	108	2.4220612049102783	735.0000	246.0000	80.0000	142.0000	588.0000	235.0000	657.0000	644.0000	911.0000	674.0000	0.3065	0.1562	0.1410	0.1095	0.0755	0.0645	0.0199	0.0117	0.0069	0.0064	42	30	
31	735	0.5078762173652649	108	2.1184792518615723	735.0000	246.0000	80.0000	588.0000	235.0000	657.0000	142.0000	0.0000	707.0000	674.0000	0.5079	0.1450	0.0835	0.0363	0.0340	0.0242	0.0218	0.0134	0.0123	0.0109	48	31	
32	735	0.3655475974082947	108	2.261857509613037	735.0000	246.0000	80.0000	657.0000	588.0000	707.0000	235.0000	825.0000	390.0000	674.0000	0.3655	0.2485	0.1011	0.0539	0.0470	0.0166	0.0156	0.0140	0.0133	0.0113	40	32	
33	246	0.3294072151184082	108	2.1948933601379395	246.0000	735.0000	80.0000	657.0000	588.0000	707.0000	235.0000	390.0000	825.0000	142.0000	0.3294	0.2457	0.1917	0.0298	0.0257	0.0233	0.0174	0.0163	0.0147	0.0083	47	33	
34	80	0.39594215154647827	108	2.2555649280548096	80.0000	246.0000	735.0000	588.0000	142.0000	235.0000	657.0000	825.0000	707.0000	390.0000	0.3959	0.2139	0.0998	0.0570	0.0411	0.0263	0.0255	0.0174	0.0129	0.0065	39	34	
35	735	0.40268754959106445	108	2.4177300930023193	735.0000	80.0000	246.0000	588.0000	657.0000	142.0000	235.0000	825.0000	707.0000	390.0000	0.4027	0.1259	0.0859	0.0759	0.0756	0.0324	0.0257	0.0215	0.0200	0.0148	36	35	
36	735	0.3852570950984955	108	2.2299582958221436	735.0000	80.0000	246.0000	588.0000	657.0000	235.0000	142.0000	825.0000	390.0000	707.0000	0.3853	0.2261	0.1092	0.0589	0.0257	0.0250	0.0232	0.0227	0.0150	0.0114	34	36	
37	735	0.4419902563095093	108	2.1488051414489746	735.0000	657.0000	246.0000	80.0000	588.0000	825.0000	142.0000	235.0000	390.0000	707.0000	0.4420	0.1382	0.1199	0.0734	0.0490	0.0272	0.0263	0.0211	0.0135	0.0093	31	37	
38	735	0.2676372230052948	108	2.428070545196533	735.0000	80.0000	246.0000	588.0000	657.0000	707.0000	390.0000	825.0000	142.0000	235.0000	0.2676	0.2423	0.1607	0.0635	0.0633	0.0326	0.0176	0.0157	0.0132	0.0108	39	38	
39	735	0.3180348575115204	108	2.4909117221832275	735.0000	246.0000	657.0000	80.0000	588.0000	235.0000	390.0000	707.0000	825.0000	142.0000	0.3180	0.1825	0.1704	0.0510	0.0380	0.0290	0.0225	0.0211	0.0203	0.0201	40	39	
40	735	0.3065550625324249	108	2.5130608081817627	735.0000	246.0000	80.0000	588.0000	657.0000	142.0000	707.0000	825.0000	235.0000	390.0000	0.3066	0.1984	0.1257	0.0989	0.0618	0.0212	0.0200	0.0132	0.0120	0.0089	35	40	
41	735	0.3617926239967346	108	2.3076255321502686	735.0000	246.0000	657.0000	80.0000	588.0000	390.0000	825.0000	707.0000	142.0000	0.0000	0.3618	0.2608	0.0779	0.0700	0.0363	0.0227	0.0201	0.0137	0.0129	0.0107	42	41	
42	735	0.2344394475221634	108	2.5823473930358887	735.0000	80.0000	246.0000	657.0000	588.0000	142.0000	390.0000	235.0000	825.0000	0.0000	0.2344	0.2106	0.1874	0.0833	0.0601	0.0232	0.0214	0.0193	0.0125	0.0112	32	42	
43	735	0.3779107928276062	108	2.161550998687744	735.0000	80.0000	246.0000	657.0000	588.0000	825.0000	390.0000	674.0000	707.0000	142.0000	0.3779	0.1783	0.1627	0.0951	0.0331	0.0291	0.0207	0.0071	0.0066	0.0062	34	43	
44	735	0.4691990911960602	108	2.0699751377105713	735.0000	246.0000	80.0000	657.0000	825.0000	588.0000	390.0000	707.0000	535.0000	142.0000	0.4692	0.1492	0.1277	0.0722	0.0357	0.0147	0.0122	0.0120	0.0106	0.0067	51	44	
45	735	0.573250412940979	108	1.770799994468689	735.0000	246.0000	657.0000	80.0000	588.0000	825.0000	707.0000	833.0000	390.0000	142.0000	0.5733	0.1644	0.0561	0.0452	0.0302	0.0233	0.0131	0.0116	0.0067	0.0054	37	45	
46	735	0.69084233045578	108	1.3931400775909424	735.0000	246.0000	588.0000	657.0000	80.0000	825.0000	707.0000	833.0000	390.0000	142.0000	0.6908	0.0900	0.0469	0.0442	0.0382	0.0217	0.0082	0.0068	0.0067	0.0065	29	46	
47	735	0.6691139340400696	108	1.507802963256836	735.0000	80.0000	246.0000	588.0000	825.0000	657.0000	390.0000	707.0000	674.0000	535.0000	0.6691	0.1089	0.0592	0.0350	0.0229	0.0183	0.0093	0.0091	0.0061	0.0051	28	47	
48	735	0.35388070344924927	108	2.492499351501465	735.0000	246.0000	80.0000	657.0000	825.0000	588.0000	390.0000	235.0000	535.0000	142.0000	0.3539	0.1897	0.1356	0.0467	0.0385	0.0351	0.0145	0.0141	0.0133	0.0133	32	48	
49	735	0.42420998215675354	108	2.2928895950317383	735.0000	246.0000	80.0000	657.0000	588.0000	825.0000	390.0000	142.0000	833.0000	707.0000	0.4242	0.1254	0.1235	0.0643	0.0641	0.0326	0.0170	0.0119	0.0116	0.0110	26	49	
50	735	0.4896884560585022	108	1.821105718612671	735.0000	657.0000	246.0000	588.0000	80.0000	825.0000	235.0000	142.0000	390.0000	535.0000	0.4897	0.1743	0.1442	0.0448	0.0354	0.0301	0.0080	0.0079	0.0074	0.0045	29	50	
51	735	0.6165218353271484	108	1.5849732160568237	735.0000	246.0000	657.0000	80.0000	825.0000	390.0000	535.0000	588.0000	707.0000	0.0000	0.6165	0.1367	0.0629	0.0616	0.0232	0.0174	0.0097	0.0097	0.0085	0.0041	41	51	
52	735	0.4373948574066162	108	2.1263041496276855	735.0000	80.0000	246.0000	657.0000	588.0000	535.0000	825.0000	390.0000	833.0000	707.0000	0.4374	0.1396	0.1284	0.0930	0.0413	0.0296	0.0236	0.0132	0.0070	0.0063	39	52	
53	735	0.7847710847854614	108	1.049325704574585	735.0000	246.0000	657.0000	825.0000	80.0000	588.0000	390.0000	674.0000	535.0000	235.0000	0.7848	0.0673	0.0381	0.0325	0.0195	0.0181	0.0045	0.0031	0.0023	0.0020	32	53	
54	735	0.7976066470146179	108	1.009998083114624	735.0000	246.0000	80.0000	657.0000	588.0000	825.0000	390.0000	674.0000	535.0000	762.0000	0.7976	0.0622	0.0416	0.0237	0.0185	0.0154	0.0054	0.0030	0.0027	0.0020	37	54	
55	735	0.3334239423274994	108	2.141247272491455	735.0000	80.0000	246.0000	657.0000	825.0000	588.0000	707.0000	390.0000	535.0000	674.0000	0.3334	0.2658	0.1415	0.0921	0.0223	0.0215	0.0144	0.0103	0.0074	0.0067	44	55	
56	735	0.38545045256614685	108	2.234117269515991	735.0000	80.0000	246.0000	588.0000	657.0000	825.0000	142.0000	235.0000	707.0000	535.0000	0.3855	0.2051	0.1378	0.0771	0.0335	0.0159	0.0125	0.0105	0.0087	0.0087	40	56	
57	735	0.7434435486793518	108	1.2557125091552734	735.0000	246.0000	80.0000	825.0000	588.0000	657.0000	707.0000	390.0000	535.0000	674.0000	0.7434	0.0987	0.0360	0.0244	0.0163	0.0089	0.0074	0.0069	0.0054	0.0037	50	57	
58	80	0.4628526568412781	108	1.797919511795044	80.0000	735.0000	246.0000	657.0000	535.0000	825.0000	588.0000	707.0000	762.0000	0.0000	0.4629	0.3141	0.0706	0.0201	0.0137	0.0092	0.0082	0.0080	0.0077	0.0071	56	58	
59	80	0.32687461376190186	108	2.14453387260437	80.0000	735.0000	246.0000	657.0000	588.0000	825.0000	833.0000	762.0000	390.0000	142.0000	0.3269	0.2979	0.1415	0.0526	0.0413	0.0206	0.0094	0.0075	0.0071	0.0062	41	59	
60	735	0.3644682765007019	108	2.2606382369995117	735.0000	80.0000	246.0000	657.0000	588.0000	825.0000	833.0000	390.0000	142.0000	707.0000	0.3645	0.2311	0.1405	0.0581	0.0426	0.0269	0.0102	0.0073	0.0070	0.0056	39	60	
61	735	0.3772801458835602	108	2.2107999324798584	735.0000	80.0000	246.0000	657.0000	588.0000	825.0000	833.0000	535.0000	142.0000	390.0000	0.3773	0.2602	0.1156	0.0467	0.0373	0.0249	0.0125	0.0073	0.0070	0.0058	37	61	
62	735	0.40969473123550415	108	2.153101682662964	735.0000	80.0000	246.0000	657.0000	588.0000	825.0000	833.0000	390.0000	142.0000	707.0000	0.4097	0.2381	0.1052	0.0624	0.0296	0.0233	0.0092	0.0089	0.0075	0.0066	37	62	
63	735	0.38268381357192993	108	2.2439687252044678	735.0000	80.0000	246.0000	657.0000	825.0000	588.0000	390.0000	142.0000	707.0000	535.0000	0.3827	0.2376	0.1310	0.0514	0.0261	0.0240	0.0102	0.0090	0.0080	0.0077	41	63	
64	735	0.3959725499153137	108	2.157703161239624	735.0000	80.0000	246.0000	657.0000	588.0000	825.0000	833.0000	390.0000	535.0000	142.0000	0.3960	0.2594	0.1076	0.0576	0.0251	0.0194	0.0084	0.0083	0.0076	0.0075	41	64	
65	735	0.3838513493537903	108	2.327939033508301	735.0000	80.0000	246.0000	657.0000	588.0000	825.0000	390.0000	535.0000	833.0000	707.0000	0.3839	0.2437	0.0971	0.0546	0.0333	0.0201	0.0115	0.0110	0.0089	0.0072	43	65	
66	735	0.4086249768733978	108	2.367478847503662	735.0000	80.0000	246.0000	657.0000	588.0000	825.0000	535.0000	833.0000	707.0000	390.0000	0.4086	0.1723	0.1277	0.0555	0.0407	0.0271	0.0140	0.0091	0.0086	0.0085	45	66	
67	735	0.3867476284503937	108	2.3370344638824463	735.0000	80.0000	246.0000	657.0000	588.0000	825.0000	390.0000	535.0000	707.0000	0.0000	0.3867	0.2323	0.1040	0.0492	0.0292	0.0217	0.0197	0.0137	0.0086	0.0078	46	67	
