	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	282	0.1478305459022522	111	3.9053289890289307	282.0000	552.0000	364.0000	528.0000	893.0000	575.0000	315.0000	627.0000	75.0000	310.0000	0.1478	0.1269	0.1250	0.0707	0.0416	0.0381	0.0339	0.0238	0.0143	0.0127	39	0	
1	282	0.22018545866012573	111	3.788109540939331	282.0000	205.0000	315.0000	540.0000	436.0000	213.0000	889.0000	164.0000	919.0000	719.0000	0.2202	0.1160	0.0969	0.0668	0.0299	0.0248	0.0222	0.0163	0.0148	0.0143	105	0	
2	627	0.3165399134159088	111	3.183709144592285	627.0000	315.0000	164.0000	585.0000	75.0000	789.0000	436.0000	54.0000	213.0000	647.0000	0.3165	0.0977	0.0624	0.0573	0.0345	0.0340	0.0311	0.0245	0.0233	0.0232	79	0	
3	315	0.27083897590637207	111	3.003038167953491	315.0000	540.0000	205.0000	282.0000	889.0000	164.0000	868.0000	213.0000	436.0000	162.0000	0.2708	0.1524	0.0848	0.0722	0.0459	0.0451	0.0374	0.0332	0.0275	0.0179	113	0	
4	436	0.17914173007011414	111	3.4378502368927	436.0000	407.0000	213.0000	614.0000	75.0000	315.0000	310.0000	627.0000	235.0000	585.0000	0.1791	0.1738	0.0953	0.0528	0.0443	0.0411	0.0411	0.0375	0.0274	0.0262	45	1	
5	436	0.5450795888900757	111	2.168609380722046	436.0000	315.0000	647.0000	131.0000	614.0000	407.0000	457.0000	213.0000	211.0000	540.0000	0.5451	0.0857	0.0669	0.0321	0.0312	0.0271	0.0253	0.0201	0.0188	0.0121	97	1	
6	627	0.25185665488243103	111	3.068392038345337	627.0000	235.0000	789.0000	436.0000	162.0000	407.0000	614.0000	75.0000	54.0000	585.0000	0.2519	0.0866	0.0760	0.0735	0.0728	0.0596	0.0532	0.0491	0.0284	0.0274	66	1	
7	789	0.23267386853694916	111	3.2336630821228027	789.0000	436.0000	315.0000	647.0000	235.0000	417.0000	162.0000	585.0000	457.0000	614.0000	0.2327	0.1739	0.0869	0.0462	0.0439	0.0383	0.0354	0.0281	0.0258	0.0217	73	1	
8	470	0.4897408187389374	111	1.963275671005249	470.0000	407.0000	80.0000	282.0000	436.0000	315.0000	614.0000	701.0000	385.0000	893.0000	0.4897	0.1544	0.1156	0.0694	0.0265	0.0225	0.0196	0.0143	0.0086	0.0081	11	2	
9	436	0.39347925782203674	111	2.5516862869262695	436.0000	315.0000	212.0000	614.0000	282.0000	211.0000	205.0000	540.0000	220.0000	213.0000	0.3935	0.0840	0.0756	0.0686	0.0539	0.0409	0.0361	0.0319	0.0220	0.0200	32	2	
10	614	0.6551082730293274	111	1.3289096355438232	614.0000	315.0000	627.0000	436.0000	647.0000	75.0000	407.0000	212.0000	177.0000	220.0000	0.6551	0.1480	0.0727	0.0374	0.0187	0.0126	0.0111	0.0089	0.0087	0.0054	29	2	
11	614	0.38953426480293274	111	1.891749382019043	614.0000	315.0000	436.0000	220.0000	213.0000	212.0000	211.0000	540.0000	647.0000	282.0000	0.3895	0.2643	0.0913	0.0650	0.0621	0.0490	0.0175	0.0141	0.0042	0.0042	33	2	
12	407	0.3160695433616638	111	2.7062392234802246	407.0000	893.0000	436.0000	111.0000	614.0000	470.0000	282.0000	552.0000	315.0000	857.0000	0.3161	0.1111	0.1063	0.0988	0.0543	0.0476	0.0437	0.0288	0.0218	0.0181	3	3	
13	436	0.9842628836631775	111	0.10946738719940186	436.0000	540.0000	315.0000	614.0000	75.0000	407.0000	893.0000	212.0000	213.0000	220.0000	0.9843	0.0067	0.0035	0.0023	0.0008	0.0005	0.0005	0.0004	0.0002	0.0002	23	3	
14	436	0.567826509475708	111	1.3048267364501953	436.0000	614.0000	315.0000	75.0000	627.0000	407.0000	585.0000	220.0000	789.0000	212.0000	0.5678	0.3127	0.0174	0.0135	0.0125	0.0119	0.0112	0.0101	0.0061	0.0056	13	3	
15	436	0.9826964139938354	111	0.12094932049512863	436.0000	614.0000	220.0000	540.0000	315.0000	211.0000	213.0000	75.0000	212.0000	407.0000	0.9827	0.0055	0.0044	0.0030	0.0014	0.0010	0.0006	0.0003	0.0003	0.0001	30	3	
16	315	0.43436309695243835	111	2.0654048919677734	315.0000	857.0000	614.0000	282.0000	893.0000	407.0000	528.0000	75.0000	436.0000	205.0000	0.4344	0.1832	0.1296	0.0681	0.0428	0.0400	0.0133	0.0080	0.0071	0.0042	11	4	
