	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	893	0.3006874918937683	112	3.2935993671417236	893.0000	844.0000	239.0000	217.0000	582.0000	552.0000	282.0000	703.0000	153.0000	75.0000	0.3007	0.1914	0.0381	0.0310	0.0221	0.0213	0.0207	0.0198	0.0189	0.0182	227	0	
1	626	0.31797847151756287	112	3.771747589111328	626.0000	844.0000	350.0000	528.0000	884.0000	364.0000	297.0000	490.0000	582.0000	721.0000	0.3180	0.0651	0.0520	0.0461	0.0396	0.0220	0.0191	0.0153	0.0152	0.0137	234	0	
2	844	0.12409098446369171	112	4.76276969909668	844.0000	528.0000	811.0000	873.0000	780.0000	521.0000	808.0000	320.0000	744.0000	153.0000	0.1241	0.0717	0.0364	0.0287	0.0201	0.0194	0.0179	0.0178	0.0174	0.0166	142	1	
3	528	0.23544056713581085	112	3.795131206512451	528.0000	843.0000	626.0000	844.0000	521.0000	627.0000	490.0000	826.0000	700.0000	315.0000	0.2354	0.1359	0.0515	0.0493	0.0401	0.0245	0.0204	0.0203	0.0159	0.0142	105	1	
4	703	0.09576035290956497	112	5.211474895477295	703.0000	719.0000	744.0000	75.0000	811.0000	521.0000	888.0000	0.0000	57.0000	896.0000	0.0958	0.0446	0.0265	0.0236	0.0207	0.0195	0.0190	0.0182	0.0178	0.0169	238	2	
5	61	0.0966574102640152	112	4.339696407318115	61.0000	350.0000	273.0000	297.0000	544.0000	888.0000	626.0000	719.0000	521.0000	703.0000	0.0967	0.0700	0.0614	0.0395	0.0388	0.0386	0.0383	0.0353	0.0350	0.0324	64	2	
6	350	0.10288036614656448	112	4.5304460525512695	350.0000	821.0000	492.0000	57.0000	282.0000	552.0000	394.0000	528.0000	488.0000	521.0000	0.1029	0.1001	0.0480	0.0388	0.0282	0.0281	0.0258	0.0255	0.0250	0.0245	200	3	
7	490	0.1513088196516037	112	3.992870807647705	490.0000	626.0000	507.0000	844.0000	726.0000	789.0000	867.0000	489.0000	350.0000	364.0000	0.1513	0.1079	0.0906	0.0391	0.0346	0.0279	0.0274	0.0269	0.0241	0.0234	164	3	
8	865	0.2799137532711029	112	3.3451433181762695	865.0000	153.0000	0.0000	811.0000	329.0000	521.0000	526.0000	471.0000	282.0000	371.0000	0.2799	0.1156	0.0958	0.0508	0.0358	0.0243	0.0228	0.0200	0.0198	0.0193	389	4	
9	626	0.7385466694831848	112	1.409441590309143	626.0000	627.0000	789.0000	205.0000	153.0000	490.0000	371.0000	27.0000	507.0000	204.0000	0.7385	0.0714	0.0398	0.0250	0.0199	0.0135	0.0079	0.0063	0.0046	0.0031	150	4	
10	857	0.13076810538768768	112	3.841048002243042	857.0000	787.0000	441.0000	282.0000	517.0000	854.0000	889.0000	440.0000	647.0000	241.0000	0.1308	0.1300	0.1135	0.0958	0.0329	0.0230	0.0193	0.0174	0.0167	0.0162	266	5	
11	489	0.12607236206531525	112	4.336188793182373	489.0000	104.0000	888.0000	364.0000	625.0000	241.0000	61.0000	362.0000	821.0000	811.0000	0.1261	0.0641	0.0582	0.0439	0.0339	0.0289	0.0285	0.0235	0.0229	0.0229	159	5	
