	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	282	0.24077525734901428	117	3.8394594192504883	282.0000	626.0000	854.0000	6.0000	290.0000	479.0000	0.0000	232.0000	326.0000	411.0000	0.2408	0.2263	0.0363	0.0283	0.0174	0.0143	0.0134	0.0120	0.0099	0.0093	80	0	
1	282	0.1349925696849823	117	4.201830863952637	282.0000	0.0000	521.0000	626.0000	479.0000	326.0000	528.0000	232.0000	876.0000	443.0000	0.1350	0.0984	0.0765	0.0452	0.0448	0.0438	0.0385	0.0281	0.0207	0.0196	13	0	
2	282	0.20753377676010132	117	3.0459280014038086	282.0000	0.0000	479.0000	381.0000	425.0000	411.0000	326.0000	100.0000	859.0000	876.0000	0.2075	0.1503	0.1437	0.0921	0.0715	0.0448	0.0351	0.0215	0.0162	0.0150	12	1	
3	0	0.4143074154853821	117	2.7140254974365234	0.0000	479.0000	580.0000	425.0000	117.0000	876.0000	381.0000	443.0000	411.0000	326.0000	0.4143	0.0909	0.0737	0.0577	0.0410	0.0409	0.0291	0.0237	0.0221	0.0205	4	1	
4	854	0.22531622648239136	117	3.181215763092041	854.0000	0.0000	485.0000	479.0000	865.0000	411.0000	117.0000	58.0000	759.0000	425.0000	0.2253	0.1459	0.1062	0.0765	0.0599	0.0536	0.0323	0.0268	0.0244	0.0227	6	2	
5	0	0.17444728314876556	117	3.6219725608825684	0.0000	117.0000	802.0000	449.0000	479.0000	625.0000	326.0000	235.0000	425.0000	759.0000	0.1744	0.1340	0.1026	0.0536	0.0466	0.0295	0.0246	0.0186	0.0185	0.0177	1	2	
6	479	0.27310964465141296	117	2.5046374797821045	479.0000	117.0000	0.0000	485.0000	411.0000	425.0000	783.0000	580.0000	304.0000	832.0000	0.2731	0.2731	0.1343	0.0730	0.0312	0.0288	0.0188	0.0128	0.0119	0.0073	1	3	
7	0	0.7439010739326477	117	1.0029287338256836	0.0000	117.0000	580.0000	425.0000	479.0000	381.0000	876.0000	756.0000	110.0000	326.0000	0.7439	0.1337	0.0597	0.0180	0.0144	0.0051	0.0029	0.0028	0.0022	0.0019	1	3	
8	479	0.20851127803325653	117	3.2139956951141357	479.0000	485.0000	117.0000	580.0000	449.0000	118.0000	72.0000	865.0000	490.0000	304.0000	0.2085	0.1792	0.1106	0.0825	0.0426	0.0415	0.0368	0.0222	0.0134	0.0128	2	4	
9	117	0.38067540526390076	117	2.176875352859497	117.0000	580.0000	72.0000	446.0000	449.0000	865.0000	443.0000	638.0000	479.0000	64.0000	0.3807	0.2338	0.1338	0.0554	0.0218	0.0205	0.0184	0.0159	0.0137	0.0093	0	4	
10	117	0.6878443360328674	117	1.7515513896942139	117.0000	158.0000	580.0000	479.0000	412.0000	626.0000	485.0000	783.0000	872.0000	449.0000	0.6878	0.0449	0.0349	0.0275	0.0223	0.0192	0.0138	0.0124	0.0112	0.0079	0	5	
11	117	0.9344779849052429	117	0.4200561046600342	117.0000	638.0000	72.0000	33.0000	449.0000	580.0000	446.0000	576.0000	64.0000	158.0000	0.9345	0.0217	0.0070	0.0064	0.0050	0.0043	0.0035	0.0021	0.0018	0.0014	0	5	
12	485	0.5119249224662781	117	1.929893970489502	485.0000	117.0000	580.0000	425.0000	282.0000	158.0000	0.0000	756.0000	297.0000	783.0000	0.5119	0.2462	0.0446	0.0292	0.0161	0.0131	0.0126	0.0119	0.0064	0.0060	1	6	
13	117	0.9178329110145569	117	0.5107923746109009	117.0000	0.0000	425.0000	297.0000	580.0000	756.0000	485.0000	33.0000	446.0000	233.0000	0.9178	0.0168	0.0158	0.0125	0.0069	0.0045	0.0037	0.0030	0.0026	0.0019	0	6	
14	117	0.7529990077018738	117	1.318068027496338	117.0000	425.0000	479.0000	580.0000	756.0000	876.0000	158.0000	381.0000	759.0000	282.0000	0.7530	0.0502	0.0428	0.0238	0.0198	0.0141	0.0117	0.0084	0.0078	0.0072	0	7	
15	117	0.8761465549468994	117	0.7253003120422363	117.0000	425.0000	580.0000	756.0000	72.0000	479.0000	326.0000	125.0000	297.0000	158.0000	0.8761	0.0266	0.0248	0.0240	0.0045	0.0041	0.0040	0.0033	0.0026	0.0025	0	7	
16	117	0.6748906970024109	117	1.3820350170135498	117.0000	326.0000	783.0000	580.0000	381.0000	0.0000	479.0000	33.0000	756.0000	304.0000	0.6749	0.1122	0.1026	0.0122	0.0118	0.0087	0.0087	0.0060	0.0057	0.0056	0	8	
17	117	0.6247807145118713	117	1.8408846855163574	117.0000	326.0000	33.0000	297.0000	580.0000	72.0000	638.0000	802.0000	479.0000	756.0000	0.6248	0.0682	0.0555	0.0381	0.0281	0.0267	0.0203	0.0155	0.0129	0.0123	0	8	
18	326	0.21570256352424622	117	3.0118751525878906	326.0000	783.0000	479.0000	117.0000	756.0000	580.0000	638.0000	381.0000	118.0000	872.0000	0.2157	0.1127	0.0884	0.0830	0.0821	0.0553	0.0417	0.0345	0.0332	0.0302	3	9	
19	117	0.20951077342033386	117	2.7415995597839355	117.0000	449.0000	756.0000	638.0000	326.0000	580.0000	0.0000	479.0000	72.0000	33.0000	0.2095	0.1379	0.1372	0.0977	0.0671	0.0478	0.0443	0.0427	0.0426	0.0399	0	9	
20	117	0.90999835729599	117	0.578176736831665	117.0000	580.0000	528.0000	490.0000	282.0000	783.0000	346.0000	626.0000	158.0000	759.0000	0.9100	0.0227	0.0087	0.0069	0.0058	0.0057	0.0053	0.0049	0.0044	0.0035	0	10	
21	117	0.9713571071624756	117	0.17814548313617706	117.0000	756.0000	580.0000	0.0000	449.0000	27.0000	759.0000	381.0000	490.0000	485.0000	0.9714	0.0143	0.0077	0.0023	0.0010	0.0005	0.0004	0.0003	0.0002	0.0002	0	10	
22	117	0.24964198470115662	117	3.0633864402770996	117.0000	799.0000	0.0000	479.0000	265.0000	381.0000	505.0000	756.0000	783.0000	490.0000	0.2496	0.0972	0.0670	0.0659	0.0623	0.0542	0.0437	0.0437	0.0417	0.0359	0	11	
23	117	0.5621159076690674	117	2.1654646396636963	117.0000	265.0000	446.0000	756.0000	799.0000	580.0000	479.0000	449.0000	638.0000	443.0000	0.5621	0.0735	0.0456	0.0441	0.0340	0.0251	0.0217	0.0188	0.0167	0.0117	0	11	
24	117	0.6916018724441528	117	1.7480067014694214	117.0000	0.0000	783.0000	381.0000	280.0000	490.0000	479.0000	456.0000	485.0000	118.0000	0.6916	0.0446	0.0425	0.0213	0.0213	0.0160	0.0152	0.0127	0.0123	0.0086	0	12	
25	117	0.4534006118774414	117	2.0406484603881836	117.0000	0.0000	33.0000	756.0000	638.0000	381.0000	876.0000	326.0000	282.0000	803.0000	0.4534	0.1783	0.1509	0.0570	0.0211	0.0095	0.0079	0.0075	0.0072	0.0060	0	12	
