	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	122	0.9015856385231018	122	0.5432068705558777	122.0000	594.0000	430.0000	63.0000	470.0000	499.0000	675.0000	287.0000	593.0000	575.0000	0.9016	0.0380	0.0168	0.0086	0.0070	0.0055	0.0051	0.0030	0.0020	0.0018	0	0	
1	470	0.3247969150543213	122	2.1315174102783203	470.0000	833.0000	430.0000	122.0000	675.0000	63.0000	593.0000	287.0000	412.0000	597.0000	0.3248	0.1461	0.1361	0.1167	0.0956	0.0420	0.0381	0.0306	0.0132	0.0118	3	0	
2	122	0.5852787494659424	122	1.8855485916137695	122.0000	834.0000	63.0000	594.0000	593.0000	11.0000	430.0000	499.0000	938.0000	299.0000	0.5853	0.1017	0.0882	0.0294	0.0202	0.0192	0.0158	0.0152	0.0124	0.0103	0	1	
3	122	0.818013072013855	122	1.109847068786621	122.0000	594.0000	833.0000	675.0000	574.0000	575.0000	597.0000	287.0000	818.0000	598.0000	0.8180	0.0341	0.0189	0.0108	0.0095	0.0074	0.0066	0.0062	0.0055	0.0054	0	1	
4	122	0.41414278745651245	122	2.047412157058716	122.0000	594.0000	63.0000	597.0000	287.0000	818.0000	172.0000	701.0000	430.0000	395.0000	0.4141	0.2737	0.0806	0.0348	0.0251	0.0245	0.0150	0.0147	0.0120	0.0079	0	2	
5	122	0.5665342211723328	122	1.6889021396636963	122.0000	594.0000	597.0000	675.0000	287.0000	818.0000	598.0000	575.0000	395.0000	901.0000	0.5665	0.1471	0.0798	0.0679	0.0328	0.0206	0.0175	0.0082	0.0047	0.0044	0	2	
6	594	0.5172632932662964	122	1.8795530796051025	594.0000	122.0000	430.0000	299.0000	938.0000	287.0000	172.0000	63.0000	597.0000	499.0000	0.5173	0.2049	0.0625	0.0369	0.0268	0.0219	0.0135	0.0100	0.0089	0.0086	1	3	
7	675	0.3270972669124603	122	2.1767661571502686	675.0000	594.0000	938.0000	122.0000	412.0000	593.0000	598.0000	470.0000	575.0000	63.0000	0.3271	0.2452	0.0868	0.0851	0.0518	0.0386	0.0280	0.0228	0.0199	0.0176	3	3	
8	299	0.2657109797000885	122	2.8029448986053467	299.0000	63.0000	122.0000	298.0000	594.0000	834.0000	80.0000	938.0000	287.0000	430.0000	0.2657	0.1863	0.1780	0.0349	0.0342	0.0334	0.0210	0.0181	0.0155	0.0154	2	4	
9	675	0.18785375356674194	122	2.8019111156463623	675.0000	122.0000	833.0000	63.0000	598.0000	80.0000	11.0000	938.0000	593.0000	15.0000	0.1879	0.1701	0.1639	0.0706	0.0604	0.0481	0.0361	0.0280	0.0253	0.0210	1	4	
10	594	0.41729360818862915	122	2.2422168254852295	594.0000	287.0000	575.0000	675.0000	122.0000	395.0000	299.0000	938.0000	63.0000	597.0000	0.4173	0.1957	0.0652	0.0572	0.0326	0.0290	0.0273	0.0258	0.0202	0.0185	4	5	
11	675	0.41644784808158875	122	1.692867398262024	675.0000	594.0000	938.0000	122.0000	287.0000	597.0000	598.0000	575.0000	63.0000	574.0000	0.4164	0.3047	0.0817	0.0617	0.0478	0.0200	0.0166	0.0140	0.0065	0.0063	3	5	
12	122	0.5228269696235657	122	1.4854934215545654	122.0000	594.0000	63.0000	54.0000	430.0000	347.0000	172.0000	701.0000	299.0000	287.0000	0.5228	0.3380	0.0228	0.0172	0.0083	0.0072	0.0067	0.0059	0.0059	0.0047	0	6	
13	594	0.5106207728385925	122	1.8461140394210815	594.0000	122.0000	597.0000	63.0000	675.0000	287.0000	3.0000	938.0000	598.0000	430.0000	0.5106	0.1648	0.1104	0.0571	0.0302	0.0246	0.0104	0.0094	0.0078	0.0072	1	6	
14	122	0.43801558017730713	122	2.4743261337280273	122.0000	287.0000	395.0000	597.0000	299.0000	701.0000	298.0000	80.0000	54.0000	153.0000	0.4380	0.1091	0.0786	0.0550	0.0533	0.0383	0.0256	0.0230	0.0130	0.0130	0	7	
15	597	0.5236707925796509	122	1.504725694656372	597.0000	122.0000	938.0000	675.0000	598.0000	63.0000	683.0000	594.0000	395.0000	901.0000	0.5237	0.3002	0.0592	0.0135	0.0130	0.0125	0.0092	0.0078	0.0059	0.0053	1	7	
16	499	0.5347145795822144	122	1.8391820192337036	499.0000	594.0000	122.0000	938.0000	11.0000	63.0000	298.0000	575.0000	430.0000	353.0000	0.5347	0.1207	0.1015	0.0642	0.0432	0.0361	0.0157	0.0120	0.0079	0.0050	2	8	
17	938	0.2761354446411133	122	2.6748805046081543	938.0000	122.0000	594.0000	575.0000	597.0000	121.0000	412.0000	818.0000	675.0000	574.0000	0.2761	0.1940	0.0882	0.0682	0.0633	0.0526	0.0302	0.0186	0.0180	0.0165	1	8	
18	499	0.4284076690673828	122	2.0023140907287598	499.0000	11.0000	594.0000	938.0000	122.0000	54.0000	298.0000	63.0000	15.0000	353.0000	0.4284	0.2628	0.1039	0.0388	0.0206	0.0198	0.0119	0.0109	0.0076	0.0060	4	9	
19	122	0.47429409623146057	122	2.00754976272583	122.0000	594.0000	121.0000	675.0000	938.0000	574.0000	575.0000	470.0000	11.0000	818.0000	0.4743	0.1589	0.0800	0.0701	0.0428	0.0286	0.0280	0.0220	0.0149	0.0113	0	9	
20	499	0.5344437956809998	122	1.9730899333953857	499.0000	122.0000	251.0000	938.0000	299.0000	298.0000	15.0000	834.0000	63.0000	357.0000	0.5344	0.1737	0.0647	0.0563	0.0186	0.0148	0.0112	0.0084	0.0070	0.0069	1	10	
21	122	0.8221997618675232	122	0.7325505018234253	122.0000	499.0000	121.0000	938.0000	675.0000	470.0000	594.0000	81.0000	15.0000	574.0000	0.8222	0.1064	0.0332	0.0149	0.0064	0.0027	0.0023	0.0011	0.0010	0.0009	0	10	
22	594	0.34487369656562805	122	2.770019292831421	594.0000	834.0000	499.0000	938.0000	298.0000	122.0000	11.0000	63.0000	251.0000	395.0000	0.3449	0.0777	0.0759	0.0619	0.0618	0.0613	0.0396	0.0378	0.0255	0.0226	5	11	
23	675	0.4550568461418152	122	1.9374408721923828	675.0000	594.0000	499.0000	938.0000	575.0000	122.0000	598.0000	430.0000	121.0000	412.0000	0.4551	0.2337	0.0929	0.0386	0.0281	0.0213	0.0166	0.0159	0.0128	0.0086	5	11	
24	63	0.37043076753616333	122	2.3041319847106934	63.0000	298.0000	122.0000	11.0000	834.0000	499.0000	421.0000	683.0000	938.0000	594.0000	0.3704	0.1934	0.1473	0.0700	0.0237	0.0236	0.0148	0.0137	0.0133	0.0128	2	12	
25	597	0.21820615231990814	122	2.4635915756225586	597.0000	675.0000	938.0000	122.0000	470.0000	683.0000	594.0000	63.0000	499.0000	574.0000	0.2182	0.1687	0.1567	0.1284	0.0691	0.0620	0.0406	0.0270	0.0165	0.0153	3	12	
26	122	0.9075543880462646	122	0.4423205256462097	122.0000	594.0000	298.0000	63.0000	144.0000	395.0000	287.0000	54.0000	938.0000	596.0000	0.9076	0.0628	0.0066	0.0045	0.0043	0.0041	0.0030	0.0019	0.0006	0.0005	0	13	
