	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	285	0.12377189099788666	130	5.74389123916626	285.0000	521.0000	347.0000	942.0000	583.0000	483.0000	0.0000	811.0000	832.0000	692.0000	0.1238	0.0291	0.0211	0.0114	0.0113	0.0108	0.0083	0.0082	0.0075	0.0074	308	0	
1	320	0.25925537943840027	130	3.844539165496826	320.0000	543.0000	521.0000	744.0000	285.0000	57.0000	58.0000	528.0000	639.0000	811.0000	0.2593	0.1068	0.0346	0.0343	0.0339	0.0254	0.0214	0.0202	0.0196	0.0186	193	0	
2	819	0.10127478837966919	130	4.5930986404418945	819.0000	944.0000	524.0000	59.0000	110.0000	700.0000	57.0000	811.0000	528.0000	85.0000	0.1013	0.0515	0.0495	0.0355	0.0277	0.0272	0.0266	0.0266	0.0245	0.0238	206	0	
3	320	0.36709606647491455	130	2.454362154006958	320.0000	57.0000	247.0000	543.0000	285.0000	811.0000	471.0000	85.0000	819.0000	639.0000	0.3671	0.1660	0.0807	0.0758	0.0640	0.0340	0.0259	0.0237	0.0178	0.0121	81	0	
4	65	0.20141065120697021	130	3.0492196083068848	65.0000	771.0000	819.0000	811.0000	57.0000	874.0000	792.0000	326.0000	59.0000	320.0000	0.2014	0.1991	0.1627	0.0971	0.0336	0.0237	0.0176	0.0174	0.0161	0.0118	138	0	
5	528	0.12562240660190582	130	4.015238285064697	528.0000	320.0000	471.0000	57.0000	811.0000	789.0000	285.0000	771.0000	247.0000	639.0000	0.1256	0.1038	0.0835	0.0540	0.0512	0.0502	0.0369	0.0348	0.0219	0.0215	103	0	
6	282	0.06291758269071579	130	5.320992469787598	282.0000	285.0000	874.0000	872.0000	131.0000	347.0000	527.0000	0.0000	810.0000	857.0000	0.0629	0.0443	0.0338	0.0311	0.0305	0.0231	0.0226	0.0217	0.0214	0.0209	358	1	
7	576	0.43941983580589294	130	2.6582112312316895	576.0000	425.0000	819.0000	381.0000	0.0000	744.0000	874.0000	324.0000	524.0000	876.0000	0.4394	0.0628	0.0449	0.0414	0.0381	0.0372	0.0342	0.0317	0.0296	0.0186	206	1	
8	576	0.4732552766799927	130	1.7198925018310547	576.0000	819.0000	326.0000	324.0000	72.0000	120.0000	110.0000	874.0000	65.0000	792.0000	0.4733	0.3391	0.0273	0.0178	0.0141	0.0108	0.0095	0.0092	0.0076	0.0055	173	1	
9	874	0.3788372874259949	130	2.6070404052734375	874.0000	771.0000	807.0000	320.0000	401.0000	811.0000	576.0000	523.0000	543.0000	65.0000	0.3788	0.1087	0.1085	0.0673	0.0417	0.0403	0.0232	0.0209	0.0179	0.0148	98	1	
10	819	0.3154276907444	130	2.1479172706604004	819.0000	874.0000	65.0000	522.0000	326.0000	576.0000	771.0000	682.0000	807.0000	488.0000	0.3154	0.1538	0.1453	0.1407	0.0774	0.0713	0.0169	0.0111	0.0055	0.0048	141	1	
11	874	0.12912994623184204	130	3.75972056388855	874.0000	771.0000	807.0000	472.0000	524.0000	100.0000	65.0000	810.0000	639.0000	744.0000	0.1291	0.1020	0.0774	0.0714	0.0406	0.0393	0.0314	0.0281	0.0274	0.0252	122	1	
12	59	0.1421927958726883	130	4.578995227813721	59.0000	285.0000	893.0000	347.0000	0.0000	544.0000	57.0000	528.0000	703.0000	808.0000	0.1422	0.1219	0.1017	0.0205	0.0198	0.0165	0.0137	0.0135	0.0124	0.0122	184	2	
13	0	0.1461857408285141	130	3.2542896270751953	0.0000	744.0000	807.0000	425.0000	326.0000	876.0000	522.0000	819.0000	100.0000	521.0000	0.1462	0.1229	0.0917	0.0810	0.0746	0.0573	0.0432	0.0351	0.0341	0.0324	202	2	
14	819	0.2251918762922287	130	3.0354135036468506	819.0000	576.0000	792.0000	808.0000	326.0000	348.0000	748.0000	865.0000	110.0000	310.0000	0.2252	0.1873	0.0624	0.0566	0.0523	0.0456	0.0432	0.0414	0.0341	0.0184	153	2	
15	807	0.7636498212814331	130	0.9780184626579285	807.0000	320.0000	854.0000	811.0000	819.0000	748.0000	326.0000	57.0000	772.0000	247.0000	0.7636	0.1227	0.0458	0.0228	0.0104	0.0047	0.0035	0.0029	0.0024	0.0022	39	2	
16	792	0.22596491873264313	130	2.977886199951172	792.0000	748.0000	819.0000	808.0000	348.0000	326.0000	59.0000	576.0000	807.0000	65.0000	0.2260	0.1396	0.1020	0.0917	0.0689	0.0328	0.0268	0.0263	0.0260	0.0186	161	2	
17	807	0.7275261878967285	130	1.499272108078003	807.0000	789.0000	471.0000	744.0000	425.0000	320.0000	528.0000	326.0000	0.0000	854.0000	0.7275	0.0342	0.0325	0.0248	0.0246	0.0165	0.0157	0.0155	0.0132	0.0109	80	2	
18	282	0.48052656650543213	130	2.6591882705688477	282.0000	626.0000	6.0000	527.0000	385.0000	411.0000	810.0000	45.0000	893.0000	583.0000	0.4805	0.0960	0.0641	0.0448	0.0311	0.0241	0.0171	0.0134	0.0131	0.0115	197	3	
19	807	0.30192771553993225	130	2.9266955852508545	807.0000	873.0000	326.0000	282.0000	854.0000	576.0000	874.0000	320.0000	324.0000	819.0000	0.3019	0.1546	0.0710	0.0534	0.0489	0.0406	0.0385	0.0338	0.0233	0.0209	165	3	
