	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	243	0.45513471961021423	140	2.772475242614746	243.0000	356.0000	148.0000	75.0000	255.0000	140.0000	895.0000	32.0000	923.0000	767.0000	0.4551	0.0661	0.0647	0.0470	0.0455	0.0229	0.0223	0.0194	0.0182	0.0161	5	0	
1	626	0.10169348865747452	140	4.895371913909912	626.0000	471.0000	489.0000	6.0000	789.0000	468.0000	627.0000	942.0000	297.0000	919.0000	0.1017	0.0661	0.0641	0.0502	0.0415	0.0396	0.0284	0.0243	0.0188	0.0187	191	0	
2	767	0.23416894674301147	140	2.854109764099121	767.0000	650.0000	714.0000	923.0000	156.0000	227.0000	542.0000	62.0000	610.0000	243.0000	0.2342	0.1318	0.1225	0.0993	0.0554	0.0454	0.0436	0.0329	0.0281	0.0233	13	0	
3	243	0.32589268684387207	140	3.079651355743408	243.0000	255.0000	356.0000	148.0000	156.0000	923.0000	75.0000	895.0000	767.0000	610.0000	0.3259	0.1088	0.0807	0.0752	0.0329	0.0327	0.0255	0.0254	0.0199	0.0186	10	0	
4	714	0.49023109674453735	140	1.5333768129348755	714.0000	767.0000	542.0000	243.0000	156.0000	356.0000	870.0000	650.0000	2.0000	610.0000	0.4902	0.3353	0.0355	0.0207	0.0197	0.0177	0.0123	0.0094	0.0092	0.0065	12	0	
5	356	0.04220084846019745	140	5.493649959564209	356.0000	489.0000	161.0000	626.0000	255.0000	243.0000	358.0000	719.0000	6.0000	468.0000	0.0422	0.0372	0.0316	0.0302	0.0269	0.0246	0.0197	0.0184	0.0157	0.0152	101	0	
6	542	0.20741593837738037	140	3.0745491981506348	542.0000	767.0000	156.0000	923.0000	2.0000	714.0000	650.0000	227.0000	62.0000	127.0000	0.2074	0.1468	0.1386	0.0527	0.0484	0.0412	0.0395	0.0275	0.0274	0.0269	13	0	
7	2	0.22512906789779663	140	2.484008312225342	2.0000	767.0000	542.0000	148.0000	140.0000	923.0000	714.0000	156.0000	243.0000	650.0000	0.2251	0.2107	0.1337	0.0835	0.0699	0.0567	0.0447	0.0263	0.0262	0.0178	4	0	
8	767	0.2105354517698288	140	2.624279260635376	767.0000	2.0000	923.0000	542.0000	148.0000	714.0000	650.0000	243.0000	156.0000	140.0000	0.2105	0.1803	0.1591	0.1306	0.0458	0.0313	0.0299	0.0290	0.0244	0.0206	9	0	
9	148	0.5860568881034851	140	1.4296886920928955	148.0000	243.0000	156.0000	356.0000	140.0000	767.0000	32.0000	714.0000	542.0000	166.0000	0.5861	0.1899	0.0808	0.0786	0.0104	0.0053	0.0052	0.0046	0.0041	0.0040	4	1	
10	471	0.13495947420597076	140	4.35664176940918	471.0000	6.0000	871.0000	169.0000	148.0000	255.0000	923.0000	509.0000	789.0000	331.0000	0.1350	0.0727	0.0514	0.0494	0.0369	0.0366	0.0323	0.0292	0.0269	0.0211	149	1	
11	156	0.32924792170524597	140	2.8040990829467773	156.0000	767.0000	714.0000	148.0000	356.0000	905.0000	664.0000	140.0000	243.0000	62.0000	0.3292	0.1136	0.0833	0.0633	0.0494	0.0431	0.0385	0.0371	0.0219	0.0173	7	1	
12	148	0.4680196940898895	140	1.584475040435791	148.0000	243.0000	156.0000	356.0000	169.0000	610.0000	767.0000	140.0000	542.0000	923.0000	0.4680	0.2760	0.1382	0.0386	0.0102	0.0079	0.0070	0.0067	0.0054	0.0042	7	1	
13	156	0.4943988621234894	140	2.1061668395996094	156.0000	767.0000	148.0000	714.0000	243.0000	140.0000	356.0000	2.0000	650.0000	870.0000	0.4944	0.1577	0.0560	0.0470	0.0315	0.0302	0.0277	0.0235	0.0201	0.0142	5	1	
14	169	0.08727127313613892	140	3.8891422748565674	169.0000	651.0000	923.0000	509.0000	538.0000	255.0000	471.0000	6.0000	319.0000	279.0000	0.0873	0.0867	0.0776	0.0756	0.0672	0.0646	0.0476	0.0373	0.0311	0.0274	154	1	
15	156	0.6103499531745911	140	1.9771835803985596	156.0000	148.0000	356.0000	767.0000	335.0000	905.0000	542.0000	140.0000	664.0000	227.0000	0.6103	0.0973	0.0309	0.0248	0.0206	0.0168	0.0163	0.0159	0.0148	0.0133	7	1	
16	148	0.6773310303688049	140	1.6226985454559326	148.0000	243.0000	140.0000	156.0000	356.0000	714.0000	923.0000	767.0000	2.0000	926.0000	0.6773	0.0584	0.0530	0.0418	0.0412	0.0142	0.0110	0.0087	0.0078	0.0077	2	1	
17	148	0.739733874797821	140	1.3323521614074707	148.0000	356.0000	243.0000	156.0000	714.0000	140.0000	610.0000	923.0000	542.0000	870.0000	0.7397	0.0689	0.0518	0.0281	0.0104	0.0102	0.0099	0.0096	0.0089	0.0082	5	1	
18	714	0.41509562730789185	140	1.7969664335250854	714.0000	148.0000	156.0000	243.0000	356.0000	140.0000	767.0000	188.0000	143.0000	32.0000	0.4151	0.1638	0.1183	0.1023	0.0983	0.0496	0.0171	0.0082	0.0070	0.0057	5	2	
19	923	0.2948756217956543	140	3.300903081893921	923.0000	161.0000	148.0000	156.0000	789.0000	610.0000	471.0000	627.0000	489.0000	140.0000	0.2949	0.1381	0.0855	0.0703	0.0377	0.0222	0.0201	0.0149	0.0149	0.0139	9	2	
20	923	0.47686681151390076	140	1.9568451642990112	923.0000	156.0000	714.0000	227.0000	2.0000	870.0000	140.0000	38.0000	62.0000	767.0000	0.4769	0.1423	0.0763	0.0565	0.0471	0.0436	0.0402	0.0305	0.0193	0.0123	6	2	
21	148	0.33535781502723694	140	1.8081202507019043	148.0000	714.0000	356.0000	156.0000	243.0000	140.0000	767.0000	143.0000	188.0000	342.0000	0.3354	0.2184	0.1669	0.1150	0.0913	0.0200	0.0186	0.0115	0.0062	0.0048	5	2	
