	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	141	0.2566787302494049	141	2.942002296447754	141.0000	768.0000	166.0000	681.0000	621.0000	755.0000	331.0000	316.0000	643.0000	925.0000	0.2567	0.1596	0.1464	0.0809	0.0403	0.0320	0.0236	0.0200	0.0189	0.0157	0	0	
1	166	0.19135227799415588	141	3.4217517375946045	166.0000	38.0000	243.0000	157.0000	2.0000	870.0000	3.0000	658.0000	331.0000	643.0000	0.1914	0.1340	0.1261	0.0951	0.0494	0.0382	0.0306	0.0217	0.0154	0.0115	29	0	
2	141	0.30625444650650024	141	2.7242136001586914	141.0000	768.0000	166.0000	681.0000	331.0000	621.0000	755.0000	316.0000	643.0000	460.0000	0.3063	0.1645	0.1455	0.0503	0.0428	0.0372	0.0319	0.0226	0.0137	0.0111	0	0	
3	141	0.22278589010238647	141	2.826359987258911	141.0000	768.0000	166.0000	621.0000	331.0000	681.0000	755.0000	316.0000	643.0000	460.0000	0.2228	0.1800	0.1769	0.0542	0.0503	0.0464	0.0310	0.0292	0.0152	0.0114	0	0	
4	681	0.15344250202178955	141	4.140255928039551	681.0000	510.0000	755.0000	369.0000	768.0000	589.0000	141.0000	191.0000	277.0000	811.0000	0.1534	0.0935	0.0401	0.0383	0.0373	0.0337	0.0321	0.0269	0.0254	0.0242	6	0	
5	191	0.14647813141345978	141	4.060191631317139	191.0000	166.0000	243.0000	912.0000	38.0000	331.0000	157.0000	364.0000	755.0000	226.0000	0.1465	0.1023	0.0792	0.0720	0.0462	0.0449	0.0356	0.0260	0.0257	0.0212	10	0	
6	141	0.2515611946582794	141	2.9862608909606934	141.0000	768.0000	166.0000	681.0000	621.0000	755.0000	331.0000	316.0000	643.0000	925.0000	0.2516	0.1755	0.1243	0.0813	0.0405	0.0331	0.0256	0.0212	0.0180	0.0144	0	0	
7	489	0.07948178797960281	141	4.552636623382568	489.0000	364.0000	191.0000	681.0000	698.0000	509.0000	768.0000	369.0000	141.0000	277.0000	0.0795	0.0788	0.0632	0.0453	0.0437	0.0382	0.0309	0.0301	0.0222	0.0211	8	0	
8	681	0.1994958072900772	141	3.928701400756836	681.0000	768.0000	510.0000	141.0000	698.0000	369.0000	621.0000	277.0000	289.0000	589.0000	0.1995	0.1016	0.0470	0.0428	0.0391	0.0369	0.0307	0.0264	0.0235	0.0212	3	0	
9	364	0.12359428405761719	141	4.356139183044434	364.0000	489.0000	191.0000	509.0000	681.0000	698.0000	768.0000	369.0000	141.0000	277.0000	0.1236	0.0995	0.0761	0.0410	0.0382	0.0375	0.0246	0.0226	0.0214	0.0201	8	0	
10	681	0.15000762045383453	141	4.239937782287598	681.0000	510.0000	755.0000	369.0000	768.0000	141.0000	589.0000	277.0000	191.0000	811.0000	0.1500	0.0813	0.0408	0.0389	0.0382	0.0376	0.0277	0.0244	0.0238	0.0226	5	0	
11	141	0.9416961073875427	141	0.4411395192146301	141.0000	768.0000	494.0000	97.0000	713.0000	698.0000	316.0000	460.0000	662.0000	180.0000	0.9417	0.0089	0.0087	0.0066	0.0026	0.0026	0.0025	0.0018	0.0015	0.0013	0	1	
12	494	0.39740392565727234	141	2.673499822616577	494.0000	141.0000	243.0000	658.0000	662.0000	143.0000	512.0000	713.0000	335.0000	97.0000	0.3974	0.1742	0.0830	0.0723	0.0294	0.0208	0.0206	0.0115	0.0110	0.0099	1	1	
