	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	235	0.20592685043811798	142	3.378506898880005	235.0000	122.0000	818.0000	701.0000	583.0000	353.0000	142.0000	143.0000	80.0000	672.0000	0.2059	0.1166	0.0979	0.0831	0.0724	0.0649	0.0387	0.0219	0.0212	0.0180	6	0	
1	235	0.6240348815917969	142	1.2492692470550537	235.0000	142.0000	515.0000	782.0000	301.0000	588.0000	190.0000	644.0000	657.0000	249.0000	0.6240	0.2441	0.0385	0.0270	0.0143	0.0130	0.0049	0.0046	0.0042	0.0035	1	0	
2	235	0.8574175238609314	142	0.6904571056365967	235.0000	142.0000	701.0000	301.0000	782.0000	515.0000	588.0000	249.0000	644.0000	143.0000	0.8574	0.0794	0.0160	0.0090	0.0077	0.0070	0.0028	0.0028	0.0018	0.0015	1	0	
3	235	0.6240348815917969	142	1.2492692470550537	235.0000	142.0000	515.0000	782.0000	301.0000	588.0000	190.0000	644.0000	657.0000	249.0000	0.6240	0.2441	0.0385	0.0270	0.0143	0.0130	0.0049	0.0046	0.0042	0.0035	1	0	
4	701	0.2184668332338333	142	3.9054880142211914	701.0000	142.0000	235.0000	80.0000	597.0000	143.0000	122.0000	818.0000	301.0000	423.0000	0.2185	0.1627	0.0991	0.0243	0.0215	0.0202	0.0200	0.0161	0.0141	0.0139	1	0	
5	583	0.23593536019325256	142	4.2438554763793945	583.0000	515.0000	234.0000	142.0000	580.0000	375.0000	701.0000	80.0000	259.0000	287.0000	0.2359	0.0707	0.0424	0.0402	0.0310	0.0271	0.0268	0.0247	0.0195	0.0155	3	1	
6	142	0.9151157736778259	142	0.4303659200668335	142.0000	515.0000	235.0000	588.0000	782.0000	336.0000	190.0000	333.0000	467.0000	644.0000	0.9151	0.0459	0.0156	0.0070	0.0057	0.0022	0.0021	0.0010	0.0009	0.0008	0	1	
7	142	0.8912281394004822	142	0.6327542066574097	142.0000	235.0000	515.0000	782.0000	712.0000	588.0000	336.0000	778.0000	644.0000	333.0000	0.8912	0.0281	0.0268	0.0110	0.0064	0.0059	0.0059	0.0033	0.0021	0.0020	0	1	
8	142	0.9151157736778259	142	0.4303659200668335	142.0000	515.0000	235.0000	588.0000	782.0000	336.0000	190.0000	333.0000	467.0000	644.0000	0.9151	0.0459	0.0156	0.0070	0.0057	0.0022	0.0021	0.0010	0.0009	0.0008	0	1	
9	142	0.4118402600288391	142	3.041149854660034	142.0000	735.0000	80.0000	833.0000	515.0000	657.0000	701.0000	580.0000	301.0000	658.0000	0.4118	0.0714	0.0665	0.0648	0.0572	0.0466	0.0302	0.0133	0.0102	0.0097	0	1	
