	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	583	0.21897806227207184	144	4.664249420166016	583.0000	644.0000	942.0000	301.0000	657.0000	96.0000	470.0000	833.0000	575.0000	651.0000	0.2190	0.0480	0.0283	0.0259	0.0256	0.0208	0.0207	0.0198	0.0187	0.0140	149	0	
1	909	0.35650888085365295	144	2.2246503829956055	909.0000	692.0000	832.0000	96.0000	3.0000	144.0000	583.0000	252.0000	421.0000	279.0000	0.3565	0.2367	0.1543	0.0491	0.0348	0.0307	0.0148	0.0125	0.0113	0.0057	5	0	
2	161	0.3719884753227234	144	3.2685208320617676	161.0000	261.0000	657.0000	143.0000	912.0000	423.0000	356.0000	156.0000	644.0000	750.0000	0.3720	0.0944	0.0872	0.0301	0.0272	0.0211	0.0206	0.0187	0.0185	0.0120	29	0	
3	692	0.3943398892879486	144	2.073617935180664	692.0000	909.0000	421.0000	252.0000	96.0000	144.0000	122.0000	3.0000	832.0000	98.0000	0.3943	0.3290	0.0348	0.0346	0.0316	0.0308	0.0145	0.0129	0.0121	0.0070	5	0	
4	277	0.05085766315460205	144	5.400640964508057	277.0000	583.0000	255.0000	142.0000	657.0000	301.0000	489.0000	825.0000	16.0000	304.0000	0.0509	0.0504	0.0453	0.0315	0.0309	0.0229	0.0183	0.0129	0.0128	0.0126	68	1	
5	38	0.47329577803611755	144	2.450523853302002	38.0000	96.0000	909.0000	252.0000	144.0000	484.0000	511.0000	692.0000	143.0000	581.0000	0.4733	0.1290	0.0786	0.0355	0.0329	0.0224	0.0220	0.0203	0.0188	0.0130	4	1	
6	762	0.09723568707704544	144	4.7036261558532715	762.0000	423.0000	161.0000	637.0000	301.0000	395.0000	845.0000	750.0000	216.0000	143.0000	0.0972	0.0717	0.0614	0.0506	0.0501	0.0489	0.0307	0.0279	0.0274	0.0224	81	1	
7	143	0.5186004638671875	144	2.4096755981445312	143.0000	882.0000	144.0000	484.0000	38.0000	356.0000	96.0000	909.0000	54.0000	252.0000	0.5186	0.0990	0.0751	0.0383	0.0321	0.0199	0.0195	0.0154	0.0141	0.0135	2	1	
8	657	0.07620802521705627	144	5.187808990478516	657.0000	825.0000	301.0000	845.0000	189.0000	644.0000	142.0000	255.0000	369.0000	80.0000	0.0762	0.0511	0.0487	0.0365	0.0280	0.0264	0.0235	0.0174	0.0155	0.0151	180	2	
9	38	0.16379255056381226	144	3.745594024658203	38.0000	692.0000	484.0000	252.0000	121.0000	98.0000	680.0000	421.0000	882.0000	255.0000	0.1638	0.1497	0.1024	0.1009	0.0530	0.0278	0.0275	0.0168	0.0131	0.0126	74	2	
10	423	0.43065035343170166	144	2.08475661277771	423.0000	301.0000	637.0000	701.0000	161.0000	47.0000	644.0000	35.0000	216.0000	825.0000	0.4307	0.3416	0.0293	0.0272	0.0123	0.0121	0.0072	0.0071	0.0068	0.0063	376	2	
11	692	0.1838526874780655	144	3.9608750343322754	692.0000	301.0000	421.0000	98.0000	484.0000	899.0000	96.0000	785.0000	3.0000	679.0000	0.1839	0.1132	0.0827	0.0566	0.0282	0.0253	0.0251	0.0232	0.0229	0.0192	30	2	
12	384	0.12281940877437592	144	3.9584505558013916	384.0000	651.0000	104.0000	143.0000	96.0000	657.0000	67.0000	356.0000	335.0000	18.0000	0.1228	0.1219	0.1100	0.0864	0.0360	0.0348	0.0236	0.0191	0.0190	0.0181	41	3	
13	484	0.12679508328437805	144	3.9482486248016357	484.0000	38.0000	143.0000	252.0000	511.0000	680.0000	617.0000	156.0000	356.0000	144.0000	0.1268	0.1178	0.0930	0.0821	0.0656	0.0391	0.0239	0.0232	0.0222	0.0158	9	3	
14	657	0.1143784150481224	144	4.332019805908203	657.0000	356.0000	301.0000	423.0000	161.0000	480.0000	845.0000	143.0000	3.0000	715.0000	0.1144	0.0971	0.0833	0.0700	0.0465	0.0424	0.0409	0.0262	0.0223	0.0198	154	3	
15	484	0.8093007802963257	144	1.035168170928955	484.0000	143.0000	356.0000	121.0000	882.0000	156.0000	96.0000	651.0000	384.0000	335.0000	0.8093	0.0749	0.0278	0.0081	0.0074	0.0054	0.0051	0.0050	0.0043	0.0040	12	3	
16	104	0.44993335008621216	144	3.10507869720459	104.0000	203.0000	369.0000	335.0000	301.0000	515.0000	375.0000	657.0000	830.0000	449.0000	0.4499	0.0905	0.0578	0.0355	0.0218	0.0144	0.0143	0.0130	0.0111	0.0101	137	4	
17	143	0.508332371711731	144	2.6944451332092285	143.0000	96.0000	144.0000	384.0000	690.0000	106.0000	156.0000	356.0000	909.0000	728.0000	0.5083	0.0554	0.0494	0.0308	0.0295	0.0223	0.0201	0.0176	0.0155	0.0153	2	4	
18	104	0.26017168164253235	144	4.013698101043701	104.0000	301.0000	216.0000	143.0000	423.0000	98.0000	679.0000	942.0000	637.0000	161.0000	0.2602	0.1396	0.0555	0.0429	0.0258	0.0171	0.0166	0.0142	0.0129	0.0119	84	4	
19	143	0.2945171296596527	144	3.3500280380249023	143.0000	205.0000	617.0000	144.0000	484.0000	75.0000	38.0000	121.0000	923.0000	156.0000	0.2945	0.1193	0.0882	0.0426	0.0303	0.0267	0.0251	0.0227	0.0200	0.0191	3	4	
20	583	0.4543699622154236	144	2.6097373962402344	583.0000	651.0000	384.0000	899.0000	690.0000	54.0000	375.0000	142.0000	203.0000	301.0000	0.4544	0.1210	0.0455	0.0414	0.0322	0.0311	0.0232	0.0226	0.0212	0.0141	232	5	
21	909	0.2482195645570755	144	3.6465466022491455	909.0000	143.0000	853.0000	3.0000	96.0000	690.0000	54.0000	339.0000	692.0000	899.0000	0.2482	0.0833	0.0761	0.0626	0.0476	0.0429	0.0357	0.0282	0.0173	0.0169	14	5	
22	301	0.22051426768302917	144	4.143522262573242	301.0000	3.0000	356.0000	143.0000	395.0000	54.0000	161.0000	899.0000	216.0000	584.0000	0.2205	0.1206	0.0468	0.0314	0.0285	0.0281	0.0251	0.0201	0.0182	0.0140	116	5	
23	853	0.15361839532852173	144	3.953314781188965	853.0000	484.0000	339.0000	143.0000	384.0000	96.0000	144.0000	133.0000	38.0000	54.0000	0.1536	0.1051	0.0807	0.0496	0.0480	0.0417	0.0214	0.0212	0.0196	0.0194	6	5	
24	104	0.09070973098278046	144	4.0792999267578125	104.0000	143.0000	356.0000	515.0000	142.0000	651.0000	301.0000	788.0000	583.0000	423.0000	0.0907	0.0655	0.0605	0.0602	0.0585	0.0540	0.0410	0.0366	0.0310	0.0289	157	6	
25	143	0.44987714290618896	144	2.5784239768981934	143.0000	96.0000	853.0000	484.0000	38.0000	617.0000	54.0000	822.0000	282.0000	692.0000	0.4499	0.0923	0.0844	0.0760	0.0415	0.0312	0.0228	0.0197	0.0095	0.0091	16	6	
26	301	0.32677173614501953	144	3.426581859588623	301.0000	423.0000	161.0000	395.0000	104.0000	143.0000	644.0000	575.0000	232.0000	54.0000	0.3268	0.1558	0.0963	0.0316	0.0267	0.0162	0.0126	0.0103	0.0102	0.0096	326	6	
27	484	0.3860776126384735	144	2.4208297729492188	484.0000	96.0000	143.0000	617.0000	38.0000	853.0000	339.0000	144.0000	822.0000	133.0000	0.3861	0.1531	0.1502	0.0943	0.0196	0.0192	0.0136	0.0113	0.0103	0.0097	7	6	
28	203	0.30639517307281494	144	2.9967331886291504	203.0000	932.0000	830.0000	583.0000	369.0000	70.0000	651.0000	659.0000	342.0000	375.0000	0.3064	0.1901	0.0802	0.0557	0.0535	0.0319	0.0302	0.0117	0.0112	0.0112	80	7	
29	96	0.6420466899871826	144	1.7515699863433838	96.0000	143.0000	252.0000	38.0000	144.0000	853.0000	3.0000	133.0000	692.0000	679.0000	0.6420	0.0690	0.0586	0.0508	0.0204	0.0193	0.0177	0.0137	0.0107	0.0098	4	7	
30	161	0.9447070956230164	144	0.39860355854034424	161.0000	143.0000	423.0000	216.0000	637.0000	728.0000	47.0000	662.0000	137.0000	3.0000	0.9447	0.0214	0.0055	0.0024	0.0016	0.0014	0.0012	0.0010	0.0009	0.0009	211	7	
31	143	0.6328477263450623	144	1.4022679328918457	143.0000	252.0000	96.0000	144.0000	692.0000	148.0000	728.0000	882.0000	156.0000	62.0000	0.6328	0.2225	0.0248	0.0148	0.0137	0.0124	0.0113	0.0097	0.0056	0.0044	3	7	
32	651	0.8993368744850159	144	0.550162672996521	651.0000	484.0000	830.0000	18.0000	845.0000	783.0000	751.0000	346.0000	142.0000	319.0000	0.8993	0.0435	0.0144	0.0128	0.0090	0.0028	0.0022	0.0020	0.0016	0.0010	148	8	
33	38	0.3987131118774414	144	1.9833931922912598	38.0000	909.0000	133.0000	96.0000	484.0000	679.0000	144.0000	853.0000	692.0000	339.0000	0.3987	0.2832	0.0993	0.0445	0.0355	0.0189	0.0161	0.0156	0.0111	0.0084	6	8	
34	845	0.42552217841148376	144	2.6241660118103027	845.0000	301.0000	96.0000	104.0000	484.0000	515.0000	701.0000	421.0000	161.0000	133.0000	0.4255	0.1384	0.0998	0.0418	0.0331	0.0225	0.0192	0.0138	0.0119	0.0103	394	8	
