	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	150	0.3649311065673828	150	2.253622531890869	150.0000	38.0000	817.0000	617.0000	926.0000	734.0000	2.0000	127.0000	335.0000	870.0000	0.3649	0.1425	0.1014	0.0902	0.0808	0.0619	0.0556	0.0218	0.0092	0.0076	0	0	
1	150	0.35401785373687744	150	2.069741725921631	150.0000	38.0000	2.0000	926.0000	617.0000	734.0000	817.0000	127.0000	335.0000	377.0000	0.3540	0.2296	0.1022	0.0976	0.0567	0.0491	0.0247	0.0151	0.0117	0.0078	0	0	
2	150	0.6006450653076172	150	1.6448036432266235	150.0000	2.0000	38.0000	926.0000	734.0000	127.0000	817.0000	335.0000	617.0000	377.0000	0.6006	0.1717	0.0411	0.0290	0.0245	0.0210	0.0189	0.0161	0.0123	0.0111	0	0	
3	817	0.5415951609611511	150	1.8288263082504272	817.0000	150.0000	617.0000	38.0000	926.0000	734.0000	2.0000	142.0000	377.0000	127.0000	0.5416	0.1490	0.1102	0.0376	0.0364	0.0273	0.0206	0.0080	0.0065	0.0050	1	0	
4	150	0.3268619477748871	150	2.083061695098877	150.0000	2.0000	734.0000	926.0000	817.0000	617.0000	38.0000	127.0000	335.0000	148.0000	0.3269	0.3042	0.0886	0.0787	0.0367	0.0336	0.0316	0.0290	0.0073	0.0060	0	0	
5	150	0.5261095762252808	150	2.2362143993377686	150.0000	2.0000	734.0000	38.0000	817.0000	926.0000	148.0000	617.0000	127.0000	227.0000	0.5261	0.0778	0.0689	0.0477	0.0447	0.0426	0.0402	0.0138	0.0112	0.0092	0	0	
6	150	0.544029176235199	150	1.7630279064178467	150.0000	38.0000	2.0000	926.0000	617.0000	817.0000	734.0000	870.0000	127.0000	377.0000	0.5440	0.1361	0.1021	0.0426	0.0378	0.0348	0.0299	0.0139	0.0113	0.0058	0	0	
7	150	0.3258155286312103	150	2.1369433403015137	150.0000	2.0000	734.0000	926.0000	817.0000	127.0000	617.0000	335.0000	148.0000	735.0000	0.3258	0.2424	0.1859	0.0669	0.0516	0.0264	0.0153	0.0054	0.0050	0.0046	0	0	
8	150	0.9611157774925232	150	0.22824633121490479	150.0000	734.0000	2.0000	895.0000	38.0000	817.0000	926.0000	377.0000	127.0000	870.0000	0.9611	0.0203	0.0092	0.0033	0.0017	0.0012	0.0008	0.0002	0.0002	0.0002	0	1	
9	150	0.9589608907699585	150	0.2265198826789856	150.0000	734.0000	2.0000	817.0000	142.0000	905.0000	377.0000	127.0000	473.0000	895.0000	0.9590	0.0251	0.0095	0.0017	0.0011	0.0008	0.0007	0.0005	0.0002	0.0002	0	1	
10	150	0.9920521974563599	150	0.0638062134385109	150.0000	2.0000	734.0000	817.0000	127.0000	377.0000	905.0000	895.0000	926.0000	142.0000	0.9921	0.0034	0.0012	0.0006	0.0006	0.0004	0.0003	0.0003	0.0002	0.0002	0	1	
11	150	0.7635621428489685	150	0.8725771903991699	150.0000	817.0000	2.0000	734.0000	38.0000	377.0000	895.0000	465.0000	142.0000	735.0000	0.7636	0.1383	0.0541	0.0262	0.0043	0.0018	0.0013	0.0010	0.0006	0.0005	0	1	
