	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	205	0.5580732226371765	153	2.1147515773773193	205.0000	287.0000	395.0000	598.0000	75.0000	584.0000	81.0000	122.0000	627.0000	575.0000	0.5581	0.1093	0.0625	0.0583	0.0225	0.0137	0.0127	0.0114	0.0097	0.0078	18	0	
1	594	0.204048752784729	153	3.914691925048828	594.0000	287.0000	375.0000	598.0000	205.0000	701.0000	63.0000	575.0000	239.0000	122.0000	0.2040	0.1277	0.0617	0.0574	0.0563	0.0261	0.0165	0.0162	0.0149	0.0134	13	0	
2	528	0.29692915081977844	153	3.0357322692871094	528.0000	153.0000	627.0000	547.0000	789.0000	85.0000	205.0000	217.0000	320.0000	282.0000	0.2969	0.1234	0.1147	0.0637	0.0506	0.0373	0.0324	0.0232	0.0219	0.0139	1	0	
3	205	0.1665613204240799	153	4.184175491333008	205.0000	144.0000	762.0000	395.0000	355.0000	122.0000	584.0000	353.0000	204.0000	299.0000	0.1666	0.0766	0.0623	0.0522	0.0332	0.0318	0.0298	0.0277	0.0273	0.0228	17	1	
4	594	0.371629536151886	153	3.056929111480713	594.0000	122.0000	597.0000	153.0000	205.0000	172.0000	919.0000	239.0000	375.0000	675.0000	0.3716	0.1738	0.0485	0.0386	0.0338	0.0281	0.0240	0.0193	0.0127	0.0094	3	1	
5	471	0.4536307454109192	153	1.4998643398284912	471.0000	854.0000	278.0000	789.0000	277.0000	528.0000	837.0000	807.0000	65.0000	490.0000	0.4536	0.3450	0.0632	0.0482	0.0399	0.0088	0.0076	0.0043	0.0038	0.0029	16	1	
6	205	0.5756790637969971	153	1.8506224155426025	205.0000	153.0000	395.0000	584.0000	575.0000	919.0000	211.0000	617.0000	776.0000	96.0000	0.5757	0.1600	0.1001	0.0139	0.0132	0.0111	0.0072	0.0070	0.0065	0.0054	1	2	
7	575	0.167429581284523	153	4.308011054992676	575.0000	153.0000	919.0000	466.0000	594.0000	205.0000	844.0000	122.0000	583.0000	574.0000	0.1674	0.0792	0.0578	0.0515	0.0462	0.0330	0.0286	0.0249	0.0236	0.0220	1	2	
8	528	0.5112463235855103	153	1.850265622138977	528.0000	205.0000	844.0000	153.0000	85.0000	582.0000	282.0000	868.0000	217.0000	239.0000	0.5112	0.1376	0.0941	0.0932	0.0539	0.0147	0.0105	0.0094	0.0082	0.0078	3	2	
9	205	0.9043496251106262	153	0.6657087802886963	205.0000	153.0000	395.0000	642.0000	919.0000	603.0000	584.0000	434.0000	54.0000	211.0000	0.9043	0.0179	0.0125	0.0063	0.0060	0.0049	0.0033	0.0031	0.0023	0.0023	1	3	
10	205	0.8929517865180969	153	0.7952097654342651	205.0000	153.0000	919.0000	679.0000	157.0000	900.0000	32.0000	434.0000	727.0000	143.0000	0.8930	0.0160	0.0116	0.0100	0.0070	0.0042	0.0021	0.0020	0.0020	0.0019	1	3	
11	282	0.6906254887580872	153	1.5838874578475952	282.0000	205.0000	528.0000	85.0000	524.0000	711.0000	626.0000	348.0000	153.0000	844.0000	0.6906	0.0829	0.0435	0.0353	0.0165	0.0160	0.0118	0.0107	0.0058	0.0058	8	3	
12	205	0.31571322679519653	153	3.0689215660095215	205.0000	75.0000	919.0000	61.0000	153.0000	315.0000	213.0000	642.0000	45.0000	344.0000	0.3157	0.2981	0.0270	0.0140	0.0123	0.0094	0.0093	0.0086	0.0085	0.0085	4	4	
13	205	0.14286546409130096	153	4.329514503479004	205.0000	594.0000	919.0000	122.0000	153.0000	32.0000	497.0000	517.0000	675.0000	483.0000	0.1429	0.1353	0.0668	0.0598	0.0312	0.0269	0.0157	0.0130	0.0122	0.0118	4	4	
14	348	0.34808120131492615	153	3.211946964263916	348.0000	721.0000	85.0000	528.0000	532.0000	51.0000	205.0000	844.0000	508.0000	153.0000	0.3481	0.1358	0.0522	0.0349	0.0295	0.0294	0.0202	0.0169	0.0166	0.0158	9	4	
15	205	0.9510118365287781	153	0.33331406116485596	205.0000	75.0000	776.0000	153.0000	54.0000	645.0000	144.0000	362.0000	584.0000	721.0000	0.9510	0.0159	0.0106	0.0058	0.0018	0.0009	0.0009	0.0008	0.0006	0.0005	3	5	
16	144	0.14859439432621002	153	3.938595771789551	144.0000	121.0000	356.0000	205.0000	655.0000	153.0000	919.0000	594.0000	597.0000	750.0000	0.1486	0.1046	0.0989	0.0849	0.0386	0.0346	0.0278	0.0239	0.0231	0.0208	5	5	
17	205	0.6659994721412659	153	1.6144684553146362	205.0000	582.0000	844.0000	153.0000	528.0000	639.0000	524.0000	478.0000	434.0000	282.0000	0.6660	0.0879	0.0408	0.0376	0.0258	0.0216	0.0147	0.0107	0.0101	0.0081	3	5	
18	205	0.707115650177002	153	1.4398057460784912	205.0000	575.0000	153.0000	299.0000	434.0000	617.0000	144.0000	642.0000	919.0000	584.0000	0.7071	0.0639	0.0468	0.0342	0.0270	0.0194	0.0173	0.0165	0.0113	0.0040	2	6	
19	356	0.158525750041008	153	2.8848934173583984	356.0000	144.0000	597.0000	205.0000	253.0000	153.0000	919.0000	287.0000	434.0000	574.0000	0.1585	0.1339	0.1095	0.0972	0.0957	0.0855	0.0644	0.0384	0.0345	0.0301	5	6	
20	626	0.4843985140323639	153	2.001037120819092	626.0000	642.0000	141.0000	153.0000	434.0000	45.0000	205.0000	51.0000	331.0000	340.0000	0.4844	0.1671	0.0932	0.0704	0.0443	0.0221	0.0192	0.0110	0.0064	0.0056	3	6	
21	598	0.08899261057376862	153	4.455189228057861	598.0000	81.0000	144.0000	575.0000	797.0000	584.0000	96.0000	38.0000	122.0000	596.0000	0.0890	0.0499	0.0489	0.0463	0.0394	0.0387	0.0357	0.0326	0.0236	0.0193	13	7	
22	153	0.3225814998149872	153	3.8525190353393555	153.0000	205.0000	434.0000	582.0000	235.0000	919.0000	642.0000	605.0000	675.0000	594.0000	0.3226	0.0492	0.0392	0.0302	0.0300	0.0261	0.0241	0.0186	0.0177	0.0157	0	7	
23	528	0.4268113672733307	153	1.8736082315444946	528.0000	789.0000	153.0000	85.0000	320.0000	868.0000	282.0000	57.0000	319.0000	217.0000	0.4268	0.1827	0.1708	0.0614	0.0384	0.0356	0.0257	0.0065	0.0059	0.0034	2	7	
24	205	0.5831310749053955	153	2.509005546569824	205.0000	153.0000	642.0000	575.0000	776.0000	54.0000	617.0000	38.0000	81.0000	80.0000	0.5831	0.0405	0.0317	0.0285	0.0183	0.0175	0.0118	0.0106	0.0105	0.0103	1	8	
25	205	0.4481644630432129	153	2.938768148422241	205.0000	153.0000	356.0000	434.0000	574.0000	662.0000	550.0000	750.0000	375.0000	269.0000	0.4482	0.1195	0.1033	0.0160	0.0127	0.0114	0.0098	0.0077	0.0072	0.0072	1	8	
26	558	0.13785216212272644	153	3.7612524032592773	558.0000	853.0000	205.0000	319.0000	282.0000	642.0000	153.0000	754.0000	730.0000	71.0000	0.1379	0.0836	0.0805	0.0787	0.0672	0.0511	0.0509	0.0249	0.0235	0.0232	6	8	
27	776	0.2918410003185272	153	2.2408201694488525	776.0000	395.0000	205.0000	584.0000	287.0000	75.0000	344.0000	216.0000	721.0000	627.0000	0.2918	0.2109	0.1568	0.1518	0.0300	0.0263	0.0159	0.0112	0.0100	0.0080	12	9	
28	153	0.2576161026954651	153	3.455784797668457	153.0000	205.0000	287.0000	919.0000	356.0000	262.0000	642.0000	582.0000	434.0000	344.0000	0.2576	0.1320	0.0661	0.0564	0.0403	0.0354	0.0293	0.0267	0.0253	0.0219	0	9	
29	153	0.7186654210090637	153	1.1760387420654297	153.0000	582.0000	205.0000	844.0000	888.0000	642.0000	528.0000	217.0000	348.0000	884.0000	0.7187	0.1457	0.0467	0.0172	0.0106	0.0093	0.0088	0.0044	0.0036	0.0031	0	9	
30	54	0.20045670866966248	153	3.5740888118743896	54.0000	646.0000	2.0000	205.0000	617.0000	38.0000	96.0000	299.0000	364.0000	153.0000	0.2005	0.1428	0.0528	0.0450	0.0442	0.0442	0.0439	0.0377	0.0290	0.0204	9	10	
31	153	0.3846980929374695	153	2.1423869132995605	153.0000	642.0000	205.0000	434.0000	919.0000	157.0000	895.0000	594.0000	287.0000	623.0000	0.3847	0.2551	0.0847	0.0630	0.0410	0.0234	0.0197	0.0176	0.0155	0.0120	0	10	
