	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	453	0.06582316756248474	155	5.414545059204102	453.0000	219.0000	75.0000	888.0000	830.0000	626.0000	304.0000	297.0000	582.0000	507.0000	0.0658	0.0590	0.0454	0.0231	0.0212	0.0199	0.0181	0.0174	0.0174	0.0132	127	0	
1	507	0.08579681068658829	155	4.4624176025390625	507.0000	217.0000	626.0000	844.0000	868.0000	893.0000	285.0000	212.0000	551.0000	57.0000	0.0858	0.0791	0.0711	0.0618	0.0463	0.0337	0.0262	0.0211	0.0201	0.0185	203	0	
2	626	0.35171210765838623	155	3.9947004318237305	626.0000	552.0000	942.0000	370.0000	297.0000	570.0000	243.0000	453.0000	628.0000	131.0000	0.3517	0.0381	0.0329	0.0228	0.0200	0.0193	0.0176	0.0147	0.0138	0.0136	158	1	
3	626	0.26588189601898193	155	3.540642261505127	626.0000	205.0000	844.0000	162.0000	495.0000	153.0000	215.0000	177.0000	854.0000	776.0000	0.2659	0.1415	0.0958	0.0324	0.0253	0.0250	0.0247	0.0132	0.0120	0.0115	187	1	
4	453	0.5055295825004578	155	2.977595090866089	453.0000	243.0000	830.0000	626.0000	489.0000	888.0000	570.0000	219.0000	269.0000	340.0000	0.5055	0.0418	0.0399	0.0274	0.0231	0.0177	0.0156	0.0145	0.0132	0.0092	67	2	
5	626	0.07359933108091354	155	4.791006088256836	626.0000	483.0000	551.0000	495.0000	844.0000	23.0000	703.0000	162.0000	205.0000	87.0000	0.0736	0.0552	0.0323	0.0284	0.0253	0.0252	0.0247	0.0238	0.0224	0.0216	137	2	
6	570	0.5142207145690918	155	2.5677552223205566	570.0000	243.0000	626.0000	370.0000	453.0000	763.0000	703.0000	582.0000	215.0000	167.0000	0.5142	0.0703	0.0399	0.0336	0.0322	0.0262	0.0229	0.0182	0.0167	0.0166	32	3	
7	205	0.319184809923172	155	3.084620237350464	205.0000	703.0000	844.0000	495.0000	626.0000	776.0000	639.0000	896.0000	893.0000	153.0000	0.3192	0.1634	0.0647	0.0464	0.0403	0.0309	0.0304	0.0226	0.0180	0.0141	162	3	
8	370	0.5166819095611572	155	2.068678379058838	370.0000	626.0000	228.0000	888.0000	8.0000	830.0000	453.0000	625.0000	219.0000	570.0000	0.5167	0.0862	0.0818	0.0660	0.0503	0.0333	0.0259	0.0244	0.0243	0.0088	12	4	
9	205	0.20350748300552368	155	3.7016077041625977	205.0000	626.0000	705.0000	507.0000	919.0000	457.0000	162.0000	285.0000	208.0000	590.0000	0.2035	0.1183	0.1017	0.0711	0.0294	0.0260	0.0243	0.0178	0.0172	0.0160	53	4	
10	370	0.24081048369407654	155	2.629124164581299	370.0000	160.0000	453.0000	582.0000	830.0000	625.0000	570.0000	167.0000	626.0000	163.0000	0.2408	0.2266	0.1664	0.0748	0.0472	0.0244	0.0214	0.0152	0.0148	0.0147	21	5	
11	643	0.4883776605129242	155	2.3554229736328125	643.0000	776.0000	843.0000	582.0000	23.0000	531.0000	205.0000	719.0000	340.0000	884.0000	0.4884	0.1489	0.0746	0.0367	0.0232	0.0191	0.0114	0.0104	0.0096	0.0096	82	5	
