	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	156	0.4200083315372467	156	1.4853081703186035	156.0000	148.0000	356.0000	143.0000	767.0000	715.0000	2.0000	542.0000	243.0000	912.0000	0.4200	0.3618	0.1011	0.0609	0.0079	0.0053	0.0051	0.0043	0.0040	0.0034	0	0	
1	148	0.49381986260414124	156	1.4145337343215942	148.0000	156.0000	140.0000	912.0000	542.0000	767.0000	356.0000	32.0000	870.0000	54.0000	0.4938	0.2533	0.1026	0.0540	0.0539	0.0337	0.0055	0.0013	0.0003	0.0002	1	0	
2	542	0.6541125178337097	156	0.6985757946968079	542.0000	148.0000	140.0000	912.0000	156.0000	767.0000	356.0000	870.0000	143.0000	144.0000	0.6541	0.3376	0.0038	0.0015	0.0012	0.0005	0.0005	0.0003	0.0001	0.0001	4	0	
3	148	0.7713290452957153	156	1.0349550247192383	148.0000	140.0000	912.0000	542.0000	156.0000	43.0000	32.0000	356.0000	767.0000	335.0000	0.7713	0.0575	0.0461	0.0403	0.0291	0.0208	0.0098	0.0031	0.0027	0.0025	4	0	
4	148	0.2853931486606598	156	2.439603328704834	148.0000	143.0000	356.0000	243.0000	767.0000	542.0000	140.0000	714.0000	673.0000	156.0000	0.2854	0.2293	0.1250	0.1007	0.0496	0.0495	0.0318	0.0112	0.0099	0.0094	9	1	
5	767	0.2579634487628937	156	2.473602771759033	767.0000	356.0000	156.0000	912.0000	32.0000	148.0000	140.0000	650.0000	542.0000	714.0000	0.2580	0.2266	0.1103	0.0747	0.0595	0.0474	0.0362	0.0353	0.0290	0.0212	2	1	
6	148	0.8987403512001038	156	0.5903285145759583	148.0000	2.0000	542.0000	356.0000	144.0000	140.0000	912.0000	143.0000	566.0000	714.0000	0.8987	0.0324	0.0146	0.0143	0.0066	0.0060	0.0040	0.0026	0.0023	0.0022	17	1	
7	148	0.32940250635147095	156	2.9293556213378906	148.0000	227.0000	151.0000	32.0000	542.0000	356.0000	140.0000	767.0000	912.0000	870.0000	0.3294	0.1260	0.0653	0.0548	0.0481	0.0381	0.0355	0.0276	0.0252	0.0247	11	1	
8	356	0.2904549837112427	156	2.3576231002807617	356.0000	767.0000	542.0000	912.0000	156.0000	243.0000	140.0000	143.0000	148.0000	714.0000	0.2905	0.2030	0.1108	0.0932	0.0730	0.0599	0.0513	0.0144	0.0137	0.0068	4	2	
9	356	0.7913510799407959	156	1.124948263168335	356.0000	542.0000	912.0000	156.0000	243.0000	767.0000	148.0000	714.0000	870.0000	140.0000	0.7914	0.0301	0.0287	0.0261	0.0186	0.0166	0.0164	0.0113	0.0112	0.0098	3	2	
