	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	626	0.18310607969760895	164	4.457607269287109	626.0000	641.0000	282.0000	703.0000	370.0000	215.0000	297.0000	45.0000	810.0000	449.0000	0.1831	0.1180	0.0398	0.0321	0.0263	0.0174	0.0174	0.0143	0.0135	0.0126	284	0	
1	368	0.38548532128334045	164	3.3572473526000977	368.0000	627.0000	583.0000	651.0000	626.0000	417.0000	261.0000	347.0000	789.0000	809.0000	0.3855	0.0669	0.0578	0.0439	0.0386	0.0241	0.0224	0.0215	0.0165	0.0131	18	0	
2	627	0.15781910717487335	164	4.38134765625	627.0000	75.0000	45.0000	919.0000	368.0000	703.0000	212.0000	655.0000	449.0000	530.0000	0.1578	0.0788	0.0684	0.0593	0.0465	0.0308	0.0204	0.0158	0.0157	0.0138	38	0	
3	164	0.7225797772407532	164	1.2961398363113403	164.0000	495.0000	45.0000	368.0000	417.0000	530.0000	627.0000	131.0000	614.0000	517.0000	0.7226	0.0604	0.0533	0.0516	0.0187	0.0172	0.0146	0.0136	0.0095	0.0035	0	0	
4	368	0.2599203884601593	164	2.9594483375549316	368.0000	627.0000	75.0000	45.0000	614.0000	131.0000	490.0000	212.0000	626.0000	164.0000	0.2599	0.1983	0.0876	0.0833	0.0324	0.0322	0.0233	0.0210	0.0187	0.0179	9	0	
5	207	0.14434929192066193	164	3.6411356925964355	207.0000	626.0000	205.0000	45.0000	215.0000	919.0000	810.0000	371.0000	164.0000	338.0000	0.1443	0.1102	0.1044	0.0719	0.0623	0.0456	0.0403	0.0365	0.0209	0.0192	8	1	
6	417	0.20446622371673584	164	3.956223249435425	417.0000	74.0000	164.0000	121.0000	347.0000	269.0000	211.0000	589.0000	567.0000	368.0000	0.2045	0.0766	0.0738	0.0477	0.0468	0.0445	0.0334	0.0305	0.0206	0.0198	2	1	
7	164	0.6988096237182617	164	1.5747802257537842	164.0000	614.0000	368.0000	211.0000	45.0000	627.0000	417.0000	213.0000	407.0000	315.0000	0.6988	0.0687	0.0475	0.0217	0.0214	0.0152	0.0114	0.0113	0.0080	0.0078	0	1	
8	164	0.9592623114585876	164	0.2846049666404724	164.0000	45.0000	495.0000	211.0000	614.0000	166.0000	162.0000	417.0000	205.0000	136.0000	0.9593	0.0177	0.0025	0.0021	0.0018	0.0016	0.0015	0.0015	0.0008	0.0007	0	1	
9	164	0.39827960729599	164	2.588059425354004	164.0000	627.0000	368.0000	614.0000	589.0000	215.0000	75.0000	45.0000	211.0000	269.0000	0.3983	0.0983	0.0953	0.0920	0.0395	0.0376	0.0317	0.0301	0.0126	0.0116	0	1	
10	626	0.5248550772666931	164	2.5283069610595703	626.0000	45.0000	59.0000	338.0000	18.0000	889.0000	417.0000	215.0000	164.0000	207.0000	0.5249	0.0660	0.0646	0.0353	0.0346	0.0235	0.0214	0.0193	0.0085	0.0085	8	2	
11	417	0.9783307313919067	164	0.12199388444423676	417.0000	164.0000	347.0000	925.0000	421.0000	621.0000	647.0000	809.0000	136.0000	457.0000	0.9783	0.0190	0.0006	0.0003	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	1	2	
12	164	0.6589731574058533	164	0.6733402013778687	164.0000	417.0000	45.0000	162.0000	585.0000	614.0000	141.0000	530.0000	205.0000	368.0000	0.6590	0.3370	0.0016	0.0005	0.0004	0.0004	0.0002	0.0002	0.0001	0.0001	0	2	
13	164	0.9976872205734253	164	0.017043253406882286	164.0000	417.0000	162.0000	410.0000	141.0000	45.0000	205.0000	614.0000	457.0000	889.0000	0.9977	0.0022	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	2	
14	164	0.7755914330482483	164	1.0398457050323486	164.0000	417.0000	495.0000	45.0000	614.0000	205.0000	215.0000	585.0000	421.0000	896.0000	0.7756	0.0863	0.0503	0.0187	0.0176	0.0113	0.0038	0.0034	0.0026	0.0025	0	2	
15	626	0.6689550876617432	164	1.2177538871765137	626.0000	641.0000	657.0000	215.0000	449.0000	735.0000	207.0000	889.0000	715.0000	182.0000	0.6690	0.2196	0.0208	0.0185	0.0105	0.0097	0.0049	0.0038	0.0038	0.0034	16	3	
16	417	0.9832383394241333	164	0.11194358766078949	417.0000	164.0000	626.0000	567.0000	269.0000	211.0000	540.0000	261.0000	220.0000	347.0000	0.9832	0.0111	0.0017	0.0007	0.0004	0.0004	0.0004	0.0003	0.0002	0.0002	1	3	
17	417	0.32472604513168335	164	2.384493827819824	417.0000	368.0000	164.0000	75.0000	22.0000	614.0000	211.0000	220.0000	269.0000	589.0000	0.3247	0.1276	0.1212	0.1000	0.0659	0.0504	0.0453	0.0392	0.0249	0.0221	2	3	
18	164	0.9982070922851562	164	0.016651853919029236	164.0000	162.0000	75.0000	417.0000	211.0000	220.0000	614.0000	182.0000	45.0000	889.0000	0.9982	0.0005	0.0004	0.0004	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0	3	
19	164	0.36204129457473755	164	2.556624412536621	164.0000	368.0000	626.0000	205.0000	75.0000	131.0000	589.0000	282.0000	211.0000	45.0000	0.3620	0.1110	0.1102	0.0912	0.0649	0.0389	0.0253	0.0183	0.0154	0.0133	0	3	
20	59	0.15280553698539734	164	3.563849449157715	59.0000	282.0000	626.0000	889.0000	567.0000	641.0000	338.0000	811.0000	748.0000	348.0000	0.1528	0.1214	0.1046	0.0860	0.0722	0.0473	0.0380	0.0317	0.0193	0.0190	280	4	
21	417	0.9925330877304077	164	0.06978637725114822	417.0000	861.0000	261.0000	121.0000	347.0000	567.0000	269.0000	324.0000	75.0000	576.0000	0.9925	0.0018	0.0007	0.0006	0.0005	0.0004	0.0003	0.0003	0.0002	0.0002	11	4	
