	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	844	0.1881091594696045	166	4.424678325653076	844.0000	285.0000	868.0000	544.0000	797.0000	716.0000	131.0000	647.0000	703.0000	162.0000	0.1881	0.0803	0.0443	0.0347	0.0287	0.0209	0.0193	0.0180	0.0180	0.0171	27	0	
1	647	0.15391471982002258	166	3.7310991287231445	647.0000	131.0000	285.0000	817.0000	166.0000	358.0000	643.0000	667.0000	465.0000	144.0000	0.1539	0.1418	0.0620	0.0563	0.0474	0.0306	0.0305	0.0246	0.0243	0.0207	4	0	
2	492	0.09874681383371353	166	3.8362457752227783	492.0000	285.0000	868.0000	166.0000	647.0000	483.0000	131.0000	38.0000	57.0000	182.0000	0.0987	0.0985	0.0823	0.0623	0.0592	0.0470	0.0438	0.0427	0.0330	0.0290	3	0	
3	166	0.5693876147270203	166	2.4471497535705566	166.0000	643.0000	465.0000	582.0000	32.0000	716.0000	544.0000	893.0000	797.0000	936.0000	0.5694	0.0761	0.0547	0.0307	0.0150	0.0130	0.0126	0.0102	0.0089	0.0080	0	0	
4	57	0.07388226687908173	166	4.572649955749512	57.0000	868.0000	166.0000	647.0000	285.0000	492.0000	131.0000	643.0000	483.0000	719.0000	0.0739	0.0547	0.0453	0.0452	0.0429	0.0427	0.0423	0.0363	0.0248	0.0242	2	0	
5	166	0.40255147218704224	166	3.3661417961120605	166.0000	38.0000	465.0000	643.0000	797.0000	716.0000	483.0000	157.0000	893.0000	32.0000	0.4026	0.0746	0.0538	0.0320	0.0307	0.0223	0.0208	0.0172	0.0121	0.0118	0	0	
6	166	0.6880714297294617	166	1.8374261856079102	166.0000	643.0000	465.0000	483.0000	716.0000	38.0000	797.0000	32.0000	285.0000	893.0000	0.6881	0.0664	0.0390	0.0213	0.0116	0.0112	0.0091	0.0083	0.0081	0.0061	0	0	
7	166	0.3553045988082886	166	3.282346487045288	166.0000	465.0000	32.0000	643.0000	38.0000	797.0000	716.0000	191.0000	936.0000	544.0000	0.3553	0.1406	0.0634	0.0582	0.0407	0.0223	0.0139	0.0114	0.0104	0.0097	0	0	
8	166	0.7182225584983826	166	1.7063652276992798	166.0000	797.0000	643.0000	483.0000	544.0000	191.0000	716.0000	465.0000	285.0000	893.0000	0.7182	0.0649	0.0192	0.0175	0.0143	0.0141	0.0135	0.0082	0.0077	0.0053	0	0	
9	166	0.11873842775821686	166	4.676290512084961	166.0000	285.0000	495.0000	32.0000	544.0000	643.0000	162.0000	868.0000	721.0000	582.0000	0.1187	0.0809	0.0377	0.0362	0.0303	0.0285	0.0244	0.0229	0.0196	0.0189	0	0	
10	166	0.4605550765991211	166	2.9739227294921875	166.0000	643.0000	797.0000	483.0000	285.0000	716.0000	544.0000	551.0000	465.0000	936.0000	0.4606	0.0651	0.0646	0.0347	0.0334	0.0265	0.0178	0.0130	0.0128	0.0120	0	0	
11	166	0.7369516491889954	166	1.6568090915679932	166.0000	38.0000	465.0000	643.0000	32.0000	797.0000	191.0000	483.0000	622.0000	321.0000	0.7370	0.0306	0.0294	0.0281	0.0262	0.0122	0.0089	0.0059	0.0052	0.0049	0	0	
12	166	0.15364447236061096	166	4.430207252502441	166.0000	465.0000	582.0000	643.0000	797.0000	282.0000	893.0000	484.0000	6.0000	32.0000	0.1536	0.1259	0.0504	0.0418	0.0375	0.0307	0.0245	0.0187	0.0168	0.0150	0	0	
13	893	0.17443400621414185	166	3.3171238899230957	893.0000	703.0000	552.0000	457.0000	719.0000	647.0000	358.0000	75.0000	495.0000	208.0000	0.1744	0.1285	0.0945	0.0891	0.0709	0.0446	0.0425	0.0310	0.0290	0.0282	39	1	
14	570	0.4173721671104431	166	2.661350727081299	570.0000	495.0000	157.0000	195.0000	3.0000	166.0000	342.0000	32.0000	214.0000	358.0000	0.4174	0.1882	0.0472	0.0456	0.0170	0.0167	0.0144	0.0141	0.0136	0.0123	5	1	
15	495	0.18904048204421997	166	3.896737575531006	495.0000	32.0000	542.0000	667.0000	157.0000	867.0000	719.0000	817.0000	321.0000	912.0000	0.1890	0.0668	0.0629	0.0608	0.0504	0.0364	0.0308	0.0306	0.0279	0.0233	45	1	
16	166	0.673102617263794	166	1.6763582229614258	166.0000	643.0000	32.0000	544.0000	582.0000	75.0000	138.0000	191.0000	358.0000	495.0000	0.6731	0.0581	0.0340	0.0298	0.0297	0.0262	0.0178	0.0151	0.0144	0.0122	0	1	
17	495	0.4532061815261841	166	2.852363348007202	495.0000	719.0000	544.0000	867.0000	647.0000	102.0000	321.0000	182.0000	492.0000	654.0000	0.4532	0.0786	0.0624	0.0583	0.0186	0.0175	0.0162	0.0152	0.0136	0.0113	35	1	
18	166	0.36246129870414734	166	2.6356329917907715	166.0000	582.0000	893.0000	544.0000	721.0000	776.0000	32.0000	138.0000	208.0000	358.0000	0.3625	0.1297	0.0851	0.0808	0.0504	0.0485	0.0342	0.0250	0.0195	0.0182	0	1	
19	166	0.43637675046920776	166	2.3998076915740967	166.0000	643.0000	32.0000	358.0000	138.0000	582.0000	544.0000	495.0000	893.0000	776.0000	0.4364	0.1402	0.0809	0.0409	0.0372	0.0336	0.0320	0.0307	0.0287	0.0148	0	1	
20	166	0.44943100214004517	166	1.768200397491455	166.0000	32.0000	358.0000	191.0000	544.0000	582.0000	495.0000	643.0000	138.0000	714.0000	0.4494	0.3739	0.0414	0.0113	0.0105	0.0067	0.0061	0.0057	0.0046	0.0043	0	1	
21	166	0.6443950533866882	166	2.0379881858825684	166.0000	582.0000	75.0000	544.0000	893.0000	358.0000	138.0000	776.0000	217.0000	843.0000	0.6444	0.0598	0.0337	0.0243	0.0222	0.0192	0.0168	0.0144	0.0106	0.0093	0	1	
