	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	49	0.518155038356781	167	2.5263850688934326	49.0000	673.0000	227.0000	809.0000	169.0000	925.0000	651.0000	18.0000	889.0000	421.0000	0.5182	0.0709	0.0655	0.0479	0.0283	0.0239	0.0187	0.0133	0.0129	0.0116	35	0	
1	925	0.13746094703674316	167	4.951158046722412	925.0000	161.0000	148.0000	651.0000	421.0000	143.0000	811.0000	453.0000	923.0000	141.0000	0.1375	0.0573	0.0432	0.0423	0.0204	0.0195	0.0186	0.0160	0.0159	0.0118	101	0	
2	161	0.7799537181854248	167	1.2218233346939087	161.0000	156.0000	143.0000	227.0000	658.0000	895.0000	767.0000	651.0000	255.0000	925.0000	0.7800	0.0717	0.0308	0.0145	0.0102	0.0063	0.0050	0.0045	0.0042	0.0042	61	0	
3	509	0.30394458770751953	167	2.5000407695770264	509.0000	49.0000	673.0000	169.0000	167.0000	889.0000	809.0000	925.0000	162.0000	483.0000	0.3039	0.2365	0.1230	0.0590	0.0456	0.0289	0.0231	0.0213	0.0171	0.0134	4	1	
4	49	0.08940700441598892	167	4.751378059387207	49.0000	169.0000	255.0000	925.0000	495.0000	331.0000	809.0000	156.0000	141.0000	254.0000	0.0894	0.0671	0.0518	0.0471	0.0396	0.0324	0.0241	0.0186	0.0185	0.0166	50	1	
5	750	0.15445545315742493	167	4.000652313232422	750.0000	161.0000	143.0000	925.0000	347.0000	818.0000	845.0000	169.0000	809.0000	673.0000	0.1545	0.1180	0.0527	0.0461	0.0431	0.0393	0.0383	0.0321	0.0284	0.0243	41	1	
6	673	0.8225811123847961	167	0.9666446447372437	673.0000	169.0000	54.0000	49.0000	167.0000	509.0000	3.0000	925.0000	358.0000	166.0000	0.8226	0.0526	0.0228	0.0183	0.0135	0.0102	0.0093	0.0049	0.0046	0.0043	4	2	
7	169	0.1880180686712265	167	3.7853431701660156	169.0000	358.0000	166.0000	925.0000	705.0000	495.0000	421.0000	143.0000	156.0000	56.0000	0.1880	0.1155	0.0831	0.0810	0.0425	0.0405	0.0226	0.0209	0.0138	0.0128	37	2	
8	161	0.8068060874938965	167	1.0102201700210571	161.0000	750.0000	302.0000	673.0000	169.0000	845.0000	143.0000	156.0000	925.0000	358.0000	0.8068	0.0773	0.0362	0.0087	0.0064	0.0062	0.0060	0.0056	0.0038	0.0037	25	2	
9	169	0.250539630651474	167	2.807929515838623	169.0000	49.0000	509.0000	167.0000	358.0000	925.0000	18.0000	651.0000	255.0000	692.0000	0.2505	0.1484	0.1361	0.1062	0.0292	0.0279	0.0244	0.0237	0.0231	0.0230	3	3	
10	542	0.3251616656780243	167	2.877800464630127	542.0000	925.0000	156.0000	169.0000	421.0000	243.0000	143.0000	356.0000	509.0000	358.0000	0.3252	0.1141	0.0900	0.0602	0.0483	0.0365	0.0359	0.0273	0.0250	0.0248	14	3	
11	255	0.3473528027534485	167	2.9813742637634277	255.0000	161.0000	143.0000	845.0000	156.0000	484.0000	227.0000	170.0000	358.0000	347.0000	0.3474	0.2179	0.0230	0.0211	0.0207	0.0195	0.0187	0.0186	0.0143	0.0140	31	3	
12	166	0.25605690479278564	167	2.4963436126708984	166.0000	167.0000	169.0000	509.0000	889.0000	3.0000	162.0000	421.0000	358.0000	925.0000	0.2561	0.2421	0.1360	0.0938	0.0481	0.0299	0.0188	0.0185	0.0140	0.0103	1	4	
13	156	0.21138407289981842	167	3.8647713661193848	156.0000	509.0000	358.0000	49.0000	169.0000	18.0000	542.0000	148.0000	703.0000	651.0000	0.2114	0.0936	0.0677	0.0515	0.0302	0.0279	0.0262	0.0255	0.0227	0.0182	29	4	
14	161	0.648520827293396	167	1.7713193893432617	161.0000	302.0000	750.0000	143.0000	227.0000	809.0000	156.0000	923.0000	484.0000	35.0000	0.6485	0.1045	0.0671	0.0207	0.0128	0.0118	0.0089	0.0084	0.0080	0.0073	20	4	
15	673	0.3037397563457489	167	2.1679391860961914	673.0000	167.0000	509.0000	925.0000	49.0000	3.0000	166.0000	483.0000	889.0000	169.0000	0.3037	0.2264	0.1195	0.1144	0.0539	0.0450	0.0325	0.0217	0.0140	0.0129	1	5	
16	49	0.20250360667705536	167	3.1414566040039062	49.0000	169.0000	809.0000	254.0000	811.0000	358.0000	925.0000	331.0000	166.0000	167.0000	0.2025	0.1171	0.1053	0.0908	0.0686	0.0636	0.0520	0.0396	0.0287	0.0194	9	5	
17	161	0.5474464297294617	167	2.113222599029541	161.0000	925.0000	337.0000	811.0000	750.0000	923.0000	302.0000	705.0000	809.0000	49.0000	0.5474	0.1484	0.0358	0.0275	0.0246	0.0217	0.0194	0.0153	0.0140	0.0134	33	5	
18	166	0.3734312951564789	167	1.9926857948303223	166.0000	673.0000	49.0000	509.0000	421.0000	169.0000	483.0000	167.0000	925.0000	889.0000	0.3734	0.1933	0.1457	0.0693	0.0573	0.0525	0.0369	0.0247	0.0087	0.0048	7	6	
19	358	0.1591547429561615	167	3.4773447513580322	358.0000	49.0000	509.0000	421.0000	169.0000	651.0000	809.0000	156.0000	673.0000	331.0000	0.1592	0.1417	0.1311	0.0679	0.0535	0.0359	0.0341	0.0268	0.0239	0.0162	18	6	
20	358	0.11502154916524887	167	3.8294708728790283	358.0000	750.0000	923.0000	49.0000	673.0000	811.0000	143.0000	925.0000	8.0000	161.0000	0.1150	0.0727	0.0694	0.0646	0.0617	0.0575	0.0539	0.0478	0.0391	0.0230	54	6	
21	673	0.646637499332428	167	1.487844705581665	673.0000	509.0000	54.0000	49.0000	889.0000	167.0000	3.0000	96.0000	177.0000	483.0000	0.6466	0.1231	0.0643	0.0318	0.0261	0.0222	0.0146	0.0135	0.0119	0.0071	5	7	
22	49	0.22182366251945496	167	2.6751415729522705	49.0000	809.0000	166.0000	542.0000	156.0000	169.0000	421.0000	673.0000	483.0000	925.0000	0.2218	0.2033	0.1949	0.0652	0.0482	0.0326	0.0324	0.0207	0.0142	0.0111	22	7	
23	161	0.5716427564620972	167	2.1178159713745117	161.0000	895.0000	750.0000	902.0000	809.0000	255.0000	484.0000	279.0000	143.0000	923.0000	0.5716	0.0844	0.0381	0.0327	0.0296	0.0291	0.0277	0.0238	0.0166	0.0144	140	7	
24	925	0.22714799642562866	167	3.009416103363037	925.0000	167.0000	3.0000	49.0000	166.0000	484.0000	509.0000	673.0000	169.0000	460.0000	0.2271	0.1179	0.0972	0.0864	0.0664	0.0407	0.0360	0.0357	0.0322	0.0320	1	8	
25	809	0.27614521980285645	167	3.3425099849700928	809.0000	651.0000	925.0000	49.0000	254.0000	471.0000	331.0000	621.0000	924.0000	279.0000	0.2761	0.1112	0.0867	0.0742	0.0616	0.0230	0.0182	0.0166	0.0161	0.0152	30	8	
26	161	0.5479838848114014	167	2.037879228591919	161.0000	845.0000	895.0000	35.0000	484.0000	750.0000	337.0000	923.0000	156.0000	925.0000	0.5480	0.1025	0.0503	0.0387	0.0375	0.0263	0.0260	0.0241	0.0228	0.0167	112	8	
27	167	0.3428148925304413	167	2.897883653640747	167.0000	673.0000	651.0000	54.0000	867.0000	925.0000	252.0000	842.0000	18.0000	809.0000	0.3428	0.1951	0.0475	0.0288	0.0269	0.0260	0.0230	0.0200	0.0189	0.0184	0	9	
28	542	0.23552079498767853	167	3.759373664855957	542.0000	254.0000	899.0000	356.0000	156.0000	703.0000	902.0000	49.0000	366.0000	243.0000	0.2355	0.0846	0.0501	0.0489	0.0425	0.0379	0.0297	0.0296	0.0268	0.0242	78	9	
29	342	0.2841927409172058	167	3.365703582763672	342.0000	161.0000	302.0000	750.0000	925.0000	715.0000	637.0000	356.0000	143.0000	423.0000	0.2842	0.1238	0.0735	0.0627	0.0587	0.0253	0.0232	0.0227	0.0185	0.0139	34	9	
30	509	0.26892930269241333	167	2.326214075088501	509.0000	167.0000	166.0000	673.0000	925.0000	3.0000	692.0000	169.0000	252.0000	49.0000	0.2689	0.2281	0.1456	0.1185	0.0454	0.0399	0.0214	0.0192	0.0164	0.0081	1	10	
31	809	0.3844868540763855	167	2.535398483276367	809.0000	49.0000	925.0000	703.0000	156.0000	169.0000	254.0000	705.0000	673.0000	331.0000	0.3845	0.1826	0.0663	0.0597	0.0521	0.0281	0.0186	0.0160	0.0114	0.0107	28	10	
32	161	0.49614012241363525	167	2.4738426208496094	161.0000	750.0000	923.0000	143.0000	35.0000	302.0000	925.0000	673.0000	809.0000	811.0000	0.4961	0.0977	0.0521	0.0466	0.0443	0.0332	0.0214	0.0145	0.0116	0.0109	60	10	
33	673	0.5007167458534241	167	1.1592267751693726	673.0000	49.0000	167.0000	889.0000	169.0000	162.0000	358.0000	925.0000	483.0000	811.0000	0.5007	0.3886	0.0553	0.0257	0.0047	0.0046	0.0041	0.0027	0.0018	0.0018	2	11	
34	49	0.2692863345146179	167	2.82456636428833	49.0000	358.0000	169.0000	542.0000	811.0000	673.0000	925.0000	366.0000	809.0000	889.0000	0.2693	0.2226	0.1155	0.0506	0.0430	0.0266	0.0219	0.0197	0.0163	0.0117	44	11	
35	161	0.15269653499126434	167	3.478837490081787	161.0000	302.0000	811.0000	925.0000	143.0000	750.0000	156.0000	342.0000	673.0000	423.0000	0.1527	0.1217	0.1061	0.0797	0.0752	0.0618	0.0344	0.0255	0.0234	0.0207	31	11	
36	167	0.2273710072040558	167	2.870060443878174	167.0000	889.0000	925.0000	169.0000	49.0000	658.0000	692.0000	74.0000	3.0000	62.0000	0.2274	0.1422	0.0940	0.0877	0.0684	0.0631	0.0392	0.0377	0.0317	0.0211	0	12	
37	658	0.18502579629421234	167	2.898744583129883	658.0000	148.0000	366.0000	227.0000	542.0000	156.0000	650.0000	925.0000	62.0000	161.0000	0.1850	0.1371	0.1242	0.1157	0.0927	0.0833	0.0341	0.0157	0.0146	0.0135	56	12	
38	484	0.27958375215530396	167	3.0050196647644043	484.0000	845.0000	811.0000	156.0000	809.0000	923.0000	750.0000	161.0000	432.0000	818.0000	0.2796	0.1530	0.1083	0.0696	0.0655	0.0244	0.0224	0.0165	0.0160	0.0147	82	12	
39	673	0.8727325201034546	167	0.5356947779655457	673.0000	49.0000	169.0000	925.0000	167.0000	358.0000	651.0000	166.0000	809.0000	924.0000	0.8727	0.0873	0.0227	0.0071	0.0018	0.0010	0.0007	0.0006	0.0005	0.0005	4	13	
40	809	0.1635168045759201	167	4.173872947692871	809.0000	924.0000	169.0000	49.0000	899.0000	102.0000	421.0000	62.0000	925.0000	148.0000	0.1635	0.0844	0.0596	0.0538	0.0417	0.0349	0.0324	0.0293	0.0189	0.0156	72	13	
41	302	0.15370909869670868	167	3.7950148582458496	302.0000	484.0000	8.0000	583.0000	925.0000	547.0000	715.0000	342.0000	356.0000	751.0000	0.1537	0.1383	0.1036	0.0656	0.0330	0.0276	0.0265	0.0235	0.0202	0.0190	164	13	
42	169	0.36537685990333557	167	2.294639825820923	169.0000	673.0000	49.0000	167.0000	925.0000	483.0000	679.0000	166.0000	692.0000	651.0000	0.3654	0.2360	0.1270	0.0397	0.0315	0.0248	0.0157	0.0155	0.0133	0.0114	3	14	
43	169	0.16661880910396576	167	3.4451799392700195	169.0000	49.0000	809.0000	162.0000	331.0000	421.0000	254.0000	924.0000	925.0000	899.0000	0.1666	0.1291	0.1243	0.0466	0.0406	0.0383	0.0349	0.0324	0.0317	0.0300	36	14	
