	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	169	0.11722825467586517	169	4.163365364074707	169.0000	358.0000	205.0000	925.0000	179.0000	705.0000	49.0000	495.0000	141.0000	102.0000	0.1172	0.0893	0.0701	0.0627	0.0582	0.0507	0.0348	0.0253	0.0238	0.0232	0	0	
1	49	0.19993339478969574	169	2.4555273056030273	49.0000	169.0000	925.0000	358.0000	162.0000	141.0000	495.0000	179.0000	177.0000	205.0000	0.1999	0.1709	0.1666	0.1468	0.0634	0.0548	0.0428	0.0332	0.0191	0.0164	1	0	
2	925	0.24707944691181183	169	3.4840970039367676	925.0000	358.0000	169.0000	551.0000	705.0000	703.0000	205.0000	285.0000	102.0000	495.0000	0.2471	0.1157	0.0920	0.0812	0.0646	0.0270	0.0183	0.0178	0.0159	0.0151	2	1	
3	49	0.36677491664886475	169	1.9625954627990723	49.0000	925.0000	358.0000	169.0000	705.0000	162.0000	182.0000	551.0000	495.0000	421.0000	0.3668	0.2050	0.1648	0.0925	0.0403	0.0350	0.0250	0.0122	0.0091	0.0078	3	1	
4	925	0.9649478197097778	169	0.23039761185646057	925.0000	169.0000	358.0000	162.0000	166.0000	102.0000	49.0000	495.0000	182.0000	705.0000	0.9649	0.0138	0.0071	0.0023	0.0021	0.0021	0.0017	0.0010	0.0007	0.0007	1	2	
5	925	0.46147018671035767	169	1.5490657091140747	925.0000	495.0000	166.0000	358.0000	169.0000	162.0000	49.0000	421.0000	182.0000	551.0000	0.4615	0.2093	0.1561	0.0602	0.0548	0.0381	0.0087	0.0030	0.0021	0.0014	4	2	
6	102	0.6115924715995789	169	1.7066545486450195	102.0000	134.0000	705.0000	358.0000	179.0000	320.0000	495.0000	421.0000	254.0000	208.0000	0.6116	0.1507	0.0574	0.0178	0.0163	0.0156	0.0148	0.0135	0.0129	0.0125	10	3	
7	495	0.8063560128211975	169	0.885983407497406	495.0000	169.0000	551.0000	102.0000	49.0000	358.0000	705.0000	421.0000	925.0000	166.0000	0.8064	0.0706	0.0248	0.0239	0.0227	0.0122	0.0122	0.0098	0.0084	0.0022	1	3	
8	705	0.5523664355278015	169	1.699839472770691	705.0000	925.0000	179.0000	169.0000	102.0000	358.0000	182.0000	495.0000	457.0000	551.0000	0.5524	0.1227	0.0655	0.0622	0.0584	0.0536	0.0308	0.0122	0.0065	0.0050	3	4	
9	925	0.7503718733787537	169	0.9539182186126709	925.0000	705.0000	495.0000	551.0000	169.0000	162.0000	358.0000	179.0000	182.0000	166.0000	0.7504	0.1139	0.0510	0.0483	0.0135	0.0081	0.0052	0.0025	0.0024	0.0013	4	4	
10	169	0.8247660398483276	169	0.8861103057861328	169.0000	495.0000	179.0000	705.0000	492.0000	925.0000	358.0000	871.0000	102.0000	162.0000	0.8248	0.0508	0.0426	0.0177	0.0138	0.0113	0.0070	0.0065	0.0054	0.0018	0	5	
11	169	0.3224063515663147	169	2.4873807430267334	169.0000	162.0000	495.0000	705.0000	483.0000	49.0000	925.0000	643.0000	551.0000	31.0000	0.3224	0.1379	0.0918	0.0820	0.0607	0.0516	0.0432	0.0431	0.0345	0.0215	0	5	
12	495	0.27351975440979004	169	2.1640186309814453	495.0000	179.0000	169.0000	925.0000	705.0000	102.0000	551.0000	421.0000	182.0000	871.0000	0.2735	0.2310	0.1619	0.1138	0.0745	0.0301	0.0176	0.0150	0.0149	0.0076	2	6	
13	495	0.37141695618629456	169	1.636435627937317	495.0000	162.0000	925.0000	169.0000	166.0000	551.0000	643.0000	49.0000	31.0000	167.0000	0.3714	0.3025	0.1296	0.0860	0.0562	0.0223	0.0107	0.0076	0.0020	0.0014	3	6	
14	705	0.7395405173301697	169	0.9419950246810913	705.0000	102.0000	182.0000	495.0000	179.0000	169.0000	871.0000	925.0000	358.0000	208.0000	0.7395	0.1558	0.0459	0.0250	0.0150	0.0030	0.0029	0.0025	0.0023	0.0010	5	7	
15	495	0.5441164970397949	169	1.1818183660507202	495.0000	49.0000	169.0000	705.0000	925.0000	166.0000	162.0000	643.0000	182.0000	195.0000	0.5441	0.3539	0.0226	0.0146	0.0144	0.0095	0.0084	0.0076	0.0059	0.0055	2	7	
16	692	0.30938541889190674	169	2.674422025680542	692.0000	705.0000	254.0000	235.0000	205.0000	533.0000	350.0000	75.0000	208.0000	529.0000	0.3094	0.2286	0.1096	0.0491	0.0470	0.0317	0.0211	0.0164	0.0150	0.0113	65	8	
17	49	0.29063066840171814	169	2.609102964401245	49.0000	705.0000	195.0000	925.0000	924.0000	96.0000	483.0000	867.0000	75.0000	169.0000	0.2906	0.1426	0.0901	0.0835	0.0510	0.0490	0.0472	0.0469	0.0460	0.0255	9	8	
18	169	0.8021337389945984	169	1.0739374160766602	169.0000	705.0000	495.0000	925.0000	924.0000	285.0000	102.0000	358.0000	208.0000	134.0000	0.8021	0.0575	0.0310	0.0167	0.0091	0.0079	0.0078	0.0076	0.0060	0.0053	0	9	
19	166	0.8949362635612488	169	0.5077786445617676	166.0000	169.0000	49.0000	495.0000	162.0000	925.0000	551.0000	483.0000	705.0000	167.0000	0.8949	0.0441	0.0310	0.0132	0.0063	0.0027	0.0024	0.0009	0.0008	0.0007	1	9	
20	925	0.32554832100868225	169	2.4397926330566406	925.0000	169.0000	705.0000	102.0000	179.0000	208.0000	492.0000	484.0000	460.0000	358.0000	0.3255	0.2123	0.1132	0.0792	0.0402	0.0270	0.0244	0.0208	0.0208	0.0124	1	10	
21	169	0.7867084741592407	169	0.8836573958396912	169.0000	49.0000	166.0000	421.0000	705.0000	925.0000	551.0000	495.0000	358.0000	31.0000	0.7867	0.1252	0.0207	0.0176	0.0082	0.0072	0.0072	0.0052	0.0048	0.0034	0	10	
22	705	0.6961706876754761	169	1.4689089059829712	705.0000	925.0000	495.0000	179.0000	169.0000	102.0000	358.0000	703.0000	673.0000	143.0000	0.6962	0.0673	0.0497	0.0293	0.0239	0.0233	0.0198	0.0192	0.0079	0.0072	4	11	
23	925	0.49924784898757935	169	1.7019416093826294	925.0000	495.0000	705.0000	169.0000	551.0000	182.0000	49.0000	358.0000	166.0000	421.0000	0.4992	0.1495	0.1054	0.0920	0.0367	0.0327	0.0283	0.0244	0.0106	0.0059	3	11	
24	49	0.7624377608299255	169	1.2414453029632568	49.0000	705.0000	102.0000	169.0000	626.0000	925.0000	483.0000	495.0000	730.0000	771.0000	0.7624	0.0377	0.0352	0.0319	0.0237	0.0231	0.0208	0.0084	0.0071	0.0040	3	12	
