	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	575	0.3983282446861267	172	2.367870807647705	575.0000	598.0000	594.0000	430.0000	491.0000	355.0000	675.0000	122.0000	678.0000	814.0000	0.3983	0.1649	0.1453	0.0336	0.0289	0.0223	0.0218	0.0188	0.0148	0.0141	16	0	
1	594	0.4453941583633423	172	1.5959439277648926	594.0000	598.0000	575.0000	675.0000	172.0000	287.0000	122.0000	355.0000	678.0000	597.0000	0.4454	0.3338	0.0887	0.0313	0.0144	0.0127	0.0091	0.0085	0.0082	0.0057	4	0	
2	598	0.22322192788124084	172	2.9465341567993164	598.0000	575.0000	430.0000	675.0000	678.0000	593.0000	491.0000	818.0000	96.0000	814.0000	0.2232	0.1506	0.1218	0.0751	0.0636	0.0466	0.0450	0.0353	0.0305	0.0295	20	0	
3	598	0.44476717710494995	172	1.4413280487060547	598.0000	575.0000	594.0000	81.0000	675.0000	678.0000	172.0000	355.0000	122.0000	430.0000	0.4448	0.4139	0.0245	0.0184	0.0153	0.0106	0.0105	0.0103	0.0068	0.0058	6	0	
4	575	0.6428488492965698	172	1.7260189056396484	575.0000	598.0000	594.0000	491.0000	355.0000	848.0000	430.0000	678.0000	81.0000	375.0000	0.6428	0.0793	0.0375	0.0351	0.0322	0.0249	0.0179	0.0165	0.0161	0.0135	14	0	
5	598	0.3292873203754425	172	2.3005266189575195	598.0000	575.0000	675.0000	430.0000	594.0000	678.0000	122.0000	491.0000	824.0000	81.0000	0.3293	0.2904	0.0985	0.0364	0.0335	0.0248	0.0244	0.0128	0.0116	0.0115	15	0	
6	575	0.4553922116756439	172	2.2428455352783203	575.0000	594.0000	430.0000	37.0000	81.0000	355.0000	63.0000	122.0000	598.0000	375.0000	0.4554	0.2161	0.0341	0.0322	0.0267	0.0242	0.0236	0.0209	0.0189	0.0144	38	0	
7	575	0.38513678312301636	172	1.5169564485549927	575.0000	594.0000	598.0000	122.0000	355.0000	81.0000	675.0000	375.0000	597.0000	287.0000	0.3851	0.3643	0.1596	0.0186	0.0136	0.0108	0.0081	0.0048	0.0036	0.0030	11	0	
8	598	0.6914657354354858	172	1.2159757614135742	598.0000	575.0000	172.0000	122.0000	938.0000	81.0000	80.0000	814.0000	594.0000	701.0000	0.6915	0.1583	0.0456	0.0301	0.0129	0.0080	0.0063	0.0060	0.0051	0.0049	2	1	
9	598	0.45553773641586304	172	2.0118138790130615	598.0000	575.0000	938.0000	122.0000	172.0000	594.0000	353.0000	63.0000	593.0000	814.0000	0.4555	0.1749	0.0825	0.0588	0.0532	0.0371	0.0320	0.0167	0.0157	0.0114	4	1	
