	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	483	0.18912896513938904	178	3.8287274837493896	483.0000	605.0000	282.0000	673.0000	893.0000	166.0000	285.0000	909.0000	643.0000	719.0000	0.1891	0.1537	0.1299	0.0700	0.0313	0.0239	0.0176	0.0134	0.0111	0.0097	454	0	
1	483	0.34508639574050903	178	3.321744918823242	483.0000	282.0000	626.0000	605.0000	673.0000	228.0000	909.0000	787.0000	925.0000	285.0000	0.3451	0.1439	0.0496	0.0344	0.0332	0.0299	0.0285	0.0141	0.0141	0.0126	347	0	
2	551	0.12362407892942429	178	4.40509557723999	551.0000	358.0000	483.0000	102.0000	166.0000	71.0000	285.0000	162.0000	38.0000	169.0000	0.1236	0.0835	0.0747	0.0412	0.0379	0.0294	0.0278	0.0245	0.0233	0.0227	368	1	
3	102	0.3466334044933319	178	2.747539758682251	102.0000	358.0000	483.0000	551.0000	169.0000	162.0000	705.0000	925.0000	787.0000	166.0000	0.3466	0.1263	0.1062	0.0889	0.0358	0.0329	0.0280	0.0197	0.0157	0.0138	306	1	
4	909	0.660723090171814	178	1.8006956577301025	909.0000	441.0000	282.0000	853.0000	421.0000	854.0000	319.0000	928.0000	38.0000	133.0000	0.6607	0.0707	0.0337	0.0258	0.0255	0.0209	0.0127	0.0118	0.0100	0.0098	358	2	
5	483	0.2708390951156616	178	2.789720058441162	483.0000	441.0000	169.0000	421.0000	626.0000	925.0000	924.0000	319.0000	854.0000	509.0000	0.2708	0.1588	0.0941	0.0694	0.0612	0.0425	0.0388	0.0387	0.0292	0.0283	210	2	
6	285	0.20999813079833984	178	2.8121392726898193	285.0000	358.0000	166.0000	169.0000	925.0000	421.0000	551.0000	223.0000	457.0000	705.0000	0.2100	0.1712	0.1374	0.1270	0.0781	0.0285	0.0278	0.0242	0.0214	0.0135	199	3	
7	166	0.1732078343629837	178	3.102903366088867	166.0000	285.0000	169.0000	483.0000	551.0000	925.0000	358.0000	787.0000	440.0000	31.0000	0.1732	0.1686	0.1057	0.0656	0.0619	0.0596	0.0464	0.0339	0.0268	0.0240	132	3	
8	285	0.37489625811576843	178	3.2074074745178223	285.0000	900.0000	34.0000	797.0000	169.0000	171.0000	893.0000	347.0000	844.0000	670.0000	0.3749	0.1077	0.0392	0.0382	0.0230	0.0223	0.0221	0.0205	0.0187	0.0143	272	4	
9	102	0.542866051197052	178	2.4087750911712646	102.0000	34.0000	551.0000	797.0000	169.0000	483.0000	166.0000	787.0000	893.0000	495.0000	0.5429	0.0459	0.0394	0.0346	0.0268	0.0240	0.0237	0.0180	0.0177	0.0176	210	4	
10	285	0.6177070140838623	178	1.9199728965759277	285.0000	358.0000	444.0000	552.0000	208.0000	61.0000	776.0000	719.0000	223.0000	703.0000	0.6177	0.1099	0.0657	0.0417	0.0167	0.0088	0.0062	0.0053	0.0050	0.0047	260	5	
11	166	0.16724993288516998	178	3.922025680541992	166.0000	703.0000	285.0000	787.0000	358.0000	867.0000	362.0000	654.0000	61.0000	162.0000	0.1672	0.0885	0.0722	0.0500	0.0477	0.0447	0.0358	0.0311	0.0248	0.0201	210	5	
12	285	0.2739647626876831	178	3.59940767288208	285.0000	776.0000	162.0000	169.0000	457.0000	34.0000	61.0000	488.0000	166.0000	925.0000	0.2740	0.1006	0.0628	0.0568	0.0437	0.0336	0.0240	0.0226	0.0198	0.0160	283	6	
