	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	644	0.8454073667526245	185	1.1088647842407227	644.0000	468.0000	942.0000	941.0000	253.0000	259.0000	525.0000	762.0000	347.0000	37.0000	0.8454	0.0134	0.0115	0.0110	0.0094	0.0080	0.0067	0.0063	0.0032	0.0031	719	0	
1	644	0.1693194955587387	185	4.957491874694824	644.0000	941.0000	762.0000	646.0000	301.0000	37.0000	513.0000	627.0000	235.0000	584.0000	0.1693	0.0483	0.0470	0.0253	0.0218	0.0172	0.0168	0.0152	0.0142	0.0135	723	0	
2	941	0.36095350980758667	185	1.8953678607940674	941.0000	644.0000	737.0000	627.0000	546.0000	942.0000	883.0000	301.0000	0.0000	635.0000	0.3610	0.2376	0.2126	0.0487	0.0389	0.0198	0.0098	0.0085	0.0081	0.0070	537	1	
3	644	0.4326111078262329	185	1.5352576971054077	644.0000	941.0000	627.0000	737.0000	301.0000	515.0000	585.0000	546.0000	762.0000	13.0000	0.4326	0.2388	0.1325	0.1226	0.0516	0.0048	0.0031	0.0015	0.0013	0.0012	596	1	
4	644	0.8500806093215942	185	0.9556556940078735	644.0000	737.0000	585.0000	762.0000	941.0000	883.0000	546.0000	301.0000	336.0000	627.0000	0.8501	0.0426	0.0112	0.0101	0.0070	0.0063	0.0059	0.0040	0.0039	0.0033	501	2	
5	644	0.668195366859436	185	1.6558977365493774	644.0000	301.0000	468.0000	646.0000	585.0000	941.0000	584.0000	737.0000	679.0000	583.0000	0.6682	0.1014	0.0461	0.0351	0.0292	0.0199	0.0068	0.0046	0.0045	0.0034	705	2	
6	644	0.7077428102493286	185	1.3574771881103516	644.0000	942.0000	941.0000	737.0000	336.0000	635.0000	468.0000	439.0000	37.0000	546.0000	0.7077	0.0998	0.0420	0.0411	0.0192	0.0137	0.0128	0.0086	0.0057	0.0046	425	3	
7	644	0.955043375492096	185	0.29525309801101685	644.0000	301.0000	941.0000	336.0000	468.0000	585.0000	789.0000	737.0000	723.0000	391.0000	0.9550	0.0114	0.0066	0.0058	0.0044	0.0039	0.0029	0.0027	0.0017	0.0009	319	3	
8	644	0.8411109447479248	185	0.7303099632263184	644.0000	941.0000	546.0000	789.0000	336.0000	468.0000	942.0000	737.0000	627.0000	682.0000	0.8411	0.0930	0.0120	0.0094	0.0089	0.0085	0.0047	0.0033	0.0030	0.0025	280	4	
9	644	0.9823480844497681	185	0.13635383546352386	644.0000	941.0000	336.0000	585.0000	301.0000	391.0000	541.0000	646.0000	690.0000	795.0000	0.9823	0.0052	0.0038	0.0021	0.0014	0.0010	0.0002	0.0002	0.0002	0.0002	321	4	
10	644	0.5140019655227661	185	1.863180160522461	644.0000	941.0000	883.0000	0.0000	635.0000	627.0000	720.0000	534.0000	439.0000	942.0000	0.5140	0.1896	0.0620	0.0403	0.0298	0.0298	0.0201	0.0189	0.0146	0.0134	196	5	
11	644	0.8145976662635803	185	0.9283069372177124	644.0000	941.0000	301.0000	627.0000	37.0000	720.0000	13.0000	818.0000	122.0000	395.0000	0.8146	0.0831	0.0249	0.0157	0.0120	0.0091	0.0046	0.0042	0.0038	0.0019	184	5	
12	644	0.9068304896354675	185	0.4072037935256958	644.0000	762.0000	336.0000	521.0000	941.0000	682.0000	13.0000	120.0000	515.0000	333.0000	0.9068	0.0780	0.0033	0.0019	0.0011	0.0008	0.0005	0.0004	0.0004	0.0003	166	6	
13	644	0.9421570897102356	185	0.2731514573097229	644.0000	336.0000	762.0000	301.0000	391.0000	13.0000	120.0000	585.0000	682.0000	690.0000	0.9422	0.0489	0.0025	0.0012	0.0009	0.0005	0.0005	0.0004	0.0004	0.0002	131	6	
14	644	0.8817601203918457	185	0.6488568186759949	644.0000	941.0000	762.0000	336.0000	534.0000	297.0000	37.0000	598.0000	535.0000	737.0000	0.8818	0.0405	0.0346	0.0084	0.0054	0.0035	0.0028	0.0025	0.0018	0.0014	276	7	
15	644	0.7338330149650574	185	1.0613484382629395	644.0000	941.0000	336.0000	585.0000	795.0000	423.0000	674.0000	762.0000	646.0000	637.0000	0.7338	0.1419	0.0546	0.0245	0.0053	0.0043	0.0038	0.0031	0.0021	0.0019	167	7	
16	644	0.9875446557998657	185	0.08146975934505463	644.0000	336.0000	762.0000	941.0000	521.0000	942.0000	646.0000	737.0000	627.0000	216.0000	0.9875	0.0101	0.0005	0.0003	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	142	8	
17	644	0.5823555588722229	185	1.4144158363342285	644.0000	646.0000	336.0000	301.0000	941.0000	216.0000	948.0000	585.0000	637.0000	761.0000	0.5824	0.1684	0.0905	0.0649	0.0514	0.0173	0.0036	0.0022	0.0019	0.0019	185	8	
18	644	0.9990377426147461	185	0.010440940968692303	644.0000	737.0000	13.0000	391.0000	37.0000	941.0000	336.0000	872.0000	682.0000	297.0000	0.9990	0.0003	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	140	9	
19	644	0.9826270937919617	185	0.11093923449516296	644.0000	737.0000	13.0000	941.0000	336.0000	391.0000	723.0000	789.0000	627.0000	720.0000	0.9826	0.0077	0.0069	0.0011	0.0006	0.0005	0.0001	0.0001	0.0001	0.0001	111	9	
