	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	499	0.1262023150920868	203	3.666841506958008	499.0000	282.0000	832.0000	71.0000	340.0000	441.0000	290.0000	924.0000	96.0000	834.0000	0.1262	0.1247	0.1077	0.0846	0.0486	0.0473	0.0366	0.0345	0.0340	0.0269	78	0	
1	71	0.1808830201625824	203	3.728692054748535	71.0000	441.0000	38.0000	282.0000	730.0000	924.0000	340.0000	191.0000	909.0000	290.0000	0.1809	0.1346	0.0813	0.0726	0.0461	0.0352	0.0310	0.0306	0.0286	0.0222	156	0	
2	583	0.23400193452835083	203	4.116062164306641	583.0000	96.0000	133.0000	818.0000	104.0000	412.0000	853.0000	899.0000	22.0000	282.0000	0.2340	0.0669	0.0430	0.0412	0.0325	0.0314	0.0265	0.0232	0.0231	0.0229	36	0	
3	854	0.5142977833747864	203	2.198303699493408	854.0000	71.0000	441.0000	181.0000	191.0000	282.0000	626.0000	928.0000	909.0000	290.0000	0.5143	0.1196	0.0705	0.0633	0.0412	0.0231	0.0156	0.0115	0.0102	0.0095	329	0	
4	441	0.2565367817878723	203	2.5090739727020264	441.0000	8.0000	282.0000	71.0000	730.0000	453.0000	340.0000	558.0000	626.0000	181.0000	0.2565	0.1753	0.1568	0.1002	0.0658	0.0341	0.0302	0.0190	0.0168	0.0168	251	0	
5	282	0.5158112049102783	203	2.5622453689575195	282.0000	626.0000	583.0000	412.0000	682.0000	310.0000	324.0000	941.0000	942.0000	347.0000	0.5158	0.1740	0.0174	0.0145	0.0117	0.0111	0.0109	0.0082	0.0074	0.0071	58	0	
6	282	0.7020734548568726	203	1.7752560377120972	282.0000	499.0000	909.0000	71.0000	96.0000	470.0000	441.0000	682.0000	854.0000	290.0000	0.7021	0.0442	0.0394	0.0239	0.0221	0.0159	0.0124	0.0091	0.0065	0.0064	135	0	
7	282	0.1584593802690506	203	4.121356964111328	282.0000	71.0000	909.0000	499.0000	583.0000	575.0000	928.0000	290.0000	37.0000	425.0000	0.1585	0.1174	0.0814	0.0499	0.0361	0.0305	0.0298	0.0244	0.0238	0.0188	112	0	
8	38	0.22815878689289093	203	3.586897373199463	38.0000	96.0000	71.0000	441.0000	499.0000	909.0000	290.0000	133.0000	282.0000	853.0000	0.2282	0.1537	0.0681	0.0514	0.0421	0.0348	0.0290	0.0254	0.0178	0.0178	122	0	
9	441	0.2265467345714569	203	3.407756805419922	441.0000	38.0000	626.0000	96.0000	71.0000	282.0000	928.0000	854.0000	909.0000	853.0000	0.2265	0.0907	0.0705	0.0701	0.0607	0.0557	0.0382	0.0343	0.0331	0.0270	376	0	
10	282	0.31243783235549927	203	2.977165937423706	282.0000	499.0000	71.0000	626.0000	347.0000	515.0000	96.0000	133.0000	854.0000	181.0000	0.3124	0.1431	0.1226	0.0383	0.0342	0.0266	0.0243	0.0206	0.0195	0.0157	151	0	
11	909	0.10493543744087219	203	4.465811252593994	909.0000	71.0000	575.0000	583.0000	282.0000	928.0000	499.0000	37.0000	96.0000	290.0000	0.1049	0.0888	0.0590	0.0399	0.0368	0.0343	0.0309	0.0262	0.0252	0.0252	107	0	
12	785	0.7285410761833191	203	1.2106733322143555	785.0000	899.0000	575.0000	412.0000	541.0000	499.0000	692.0000	583.0000	37.0000	203.0000	0.7285	0.1098	0.0447	0.0373	0.0161	0.0150	0.0036	0.0036	0.0033	0.0022	9	1	
13	509	0.1174432560801506	203	5.095070838928223	509.0000	867.0000	44.0000	347.0000	936.0000	489.0000	719.0000	924.0000	331.0000	884.0000	0.1174	0.0384	0.0346	0.0282	0.0267	0.0249	0.0244	0.0211	0.0209	0.0160	64	1	
14	412	0.24238517880439758	203	3.253093719482422	412.0000	583.0000	574.0000	575.0000	785.0000	818.0000	375.0000	783.0000	594.0000	541.0000	0.2424	0.1573	0.1242	0.0422	0.0390	0.0385	0.0259	0.0214	0.0206	0.0206	11	1	
