	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	923	0.07794974744319916	207	5.198223114013672	923.0000	895.0000	734.0000	143.0000	484.0000	243.0000	926.0000	356.0000	156.0000	845.0000	0.0779	0.0624	0.0620	0.0341	0.0259	0.0220	0.0206	0.0200	0.0192	0.0158	282	0	
1	912	0.06093751639127731	207	5.323996543884277	912.0000	853.0000	226.0000	104.0000	724.0000	47.0000	942.0000	304.0000	716.0000	137.0000	0.0609	0.0482	0.0442	0.0303	0.0251	0.0238	0.0201	0.0185	0.0179	0.0163	439	0	
2	912	0.17738275229930878	207	4.757737636566162	912.0000	226.0000	335.0000	512.0000	304.0000	142.0000	202.0000	38.0000	494.0000	489.0000	0.1774	0.0477	0.0453	0.0368	0.0313	0.0227	0.0200	0.0198	0.0170	0.0155	325	0	
3	626	0.16733291745185852	207	3.6645076274871826	626.0000	485.0000	219.0000	6.0000	282.0000	304.0000	484.0000	512.0000	335.0000	494.0000	0.1673	0.1661	0.0670	0.0539	0.0432	0.0429	0.0333	0.0280	0.0250	0.0240	212	0	
4	282	0.2475282847881317	207	4.074270248413086	282.0000	8.0000	485.0000	364.0000	489.0000	453.0000	219.0000	626.0000	558.0000	730.0000	0.2475	0.0957	0.0589	0.0408	0.0304	0.0299	0.0195	0.0147	0.0146	0.0146	178	0	
5	912	0.05956457555294037	207	5.274569034576416	912.0000	853.0000	226.0000	47.0000	104.0000	724.0000	942.0000	142.0000	304.0000	494.0000	0.0596	0.0521	0.0374	0.0303	0.0287	0.0283	0.0216	0.0193	0.0193	0.0168	412	0	
6	912	0.11365378648042679	207	5.0463738441467285	912.0000	226.0000	304.0000	335.0000	512.0000	142.0000	494.0000	38.0000	942.0000	243.0000	0.1137	0.0582	0.0442	0.0366	0.0333	0.0251	0.0216	0.0177	0.0162	0.0152	342	0	
7	734	0.4655642807483673	207	1.3693037033081055	734.0000	895.0000	484.0000	923.0000	2.0000	255.0000	143.0000	926.0000	658.0000	157.0000	0.4656	0.3804	0.0330	0.0318	0.0313	0.0243	0.0073	0.0036	0.0031	0.0025	238	1	
8	137	0.07631813734769821	207	4.77756929397583	137.0000	226.0000	235.0000	782.0000	142.0000	240.0000	6.0000	270.0000	489.0000	507.0000	0.0763	0.0599	0.0550	0.0430	0.0428	0.0425	0.0294	0.0214	0.0187	0.0175	345	1	
9	142	0.12642520666122437	207	4.496364593505859	142.0000	143.0000	485.0000	157.0000	226.0000	912.0000	494.0000	512.0000	206.0000	378.0000	0.1264	0.0609	0.0573	0.0497	0.0444	0.0407	0.0398	0.0355	0.0290	0.0189	253	1	
10	658	0.5228102803230286	207	2.417048215866089	658.0000	484.0000	157.0000	243.0000	714.0000	219.0000	442.0000	143.0000	453.0000	560.0000	0.5228	0.0871	0.0557	0.0320	0.0302	0.0267	0.0259	0.0212	0.0152	0.0126	113	1	
11	453	0.3368834853172302	207	3.7703166007995605	453.0000	528.0000	219.0000	854.0000	364.0000	582.0000	703.0000	560.0000	658.0000	759.0000	0.3369	0.1190	0.0296	0.0231	0.0224	0.0148	0.0131	0.0102	0.0096	0.0093	163	1	
12	782	0.06945294886827469	207	4.7810821533203125	782.0000	142.0000	137.0000	235.0000	226.0000	240.0000	588.0000	489.0000	270.0000	307.0000	0.0695	0.0642	0.0576	0.0516	0.0507	0.0442	0.0243	0.0198	0.0174	0.0137	353	1	
13	142	0.1271442025899887	207	4.545322418212891	142.0000	485.0000	157.0000	143.0000	226.0000	912.0000	512.0000	494.0000	206.0000	137.0000	0.1271	0.0533	0.0472	0.0472	0.0468	0.0445	0.0376	0.0306	0.0291	0.0258	241	1	
14	923	0.32120198011398315	207	2.7228660583496094	923.0000	255.0000	2.0000	734.0000	895.0000	227.0000	926.0000	157.0000	32.0000	176.0000	0.3212	0.1293	0.1184	0.0962	0.0949	0.0213	0.0148	0.0142	0.0136	0.0113	213	2	
15	304	0.08191197365522385	207	4.789975166320801	304.0000	137.0000	930.0000	145.0000	378.0000	662.0000	588.0000	240.0000	782.0000	165.0000	0.0819	0.0556	0.0550	0.0384	0.0376	0.0293	0.0227	0.0193	0.0180	0.0177	48	2	
16	145	0.24335843324661255	207	3.9031076431274414	145.0000	304.0000	912.0000	16.0000	494.0000	142.0000	335.0000	658.0000	724.0000	378.0000	0.2434	0.1282	0.0682	0.0279	0.0259	0.0227	0.0205	0.0198	0.0177	0.0169	28	2	
17	219	0.15474960207939148	207	3.828406572341919	219.0000	484.0000	658.0000	304.0000	626.0000	342.0000	560.0000	141.0000	364.0000	889.0000	0.1547	0.0834	0.0701	0.0698	0.0592	0.0341	0.0316	0.0301	0.0290	0.0279	47	2	
18	626	0.3028585612773895	207	3.4065306186676025	626.0000	810.0000	370.0000	490.0000	219.0000	181.0000	304.0000	378.0000	487.0000	484.0000	0.3029	0.1123	0.0871	0.0607	0.0332	0.0245	0.0241	0.0199	0.0117	0.0112	15	2	
19	304	0.08419225364923477	207	4.776735305786133	304.0000	137.0000	930.0000	145.0000	378.0000	662.0000	240.0000	588.0000	165.0000	377.0000	0.0842	0.0651	0.0589	0.0377	0.0344	0.0253	0.0217	0.0213	0.0212	0.0154	44	2	
