	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	282	0.05572456121444702	215	4.540595531463623	282.0000	122.0000	258.0000	787.0000	364.0000	6.0000	626.0000	483.0000	441.0000	96.0000	0.0557	0.0529	0.0526	0.0500	0.0497	0.0463	0.0462	0.0409	0.0334	0.0313	42	0	
1	626	0.1547573059797287	215	4.102583885192871	626.0000	215.0000	153.0000	205.0000	844.0000	787.0000	222.0000	789.0000	942.0000	521.0000	0.1548	0.1503	0.0646	0.0369	0.0367	0.0315	0.0273	0.0199	0.0198	0.0195	1	0	
2	96	0.10807019472122192	215	4.256219863891602	96.0000	282.0000	6.0000	787.0000	54.0000	626.0000	122.0000	583.0000	483.0000	71.0000	0.1081	0.0949	0.0715	0.0698	0.0633	0.0561	0.0197	0.0160	0.0152	0.0148	44	0	
3	626	0.26079079508781433	215	3.9303455352783203	626.0000	282.0000	893.0000	787.0000	364.0000	521.0000	153.0000	552.0000	483.0000	844.0000	0.2608	0.0841	0.0547	0.0421	0.0338	0.0248	0.0237	0.0233	0.0170	0.0150	14	0	
4	166	0.2345816195011139	215	2.8905861377716064	166.0000	243.0000	509.0000	282.0000	789.0000	222.0000	811.0000	521.0000	307.0000	780.0000	0.2346	0.1253	0.1180	0.1094	0.0416	0.0416	0.0412	0.0383	0.0308	0.0211	13	1	
5	215	0.8214859366416931	215	1.1451594829559326	215.0000	789.0000	627.0000	570.0000	141.0000	162.0000	495.0000	169.0000	811.0000	153.0000	0.8215	0.0286	0.0260	0.0131	0.0110	0.0072	0.0060	0.0058	0.0047	0.0047	0	1	
6	789	0.16855314373970032	215	3.189366340637207	789.0000	215.0000	166.0000	153.0000	162.0000	811.0000	521.0000	282.0000	243.0000	6.0000	0.1686	0.1381	0.1334	0.0798	0.0547	0.0536	0.0327	0.0311	0.0305	0.0233	1	1	
7	215	0.596437931060791	215	2.3663296699523926	215.0000	627.0000	153.0000	811.0000	789.0000	315.0000	0.0000	570.0000	893.0000	212.0000	0.5964	0.0602	0.0329	0.0256	0.0247	0.0154	0.0136	0.0113	0.0096	0.0081	0	1	
8	153	0.5149742364883423	215	1.8878458738327026	153.0000	282.0000	215.0000	789.0000	893.0000	811.0000	307.0000	232.0000	543.0000	217.0000	0.5150	0.1264	0.1237	0.0627	0.0450	0.0289	0.0152	0.0073	0.0071	0.0051	2	2	
9	215	0.9067083597183228	215	0.5898933410644531	215.0000	789.0000	811.0000	888.0000	0.0000	282.0000	627.0000	111.0000	306.0000	315.0000	0.9067	0.0273	0.0135	0.0112	0.0058	0.0047	0.0037	0.0026	0.0022	0.0016	0	2	
10	215	0.7607681155204773	215	1.142081379890442	215.0000	789.0000	282.0000	811.0000	153.0000	945.0000	232.0000	521.0000	307.0000	222.0000	0.7608	0.0509	0.0499	0.0485	0.0288	0.0093	0.0075	0.0070	0.0069	0.0024	0	2	
11	215	0.47710826992988586	215	2.2070279121398926	215.0000	111.0000	893.0000	153.0000	789.0000	282.0000	811.0000	315.0000	888.0000	0.0000	0.4771	0.1065	0.0977	0.0875	0.0307	0.0306	0.0284	0.0143	0.0134	0.0124	0	2	
12	441	0.6457467079162598	215	1.9790738821029663	441.0000	282.0000	811.0000	167.0000	243.0000	483.0000	453.0000	166.0000	67.0000	509.0000	0.6457	0.0509	0.0304	0.0258	0.0255	0.0196	0.0172	0.0156	0.0127	0.0120	66	3	
13	282	0.2711600363254547	215	3.2826778888702393	282.0000	811.0000	647.0000	153.0000	626.0000	540.0000	889.0000	167.0000	843.0000	789.0000	0.2712	0.1109	0.0872	0.0815	0.0476	0.0377	0.0301	0.0284	0.0239	0.0126	64	3	
14	811	0.26478415727615356	215	3.030761480331421	811.0000	509.0000	167.0000	282.0000	441.0000	789.0000	307.0000	626.0000	166.0000	153.0000	0.2648	0.1150	0.0758	0.0672	0.0535	0.0520	0.0358	0.0310	0.0309	0.0299	35	3	
15	647	0.21091587841510773	215	3.6371376514434814	647.0000	282.0000	811.0000	153.0000	540.0000	843.0000	441.0000	826.0000	719.0000	639.0000	0.2109	0.0879	0.0789	0.0777	0.0414	0.0410	0.0273	0.0242	0.0220	0.0164	36	3	
16	215	0.2360774278640747	215	3.271730422973633	215.0000	543.0000	789.0000	282.0000	811.0000	222.0000	945.0000	33.0000	6.0000	307.0000	0.2361	0.1695	0.0608	0.0583	0.0504	0.0333	0.0296	0.0282	0.0235	0.0210	0	4	
