	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	899	0.041960496455430984	216	5.561038494110107	899.0000	205.0000	884.0000	789.0000	692.0000	909.0000	122.0000	282.0000	609.0000	235.0000	0.0420	0.0338	0.0305	0.0278	0.0252	0.0250	0.0199	0.0182	0.0165	0.0160	373	0	
1	637	0.1315697729587555	216	4.526398658752441	637.0000	869.0000	584.0000	797.0000	692.0000	301.0000	948.0000	750.0000	645.0000	358.0000	0.1316	0.1065	0.0411	0.0399	0.0350	0.0216	0.0205	0.0191	0.0188	0.0184	17	0	
2	122	0.0433817058801651	216	5.288912296295166	122.0000	301.0000	470.0000	692.0000	395.0000	840.0000	637.0000	701.0000	541.0000	235.0000	0.0434	0.0410	0.0393	0.0216	0.0212	0.0199	0.0195	0.0195	0.0192	0.0167	13	0	
3	55	0.05405721813440323	216	5.1496710777282715	55.0000	287.0000	575.0000	144.0000	395.0000	131.0000	205.0000	902.0000	301.0000	138.0000	0.0541	0.0521	0.0377	0.0332	0.0308	0.0283	0.0258	0.0209	0.0198	0.0178	348	1	
4	637	0.16624781489372253	216	4.014841079711914	637.0000	408.0000	716.0000	652.0000	533.0000	681.0000	55.0000	902.0000	544.0000	670.0000	0.1662	0.1553	0.0504	0.0452	0.0362	0.0278	0.0252	0.0201	0.0179	0.0171	33	1	
5	301	0.15003684163093567	216	4.640852928161621	301.0000	395.0000	525.0000	941.0000	861.0000	546.0000	323.0000	637.0000	534.0000	644.0000	0.1500	0.0715	0.0422	0.0282	0.0277	0.0230	0.0226	0.0214	0.0213	0.0196	246	1	
6	144	0.25521451234817505	216	3.044602394104004	144.0000	575.0000	287.0000	122.0000	597.0000	153.0000	594.0000	598.0000	407.0000	169.0000	0.2552	0.1631	0.1395	0.0651	0.0533	0.0236	0.0230	0.0209	0.0155	0.0133	128	2	
7	845	0.4642844498157501	216	2.951786994934082	845.0000	161.0000	715.0000	637.0000	408.0000	750.0000	790.0000	216.0000	358.0000	489.0000	0.4643	0.0669	0.0478	0.0391	0.0380	0.0220	0.0180	0.0177	0.0174	0.0167	7	2	
8	301	0.1470319777727127	216	3.7583539485931396	301.0000	575.0000	597.0000	395.0000	541.0000	785.0000	216.0000	37.0000	470.0000	701.0000	0.1470	0.1253	0.0919	0.0871	0.0673	0.0296	0.0270	0.0230	0.0219	0.0164	6	2	
9	909	0.120241679251194	216	4.140501022338867	909.0000	319.0000	441.0000	353.0000	787.0000	96.0000	422.0000	453.0000	853.0000	679.0000	0.1202	0.1181	0.0777	0.0512	0.0442	0.0441	0.0333	0.0269	0.0209	0.0196	361	3	
