	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	627	0.1888187825679779	220	3.614652633666992	627.0000	347.0000	844.0000	212.0000	884.0000	205.0000	797.0000	513.0000	584.0000	75.0000	0.1888	0.1215	0.1017	0.0504	0.0459	0.0439	0.0364	0.0336	0.0296	0.0211	319	0	
1	627	0.2666563093662262	220	3.6650071144104004	627.0000	513.0000	844.0000	75.0000	789.0000	347.0000	531.0000	212.0000	534.0000	576.0000	0.2667	0.1126	0.0718	0.0512	0.0403	0.0276	0.0209	0.0186	0.0156	0.0144	300	0	
2	347	0.13255925476551056	220	2.9632346630096436	347.0000	877.0000	320.0000	75.0000	120.0000	615.0000	576.0000	640.0000	614.0000	436.0000	0.1326	0.1276	0.1249	0.1071	0.1038	0.0843	0.0534	0.0400	0.0232	0.0190	106	0	
3	75	0.7318939566612244	220	1.4640250205993652	75.0000	605.0000	491.0000	436.0000	694.0000	430.0000	213.0000	614.0000	540.0000	315.0000	0.7319	0.0697	0.0292	0.0252	0.0228	0.0120	0.0113	0.0092	0.0073	0.0037	62	0	
4	75	0.9299766421318054	220	0.5267829895019531	75.0000	430.0000	629.0000	491.0000	436.0000	844.0000	212.0000	614.0000	213.0000	941.0000	0.9300	0.0067	0.0060	0.0051	0.0047	0.0038	0.0037	0.0034	0.0029	0.0025	80	0	
5	75	0.9698929786682129	220	0.24681702256202698	75.0000	629.0000	430.0000	844.0000	436.0000	491.0000	212.0000	941.0000	315.0000	614.0000	0.9699	0.0039	0.0035	0.0022	0.0021	0.0019	0.0018	0.0012	0.0011	0.0008	76	0	
6	75	0.12239903211593628	220	4.285003185272217	75.0000	347.0000	212.0000	627.0000	844.0000	436.0000	513.0000	789.0000	797.0000	282.0000	0.1224	0.0706	0.0681	0.0681	0.0643	0.0549	0.0227	0.0215	0.0198	0.0172	288	0	
7	584	0.22708824276924133	220	3.371330738067627	584.0000	347.0000	362.0000	212.0000	205.0000	513.0000	407.0000	924.0000	844.0000	884.0000	0.2271	0.1612	0.1139	0.0395	0.0352	0.0312	0.0295	0.0291	0.0228	0.0210	85	1	
8	347	0.15205663442611694	220	3.439450740814209	347.0000	513.0000	726.0000	584.0000	212.0000	75.0000	343.0000	222.0000	407.0000	61.0000	0.1521	0.1372	0.1167	0.0895	0.0601	0.0529	0.0467	0.0325	0.0260	0.0201	114	1	
9	75	0.3234819769859314	220	3.107252597808838	75.0000	614.0000	407.0000	605.0000	522.0000	315.0000	436.0000	682.0000	211.0000	212.0000	0.3235	0.0870	0.0738	0.0517	0.0346	0.0346	0.0303	0.0264	0.0251	0.0250	17	1	
10	75	0.5734860897064209	220	1.6199291944503784	75.0000	605.0000	343.0000	491.0000	407.0000	694.0000	315.0000	436.0000	614.0000	916.0000	0.5735	0.1502	0.0982	0.0705	0.0355	0.0102	0.0056	0.0043	0.0032	0.0032	12	1	
11	75	0.8481367826461792	220	0.8216540813446045	75.0000	407.0000	343.0000	315.0000	436.0000	614.0000	491.0000	605.0000	212.0000	61.0000	0.8481	0.0611	0.0296	0.0103	0.0084	0.0049	0.0038	0.0027	0.0021	0.0014	10	1	
12	75	0.706143319606781	220	1.2185194492340088	75.0000	362.0000	61.0000	407.0000	343.0000	491.0000	315.0000	917.0000	212.0000	614.0000	0.7061	0.0846	0.0715	0.0532	0.0415	0.0088	0.0035	0.0034	0.0027	0.0027	28	1	
13	212	0.15939877927303314	220	4.0349321365356445	212.0000	347.0000	726.0000	407.0000	584.0000	436.0000	614.0000	811.0000	362.0000	924.0000	0.1594	0.1532	0.0427	0.0326	0.0325	0.0299	0.0289	0.0222	0.0212	0.0206	72	1	
14	205	0.9807501435279846	220	0.14348281919956207	205.0000	884.0000	584.0000	645.0000	434.0000	211.0000	54.0000	840.0000	395.0000	153.0000	0.9808	0.0060	0.0043	0.0018	0.0009	0.0009	0.0006	0.0006	0.0006	0.0005	74	2	
15	584	0.3205574154853821	220	2.4125583171844482	584.0000	884.0000	726.0000	513.0000	395.0000	93.0000	645.0000	205.0000	111.0000	357.0000	0.3206	0.1660	0.1571	0.1215	0.0387	0.0222	0.0178	0.0171	0.0115	0.0108	198	2	
16	614	0.6621745228767395	220	1.5265655517578125	614.0000	407.0000	75.0000	315.0000	436.0000	111.0000	211.0000	576.0000	495.0000	726.0000	0.6622	0.0811	0.0629	0.0520	0.0476	0.0108	0.0096	0.0081	0.0069	0.0069	21	2	
17	75	0.2691721022129059	220	2.3566031455993652	75.0000	614.0000	605.0000	407.0000	436.0000	315.0000	544.0000	528.0000	131.0000	540.0000	0.2692	0.2580	0.1427	0.1105	0.0360	0.0346	0.0251	0.0067	0.0064	0.0048	44	2	
18	614	0.42411696910858154	220	2.3558740615844727	614.0000	75.0000	315.0000	407.0000	436.0000	212.0000	320.0000	576.0000	639.0000	282.0000	0.4241	0.2760	0.0214	0.0191	0.0186	0.0170	0.0143	0.0131	0.0121	0.0104	38	2	
19	75	0.6878385543823242	220	1.7237234115600586	75.0000	614.0000	407.0000	315.0000	212.0000	584.0000	605.0000	844.0000	544.0000	211.0000	0.6878	0.0626	0.0321	0.0270	0.0171	0.0167	0.0156	0.0138	0.0097	0.0071	65	2	
20	726	0.3779109716415405	220	2.4997997283935547	726.0000	584.0000	205.0000	614.0000	884.0000	436.0000	111.0000	315.0000	211.0000	919.0000	0.3779	0.1591	0.0862	0.0620	0.0419	0.0346	0.0330	0.0275	0.0227	0.0187	115	2	
21	211	0.31410494446754456	220	2.297217845916748	211.0000	205.0000	357.0000	584.0000	884.0000	513.0000	395.0000	919.0000	212.0000	407.0000	0.3141	0.2701	0.1052	0.0633	0.0551	0.0202	0.0202	0.0186	0.0144	0.0104	30	3	
22	357	0.33511778712272644	220	2.3265085220336914	357.0000	513.0000	627.0000	211.0000	222.0000	212.0000	884.0000	726.0000	205.0000	213.0000	0.3351	0.3025	0.0951	0.0241	0.0214	0.0204	0.0200	0.0173	0.0143	0.0114	91	3	
