	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	332	0.21824254095554352	224	2.7663650512695312	332.0000	641.0000	667.0000	321.0000	16.0000	800.0000	933.0000	820.0000	571.0000	258.0000	0.2182	0.1558	0.0919	0.0865	0.0862	0.0414	0.0329	0.0283	0.0281	0.0262	12	0	
1	864	0.14784908294677734	224	3.005937099456787	864.0000	16.0000	67.0000	667.0000	820.0000	43.0000	224.0000	845.0000	383.0000	321.0000	0.1478	0.1084	0.1080	0.1000	0.0751	0.0724	0.0696	0.0627	0.0419	0.0243	6	0	
2	480	0.2454630434513092	224	3.0067477226257324	480.0000	332.0000	667.0000	864.0000	933.0000	569.0000	800.0000	50.0000	246.0000	657.0000	0.2455	0.1083	0.1027	0.0632	0.0436	0.0399	0.0360	0.0357	0.0331	0.0295	16	0	
3	16	0.12972092628479004	224	3.287094831466675	16.0000	667.0000	657.0000	864.0000	322.0000	246.0000	571.0000	67.0000	258.0000	480.0000	0.1297	0.1082	0.0811	0.0777	0.0753	0.0496	0.0421	0.0381	0.0366	0.0345	18	0	
4	864	0.1950947791337967	224	3.1218349933624268	864.0000	480.0000	641.0000	321.0000	246.0000	332.0000	667.0000	657.0000	210.0000	16.0000	0.1951	0.1200	0.0867	0.0735	0.0624	0.0493	0.0477	0.0422	0.0333	0.0275	17	0	
5	641	0.7605795860290527	224	1.0716526508331299	641.0000	332.0000	123.0000	454.0000	864.0000	800.0000	435.0000	566.0000	933.0000	571.0000	0.7606	0.0987	0.0366	0.0227	0.0215	0.0118	0.0066	0.0057	0.0054	0.0052	12	0	
6	332	0.2517164647579193	224	2.6863512992858887	332.0000	641.0000	16.0000	321.0000	667.0000	800.0000	933.0000	571.0000	67.0000	820.0000	0.2517	0.1731	0.0822	0.0761	0.0722	0.0411	0.0354	0.0267	0.0246	0.0241	11	0	
7	933	0.17780131101608276	224	2.879891872406006	933.0000	667.0000	820.0000	480.0000	16.0000	67.0000	569.0000	864.0000	321.0000	657.0000	0.1778	0.1463	0.1223	0.1004	0.0615	0.0579	0.0578	0.0387	0.0312	0.0283	15	0	
8	16	0.1909470558166504	224	2.741173267364502	16.0000	67.0000	641.0000	864.0000	566.0000	933.0000	246.0000	480.0000	321.0000	657.0000	0.1909	0.1664	0.1264	0.1055	0.1008	0.0406	0.0322	0.0275	0.0227	0.0194	16	0	
9	16	0.15026767551898956	224	2.6728782653808594	16.0000	667.0000	67.0000	933.0000	480.0000	820.0000	569.0000	321.0000	566.0000	332.0000	0.1503	0.1478	0.1420	0.1269	0.1196	0.0898	0.0379	0.0236	0.0157	0.0146	17	0	
