	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	226	0.22420570254325867	225	3.3443799018859863	226.0000	277.0000	141.0000	509.0000	191.0000	278.0000	494.0000	510.0000	363.0000	581.0000	0.2242	0.2055	0.0838	0.0443	0.0387	0.0308	0.0302	0.0240	0.0176	0.0165	390	0	
1	363	0.28193399310112	225	2.9243478775024414	363.0000	510.0000	289.0000	82.0000	288.0000	285.0000	584.0000	273.0000	312.0000	44.0000	0.2819	0.2243	0.0469	0.0462	0.0450	0.0450	0.0356	0.0251	0.0241	0.0170	325	0	
2	304	0.2017631083726883	225	3.3077220916748047	304.0000	226.0000	277.0000	38.0000	312.0000	698.0000	910.0000	137.0000	290.0000	369.0000	0.2018	0.1268	0.0953	0.0653	0.0644	0.0522	0.0411	0.0281	0.0245	0.0203	31	1	
3	295	0.13268885016441345	225	3.6501340866088867	295.0000	670.0000	503.0000	510.0000	630.0000	584.0000	44.0000	945.0000	910.0000	285.0000	0.1327	0.1001	0.0979	0.0963	0.0740	0.0644	0.0406	0.0272	0.0233	0.0174	124	1	
4	141	0.7196259498596191	225	1.7894096374511719	141.0000	304.0000	363.0000	509.0000	662.0000	590.0000	369.0000	255.0000	312.0000	186.0000	0.7196	0.0184	0.0172	0.0163	0.0152	0.0142	0.0135	0.0109	0.0098	0.0088	30	2	
5	670	0.22494754195213318	225	2.8929829597473145	670.0000	646.0000	630.0000	285.0000	295.0000	312.0000	510.0000	426.0000	369.0000	82.0000	0.2249	0.1309	0.1083	0.0826	0.0793	0.0534	0.0502	0.0322	0.0241	0.0185	41	2	
6	277	0.34573498368263245	225	2.9509081840515137	277.0000	369.0000	226.0000	141.0000	340.0000	662.0000	335.0000	312.0000	441.0000	494.0000	0.3457	0.1153	0.0714	0.0674	0.0607	0.0234	0.0186	0.0161	0.0159	0.0140	12	3	
7	44	0.22129641473293304	225	3.173933267593384	44.0000	285.0000	369.0000	670.0000	510.0000	590.0000	630.0000	312.0000	226.0000	662.0000	0.2213	0.1582	0.1250	0.0535	0.0419	0.0317	0.0300	0.0195	0.0192	0.0174	13	3	
8	44	0.31388843059539795	225	2.191385269165039	44.0000	910.0000	312.0000	670.0000	363.0000	464.0000	681.0000	225.0000	288.0000	494.0000	0.3139	0.2178	0.1682	0.0933	0.0631	0.0190	0.0181	0.0113	0.0111	0.0074	7	4	
9	312	0.26826557517051697	225	2.0410337448120117	312.0000	44.0000	681.0000	670.0000	630.0000	910.0000	285.0000	426.0000	424.0000	590.0000	0.2683	0.2082	0.1636	0.1227	0.1131	0.0423	0.0273	0.0129	0.0072	0.0070	10	4	
