	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	6	0.20636092126369476	233	3.662374496459961	6.0000	583.0000	783.0000	853.0000	181.0000	494.0000	219.0000	98.0000	342.0000	658.0000	0.2064	0.1142	0.0752	0.0462	0.0447	0.0416	0.0408	0.0374	0.0242	0.0209	451	0	
1	6	0.3469413220882416	233	3.5664000511169434	6.0000	98.0000	692.0000	342.0000	181.0000	226.0000	783.0000	583.0000	46.0000	219.0000	0.3469	0.1336	0.0533	0.0247	0.0243	0.0233	0.0220	0.0127	0.0101	0.0092	375	0	
2	340	0.21265767514705658	233	3.407907724380493	340.0000	453.0000	297.0000	8.0000	528.0000	490.0000	700.0000	626.0000	757.0000	919.0000	0.2127	0.1757	0.0847	0.0642	0.0448	0.0420	0.0268	0.0234	0.0224	0.0142	372	0	
3	853	0.1386958211660385	233	4.311461448669434	853.0000	724.0000	830.0000	783.0000	264.0000	453.0000	219.0000	60.0000	658.0000	364.0000	0.1387	0.1056	0.0635	0.0437	0.0337	0.0333	0.0255	0.0233	0.0196	0.0192	41	1	
4	724	0.2867884933948517	233	3.659766912460327	724.0000	453.0000	853.0000	830.0000	364.0000	264.0000	642.0000	489.0000	727.0000	304.0000	0.2868	0.0655	0.0624	0.0492	0.0489	0.0434	0.0329	0.0190	0.0159	0.0158	79	1	
5	370	0.5541963577270508	233	1.872960090637207	370.0000	830.0000	219.0000	453.0000	444.0000	549.0000	490.0000	724.0000	27.0000	117.0000	0.5542	0.1244	0.0731	0.0415	0.0354	0.0305	0.0192	0.0187	0.0137	0.0124	75	1	
6	658	0.2731754779815674	233	3.6107804775238037	658.0000	181.0000	384.0000	6.0000	60.0000	259.0000	889.0000	903.0000	304.0000	662.0000	0.2732	0.1058	0.0642	0.0453	0.0323	0.0285	0.0258	0.0223	0.0217	0.0190	205	2	
7	181	0.2692423164844513	233	3.360194206237793	181.0000	658.0000	889.0000	903.0000	853.0000	494.0000	304.0000	60.0000	226.0000	662.0000	0.2692	0.1515	0.1294	0.0308	0.0245	0.0228	0.0221	0.0217	0.0204	0.0131	163	2	
8	370	0.3416535258293152	233	3.0129146575927734	370.0000	297.0000	549.0000	443.0000	919.0000	219.0000	453.0000	626.0000	226.0000	449.0000	0.3417	0.1232	0.0760	0.0641	0.0453	0.0323	0.0277	0.0198	0.0175	0.0127	158	2	
9	207	0.2778490483760834	233	3.119349479675293	207.0000	226.0000	219.0000	209.0000	927.0000	662.0000	485.0000	494.0000	658.0000	6.0000	0.2778	0.1347	0.1133	0.0787	0.0253	0.0253	0.0245	0.0227	0.0208	0.0201	401	3	
