	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	884	0.2362615466117859	240	3.5871636867523193	884.0000	190.0000	98.0000	692.0000	869.0000	840.0000	690.0000	588.0000	395.0000	674.0000	0.2363	0.1285	0.0835	0.0791	0.0522	0.0248	0.0243	0.0211	0.0163	0.0153	11	0	
1	884	0.11591039597988129	240	4.583985328674316	884.0000	588.0000	840.0000	301.0000	692.0000	644.0000	690.0000	395.0000	190.0000	674.0000	0.1159	0.0758	0.0754	0.0434	0.0264	0.0261	0.0225	0.0212	0.0204	0.0201	14	0	
2	884	0.20465494692325592	240	3.3306524753570557	884.0000	395.0000	77.0000	98.0000	674.0000	190.0000	948.0000	630.0000	333.0000	33.0000	0.2047	0.1948	0.0786	0.0688	0.0471	0.0306	0.0257	0.0247	0.0189	0.0149	17	1	
3	77	0.18001426756381989	240	3.504410743713379	77.0000	674.0000	630.0000	884.0000	323.0000	301.0000	588.0000	395.0000	190.0000	333.0000	0.1800	0.0981	0.0893	0.0857	0.0537	0.0484	0.0464	0.0327	0.0279	0.0231	22	1	
4	884	0.7591140270233154	240	1.0885682106018066	884.0000	674.0000	347.0000	77.0000	323.0000	585.0000	876.0000	33.0000	630.0000	240.0000	0.7591	0.1497	0.0147	0.0063	0.0049	0.0047	0.0035	0.0030	0.0026	0.0020	9	2	
5	884	0.5333592891693115	240	2.486645221710205	884.0000	674.0000	273.0000	876.0000	347.0000	532.0000	77.0000	33.0000	476.0000	521.0000	0.5334	0.0970	0.0672	0.0221	0.0199	0.0180	0.0146	0.0144	0.0106	0.0103	92	2	
6	884	0.4705462157726288	240	2.2928900718688965	884.0000	240.0000	190.0000	585.0000	395.0000	674.0000	391.0000	333.0000	515.0000	840.0000	0.4705	0.1692	0.0866	0.0501	0.0299	0.0152	0.0144	0.0103	0.0099	0.0072	1	3	
7	240	0.17817750573158264	240	3.384512424468994	240.0000	884.0000	33.0000	235.0000	588.0000	782.0000	77.0000	532.0000	190.0000	142.0000	0.1782	0.1212	0.0897	0.0872	0.0782	0.0452	0.0432	0.0280	0.0248	0.0239	0	3	
8	584	0.3134905695915222	240	2.091651201248169	584.0000	884.0000	645.0000	467.0000	190.0000	630.0000	646.0000	782.0000	840.0000	674.0000	0.3135	0.2743	0.1306	0.0786	0.0469	0.0368	0.0208	0.0157	0.0128	0.0075	27	4	
9	884	0.28316473960876465	240	2.47186279296875	884.0000	190.0000	782.0000	630.0000	77.0000	546.0000	674.0000	840.0000	588.0000	645.0000	0.2832	0.1866	0.1224	0.1187	0.0523	0.0312	0.0243	0.0226	0.0200	0.0177	81	4	
10	884	0.5160329937934875	240	2.7893338203430176	884.0000	98.0000	413.0000	235.0000	710.0000	92.0000	840.0000	782.0000	363.0000	34.0000	0.5160	0.0658	0.0272	0.0256	0.0173	0.0159	0.0153	0.0144	0.0127	0.0126	99	5	
11	884	0.2581470012664795	240	3.220308303833008	884.0000	98.0000	235.0000	92.0000	630.0000	840.0000	413.0000	830.0000	782.0000	575.0000	0.2581	0.2389	0.0813	0.0411	0.0240	0.0211	0.0147	0.0133	0.0129	0.0128	219	5	
12	395	0.2741381824016571	240	2.2976832389831543	395.0000	240.0000	884.0000	77.0000	190.0000	585.0000	413.0000	644.0000	379.0000	333.0000	0.2741	0.2137	0.2093	0.0546	0.0532	0.0494	0.0202	0.0136	0.0093	0.0087	1	6	
13	200	0.25770410895347595	240	2.4777331352233887	200.0000	588.0000	782.0000	235.0000	77.0000	884.0000	33.0000	840.0000	190.0000	942.0000	0.2577	0.1496	0.1263	0.1136	0.0931	0.0837	0.0385	0.0279	0.0129	0.0074	21	6	
14	467	0.3694877028465271	240	2.0141489505767822	467.0000	323.0000	333.0000	190.0000	884.0000	413.0000	426.0000	674.0000	98.0000	630.0000	0.3695	0.2390	0.1212	0.0862	0.0388	0.0294	0.0240	0.0197	0.0104	0.0072	35	7	
15	884	0.751189649105072	240	1.3323551416397095	884.0000	413.0000	840.0000	333.0000	235.0000	232.0000	514.0000	674.0000	190.0000	630.0000	0.7512	0.0304	0.0294	0.0258	0.0238	0.0202	0.0157	0.0139	0.0122	0.0116	115	7	
16	240	0.24638237059116364	240	2.381913900375366	240.0000	77.0000	190.0000	235.0000	142.0000	884.0000	588.0000	128.0000	97.0000	413.0000	0.2464	0.2093	0.1654	0.1093	0.0374	0.0339	0.0306	0.0298	0.0226	0.0143	0	8	
17	235	0.46286439895629883	240	1.814851999282837	235.0000	190.0000	884.0000	588.0000	77.0000	948.0000	98.0000	782.0000	128.0000	413.0000	0.4629	0.1687	0.1657	0.0556	0.0428	0.0217	0.0205	0.0067	0.0049	0.0048	13	8	
18	190	0.8745681047439575	240	0.7170437574386597	190.0000	413.0000	379.0000	674.0000	128.0000	884.0000	333.0000	948.0000	546.0000	77.0000	0.8746	0.0483	0.0101	0.0093	0.0064	0.0062	0.0038	0.0037	0.0037	0.0030	15	9	
19	190	0.48785436153411865	240	2.4012582302093506	190.0000	546.0000	333.0000	413.0000	249.0000	645.0000	246.0000	782.0000	578.0000	588.0000	0.4879	0.0675	0.0640	0.0416	0.0377	0.0353	0.0282	0.0239	0.0231	0.0201	70	9	
20	884	0.727929413318634	240	1.168853998184204	884.0000	578.0000	510.0000	323.0000	77.0000	190.0000	92.0000	426.0000	333.0000	840.0000	0.7279	0.1216	0.0392	0.0339	0.0137	0.0130	0.0069	0.0068	0.0038	0.0031	28	10	
21	782	0.5756624341011047	240	1.6666274070739746	782.0000	884.0000	190.0000	77.0000	235.0000	840.0000	588.0000	578.0000	200.0000	333.0000	0.5757	0.1915	0.0450	0.0405	0.0260	0.0194	0.0162	0.0099	0.0070	0.0060	55	10	
22	884	0.5342940092086792	240	1.79349684715271	884.0000	77.0000	674.0000	190.0000	323.0000	128.0000	33.0000	413.0000	333.0000	588.0000	0.5343	0.1442	0.1224	0.0675	0.0171	0.0158	0.0131	0.0064	0.0063	0.0061	26	11	
23	77	0.38571035861968994	240	2.1586074829101562	77.0000	588.0000	884.0000	674.0000	33.0000	782.0000	532.0000	200.0000	190.0000	235.0000	0.3857	0.1829	0.1664	0.0480	0.0424	0.0265	0.0202	0.0144	0.0124	0.0107	81	11	
24	33	0.2300020009279251	240	3.1616530418395996	33.0000	77.0000	246.0000	128.0000	346.0000	347.0000	388.0000	413.0000	189.0000	290.0000	0.2300	0.1213	0.1096	0.0740	0.0529	0.0385	0.0322	0.0299	0.0290	0.0209	11	12	
25	782	0.30234527587890625	240	2.248518228530884	782.0000	588.0000	77.0000	33.0000	189.0000	235.0000	142.0000	388.0000	525.0000	724.0000	0.3023	0.2971	0.0922	0.0776	0.0490	0.0246	0.0199	0.0164	0.0141	0.0076	46	12	
26	77	0.3216647207736969	240	2.4399194717407227	77.0000	33.0000	246.0000	240.0000	333.0000	578.0000	190.0000	588.0000	884.0000	128.0000	0.3217	0.2031	0.1662	0.0672	0.0332	0.0188	0.0166	0.0161	0.0106	0.0093	3	13	
27	33	0.43455931544303894	240	1.563852310180664	33.0000	77.0000	200.0000	189.0000	388.0000	14.0000	246.0000	588.0000	128.0000	634.0000	0.4346	0.3947	0.0409	0.0222	0.0129	0.0114	0.0111	0.0109	0.0068	0.0068	25	13	
28	77	0.5261704325675964	240	1.732511281967163	77.0000	33.0000	333.0000	467.0000	235.0000	323.0000	588.0000	128.0000	674.0000	585.0000	0.5262	0.1577	0.1370	0.0397	0.0296	0.0178	0.0164	0.0079	0.0066	0.0057	13	14	
29	77	0.4223100543022156	240	1.5119502544403076	77.0000	33.0000	235.0000	333.0000	588.0000	142.0000	525.0000	449.0000	14.0000	189.0000	0.4223	0.3827	0.0824	0.0345	0.0122	0.0089	0.0068	0.0058	0.0055	0.0047	58	14	
