	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	551	0.22739258408546448	241	3.3629841804504395	551.0000	285.0000	2.0000	510.0000	716.0000	483.0000	358.0000	61.0000	719.0000	75.0000	0.2274	0.2206	0.0645	0.0406	0.0327	0.0320	0.0272	0.0223	0.0170	0.0162	167	0	
1	510	0.18571285903453827	241	3.994732618331909	510.0000	507.0000	61.0000	670.0000	102.0000	584.0000	844.0000	551.0000	162.0000	358.0000	0.1857	0.1354	0.0756	0.0434	0.0285	0.0228	0.0175	0.0167	0.0155	0.0154	106	0	
2	811	0.21610182523727417	241	3.701610803604126	811.0000	285.0000	441.0000	290.0000	719.0000	453.0000	157.0000	910.0000	528.0000	787.0000	0.2161	0.1473	0.1254	0.0493	0.0384	0.0167	0.0165	0.0131	0.0113	0.0109	65	1	
3	510	0.14281462132930756	241	4.241915702819824	510.0000	811.0000	453.0000	364.0000	307.0000	540.0000	441.0000	673.0000	867.0000	662.0000	0.1428	0.0862	0.0843	0.0681	0.0350	0.0238	0.0202	0.0190	0.0169	0.0158	13	1	
4	285	0.21266189217567444	241	3.371771812438965	285.0000	719.0000	540.0000	703.0000	647.0000	440.0000	131.0000	483.0000	208.0000	868.0000	0.2127	0.1132	0.1106	0.0766	0.0744	0.0345	0.0331	0.0236	0.0188	0.0160	49	2	
5	285	0.3971326947212219	241	2.5944976806640625	285.0000	868.0000	440.0000	540.0000	162.0000	844.0000	719.0000	647.0000	811.0000	739.0000	0.3971	0.1293	0.0668	0.0634	0.0560	0.0306	0.0267	0.0221	0.0210	0.0153	23	2	
6	285	0.2999442517757416	241	3.1123428344726562	285.0000	492.0000	61.0000	552.0000	703.0000	719.0000	131.0000	896.0000	317.0000	242.0000	0.2999	0.2127	0.0695	0.0425	0.0391	0.0276	0.0180	0.0157	0.0143	0.0109	55	3	
7	285	0.5336868762969971	241	2.350374937057495	285.0000	61.0000	945.0000	155.0000	550.0000	507.0000	888.0000	510.0000	457.0000	884.0000	0.5337	0.1536	0.0580	0.0161	0.0149	0.0120	0.0113	0.0108	0.0088	0.0078	31	3	
8	285	0.8491055965423584	241	0.984860897064209	285.0000	483.0000	719.0000	178.0000	208.0000	703.0000	558.0000	31.0000	34.0000	241.0000	0.8491	0.0431	0.0094	0.0084	0.0063	0.0052	0.0044	0.0037	0.0030	0.0026	9	4	
9	241	0.2482028752565384	241	3.3443775177001953	241.0000	453.0000	364.0000	226.0000	821.0000	507.0000	285.0000	713.0000	245.0000	273.0000	0.2482	0.1393	0.0835	0.0428	0.0381	0.0378	0.0359	0.0254	0.0222	0.0215	0	4	
10	285	0.9754925966262817	241	0.19028493762016296	285.0000	719.0000	61.0000	551.0000	182.0000	75.0000	896.0000	208.0000	540.0000	492.0000	0.9755	0.0075	0.0037	0.0021	0.0011	0.0011	0.0006	0.0006	0.0005	0.0004	32	5	
