	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	243	0.2901080548763275	243	2.8404695987701416	243.0000	148.0000	912.0000	542.0000	870.0000	32.0000	356.0000	715.0000	143.0000	56.0000	0.2901	0.1328	0.1181	0.0569	0.0474	0.0443	0.0399	0.0392	0.0230	0.0202	0	0	
1	610	0.28532207012176514	243	2.7859630584716797	610.0000	870.0000	356.0000	566.0000	3.0000	243.0000	715.0000	2.0000	484.0000	38.0000	0.2853	0.1597	0.1129	0.1006	0.0288	0.0282	0.0230	0.0224	0.0195	0.0181	5	0	
2	870	0.17670218646526337	243	3.2513580322265625	870.0000	912.0000	243.0000	157.0000	2.0000	767.0000	356.0000	140.0000	143.0000	817.0000	0.1767	0.1093	0.0978	0.0972	0.0605	0.0546	0.0416	0.0408	0.0269	0.0246	2	0	
3	56	0.29607394337654114	243	3.0631613731384277	56.0000	148.0000	715.0000	542.0000	845.0000	356.0000	243.0000	143.0000	32.0000	216.0000	0.2961	0.1236	0.0842	0.0608	0.0582	0.0427	0.0321	0.0268	0.0239	0.0182	6	0	
4	75	0.19401469826698303	243	3.349299430847168	75.0000	243.0000	143.0000	188.0000	148.0000	714.0000	166.0000	32.0000	492.0000	358.0000	0.1940	0.1712	0.1494	0.0512	0.0421	0.0355	0.0322	0.0263	0.0197	0.0135	1	1	
5	143	0.3321475386619568	243	3.048780918121338	143.0000	25.0000	140.0000	356.0000	882.0000	408.0000	637.0000	907.0000	2.0000	243.0000	0.3321	0.1369	0.0625	0.0608	0.0354	0.0282	0.0253	0.0241	0.0222	0.0198	9	1	
6	140	0.37818074226379395	243	2.439150094985962	140.0000	243.0000	2.0000	143.0000	356.0000	714.0000	188.0000	148.0000	512.0000	145.0000	0.3782	0.1894	0.1089	0.0678	0.0352	0.0305	0.0248	0.0128	0.0092	0.0080	1	1	
7	143	0.27949947118759155	243	2.783156394958496	143.0000	148.0000	56.0000	161.0000	358.0000	750.0000	32.0000	166.0000	243.0000	171.0000	0.2795	0.1544	0.1297	0.1164	0.0638	0.0249	0.0192	0.0161	0.0100	0.0092	8	1	
8	143	0.2419649362564087	243	3.1240434646606445	143.0000	243.0000	356.0000	166.0000	637.0000	56.0000	395.0000	216.0000	817.0000	714.0000	0.2420	0.1302	0.1154	0.0898	0.0524	0.0455	0.0294	0.0248	0.0168	0.0163	1	2	
9	2	0.47705426812171936	243	2.1997551918029785	2.0000	356.0000	143.0000	140.0000	637.0000	870.0000	480.0000	907.0000	610.0000	714.0000	0.4771	0.1237	0.0731	0.0611	0.0294	0.0266	0.0207	0.0207	0.0196	0.0189	12	2	
10	140	0.22138768434524536	243	2.347743511199951	140.0000	243.0000	143.0000	2.0000	895.0000	356.0000	714.0000	480.0000	907.0000	570.0000	0.2214	0.1886	0.1418	0.1074	0.1014	0.0888	0.0476	0.0190	0.0124	0.0085	1	2	
11	56	0.22067613899707794	243	3.265927314758301	56.0000	143.0000	166.0000	637.0000	216.0000	895.0000	161.0000	148.0000	243.0000	356.0000	0.2207	0.1879	0.1186	0.0463	0.0350	0.0292	0.0266	0.0258	0.0174	0.0161	8	2	
12	243	0.4127718210220337	243	2.3539133071899414	243.0000	143.0000	148.0000	356.0000	166.0000	56.0000	895.0000	364.0000	715.0000	358.0000	0.4128	0.1974	0.0793	0.0454	0.0402	0.0275	0.0214	0.0134	0.0109	0.0094	0	3	
13	56	0.5043361783027649	243	1.7555932998657227	56.0000	356.0000	243.0000	714.0000	143.0000	365.0000	140.0000	148.0000	895.0000	156.0000	0.5043	0.2388	0.0577	0.0326	0.0288	0.0208	0.0171	0.0164	0.0149	0.0141	2	3	
14	243	0.5024348497390747	243	1.8155155181884766	243.0000	143.0000	356.0000	140.0000	714.0000	148.0000	767.0000	188.0000	570.0000	365.0000	0.5024	0.1152	0.1120	0.0873	0.0728	0.0194	0.0190	0.0178	0.0097	0.0056	0	3	
15	56	0.932616651058197	243	0.4162556529045105	56.0000	243.0000	161.0000	148.0000	166.0000	750.0000	143.0000	790.0000	705.0000	895.0000	0.9326	0.0195	0.0109	0.0077	0.0066	0.0043	0.0028	0.0025	0.0019	0.0016	1	3	
