	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	364	0.16173355281352997	245	4.558328628540039	364.0000	282.0000	844.0000	483.0000	166.0000	552.0000	893.0000	453.0000	285.0000	673.0000	0.1617	0.0554	0.0519	0.0477	0.0358	0.0265	0.0264	0.0256	0.0222	0.0166	353	0	
1	483	0.1162203997373581	245	5.1591010093688965	483.0000	575.0000	216.0000	583.0000	678.0000	675.0000	637.0000	598.0000	75.0000	551.0000	0.1162	0.0626	0.0578	0.0253	0.0220	0.0188	0.0122	0.0121	0.0118	0.0116	561	0	
2	528	0.2797572910785675	245	4.450931072235107	528.0000	453.0000	919.0000	338.0000	558.0000	582.0000	626.0000	75.0000	364.0000	205.0000	0.2798	0.0395	0.0287	0.0218	0.0200	0.0194	0.0179	0.0173	0.0154	0.0122	314	0	
3	919	0.16555264592170715	245	3.6722536087036133	919.0000	528.0000	582.0000	453.0000	844.0000	552.0000	776.0000	532.0000	75.0000	703.0000	0.1656	0.1319	0.0974	0.0826	0.0460	0.0398	0.0365	0.0328	0.0285	0.0243	327	0	
4	811	0.03845981881022453	245	5.506063938140869	811.0000	61.0000	662.0000	797.0000	551.0000	196.0000	232.0000	510.0000	528.0000	282.0000	0.0385	0.0374	0.0311	0.0265	0.0243	0.0226	0.0210	0.0180	0.0167	0.0151	367	0	
5	166	0.2796262800693512	245	2.8804218769073486	166.0000	703.0000	483.0000	719.0000	285.0000	844.0000	551.0000	547.0000	205.0000	925.0000	0.2796	0.2291	0.0838	0.0783	0.0288	0.0275	0.0219	0.0188	0.0143	0.0111	130	1	
6	483	0.2113385945558548	245	4.079690456390381	483.0000	166.0000	703.0000	551.0000	719.0000	528.0000	315.0000	531.0000	243.0000	716.0000	0.2113	0.0910	0.0771	0.0474	0.0412	0.0264	0.0201	0.0196	0.0162	0.0135	94	1	
7	436	0.2018486112356186	245	3.4810962677001953	436.0000	703.0000	212.0000	719.0000	315.0000	528.0000	647.0000	540.0000	205.0000	75.0000	0.2018	0.1913	0.0582	0.0525	0.0389	0.0366	0.0287	0.0286	0.0267	0.0245	29	1	
8	703	0.5237868428230286	245	2.486078977584839	703.0000	528.0000	51.0000	582.0000	436.0000	131.0000	884.0000	264.0000	205.0000	532.0000	0.5238	0.0521	0.0450	0.0395	0.0376	0.0339	0.0316	0.0210	0.0158	0.0139	71	1	
9	528	0.7822750806808472	245	1.0042825937271118	528.0000	584.0000	212.0000	716.0000	844.0000	703.0000	531.0000	532.0000	719.0000	797.0000	0.7823	0.1175	0.0163	0.0127	0.0111	0.0090	0.0056	0.0044	0.0043	0.0037	38	1	
10	364	0.17538921535015106	245	3.605386972427368	364.0000	162.0000	285.0000	854.0000	166.0000	279.0000	282.0000	483.0000	177.0000	868.0000	0.1754	0.1207	0.0900	0.0893	0.0418	0.0409	0.0329	0.0278	0.0262	0.0238	109	2	
11	585	0.09418309479951859	245	4.482846260070801	585.0000	531.0000	819.0000	629.0000	675.0000	522.0000	528.0000	583.0000	282.0000	84.0000	0.0942	0.0673	0.0651	0.0541	0.0386	0.0378	0.0310	0.0246	0.0223	0.0164	101	2	
12	528	0.1766848862171173	245	3.7787978649139404	528.0000	348.0000	719.0000	239.0000	703.0000	208.0000	819.0000	153.0000	490.0000	582.0000	0.1767	0.1060	0.0920	0.0610	0.0412	0.0363	0.0358	0.0355	0.0324	0.0299	59	2	
13	453	0.205440953373909	245	3.511199474334717	453.0000	582.0000	776.0000	945.0000	242.0000	528.0000	441.0000	476.0000	348.0000	153.0000	0.2054	0.1249	0.1238	0.0542	0.0442	0.0402	0.0222	0.0201	0.0192	0.0191	26	2	
14	584	0.09320057183504105	245	4.283515453338623	584.0000	819.0000	844.0000	153.0000	528.0000	84.0000	719.0000	232.0000	531.0000	532.0000	0.0932	0.0830	0.0687	0.0418	0.0414	0.0376	0.0299	0.0260	0.0257	0.0205	39	2	
15	282	0.14569829404354095	245	3.639683246612549	282.0000	787.0000	909.0000	71.0000	483.0000	679.0000	543.0000	96.0000	364.0000	868.0000	0.1457	0.1323	0.0956	0.0785	0.0599	0.0542	0.0405	0.0342	0.0246	0.0193	139	3	
16	900	0.12314789742231369	245	4.018583297729492	900.0000	679.0000	584.0000	282.0000	483.0000	797.0000	531.0000	844.0000	884.0000	924.0000	0.1231	0.0916	0.0763	0.0657	0.0609	0.0444	0.0432	0.0283	0.0281	0.0243	211	3	
17	703	0.2583500146865845	245	3.4140448570251465	703.0000	626.0000	540.0000	884.0000	528.0000	205.0000	208.0000	153.0000	532.0000	162.0000	0.2584	0.1676	0.0739	0.0319	0.0290	0.0286	0.0274	0.0198	0.0163	0.0162	56	3	
18	528	0.3360833525657654	245	2.507283926010132	528.0000	441.0000	453.0000	340.0000	517.0000	821.0000	290.0000	558.0000	264.0000	605.0000	0.3361	0.1425	0.1382	0.1011	0.0520	0.0344	0.0288	0.0238	0.0104	0.0096	61	3	
19	531	0.18127615749835968	245	3.172630548477173	531.0000	900.0000	584.0000	532.0000	884.0000	797.0000	61.0000	821.0000	521.0000	528.0000	0.1813	0.1738	0.0881	0.0850	0.0608	0.0521	0.0497	0.0420	0.0263	0.0259	12	3	
20	153	0.44593510031700134	245	2.329937696456909	153.0000	893.0000	844.0000	543.0000	217.0000	582.0000	531.0000	521.0000	703.0000	315.0000	0.4459	0.2340	0.0534	0.0432	0.0196	0.0119	0.0100	0.0089	0.0081	0.0069	14	4	
21	531	0.5044507384300232	245	2.6915040016174316	531.0000	528.0000	844.0000	900.0000	582.0000	893.0000	919.0000	205.0000	239.0000	721.0000	0.5045	0.0867	0.0438	0.0349	0.0315	0.0174	0.0169	0.0144	0.0120	0.0096	25	4	
22	703	0.2915491759777069	245	3.4390058517456055	703.0000	75.0000	893.0000	540.0000	153.0000	208.0000	727.0000	719.0000	896.0000	131.0000	0.2915	0.0881	0.0803	0.0627	0.0367	0.0325	0.0285	0.0271	0.0157	0.0152	133	4	
23	453	0.31337112188339233	245	2.3671319484710693	453.0000	528.0000	821.0000	703.0000	582.0000	724.0000	45.0000	340.0000	893.0000	517.0000	0.3134	0.1516	0.1376	0.1044	0.0957	0.0418	0.0256	0.0172	0.0105	0.0081	40	4	
24	900	0.22601255774497986	245	2.891805648803711	900.0000	551.0000	716.0000	797.0000	821.0000	208.0000	531.0000	194.0000	55.0000	844.0000	0.2260	0.1916	0.0876	0.0704	0.0691	0.0338	0.0331	0.0291	0.0271	0.0229	29	4	
25	719	0.23837576806545258	245	2.962259292602539	719.0000	483.0000	673.0000	868.0000	787.0000	153.0000	162.0000	166.0000	540.0000	867.0000	0.2384	0.2249	0.1695	0.0237	0.0236	0.0220	0.0195	0.0119	0.0115	0.0112	58	5	
26	483	0.22942869365215302	245	4.5053486824035645	483.0000	531.0000	710.0000	239.0000	585.0000	171.0000	797.0000	532.0000	900.0000	528.0000	0.2294	0.0423	0.0272	0.0210	0.0206	0.0172	0.0171	0.0164	0.0162	0.0157	15	5	
27	719	0.2589404881000519	245	3.2763614654541016	719.0000	540.0000	703.0000	449.0000	153.0000	75.0000	787.0000	945.0000	208.0000	443.0000	0.2589	0.1202	0.0951	0.0804	0.0676	0.0313	0.0223	0.0190	0.0172	0.0131	113	5	
28	703	0.44208747148513794	245	2.6026864051818848	703.0000	582.0000	317.0000	264.0000	453.0000	153.0000	721.0000	776.0000	443.0000	528.0000	0.4421	0.1879	0.0291	0.0288	0.0205	0.0142	0.0137	0.0131	0.0128	0.0110	14	5	
29	819	0.2587909996509552	245	3.2390193939208984	819.0000	626.0000	350.0000	61.0000	797.0000	201.0000	196.0000	719.0000	931.0000	75.0000	0.2588	0.1667	0.0811	0.0496	0.0319	0.0300	0.0281	0.0262	0.0248	0.0151	33	5	
30	364	0.14725230634212494	245	3.8965649604797363	364.0000	483.0000	844.0000	166.0000	421.0000	44.0000	748.0000	679.0000	614.0000	909.0000	0.1473	0.0616	0.0573	0.0375	0.0373	0.0369	0.0353	0.0344	0.0305	0.0303	14	6	
31	531	0.41426780819892883	245	2.705756425857544	531.0000	483.0000	844.0000	776.0000	584.0000	31.0000	421.0000	55.0000	900.0000	679.0000	0.4143	0.1961	0.0531	0.0278	0.0181	0.0174	0.0148	0.0138	0.0126	0.0115	23	6	
32	703	0.25451329350471497	245	3.5361900329589844	703.0000	61.0000	821.0000	531.0000	945.0000	449.0000	196.0000	194.0000	924.0000	716.0000	0.2545	0.0607	0.0559	0.0527	0.0488	0.0428	0.0319	0.0286	0.0265	0.0233	10	6	
33	453	0.43729475140571594	245	1.703486680984497	453.0000	821.0000	528.0000	340.0000	245.0000	776.0000	582.0000	492.0000	558.0000	8.0000	0.4373	0.2719	0.1535	0.0385	0.0127	0.0113	0.0096	0.0076	0.0057	0.0049	4	6	
34	584	0.591048538684845	245	1.871428370475769	584.0000	61.0000	531.0000	884.0000	245.0000	716.0000	528.0000	521.0000	844.0000	900.0000	0.5910	0.1210	0.0552	0.0352	0.0295	0.0211	0.0181	0.0170	0.0129	0.0073	4	6	
35	319	0.17305968701839447	245	2.883692741394043	319.0000	38.0000	441.0000	483.0000	255.0000	854.0000	787.0000	868.0000	647.0000	719.0000	0.1731	0.1564	0.1169	0.0981	0.0976	0.0865	0.0616	0.0207	0.0175	0.0108	89	7	
36	483	0.6295230984687805	245	1.9726628065109253	483.0000	797.0000	679.0000	358.0000	719.0000	857.0000	776.0000	403.0000	205.0000	440.0000	0.6295	0.0964	0.0433	0.0195	0.0151	0.0118	0.0115	0.0106	0.0099	0.0094	37	7	
