	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	282	0.08633483201265335	252	5.262486457824707	282.0000	626.0000	235.0000	701.0000	4.0000	58.0000	789.0000	80.0000	854.0000	532.0000	0.0863	0.0620	0.0333	0.0263	0.0221	0.0215	0.0204	0.0186	0.0178	0.0166	777	0	
1	38	0.3735322058200836	252	1.9251863956451416	38.0000	282.0000	96.0000	617.0000	353.0000	909.0000	6.0000	71.0000	511.0000	672.0000	0.3735	0.3715	0.0654	0.0385	0.0225	0.0189	0.0154	0.0092	0.0082	0.0048	11	0	
2	909	0.2937268912792206	252	2.7133684158325195	909.0000	347.0000	98.0000	692.0000	541.0000	282.0000	252.0000	832.0000	899.0000	854.0000	0.2937	0.1356	0.1128	0.1089	0.0583	0.0507	0.0247	0.0234	0.0194	0.0166	6	0	
3	626	0.07388989627361298	252	5.5269880294799805	626.0000	363.0000	282.0000	6.0000	98.0000	141.0000	335.0000	512.0000	485.0000	558.0000	0.0739	0.0516	0.0399	0.0345	0.0257	0.0171	0.0156	0.0152	0.0111	0.0100	15	1	
4	617	0.3243160843849182	252	2.6328842639923096	617.0000	6.0000	252.0000	282.0000	583.0000	71.0000	692.0000	98.0000	672.0000	153.0000	0.3243	0.2649	0.0780	0.0590	0.0316	0.0282	0.0251	0.0109	0.0106	0.0071	2	1	
5	98	0.6524090766906738	252	1.0760815143585205	98.0000	692.0000	252.0000	680.0000	690.0000	471.0000	909.0000	96.0000	853.0000	347.0000	0.6524	0.2752	0.0180	0.0069	0.0049	0.0041	0.0041	0.0025	0.0022	0.0020	2	1	
6	575	0.07599308341741562	252	5.032221794128418	575.0000	523.0000	253.0000	805.0000	701.0000	282.0000	4.0000	485.0000	37.0000	80.0000	0.0760	0.0433	0.0415	0.0381	0.0376	0.0374	0.0357	0.0275	0.0215	0.0191	240	2	
7	692	0.4089556932449341	252	3.128922939300537	692.0000	347.0000	252.0000	780.0000	6.0000	679.0000	672.0000	509.0000	789.0000	515.0000	0.4090	0.1096	0.0649	0.0321	0.0155	0.0147	0.0137	0.0136	0.0133	0.0130	2	2	
8	692	0.9643831849098206	252	0.22866013646125793	692.0000	98.0000	252.0000	38.0000	680.0000	832.0000	555.0000	96.0000	690.0000	277.0000	0.9644	0.0144	0.0119	0.0012	0.0009	0.0006	0.0006	0.0005	0.0004	0.0004	2	2	
9	485	0.7505796551704407	252	1.8401446342468262	485.0000	98.0000	282.0000	37.0000	598.0000	80.0000	837.0000	627.0000	478.0000	252.0000	0.7506	0.0174	0.0100	0.0096	0.0081	0.0075	0.0074	0.0067	0.0060	0.0045	9	3	
10	252	0.7459044456481934	252	1.1578311920166016	252.0000	672.0000	692.0000	617.0000	347.0000	6.0000	71.0000	96.0000	652.0000	282.0000	0.7459	0.0841	0.0552	0.0510	0.0057	0.0050	0.0042	0.0040	0.0039	0.0034	0	3	
11	98	0.5877124071121216	252	1.1482168436050415	98.0000	252.0000	692.0000	680.0000	683.0000	54.0000	832.0000	824.0000	690.0000	38.0000	0.5877	0.2154	0.1582	0.0126	0.0074	0.0054	0.0032	0.0024	0.0024	0.0009	1	3	
12	485	0.2934287190437317	252	3.7931067943573	485.0000	837.0000	899.0000	888.0000	884.0000	228.0000	361.0000	478.0000	278.0000	909.0000	0.2934	0.1419	0.0619	0.0257	0.0177	0.0170	0.0156	0.0144	0.0143	0.0141	46	4	
13	617	0.5034124851226807	252	1.7657997608184814	617.0000	511.0000	71.0000	672.0000	38.0000	780.0000	652.0000	252.0000	692.0000	710.0000	0.5034	0.2559	0.0556	0.0470	0.0244	0.0134	0.0115	0.0086	0.0085	0.0080	7	4	
14	692	0.5537745952606201	252	1.2836750745773315	692.0000	252.0000	38.0000	680.0000	54.0000	96.0000	98.0000	690.0000	853.0000	555.0000	0.5538	0.2702	0.1015	0.0304	0.0088	0.0081	0.0072	0.0045	0.0029	0.0019	1	4	
15	98	0.28061991930007935	252	3.7617242336273193	98.0000	80.0000	252.0000	206.0000	541.0000	701.0000	818.0000	485.0000	598.0000	879.0000	0.2806	0.1257	0.0650	0.0475	0.0338	0.0313	0.0254	0.0146	0.0138	0.0106	2	5	
16	252	0.44521284103393555	252	2.046865463256836	252.0000	672.0000	861.0000	347.0000	710.0000	780.0000	652.0000	824.0000	38.0000	543.0000	0.4452	0.2574	0.0614	0.0408	0.0261	0.0233	0.0136	0.0107	0.0092	0.0086	0	5	
17	98	0.8758941292762756	252	0.43680253624916077	98.0000	692.0000	252.0000	680.0000	690.0000	824.0000	672.0000	80.0000	471.0000	683.0000	0.8759	0.1049	0.0176	0.0007	0.0005	0.0001	0.0001	0.0000	0.0000	0.0000	2	5	
18	252	0.2026369422674179	252	4.318424224853516	252.0000	80.0000	282.0000	541.0000	701.0000	710.0000	470.0000	692.0000	512.0000	690.0000	0.2026	0.0745	0.0497	0.0434	0.0329	0.0306	0.0296	0.0285	0.0239	0.0215	0	6	
19	710	0.21845869719982147	252	2.333789587020874	710.0000	282.0000	672.0000	692.0000	652.0000	252.0000	347.0000	748.0000	543.0000	509.0000	0.2185	0.1955	0.1780	0.1637	0.0625	0.0382	0.0179	0.0159	0.0129	0.0074	5	6	
20	692	0.905224621295929	252	0.37583038210868835	692.0000	98.0000	252.0000	680.0000	690.0000	54.0000	710.0000	96.0000	870.0000	672.0000	0.9052	0.0776	0.0135	0.0010	0.0010	0.0006	0.0004	0.0001	0.0001	0.0001	2	6	
21	485	0.7718645930290222	252	1.5816001892089844	485.0000	98.0000	486.0000	252.0000	349.0000	512.0000	703.0000	692.0000	375.0000	430.0000	0.7719	0.0227	0.0215	0.0125	0.0116	0.0077	0.0074	0.0071	0.0059	0.0057	3	7	
22	299	0.2882276773452759	252	2.31870174407959	299.0000	543.0000	282.0000	153.0000	692.0000	252.0000	521.0000	780.0000	824.0000	347.0000	0.2882	0.2572	0.1514	0.0663	0.0636	0.0195	0.0131	0.0115	0.0113	0.0096	5	7	
