	pred	prob	target	entropy	ind1	ind2	ind3	ind4	ind5	ind6	ind7	ind8	ind9	ind10	prob1	prob2	prob3	prob4	prob5	prob6	prob7	prob8	prob9	prob10	rank	epoch	suffix
0	598	0.41150763630867004	253	2.8149940967559814	598.0000	575.0000	172.0000	287.0000	593.0000	848.0000	938.0000	675.0000	597.0000	594.0000	0.4115	0.1197	0.0911	0.0420	0.0342	0.0288	0.0278	0.0274	0.0225	0.0217	82	0	
1	172	0.4205911457538605	253	1.687474012374878	172.0000	598.0000	575.0000	675.0000	287.0000	593.0000	63.0000	594.0000	253.0000	80.0000	0.4206	0.3465	0.0757	0.0391	0.0286	0.0102	0.0093	0.0091	0.0091	0.0080	8	1	
2	598	0.3043653070926666	253	2.3890929222106934	598.0000	172.0000	63.0000	253.0000	287.0000	575.0000	593.0000	938.0000	597.0000	80.0000	0.3044	0.1894	0.1506	0.0793	0.0557	0.0366	0.0329	0.0283	0.0179	0.0165	3	2	
3	172	0.3050732910633087	253	2.7002360820770264	172.0000	598.0000	287.0000	575.0000	253.0000	80.0000	593.0000	81.0000	938.0000	675.0000	0.3051	0.1725	0.0919	0.0773	0.0764	0.0460	0.0244	0.0199	0.0185	0.0176	4	3	
4	598	0.37199997901916504	253	1.7697701454162598	598.0000	575.0000	253.0000	172.0000	675.0000	938.0000	287.0000	593.0000	594.0000	221.0000	0.3720	0.3499	0.0749	0.0590	0.0454	0.0198	0.0197	0.0145	0.0058	0.0050	2	4	
5	172	0.9713410139083862	253	0.20308810472488403	172.0000	598.0000	253.0000	675.0000	287.0000	938.0000	575.0000	593.0000	63.0000	80.0000	0.9713	0.0073	0.0065	0.0031	0.0025	0.0016	0.0011	0.0008	0.0008	0.0007	2	5	
6	598	0.6227689981460571	253	1.3590271472930908	598.0000	253.0000	172.0000	575.0000	287.0000	938.0000	828.0000	597.0000	783.0000	785.0000	0.6228	0.1527	0.0668	0.0651	0.0475	0.0101	0.0055	0.0051	0.0037	0.0032	1	6	
7	938	0.31872236728668213	253	2.131716251373291	938.0000	253.0000	172.0000	593.0000	575.0000	63.0000	598.0000	66.0000	783.0000	675.0000	0.3187	0.3087	0.0974	0.0875	0.0432	0.0165	0.0161	0.0150	0.0097	0.0058	1	7	
8	253	0.8368502855300903	253	1.02602219581604	253.0000	11.0000	938.0000	593.0000	412.0000	430.0000	265.0000	828.0000	172.0000	690.0000	0.8369	0.0250	0.0171	0.0167	0.0112	0.0089	0.0056	0.0051	0.0040	0.0036	0	8	
9	253	0.8929653167724609	253	0.5831007957458496	253.0000	575.0000	598.0000	172.0000	412.0000	221.0000	783.0000	938.0000	625.0000	675.0000	0.8930	0.0397	0.0212	0.0173	0.0066	0.0033	0.0018	0.0015	0.0010	0.0009	0	9	
10	253	0.8885185122489929	253	0.6711635589599609	253.0000	938.0000	598.0000	574.0000	37.0000	575.0000	174.0000	593.0000	221.0000	172.0000	0.8885	0.0263	0.0206	0.0083	0.0070	0.0067	0.0047	0.0045	0.0045	0.0043	0	10	
11	253	0.691963791847229	253	1.0514216423034668	253.0000	598.0000	834.0000	575.0000	172.0000	938.0000	574.0000	828.0000	80.0000	593.0000	0.6920	0.2112	0.0392	0.0115	0.0099	0.0043	0.0042	0.0038	0.0028	0.0020	0	11	
12	253	0.4828202724456787	253	2.2964553833007812	253.0000	598.0000	938.0000	174.0000	597.0000	287.0000	172.0000	430.0000	11.0000	785.0000	0.4828	0.0778	0.0644	0.0493	0.0464	0.0401	0.0374	0.0191	0.0152	0.0139	0	12	
13	598	0.31721463799476624	253	2.854919910430908	598.0000	253.0000	172.0000	575.0000	597.0000	287.0000	675.0000	412.0000	938.0000	594.0000	0.3172	0.1066	0.0916	0.0767	0.0583	0.0388	0.0352	0.0293	0.0279	0.0233	1	13	
14	253	0.9863131046295166	253	0.11228436231613159	253.0000	783.0000	828.0000	600.0000	832.0000	834.0000	598.0000	231.0000	449.0000	221.0000	0.9863	0.0034	0.0021	0.0012	0.0012	0.0007	0.0005	0.0004	0.0004	0.0003	0	14	
15	253	0.6088076829910278	253	1.3128902912139893	253.0000	172.0000	575.0000	598.0000	828.0000	675.0000	412.0000	37.0000	938.0000	574.0000	0.6088	0.1917	0.1081	0.0340	0.0158	0.0048	0.0039	0.0032	0.0029	0.0028	0	15	
16	253	0.5921730399131775	253	1.8986248970031738	253.0000	172.0000	598.0000	575.0000	37.0000	412.0000	783.0000	600.0000	593.0000	828.0000	0.5922	0.1312	0.0561	0.0324	0.0226	0.0169	0.0121	0.0105	0.0105	0.0089	0	16	
